Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.0002,7.2278,7.0002,,,,0,8,2
2000-05-02 00:00:00,,,,7.0761,7.3037,7.0571,,,,,,
2000-05-03 00:00:00,,,,7.2089,7.2089,6.9243,,,,,,
2000-05-04 00:00:00,,,,7.0381,7.1709,7.0002,,,,,,
2000-05-05 00:00:00,,,,7.133,7.3417,7.114,,,,,,
2000-05-08 00:00:00,,,,7.2089,7.4744,7.2089,,,,,,
2000-05-09 00:00:00,,,,7.4175,7.4175,7.1519,,,,,,
2000-05-10 00:00:00,,,,7.1709,7.1899,7.0571,,,,,,
2000-05-11 00:00:00,,,,7.2468,7.6642,7.2278,,,,,,
2000-05-12 00:00:00,,,,7.4934,7.6452,7.3606,,,,,,
2000-05-15 00:00:00,,,,7.5693,7.8728,7.4555,,,,,,
2000-05-16 00:00:00,,,,7.9297,7.9297,7.4555,,,,,,
2000-05-17 00:00:00,,,,7.5503,7.8728,7.5314,,,,0,8,2
2000-05-18 00:00:00,,,,7.8539,8.0436,7.6831,,,,,,
2000-05-19 00:00:00,,,,7.5693,7.8159,7.5693,,,,,,
2000-05-22 00:00:00,,,,7.7780000000000005,7.7969,7.5503,,,,,,
2000-05-23 00:00:00,,,,7.6642,7.6831,7.4365,,,,0,8,2
2000-05-24 00:00:00,,,,7.6831,7.759,7.5883,,,,,,
2000-05-25 00:00:00,,,,7.5314,7.6072,7.3606,,,,,,
2000-05-26 00:00:00,,,,7.4555,7.8918,7.4555,,,,,,
2000-05-30 00:00:00,,,,7.7780000000000005,7.8349,7.6452,,,,,,
2000-05-31 00:00:00,,,,7.8918,8.423,7.8918,,,,0,9,2
2000-06-01 00:00:00,,,,8.1574,8.2902,7.9297,,,,0,9,3
2000-06-02 00:00:00,,,,8.3092,8.3281,7.9108,,,,0,9,3
2000-06-05 00:00:00,,,,7.9677,8.1384,7.8159,,,,,,
2000-06-06 00:00:00,,,,7.9108,8.2143,7.8918,,,,,,
2000-06-07 00:00:00,,,,8.1574,8.1574,7.8918,,,,,,
2000-06-08 00:00:00,,,,8.0056,8.2143,8.0056,,,,0,9,3
2000-06-09 00:00:00,,,,8.2522,8.2522,8.0436,,,,0,8,3
2000-06-12 00:00:00,,,,8.1764,8.5747,8.1764,,,,,,
2000-06-13 00:00:00,,,,8.4989,8.5178,8.385,,,,,,
2000-06-14 00:00:00,,,,8.423,8.8403,8.423,,,,,,
2000-06-15 00:00:00,,,,8.6506,8.6506,8.1384,,,,,,
2000-06-16 00:00:00,,,,8.1953,8.6506,8.1953,,,,,,
2000-06-19 00:00:00,,,,8.4609,8.5178,8.2143,,,,,,
2000-06-20 00:00:00,,,,8.2712,8.3281,8.1384,,,,,,
2000-06-21 00:00:00,,,,8.3092,8.5178,8.1574,,,,,,
2000-06-22 00:00:00,,,,8.423,8.423,8.1574,,,,,,
2000-06-23 00:00:00,,,,8.1764,8.4419,8.1574,,,,0,8,3
2000-06-26 00:00:00,,,,8.1953,8.404,8.0815,,,,,,
2000-06-27 00:00:00,,,,8.1005,8.1194,7.9677,,,,,,
2000-06-28 00:00:00,,,,7.9867,8.1005,7.8539,,,,,,
2000-06-29 00:00:00,,,,7.9487,8.1953,7.7780000000000005,,,,,,
2000-06-30 00:00:00,,,,7.9867,8.1194,7.6072,,,,,,
2000-07-03 00:00:00,,,,7.74,7.8159,7.7021,,,,,,
2000-07-05 00:00:00,,,,7.8918,7.8918,7.4175,,,,,,
2000-07-06 00:00:00,,,,7.5693,7.6452,7.4365,,,,,,
2000-07-07 00:00:00,,,,7.4934,7.6072,7.4744,,,,,,
2000-07-10 00:00:00,,,,7.5693,7.7780000000000005,7.5503,,,,,,
2000-07-11 00:00:00,,,,7.74,8.0056,7.6831,,,,,,
2000-07-12 00:00:00,,,,7.8918,7.9297,7.6452,,,,,,
