Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,35,35,30,,,,0,5,1
2000-05-02 00:00:00,,,,34.688,34.688,33.75,,,,,,
2000-05-03 00:00:00,,,,35.25,36.75,35,,,,,,
2000-05-04 00:00:00,,,,36.25,36.375,35.125,,,,0,5,1
2000-05-05 00:00:00,,,,36,36.313,35,,,,,,
2000-05-08 00:00:00,,,,36,36,34.125,,,,,,
2000-05-09 00:00:00,,,,34.438,34.563,33,,,,,,
2000-05-10 00:00:00,,,,33.625,35.938,33.625,,,,,,
2000-05-11 00:00:00,,,,35.313,40.125,35,,,,,,
2000-05-12 00:00:00,,,,39.688,40.625,37.5,,,,,,
2000-05-15 00:00:00,,,,38.188,38.188,36.25,,,,,,
2000-05-16 00:00:00,,,,37,38.75,36.75,,,,,,
2000-05-17 00:00:00,,,,38.5,38.5,36.625,,,,0,5,1
2000-05-18 00:00:00,,,,36.875,37.375,36.188,,,,,,
2000-05-19 00:00:00,,,,35.75,35.75,34.5,,,,,,
2000-05-22 00:00:00,,,,35.438,35.438,33.063,,,,,,
2000-05-23 00:00:00,,,,34.25,36.125,34.25,,,,,,
2000-05-24 00:00:00,,,,35.5,37.438,35.5,,,,,,
2000-05-25 00:00:00,,,,37.313,40,37.313,,,,,,
2000-05-26 00:00:00,,,,38.625,38.625,37,,,,,,
2000-05-30 00:00:00,,,,37.188,38.438,37.188,,,,,,
2000-05-31 00:00:00,,,,38.313,39.625,38.313,,,,,,
2000-06-01 00:00:00,,,,39.063,40.438,39.063,,,,,,
2000-06-02 00:00:00,,,,40.375,40.938,40.188,,,,0,5,1
2000-06-05 00:00:00,,,,40.188,40.188,39.25,,,,,,
2000-06-06 00:00:00,,,,39.5,41,39.5,,,,,,
2000-06-07 00:00:00,,,,40.438,41,40.438,,,,,,
2000-06-08 00:00:00,,,,40.75,42.813,40.625,,,,,,
2000-06-09 00:00:00,,,,42.063,42.063,41.5,,,,,,
2000-06-12 00:00:00,,,,41.688,43,41.188,,,,,,
2000-06-13 00:00:00,,,,42.313,43.938,42.063,,,,,,
2000-06-14 00:00:00,,,,43.688,43.813,39.313,,,,,,
2000-06-15 00:00:00,,,,39.5,39.5,38.5,,,,,,
2000-06-16 00:00:00,,,,38.563,38.75,36.688,,,,,,
2000-06-19 00:00:00,,,,37.438,37.438,36.25,,,,0,5,1
2000-06-20 00:00:00,,,,36.563,37.813,35.875,,,,,,
2000-06-21 00:00:00,,,,37.75,38.688,37.375,,,,,,
2000-06-22 00:00:00,,,,38.5,39.438,38.125,,,,0,5,1
2000-06-23 00:00:00,,,,38.313,38.563,37.5,,,,,,
2000-06-26 00:00:00,,,,37.563,39.625,37.563,,,,,,
2000-06-27 00:00:00,,,,39.375,40.375,39.375,,,,,,
2000-06-28 00:00:00,,,,39.438,40,39.438,,,,,,
2000-06-29 00:00:00,,,,40,40,39.375,,,,,,
2000-06-30 00:00:00,,,,39.813,40,39.625,,,,,,
2000-07-03 00:00:00,,,,40,40,38.813,,,,,,
2000-07-05 00:00:00,,,,38.813,39.438,37.75,,,,,,
2000-07-06 00:00:00,,,,38,39.063,37.875,,,,,,
2000-07-07 00:00:00,,,,38.875,39.875,38.875,,,,0,5,1
2000-07-10 00:00:00,,,,39.875,42,39.563,,,,,,
2000-07-11 00:00:00,,,,40.938,42.25,40.813,,,,,,
2000-07-12 00:00:00,,,,42.313,44.438,42.313,,,,,,
2000-07-13 00:00:00,,,,43.125,43.125,41.75,,,,,,
2000-07-14 00:00:00,,,,42.75,42.75,41.938,,,,,,
2000-07-17 00:00:00,,,,42.25,42.25,41.5,,,,,,
2000-07-18 00:00:00,,,,41.875,41.875,40.75,,,,,,
2000-07-19 00:00:00,,,,40.813,40.813,38.875,,,,,,
