Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,8,0
2000-05-09 00:00:00,,,,,,,,,,0,8,0
2000-05-30 00:00:00,,,,,,,,,,0,9,0
2000-05-31 00:00:00,,,,,,,,,,0,10,0
2000-06-01 00:00:00,,,,,,,,,,0,10,1
2000-06-02 00:00:00,,,,,,,,,,0,10,1
2000-06-06 00:00:00,,,,,,,,,,0,10,1
2000-06-13 00:00:00,,,,,,,,,,0,10,1
2000-06-19 00:00:00,,,,,,,,,,0,10,1
2000-06-20 00:00:00,,,,,,,,,,0,11,1
2000-06-22 00:00:00,,,,,,,,,,0,11,1
2000-06-23 00:00:00,,,,,,,,,,0,12,0
2000-06-28 00:00:00,,,,,,,,,,0,12,0
2000-06-30 00:00:00,,,,,,,,,,0,12,0
2000-07-07 00:00:00,,,,,,,,,,0,12,0
2000-07-10 00:00:00,,,,,,,,,,0,12,0
2000-07-13 00:00:00,,,,,,,,,,0,12,0
2000-07-18 00:00:00,,,,,,,,,,0,12,0
2000-07-21 00:00:00,,,,,,,,,,0,12,0
2000-07-28 00:00:00,,,,,,,,,,0,12,0
2000-08-09 00:00:00,,,,,,,,,,0,12,0
2000-08-14 00:00:00,,,,,,,,,,0,12,0
2000-08-15 00:00:00,,,,,,,,,,0,12,0
2000-08-18 00:00:00,,,,,,,,,,0,12,0
2000-08-28 00:00:00,,,,,,,,,,0,13,0
2000-09-05 00:00:00,,,,,,,,,,0,14,0
2000-09-06 00:00:00,,,,,,,,,,0,14,0
2000-09-07 00:00:00,,,,,,,,,,0,14,0
2000-09-14 00:00:00,,,,,,,,,,0,14,0
2000-09-18 00:00:00,,,,,,,,,,0,14,0
2000-09-19 00:00:00,,,,,,,,,,0,14,0
2000-09-20 00:00:00,,,,,,,,,,0,14,0
2000-09-22 00:00:00,,,,,,,,,,0,13,1
2000-09-27 00:00:00,,,,,,,,,,0,13,1
2000-09-29 00:00:00,,,,,,,,,,0,13,1
2000-10-02 00:00:00,,,,,,,,,,0,13,1
2000-10-03 00:00:00,,,,,,,,,,0,13,1
2000-10-05 00:00:00,,,,,,,,,,0,13,1
2000-10-17 00:00:00,,,,,,,,,,0,13,1
2000-10-23 00:00:00,,,,,,,,,,0,13,1
2000-10-27 00:00:00,,,,,,,,,,0,13,1
2000-10-30 00:00:00,,,,,,,,,,0,13,1
2000-11-07 00:00:00,,,,,,,,,,0,13,1
2000-11-14 00:00:00,,,,,,,,,,0,13,1
2000-11-15 00:00:00,,,,,,,,,,0,13,1
2000-11-16 00:00:00,,,,,,,,,,0,13,1
2000-11-17 00:00:00,,,,,,,,,,0,13,1
2000-11-20 00:00:00,,,,,,,,,,0,13,1
2000-11-27 00:00:00,,,,,,,,,,0,13,1
2000-11-30 00:00:00,,,,,,,,,,0,13,1
2000-12-01 00:00:00,,,,,,,,,,0,13,1
2000-12-14 00:00:00,,,,,,,,,,0,13,1
2000-12-18 00:00:00,,,,,,,,,,0,13,1
2000-12-19 00:00:00,,,,,,,,,,0,13,1
2000-12-20 00:00:00,,,,,,,,,,0,12,2
2000-12-21 00:00:00,,,,,,,,,,0,12,2
2001-01-02 00:00:00,,,,,,,,,,0,12,2
2001-01-03 00:00:00,,,,,,,,,,0,12,2
2001-01-04 00:00:00,,,,,,,,,,0,12,2
2001-01-05 00:00:00,,,,,,,,,,0,13,1
2001-01-19 00:00:00,,,,,,,,,,0,13,1
2001-01-22 00:00:00,,,,,,,,,,0,12,2
2001-01-30 00:00:00,,,,,,,,,,0,12,2
2001-02-01 00:00:00,,,,,,,,,,0,12,2
2001-02-06 00:00:00,,,,,,,,,,0,12,2
2001-02-07 00:00:00,,,,,,,,,,0,12,2
2001-02-12 00:00:00,,,,,,,,,,0,13,1
2001-02-15 00:00:00,,,,,,,,,,0,13,1
2001-02-16 00:00:00,,,,,,,,,,0,12,2
2001-02-21 00:00:00,,,,,,,,,,0,12,3
2001-02-22 00:00:00,,,,,,,,,,0,12,3
2001-02-26 00:00:00,,,,,,,,,,0,12,3
2001-02-27 00:00:00,,,,,,,,,,0,12,3
2001-03-02 00:00:00,,,,,,,,,,0,12,3
2001-03-05 00:00:00,,,,,,,,,,0,12,3
2001-03-06 00:00:00,,,,,,,,,,0,12,3
2001-03-07 00:00:00,,,,,,,,,,0,12,3
2001-03-08 00:00:00,,,,,,,,,,0,12,4
2001-03-15 00:00:00,,,,,,,,,,0,12,4
2001-03-19 00:00:00,,,,,,,,,,0,12,4
2001-03-20 00:00:00,,,,,,,,,,0,12,4
2001-03-22 00:00:00,,,,,,,,,,0,12,4
2001-03-26 00:00:00,,,,,,,,,,0,11,4
2001-03-28 00:00:00,,,,,,,,,,0,11,5
2001-03-29 00:00:00,,,,,,,,,,0,11,5
2001-03-30 00:00:00,,,,,,,,,,0,11,5
2001-04-05 00:00:00,,,,,,,,,,0,10,6
2001-04-06 00:00:00,,,,,,,,,,0,10,6
2001-04-09 00:00:00,,,,,,,,,,0,10,6
2001-04-10 00:00:00,,,,,,,,,,0,10,6
2001-04-11 00:00:00,,,,,,,,,,0,10,6
2001-04-17 00:00:00,,,,,,,,,,0,10,6
2001-04-18 00:00:00,,,,,,,,,,0,10,6
2001-04-30 00:00:00,,,,,,,,,,0,10,6
2001-05-10 00:00:00,,,,,,,,,,0,10,6
2001-05-15 00:00:00,,,,,,,,,,0,10,6
2001-05-16 00:00:00,,,,,,,,,,0,10,6
