Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,15,17.38,15,,,,,,
2014-04-21 00:00:00,,,,16.97,16.97,16.4,,,,0,2,0
2014-04-22 00:00:00,,,,16.63,17,16.63,,,,,,
2014-04-23 00:00:00,,,,16.81,16.85,16.71,,,,,,
2014-04-24 00:00:00,,,,16.59,16.83,16.48,,,,,,
2014-04-25 00:00:00,,,,16.9,16.91,16.35,,,,,,
2014-04-28 00:00:00,,,,16.93,16.93,16.39,,,,,,
2014-04-29 00:00:00,,,,16.62,16.84,16.46,,,,,,
2014-04-30 00:00:00,,,,16.7,16.7,16.4,,,,0,4,1
2014-05-01 00:00:00,,,,16.12,17.36,16.12,,,,0,6,1
2014-05-02 00:00:00,,,,17.01,17.3,16.875,,,,0,6,2
2014-05-05 00:00:00,,,,16.93,17.26,16.54,,,,,,
2014-05-06 00:00:00,,,,16.69,16.7,16.25,,,,0,6,2
2014-05-07 00:00:00,,,,16.36,16.61,16.26,,,,0,6,2
2014-05-08 00:00:00,,,,16.5,16.64,16.35,,,,,,
2014-05-09 00:00:00,,,,16.3,16.48,16.05,,,,,,
2014-05-12 00:00:00,,,,16.28,16.51,15.775,,,,0,7,2
2014-05-13 00:00:00,,,,15.78,16.07,15.78,,,,,,
2014-05-14 00:00:00,,,,15.77,16.03,15.53,,,,0,7,2
2014-05-15 00:00:00,,,,15.66,15.99,15.59,,,,,,
2014-05-16 00:00:00,,,,15.66,15.95,15.66,,,,,,
2014-05-19 00:00:00,,,,15.76,16.04,15.73,,,,,,
2014-05-20 00:00:00,,,,16.1,16.16,15.82,,,,0,8,2
2014-05-21 00:00:00,,,,15.93,16.12,15.82,,,,,,
2014-05-22 00:00:00,,,,15.84,16.04,15.8,,,,0,8,2
2014-05-23 00:00:00,,,,16,16.13,15.97,,,,0,8,2
2014-05-27 00:00:00,,,,16.09,16.34,15.79,,,,0,8,2
2014-05-28 00:00:00,,,,16.02,16.02,15.67,,,,0,8,2
2014-05-29 00:00:00,,,,15.73,15.82,15.53,,,,,,
2014-05-30 00:00:00,,,,15.63,15.91,15.63,,,,,,
2014-06-02 00:00:00,,,,15.82,15.94,15.8,,,,,,
2014-06-03 00:00:00,,,,15.75,16.035,15.75,,,,,,
2014-06-04 00:00:00,,,,15.6,15.96,15.58,,,,0,8,2
2014-06-05 00:00:00,,,,16.03,16.68,15.9,,,,,,
2014-06-06 00:00:00,,,,16.76,16.945,16.615,,,,,,
2014-06-09 00:00:00,,,,16.61,16.81,16.37,,,,0,8,2
2014-06-10 00:00:00,,,,16.72,16.99,16.71,,,,0,8,2
2014-06-11 00:00:00,,,,16.73,16.97,16.73,,,,0,8,2
2014-06-12 00:00:00,,,,16.81,16.93,16.68,,,,,,
2014-06-13 00:00:00,,,,16.72,16.86,16.56,,,,,,
2014-06-16 00:00:00,,,,16.66,16.89,16.6,,,,0,8,2
2014-06-17 00:00:00,,,,16.69,16.96,16.65,,,,,,
2014-06-18 00:00:00,,,,16.76,17.12,16.7,,,,0,8,2
2014-06-19 00:00:00,,,,17.01,17.32,17.01,,,,,,
2014-06-20 00:00:00,,,,17.28,17.52,17.15,,,,,,
2014-06-23 00:00:00,,,,17.45,17.77,17.45,,,,,,
2014-06-24 00:00:00,,,,17.66,17.75,17.58,,,,,,
2014-06-25 00:00:00,,,,17.6,17.76,17.52,,,,,,
2014-06-26 00:00:00,,,,17.58,17.67,17.55,,,,,,
2014-06-27 00:00:00,,,,17.61,17.9,17.61,,,,0,8,2
2014-06-30 00:00:00,,,,17.76,17.98,17.64,,,,,,
2014-07-01 00:00:00,,,,17.79,17.97,17.77,,,,,,
2014-07-02 00:00:00,,,,17.75,17.94,17.64,,,,,,
2014-07-03 00:00:00,,,,17.76,17.89,17.68,,,,,,
2014-07-07 00:00:00,,,,17.65,17.77,17.6,,,,,,
2014-07-08 00:00:00,,,,17.6,17.65,17.45,,,,,,
2014-07-09 00:00:00,,,,17.6,17.74,17.57,,,,,,
2014-07-10 00:00:00,,,,17.54,17.87,17.54,,,,0,8,2
2014-07-11 00:00:00,,,,17.81,17.93,17.75,,,,0,8,2
2014-07-14 00:00:00,,,,17.97,18.06,17.84,,,,0,8,2
2014-07-15 00:00:00,,,,17.99,18.08,17.645,,,,,,
2014-07-16 00:00:00,,,,17.71,17.91,17.49,,,,0,8,2
2014-07-17 00:00:00,,,,17.69,18.28,17.69,,,,0,8,2
2014-07-18 00:00:00,,,,17.75,17.75,17.5,,,,0,8,2
2014-07-21 00:00:00,,,,17.65,17.9,17.57,,,,0,8,2
2014-07-22 00:00:00,,,,17.88,17.99,17.83,,,,,,
2014-07-23 00:00:00,,,,17.95,18.02,17.92,,,,0,8,2
2014-07-24 00:00:00,,,,17.92,18.12,17.92,,,,,,
2014-07-25 00:00:00,,,,17.9,18.13,17.78,,,,,,
2014-07-28 00:00:00,,,,17.8,18.04,17.66,,,,,,
2014-07-29 00:00:00,,,,17.93,18.105,17.65,,,,,,
2014-07-30 00:00:00,,,,17.7,17.96,17.48,,,,,,
2014-07-31 00:00:00,,,,17.53,17.96,17.19,,,,0,8,2
2014-08-01 00:00:00,,,,17.2,17.5,17.14,,,,,,
2014-08-04 00:00:00,,,,17.32,17.34,16.99,,,,,,
2014-08-05 00:00:00,,,,17.07,17.24,16.89,,,,,,
2014-08-06 00:00:00,,,,16.92,17.15,16.86,,,,,,
2014-08-07 00:00:00,,,,17.04,17.15,16.77,,,,,,
2014-08-08 00:00:00,,,,16.9,17.345,16.76,,,,0,8,2
2014-08-11 00:00:00,,,,17.35,17.39,17.095,,,,0,8,2
2014-08-12 00:00:00,,,,17.11,17.13,16.94,,,,,,
2014-08-13 00:00:00,,,,17.15,17.23,17.08,,,,,,
2014-08-14 00:00:00,,,,17.15,17.17,17.07,,,,,,
2014-08-15 00:00:00,,,,17.16,17.25,16.86,,,,,,
2014-08-18 00:00:00,,,,17.13,17.5,17.07,,,,,,
2014-08-19 00:00:00,,,,17.35,17.46,17.25,,,,,,
2014-08-20 00:00:00,,,,17.18,17.56,17.11,,,,0,8,2
2014-08-21 00:00:00,,,,17.5,17.53,17.36,,,,,,
2014-08-22 00:00:00,,,,17.42,17.58,17.38,,,,,,
2014-08-25 00:00:00,,,,17.48,17.74,17.47,,,,,,
2014-08-26 00:00:00,,,,17.6,17.665,17.53,,,,,,
2014-08-27 00:00:00,,,,17.58,17.77,17.58,,,,,,
2014-08-28 00:00:00,,,,17.66,17.795,17.56,,,,,,
2014-08-29 00:00:00,,,,17.72,18,17.65,,,,,,
2014-09-02 00:00:00,,,,17.94,18.12,17.88,,,,0,8,2
2014-09-03 00:00:00,,,,18.01,18.08,17.92,,,,0,8,2
2014-09-04 00:00:00,,,,17.96,18.17,17.96,,,,,,
2014-09-05 00:00:00,,,,17.9,18.05,17.635,,,,0,8,2
2014-09-08 00:00:00,,,,17.78,18.04,17.535,,,,,,
2014-09-09 00:00:00,,,,17.62,17.7,17.39,,,,,,
2014-09-10 00:00:00,,,,17.28,17.45,17.19,,,,,,
2014-09-11 00:00:00,,,,17.26,17.515,17.26,,,,,,
2014-09-12 00:00:00,,,,17.36,17.65,17.36,,,,0,8,2
2014-09-15 00:00:00,,,,17.6,17.6,17.21,,,,0,8,2
2014-09-16 00:00:00,,,,17.33,17.59,17.24,,,,,,
2014-09-17 00:00:00,,,,17.5,17.95,17.5,,,,0,8,2
2014-09-18 00:00:00,,,,17.84,17.95,17.81,,,,,,
2014-09-19 00:00:00,,,,17.94,17.95,17.81,,,,,,
2014-09-22 00:00:00,,,,17.79,17.95,17.69,,,,,,
2014-09-23 00:00:00,,,,17.82,17.95,17.57,,,,,,
2014-09-24 00:00:00,,,,17.59,17.91,17.48,,,,,,
2014-09-25 00:00:00,,,,17.83,17.92,17.62,,,,,,
2014-09-26 00:00:00,,,,17.71,17.76,17.55,,,,,,
2014-09-29 00:00:00,,,,17.53,17.85,17.48,,,,0,8,2
2014-09-30 00:00:00,,,,17.64,17.86,17.63,,,,0,8,2
2014-10-01 00:00:00,,,,17.71,17.8,17.42,,,,,,
2014-10-02 00:00:00,,,,17.38,17.57,17.24,,,,,,
2014-10-03 00:00:00,,,,17.45,17.64,17.37,,,,,,
2014-10-06 00:00:00,,,,17.48,17.77,17.41,,,,0,8,2
2014-10-07 00:00:00,,,,17.52,17.66,17.3,,,,0,8,2
2014-10-08 00:00:00,,,,17.27,17.37,16.99,,,,0,8,2
2014-10-09 00:00:00,,,,17.28,17.38,17.1,,,,0,8,2
2014-10-10 00:00:00,,,,17.29,17.48,17.08,,,,,,
2014-10-13 00:00:00,,,,17.58,17.77,17.29,,,,0,9,1
2014-10-14 00:00:00,,,,17.38,17.57,17.38,,,,0,9,1
2014-10-15 00:00:00,,,,17.3,17.6,17.19,,,,0,9,1
2014-10-16 00:00:00,,,,17.19,17.85,17.18,,,,0,9,1
2014-10-17 00:00:00,,,,17.73,18.62,17.71,,,,0,9,1
2014-10-20 00:00:00,,,,18.51,18.92,18.39,,,,,,
2014-10-21 00:00:00,,,,18.85,18.895,18.64,,,,,,
2014-10-22 00:00:00,,,,18.8,19.08,18.49,,,,,,
2014-10-23 00:00:00,,,,18.65,18.905,18.49,,,,,,
2014-10-24 00:00:00,,,,18.75,19.08,18.75,,,,,,
2014-10-27 00:00:00,,,,18.87,18.9,18.7,,,,,,
2014-10-28 00:00:00,,,,18.87,19.09,18.81,,,,,,
2014-10-29 00:00:00,,,,19.01,19.32,18.87,,,,,,
2014-10-30 00:00:00,,,,19.24,19.535,19.16,,,,,,
2014-10-31 00:00:00,,,,19.68,19.86,19.56,,,,,,
2014-11-03 00:00:00,,,,19.73,20.1,19.59,,,,,,
2014-11-04 00:00:00,,,,19.69,19.71,19.39,,,,0,8,2
2014-11-05 00:00:00,,,,19.68,19.73,19.18,,,,,,
2014-11-06 00:00:00,,,,19.72,20.105,19.62,,,,,,
2014-11-07 00:00:00,,,,20.05,20.26,19.91,,,,0,8,2
2014-11-10 00:00:00,,,,20.17,20.35,20.11,,,,,,
2014-11-11 00:00:00,,,,20.18,20.33,20.11,,,,,,
2014-11-12 00:00:00,,,,20.32,20.46,20.055,,,,,,
2014-11-13 00:00:00,,,,20.44,20.78,20.36,,,,0,8,2
2014-11-14 00:00:00,,,,20.75,20.78,20.27,,,,0,8,2
2014-11-17 00:00:00,,,,20.33,20.84,20.32,,,,,,
2014-11-18 00:00:00,,,,20.71,21.055,20.66,,,,,,
2014-11-19 00:00:00,,,,20.54,20.78,20.54,,,,,,
2014-11-20 00:00:00,,,,20.71,20.87,20.62,,,,,,
2014-11-21 00:00:00,,,,20.97,21.22,20.86,,,,0,8,2
2014-11-24 00:00:00,,,,21.18,21.23,20.9,,,,,,
2014-11-25 00:00:00,,,,20.93,21.015,20.86,,,,,,
2014-11-26 00:00:00,,,,20.95,21.005,20.82,,,,,,
2014-11-28 00:00:00,,,,20.99,21.49,20.85,,,,,,
2014-12-01 00:00:00,,,,20.88,21.22,20.74,,,,,,
2014-12-02 00:00:00,,,,21,21.27,20.88,,,,0,8,2
2014-12-03 00:00:00,,,,20.87,21.02,20.525,,,,,,
2014-12-04 00:00:00,,,,20.8,20.96,20.69,,,,,,
2014-12-05 00:00:00,,,,20.85,21.23,20.85,,,,,,
2014-12-08 00:00:00,,,,21.01,21.49,21.01,,,,0,8,2
2014-12-09 00:00:00,,,,21.12,21.49,21.08,,,,,,
2014-12-10 00:00:00,,,,21.49,21.785,21.26,,,,,,
2014-12-11 00:00:00,,,,21.35,21.595,21.25,,,,,,
2014-12-12 00:00:00,,,,21.43,21.68,20.81,,,,,,
2014-12-15 00:00:00,,,,20.98,21.19,20.89,,,,0,8,2
2014-12-16 00:00:00,,,,21.04,21.35,20.87,,,,,,
2014-12-17 00:00:00,,,,20.94,21.27,20.83,,,,,,
2014-12-18 00:00:00,,,,21.39,21.58,21.23,,,,0,8,2
2014-12-19 00:00:00,,,,21.51,22.4,21.51,,,,,,
2014-12-22 00:00:00,,,,22.43,22.64,22.25,,,,,,
2014-12-23 00:00:00,,,,22.71,22.71,22.33,,,,,,
2014-12-24 00:00:00,,,,22.45,22.57,22.16,,,,,,
2014-12-26 00:00:00,,,,22.15,22.19,21.925,,,,,,
2014-12-29 00:00:00,,,,21.99,22.02,21.82,,,,,,
2014-12-30 00:00:00,,,,21.83,22.04,21.83,,,,,,
2014-12-31 00:00:00,,,,22.09,22.25,21.61,,,,,,
2015-01-02 00:00:00,,,,21.71,21.98,21.52,,,,,,
2015-01-05 00:00:00,,,,21.67,21.68,21.04,,,,,,
2015-01-06 00:00:00,,,,21.17,21.32,20.72,,,,,,
2015-01-07 00:00:00,,,,21,21.12,20.66,,,,,,
2015-01-08 00:00:00,,,,21.1,21.5,20.41,,,,0,7,3
2015-01-09 00:00:00,,,,20.56,20.775,20.42,,,,0,7,3
2015-01-12 00:00:00,,,,20.51,20.63,20.02,,,,,,
2015-01-13 00:00:00,,,,20.28,20.57,19.97,,,,,,
2015-01-14 00:00:00,,,,20.1,20.32,19.88,,,,,,
2015-01-15 00:00:00,,,,20.07,20.43,19.87,,,,0,7,3
2015-01-16 00:00:00,,,,20.01,20.21,19.82,,,,,,
2015-01-20 00:00:00,,,,20.24,20.25,19.57,,,,,,
2015-01-21 00:00:00,,,,19.56,20.08,18.82,,,,0,7,3
2015-01-22 00:00:00,,,,20,20.12,19.34,,,,0,6,4
2015-01-23 00:00:00,,,,19.57,20.09,19.345,,,,0,6,4
2015-01-26 00:00:00,,,,19.36,19.62,19.27,,,,0,6,4
2015-01-27 00:00:00,,,,19.43,19.87,19.43,,,,,,
2015-01-28 00:00:00,,,,19.8,19.8,19.45,,,,,,
2015-01-29 00:00:00,,,,19.12,19.58,19.11,,,,,,
2015-01-30 00:00:00,,,,19.38,19.96,19.2,,,,0,6,4
2015-02-02 00:00:00,,,,19.75,20.15,19.57,,,,0,6,4
2015-02-03 00:00:00,,,,20.12,21.1,20.07,,,,,,
2015-02-04 00:00:00,,,,20.93,21.19,20.71,,,,0,6,4
2015-02-05 00:00:00,,,,20.95,21.38,20.81,,,,,,
2015-02-06 00:00:00,,,,21.38,21.455,21.18,,,,0,6,4
2015-02-09 00:00:00,,,,21.19,21.71,21.19,,,,,,
2015-02-10 00:00:00,,,,21.6,21.705,21.35,,,,0,6,5
2015-02-11 00:00:00,,,,21.57,22.05,21.43,,,,,,
2015-02-12 00:00:00,,,,21.95,22.28,21.81,,,,0,6,5
2015-02-13 00:00:00,,,,22.07,22.4,21.94,,,,,,
2015-02-17 00:00:00,,,,22.27,22.36,21.93,,,,,,
2015-02-18 00:00:00,,,,21.92,22.03,21.57,,,,,,
2015-02-19 00:00:00,,,,21.64,21.735,21.39,,,,,,
2015-02-20 00:00:00,,,,21.66,21.86,21.4,,,,,,
2015-02-23 00:00:00,,,,21.63,21.82,21.46,,,,,,
2015-02-24 00:00:00,,,,21.76,21.98,21.68,,,,,,
