Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,9.0781,9.875,9.0781,,,,0,10,0
2000-05-02 00:00:00,,,,9.7656,9.9531,9.6875,,,,,,
2000-05-03 00:00:00,,,,9.9531,9.9688,9.1094,,,,,,
2000-05-04 00:00:00,,,,9.2969,9.9063,9.1719,,,,,,
2000-05-05 00:00:00,,,,9.9219,9.9688,9.6094,,,,,,
2000-05-08 00:00:00,,,,9.6719,9.9844,9.5469,,,,,,
2000-05-09 00:00:00,,,,9.75,9.9063,9.5625,,,,,,
2000-05-10 00:00:00,,,,9.7969,9.9375,9.6406,,,,,,
2000-05-11 00:00:00,,,,9.9375,10.5,9.9375,,,,,,
2000-05-12 00:00:00,,,,10.4688,10.5938,9.8438,,,,,,
2000-05-15 00:00:00,,,,10.2656,10.2656,9.9375,,,,,,
2000-05-16 00:00:00,,,,10.1094,10.1094,9.7188,,,,0,10,0
2000-05-17 00:00:00,,,,9.8281,10.1406,9.7813,,,,,,
2000-05-18 00:00:00,,,,10.125,10.2344,10,,,,0,10,0
2000-05-19 00:00:00,,,,9.75,9.875,9.75,,,,0,10,0
2000-05-22 00:00:00,,,,9.9375,10.0469,9.6094,,,,,,
2000-05-23 00:00:00,,,,9.6875,9.9844,9.6719,,,,0,10,0
2000-05-24 00:00:00,,,,9.7188,9.7188,9.3906,,,,,,
2000-05-25 00:00:00,,,,9.5156,9.5313,9.2969,,,,,,
2000-05-26 00:00:00,,,,9.4688,9.625,9.375,,,,,,
2000-05-30 00:00:00,,,,9.4688,9.5625,9.4531,,,,,,
2000-05-31 00:00:00,,,,9.4844,9.8281,9.4844,,,,0,10,0
2000-06-01 00:00:00,,,,9.875,9.8906,9.375,,,,0,10,0
2000-06-02 00:00:00,,,,9.6875,9.9063,9.3281,,,,,,
2000-06-05 00:00:00,,,,9.4063,9.5625,8.9375,,,,0,10,0
2000-06-06 00:00:00,,,,9.1094,9.4688,9.0781,,,,0,10,0
2000-06-07 00:00:00,,,,9.4063,9.4219,8.9063,,,,,,
2000-06-08 00:00:00,,,,9.3438,9.7031,9.3438,,,,,,
2000-06-09 00:00:00,,,,9.5,9.5781,9.3594,,,,,,
2000-06-12 00:00:00,,,,9.4844,9.7656,9.4844,,,,,,
2000-06-13 00:00:00,,,,9.7188,9.75,9.4375,,,,,,
2000-06-14 00:00:00,,,,9.5156,9.75,9.4375,,,,,,
2000-06-15 00:00:00,,,,9.4688,9.75,9.125,,,,,,
2000-06-16 00:00:00,,,,9.0938,9.7813,9.0938,,,,,,
2000-06-19 00:00:00,,,,9.6875,9.7813,9.25,,,,0,9,0
2000-06-20 00:00:00,,,,9.2969,9.5781,9.2813,,,,,,
2000-06-21 00:00:00,,,,9.5469,9.7656,9.3438,,,,,,
2000-06-22 00:00:00,,,,9.75,9.9063,9.2969,,,,,,
2000-06-23 00:00:00,,,,9.4688,9.8438,9.4688,,,,,,
2000-06-26 00:00:00,,,,9.7031,9.7656,9.5,,,,,,
2000-06-27 00:00:00,,,,9.5625,9.7031,9.3281,,,,,,
2000-06-28 00:00:00,,,,9.5156,9.5469,9.2031,,,,,,
2000-06-29 00:00:00,,,,9.4844,9.8594,9.4219,,,,,,
2000-06-30 00:00:00,,,,9.7813,9.8125,9.25,,,,0,9,0
2000-07-03 00:00:00,,,,9.3125,9.5625,9.3125,,,,,,
2000-07-05 00:00:00,,,,9.4375,9.4375,8.4688,,,,0,9,0
2000-07-06 00:00:00,,,,8.5313,8.9375,8.5313,,,,,,
2000-07-07 00:00:00,,,,8.5781,8.7188,8.4531,,,,,,
2000-07-10 00:00:00,,,,8.5938,8.875,8.5,,,,,,
2000-07-11 00:00:00,,,,8.5781,8.9688,8.5781,,,,,,
2000-07-12 00:00:00,,,,8.9219,9,8.6875,,,,,,
2000-07-13 00:00:00,,,,8.7813,8.7969,8.5,,,,,,
2000-07-14 00:00:00,,,,8.6406,8.6563,8.4063,,,,,,
2000-07-17 00:00:00,,,,8.5313,8.75,8.5313,,,,,,
2000-07-18 00:00:00,,,,8.6719,8.9375,8.6719,,,,,,
2000-07-19 00:00:00,,,,8.8906,8.9531,8.75,,,,,,
2000-07-20 00:00:00,,,,8.7656,8.7813,8.3281,,,,,,
2000-07-21 00:00:00,,,,8.4375,8.4531,8.0313,,,,,,
2000-07-24 00:00:00,,,,8.0625,8.0938,7.7031,,,,,,
