Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,5.4297,5.8906,5.4297,,,,0,9,0
2000-05-02 00:00:00,,,,5.7891,5.7891,5.5781,,,,,,
2000-05-03 00:00:00,,,,5.4063,5.4609,5.2188,,,,,,
2000-05-04 00:00:00,,,,5.375,5.5,5.3125,,,,0,9,0
2000-05-05 00:00:00,,,,5.3438,5.4141,5.2188,,,,0,8,0
2000-05-08 00:00:00,,,,5.3438,5.4844,5.3281,,,,,,
2000-05-09 00:00:00,,,,5.3516,5.4297,5.2813,,,,0,8,0
2000-05-10 00:00:00,,,,5.3125,5.3281,5.2031,,,,,,
2000-05-11 00:00:00,,,,5.2813,5.3438,5.2578,,,,,,
2000-05-12 00:00:00,,,,5.25,5.3516,5.2188,,,,,,
2000-05-15 00:00:00,,,,5.3594,5.5547,5.2813,,,,0,8,0
2000-05-16 00:00:00,,,,5.4844,5.5938,5.4688,,,,,,
2000-05-17 00:00:00,,,,5.4531,5.4609,5.1406,,,,0,8,0
2000-05-18 00:00:00,,,,5.1719,5.2578,5.0313,,,,0,8,0
2000-05-19 00:00:00,,,,4.9766,5.0234,4.7969,,,,,,
2000-05-22 00:00:00,,,,5,5.1406,4.8906,,,,,,
2000-05-23 00:00:00,,,,4.9688,5.2109,4.7344,,,,0,8,0
2000-05-24 00:00:00,,,,5.25,5.5938,5.25,,,,,,
2000-05-25 00:00:00,,,,5.4688,5.4922,5.3984,,,,,,
2000-05-26 00:00:00,,,,5.4375,5.5313,5.3906,,,,,,
2000-05-30 00:00:00,,,,5.4375,5.5469,5.2109,,,,,,
2000-05-31 00:00:00,,,,5.5156,5.5156,5.0781,,,,,,
2000-06-01 00:00:00,,,,5.3906,5.4297,5.3359,,,,0,9,0
2000-06-02 00:00:00,,,,5.5469,5.5938,5.4844,,,,,,
2000-06-05 00:00:00,,,,5.5313,5.6094,5.4688,,,,,,
2000-06-06 00:00:00,,,,5.5,5.5,5.1875,,,,,,
2000-06-07 00:00:00,,,,5.25,5.5,5.1797,,,,,,
2000-06-08 00:00:00,,,,5.3125,5.375,5.25,,,,,,
2000-06-09 00:00:00,,,,5.3359,5.375,5.125,,,,,,
2000-06-12 00:00:00,,,,4.8906,5.0625,4.625,,,,,,
2000-06-13 00:00:00,,,,5.0547,5.0625,4.75,,,,,,
2000-06-14 00:00:00,,,,4.875,4.9766,4.8672,,,,,,
2000-06-15 00:00:00,,,,4.9375,4.9375,4.7031,,,,0,9,0
2000-06-16 00:00:00,,,,4.7578,4.7656,4.625,,,,0,9,0
2000-06-19 00:00:00,,,,4.7344,4.7813,4.5156,,,,,,
2000-06-20 00:00:00,,,,4.5625,4.5625,4.3984,,,,,,
2000-06-21 00:00:00,,,,4.4297,4.5078,4.4063,,,,,,
2000-06-22 00:00:00,,,,4.4219,4.4297,4.3516,,,,,,
2000-06-23 00:00:00,,,,4.4297,4.6797,4.4219,,,,,,
2000-06-26 00:00:00,,,,4.75,5,4.7188,,,,0,9,0
2000-06-27 00:00:00,,,,5.0078,5.0234,4.9375,,,,,,
2000-06-28 00:00:00,,,,5.0078,5.125,4.8438,,,,,,
2000-06-29 00:00:00,,,,4.875,5.0859,4.7266,,,,,,
2000-06-30 00:00:00,,,,4.9531,4.9766,4.8047,,,,0,9,0
2000-07-03 00:00:00,,,,5.125,5.1406,4.9766,,,,,,
2000-07-05 00:00:00,,,,5.0547,5.1172,4.9922,,,,,,
2000-07-06 00:00:00,,,,5.0625,5.1406,4.9688,,,,,,
2000-07-07 00:00:00,,,,5.1172,5.3125,5.0625,,,,0,9,0
2000-07-10 00:00:00,,,,5.2891,5.3047,5.1719,,,,,,
2000-07-11 00:00:00,,,,5.25,5.4531,5.1719,,,,,,
2000-07-12 00:00:00,,,,5.3828,5.4063,5.2813,,,,,,
2000-07-13 00:00:00,,,,5.3359,5.5703,5.3203,,,,,,
2000-07-14 00:00:00,,,,5.5234,5.5469,5.1563,,,,,,
2000-07-17 00:00:00,,,,5.5156,5.6797,5.4375,,,,,,
2000-07-18 00:00:00,,,,5.6406,5.6719,5.3984,,,,,,
2000-07-19 00:00:00,,,,5.5859,5.6172,5.4766,,,,,,
2000-07-20 00:00:00,,,,5.5234,5.6172,5.5078,,,,,,
2000-07-21 00:00:00,,,,5.5859,5.6094,5.5313,,,,,,
2000-07-24 00:00:00,,,,5.6172,5.8203,5.6016,,,,,,
2000-07-25 00:00:00,,,,5.8125,5.8594,5.6406,,,,,,
2000-07-26 00:00:00,,,,5.7813,5.9688,5.7266,,,,,,
2000-07-27 00:00:00,,,,5.8906,5.9141,5.625,,,,,,
2000-07-28 00:00:00,,,,5.7422,5.75,5.4141,,,,,,
2000-07-31 00:00:00,,,,5.4922,5.5547,5.3594,,,,,,
2000-08-01 00:00:00,,,,5.4688,5.6719,5.4688,,,,0,9,0
2000-08-02 00:00:00,,,,5.5703,5.7344,5.5234,,,,,,
2000-08-03 00:00:00,,,,5.5625,5.8125,5.5625,,,,,,
2000-08-04 00:00:00,,,,5.6563,5.7578,5.5469,,,,,,
2000-08-07 00:00:00,,,,5.7734,5.7813,5.6797,,,,,,
2000-08-08 00:00:00,,,,5.75,6,5.75,,,,,,
2000-08-09 00:00:00,,,,6.0625,6.0625,5.9141,,,,,,
2000-08-10 00:00:00,,,,6,6.0469,5.8359,,,,,,
2000-08-11 00:00:00,,,,5.8516,6,5.8203,,,,,,
2000-08-14 00:00:00,,,,5.8281,5.9844,5.8203,,,,,,
2000-08-15 00:00:00,,,,5.9141,5.9219,5.7344,,,,,,
2000-08-16 00:00:00,,,,5.8516,5.9766,5.8516,,,,,,
2000-08-17 00:00:00,,,,5.875,5.9922,5.8594,,,,0,9,0
2000-08-18 00:00:00,,,,5.9688,5.9688,5.8672,,,,,,
2000-08-21 00:00:00,,,,5.9609,5.9609,5.6875,,,,,,
2000-08-22 00:00:00,,,,5.6094,5.6094,5.1797,,,,,,
2000-08-23 00:00:00,,,,5.1406,5.1719,5.0234,,,,0,9,0
2000-08-24 00:00:00,,,,5.0313,5.375,5.0313,,,,,,
2000-08-25 00:00:00,,,,5.1875,5.3516,5.1875,,,,,,
2000-08-28 00:00:00,,,,5.25,5.2734,5.0625,,,,,,
2000-08-29 00:00:00,,,,5.125,5.3438,5.1016,,,,,,
2000-08-30 00:00:00,,,,5.25,5.2578,5.0938,,,,,,
