Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,76.5,77,70.0313,,,,0,6,0
2000-05-02 00:00:00,,,,68.25,72,64.875,,,,0,6,0
2000-05-03 00:00:00,,,,62.25,68,61.5,,,,,,
2000-05-04 00:00:00,,,,67.875,71.5,64.625,,,,,,
2000-05-05 00:00:00,,,,65,71.6875,64.375,,,,0,6,0
2000-05-08 00:00:00,,,,65.6875,68.1875,62.75,,,,,,
2000-05-09 00:00:00,,,,65.125,67,61.5,,,,,,
2000-05-10 00:00:00,,,,64,66.3125,57.75,,,,,,
2000-05-11 00:00:00,,,,61.4844,62.625,55.5,,,,,,
2000-05-12 00:00:00,,,,60,62.5,57.25,,,,,,
2000-05-15 00:00:00,,,,58.8906,66.5,58.75,,,,,,
2000-05-16 00:00:00,,,,69.75,73.75,66.5,,,,,,
2000-05-17 00:00:00,,,,69,72.625,68.375,,,,0,6,0
2000-05-18 00:00:00,,,,70.125,71.5,66.7188,,,,0,6,0
2000-05-19 00:00:00,,,,65.875,71,65,,,,0,6,0
2000-05-22 00:00:00,,,,63.875,65.5,56,,,,,,
2000-05-23 00:00:00,,,,64,67,58,,,,,,
2000-05-24 00:00:00,,,,58.0625,66,48.75,,,,,,
2000-05-25 00:00:00,,,,62.5625,69.5,58,,,,,,
2000-05-26 00:00:00,,,,61.25,63,56.0625,,,,,,
2000-05-30 00:00:00,,,,60.3125,67.25,59.5,,,,,,
2000-05-31 00:00:00,,,,65.25,70.3125,63.125,,,,0,6,0
2000-06-01 00:00:00,,,,67.375,70,66.5625,,,,,,
2000-06-02 00:00:00,,,,73,76.75,71,,,,,,
2000-06-05 00:00:00,,,,71.375,78.4375,71.375,,,,,,
2000-06-06 00:00:00,,,,77.75,79.375,73.75,,,,,,
2000-06-07 00:00:00,,,,73.8125,78.375,72.1875,,,,,,
2000-06-08 00:00:00,,,,79.75,85.6875,79.5,,,,,,
2000-06-09 00:00:00,,,,85.875,90.6875,84.25,,,,,,
2000-06-12 00:00:00,,,,86.5625,86.5625,78,,,,,,
2000-06-13 00:00:00,,,,77.75,86.25,76.8125,,,,,,
2000-06-14 00:00:00,,,,88.125,88.875,75.4375,,,,0,6,0
2000-06-15 00:00:00,,,,78.375,82,75.6875,,,,0,6,0
2000-06-16 00:00:00,,,,82.625,82.6875,79.125,,,,,,
2000-06-19 00:00:00,,,,80.5,86,78.375,,,,,,
2000-06-20 00:00:00,,,,87.875,88.5,84.9375,,,,,,
2000-06-21 00:00:00,,,,84.75,89,84.5,,,,,,
2000-06-22 00:00:00,,,,87.75,88.4375,82,,,,,,
2000-06-23 00:00:00,,,,83.5,84.5,76,,,,,,
2000-06-26 00:00:00,,,,81,83,77.875,,,,,,
2000-06-27 00:00:00,,,,84.6875,86.25,82.5,,,,,,
2000-06-28 00:00:00,,,,83.5,83.875,81,,,,0,6,0
2000-06-29 00:00:00,,,,80.9375,81.5625,77,,,,,,
2000-06-30 00:00:00,,,,78.75,81.1875,77.5,,,,,,
2000-07-03 00:00:00,,,,80.0625,83.1875,80,,,,,,
2000-07-05 00:00:00,,,,82.25,82.875,77.5,,,,,,
2000-07-06 00:00:00,,,,78,78.25,72.5,,,,,,
2000-07-07 00:00:00,,,,79.5,84.5,77.625,,,,,,
2000-07-10 00:00:00,,,,81.375,82.9375,79.5,,,,,,
2000-07-11 00:00:00,,,,80.5,84.875,80.25,,,,,,
2000-07-12 00:00:00,,,,84.5,90.125,84.5,,,,,,
2000-07-13 00:00:00,,,,92.1875,97.875,92,,,,,,
2000-07-14 00:00:00,,,,97.125,97.5,94,,,,,,
2000-07-17 00:00:00,,,,98.125,103.5,96.4375,,,,,,
2000-07-18 00:00:00,,,,100.25,101.6875,98.5,,,,,,
2000-07-19 00:00:00,,,,99.0625,104.75,98.5,,,,0,7,0
2000-07-20 00:00:00,,,,101.4375,113.0625,101.4375,,,,,,
2000-07-21 00:00:00,,,,107.375,112,105.75,,,,,,
2000-07-24 00:00:00,,,,111.25,111.75,101.125,,,,,,
2000-07-25 00:00:00,,,,103.75,108.5,100.625,,,,,,
2000-07-26 00:00:00,,,,106.5625,109.3125,100.0625,,,,,,
2000-07-27 00:00:00,,,,101.3125,101.375,91.125,,,,,,
2000-07-28 00:00:00,,,,95.75,97.375,84.9375,,,,,,
2000-07-31 00:00:00,,,,86.0625,89.6875,76.5,,,,,,
2000-08-01 00:00:00,,,,85.0625,86.5,82,,,,,,
2000-08-02 00:00:00,,,,81.0625,83,75.25,,,,,,
2000-08-03 00:00:00,,,,72.125,80.125,69.6875,,,,,,
2000-08-04 00:00:00,,,,83.5,86.5,81.75,,,,,,
2000-08-07 00:00:00,,,,85.75,90.25,84.0625,,,,,,
2000-08-08 00:00:00,,,,91.625,94.5,87.75,,,,0,7,0
2000-08-09 00:00:00,,,,94.875,94.875,90,,,,,,
2000-08-10 00:00:00,,,,89,91.5,84.75,,,,,,
2000-08-11 00:00:00,,,,84.25,89.2344,82.0625,,,,,,
2000-08-14 00:00:00,,,,93.125,93.1875,88.125,,,,0,7,0
2000-08-15 00:00:00,,,,83.9688,87,83.5,,,,0,7,0
2000-08-16 00:00:00,,,,84.9375,89.75,84.8125,,,,,,
2000-08-17 00:00:00,,,,87.0625,97.125,86.75,,,,,,
2000-08-18 00:00:00,,,,95.7344,96.1875,90.125,,,,,,
2000-08-21 00:00:00,,,,95,98.75,93.9375,,,,,,
2000-08-22 00:00:00,,,,96.875,97.9375,93.625,,,,,,
2000-08-23 00:00:00,,,,94.9375,100.625,94,,,,,,
2000-08-24 00:00:00,,,,100.8594,102.0625,98.3125,,,,,,
2000-08-25 00:00:00,,,,102,104.4375,98.75,,,,,,
2000-08-28 00:00:00,,,,102.75,105.125,100.0625,,,,,,
2000-08-29 00:00:00,,,,105.5625,110.375,104.5,,,,,,
2000-08-30 00:00:00,,,,109.875,112.375,108.25,,,,,,
2000-08-31 00:00:00,,,,113.5,119.4375,112.125,,,,,,
2000-09-01 00:00:00,,,,119.875,119.875,112.75,,,,,,
2000-09-05 00:00:00,,,,117.5,117.5625,112.25,,,,,,
2000-09-06 00:00:00,,,,111.3906,111.75,101.5,,,,0,7,0
2000-09-07 00:00:00,,,,105.125,117.5,104.875,,,,,,
2000-09-08 00:00:00,,,,115.875,119.5,110.25,,,,,,
2000-09-11 00:00:00,,,,113,118.75,108.75,,,,,,
2000-09-12 00:00:00,,,,114,115.25,108.1875,,,,0,7,0
2000-09-13 00:00:00,,,,105.9375,113.8125,105.5625,,,,,,
2000-09-14 00:00:00,,,,114.3125,118.25,113.6875,,,,,,
2000-09-15 00:00:00,,,,118.5,118.875,111.5625,,,,,,
2000-09-18 00:00:00,,,,119.625,129,119.5625,,,,,,
2000-09-19 00:00:00,,,,125,130.5,122,,,,,,
2000-09-20 00:00:00,,,,129.375,143.1875,127.5625,,,,0,8,0
2000-09-21 00:00:00,,,,137.875,139.6875,134.75,,,,0,8,0
2000-09-22 00:00:00,,,,128.25,147.5,127.625,,,,0,8,0
2000-09-25 00:00:00,,,,143.0625,148.25,130.1875,,,,0,9,0
2000-09-26 00:00:00,,,,132.5,137.75,125.6875,,,,,,
2000-09-27 00:00:00,,,,131.5,134.1875,126.3125,,,,,,
2000-09-28 00:00:00,,,,127.5,138,125.25,,,,,,
2000-09-29 00:00:00,,,,137,138,125.375,,,,,,
2000-10-02 00:00:00,,,,129.9375,131.375,118.125,,,,,,
2000-10-03 00:00:00,,,,126.1875,131.125,118.9375,,,,,,
2000-10-04 00:00:00,,,,117.25,120.625,112.125,,,,,,
2000-10-05 00:00:00,,,,117,124.5,116.375,,,,,,
2000-10-06 00:00:00,,,,119.625,123.5,112.75,,,,0,10,0
2000-10-09 00:00:00,,,,117.25,123,110.5,,,,0,10,0
2000-10-10 00:00:00,,,,118.8125,124.5,114,,,,,,
2000-10-11 00:00:00,,,,111.375,124.3594,111.3125,,,,,,
2000-10-12 00:00:00,,,,124.4375,125,113.5,,,,,,
2000-10-13 00:00:00,,,,113.375,122.4375,111.125,,,,,,
2000-10-16 00:00:00,,,,122,137.4375,121,,,,,,
2000-10-17 00:00:00,,,,137.5,140.125,130.5,,,,,,
2000-10-18 00:00:00,,,,128.125,136.3125,126,,,,,,
2000-10-19 00:00:00,,,,138,146.1875,133.5,,,,,,
2000-10-20 00:00:00,,,,143.9375,152.75,142.375,,,,,,
2000-10-23 00:00:00,,,,141.8594,143.375,134,,,,0,10,0
2000-10-24 00:00:00,,,,141.3125,144.75,130.5,,,,,,
2000-10-25 00:00:00,,,,129.875,131.9375,118.5,,,,,,
2000-10-26 00:00:00,,,,120.375,123,102.375,,,,,,
2000-10-27 00:00:00,,,,121.375,127.5,114.625,,,,,,
2000-10-30 00:00:00,,,,119.8125,122.375,104.875,,,,,,
2000-10-31 00:00:00,,,,107.25,120.3125,106.25,,,,,,
2000-11-01 00:00:00,,,,116.25,116.4375,107.625,,,,,,
2000-11-02 00:00:00,,,,114.375,114.75,104.0625,,,,0,10,0
2000-11-03 00:00:00,,,,109.875,110.625,103.75,,,,,,
2000-11-06 00:00:00,,,,109.5625,116.6094,108.25,,,,0,11,0
2000-11-07 00:00:00,,,,110.3125,121.75,110,,,,,,
2000-11-08 00:00:00,,,,121.9375,123.1875,106.875,,,,,,
2000-11-09 00:00:00,,,,102.9375,104.125,90,,,,,,
2000-11-10 00:00:00,,,,92.0625,96.5,88.75,,,,0,11,0
2000-11-13 00:00:00,,,,81.625,90.4844,78.5,,,,0,11,0
2000-11-14 00:00:00,,,,93,98,88.75,,,,0,11,0
2000-11-15 00:00:00,,,,77.3125,82.375,73.125,,,,0,11,0
2000-11-16 00:00:00,,,,75.375,80.125,72.5,,,,0,12,0
2000-11-17 00:00:00,,,,73.375,74.5,64,,,,0,12,0
2000-11-20 00:00:00,,,,61.75,71,61,,,,0,12,0
2000-11-21 00:00:00,,,,66.25,68,60.5,,,,,,
2000-11-22 00:00:00,,,,60.25,64.25,56.125,,,,,,
2000-11-24 00:00:00,,,,61.125,63,59.25,,,,,,
2000-11-27 00:00:00,,,,65,65.9375,53,,,,0,13,0
2000-11-28 00:00:00,,,,54.5,57,50,,,,0,13,0
2000-11-29 00:00:00,,,,52.625,52.875,46,,,,,,
2000-11-30 00:00:00,,,,46.625,52,44.75,,,,,,
2000-12-01 00:00:00,,,,51.25,59.875,50.75,,,,0,13,0
2000-12-04 00:00:00,,,,53.6875,60.3125,52.0625,,,,,,
2000-12-05 00:00:00,,,,62.6875,82,61.625,,,,0,13,0
2000-12-06 00:00:00,,,,78,86.375,74.5,,,,0,13,0
2000-12-07 00:00:00,,,,73,79.375,71.875,,,,,,
2000-12-08 00:00:00,,,,83.6875,88.5625,83,,,,,,
2000-12-11 00:00:00,,,,88.0625,89.5625,81.25,,,,,,
2000-12-12 00:00:00,,,,82.75,84.8594,79.875,,,,,,
2000-12-13 00:00:00,,,,85.75,85.8125,72.5,,,,,,
2000-12-14 00:00:00,,,,73.9375,74.5,67,,,,,,
2000-12-15 00:00:00,,,,66.875,68,61.0625,,,,,,
2000-12-18 00:00:00,,,,66.75,70.25,64.25,,,,,,
2000-12-19 00:00:00,,,,66.375,74.3125,60,,,,,,
2000-12-20 00:00:00,,,,54.875,59,51.25,,,,,,
2000-12-21 00:00:00,,,,53.3125,63.25,53,,,,,,
2000-12-22 00:00:00,,,,60.625,69.75,60.1875,,,,,,
2000-12-26 00:00:00,,,,70.125,73.375,62.5625,,,,,,
2000-12-27 00:00:00,,,,67.375,73.25,65.5,,,,,,
2000-12-28 00:00:00,,,,70.0625,74.9375,69.625,,,,,,
2000-12-29 00:00:00,,,,73.0625,73.25,62.25,,,,,,
2001-01-02 00:00:00,,,,57.6875,58.25,48.5,,,,0,13,0
2001-01-03 00:00:00,,,,48.8125,67.75,47.0625,,,,,,
2001-01-04 00:00:00,,,,60.7656,67.2344,60.5,,,,,,
