Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.7083,7.875,7.4844,,,,0,2,0
2000-05-02 00:00:00,,,,7.6667,8.1146,7.1563,,,,,,
2000-05-03 00:00:00,,,,7.3229,7.5625,6.6667,,,,,,
2000-05-04 00:00:00,,,,7.2344,7.6458,7.1719,,,,,,
2000-05-05 00:00:00,,,,7.3073,7.8542,7.2083,,,,,,
2000-05-08 00:00:00,,,,7.4792,7.75,7.3854,,,,,,
2000-05-09 00:00:00,,,,7.5208,7.5833,7.0833,,,,,,
2000-05-10 00:00:00,,,,7.2188,7.224,6.5104,,,,,,
2000-05-11 00:00:00,,,,6.6667,6.974,6.5781,,,,0,2,0
2000-05-12 00:00:00,,,,7.0417,7.4167,6.6458,,,,,,
2000-05-15 00:00:00,,,,6.6146,7.2188,6.2917,,,,,,
2000-05-16 00:00:00,,,,7.4167,8.0573,7.3333,,,,,,
2000-05-17 00:00:00,,,,8.25,9.5521,8.2448,,,,0,2,0
2000-05-18 00:00:00,,,,9.2604,9.4115,8.526,,,,,,
2000-05-19 00:00:00,,,,8.3333,8.7917,8.2708,,,,,,
2000-05-22 00:00:00,,,,8.4167,9.0625,7.6719,,,,,,
2000-05-23 00:00:00,,,,8.8333,9.8281,8.6875,,,,,,
2000-05-24 00:00:00,,,,8.9792,9.125,7.6875,,,,,,
2000-05-25 00:00:00,,,,9.0052,9.5417,8.6406,,,,,,
2000-05-26 00:00:00,,,,8.7943,9.0365,8.25,,,,,,
2000-05-30 00:00:00,,,,9.0313,9.3854,8.9896,,,,,,
2000-05-31 00:00:00,,,,9.125,9.6667,9.125,,,,,,
2000-06-01 00:00:00,,,,9.7917,9.8802,9.5313,,,,,,
2000-06-02 00:00:00,,,,9.9792,11.0833,9.9792,,,,,,
2000-06-05 00:00:00,,,,10.9479,11.75,10.5104,,,,,,
2000-06-06 00:00:00,,,,11.2396,11.6563,10.5833,,,,,,
2000-06-07 00:00:00,,,,10.5625,10.651,10.0104,,,,,,
2000-06-08 00:00:00,,,,10.4271,10.4375,9.8333,,,,0,2,0
2000-06-09 00:00:00,,,,10.4375,11,10.2813,,,,,,
2000-06-12 00:00:00,,,,10.5833,10.6719,10.0208,,,,,,
2000-06-13 00:00:00,,,,9.9688,10.5833,9.9167,,,,,,
2000-06-14 00:00:00,,,,10.776,10.8333,10.4284,,,,,,
2000-06-15 00:00:00,,,,10.5365,10.8438,9.9688,,,,,,
2000-06-16 00:00:00,,,,10.8047,12.5,10.8021,,,,,,
2000-06-19 00:00:00,,,,12.4479,14.2708,12.1354,,,,,,
2000-06-20 00:00:00,,,,13.4896,13.6458,12.9167,,,,,,
2000-06-21 00:00:00,,,,12.8802,14.6667,12.8802,,,,,,
2000-06-22 00:00:00,,,,14.349,14.6458,13.4896,,,,,,
2000-06-23 00:00:00,,,,13.2604,13.4271,12.3333,,,,,,
2000-06-26 00:00:00,,,,12.5833,13.9063,12.3854,,,,,,
2000-06-27 00:00:00,,,,13.7083,13.9375,11.5104,,,,0,3,0
2000-06-28 00:00:00,,,,12.125,12.5833,11.0833,,,,,,
2000-06-29 00:00:00,,,,11.2188,11.2188,9.5833,,,,0,3,0
2000-06-30 00:00:00,,,,10.2292,10.7708,9.7292,,,,,,
2000-07-03 00:00:00,,,,10.6667,11,10.0833,,,,,,
2000-07-05 00:00:00,,,,10.1458,10.1667,8.7917,,,,,,
2000-07-06 00:00:00,,,,9.1042,9.9792,8.8854,,,,,,
2000-07-07 00:00:00,,,,10,10.1667,9.5,,,,,,
2000-07-10 00:00:00,,,,9.5313,10.4375,9.4375,,,,,,
2000-07-11 00:00:00,,,,10.0625,11.5417,9.9479,,,,,,
2000-07-12 00:00:00,,,,11.4792,11.9063,11.1146,,,,,,
2000-07-13 00:00:00,,,,11.5729,12.4583,11.5521,,,,,,
2000-07-14 00:00:00,,,,12.6458,12.8854,12,,,,,,
2000-07-17 00:00:00,,,,12.4896,12.5,12.125,,,,,,
2000-07-18 00:00:00,,,,11.5,12.5,11.5,,,,,,
2000-07-19 00:00:00,,,,11.5,11.5833,10.9271,,,,,,
2000-07-20 00:00:00,,,,11.1563,11.75,11.125,,,,,,
2000-07-21 00:00:00,,,,11.5,11.8333,11.3333,,,,,,
2000-07-24 00:00:00,,,,11.625,11.7083,10.1667,,,,,,
2000-07-25 00:00:00,,,,10.7917,10.875,10.2083,,,,,,
2000-07-26 00:00:00,,,,10.2292,10.2292,9.1875,,,,,,
2000-07-27 00:00:00,,,,9.1667,9.2917,8.6667,,,,,,
2000-07-28 00:00:00,,,,8.8333,9.6563,8.3333,,,,0,3,0
2000-07-31 00:00:00,,,,9.5,10.0208,9,,,,,,
2000-08-01 00:00:00,,,,10,10.0833,9.7292,,,,,,
2000-08-02 00:00:00,,,,9.6667,10.1615,9.5104,,,,,,
2000-08-03 00:00:00,,,,9,10.6667,9,,,,,,
2000-08-04 00:00:00,,,,10.6875,10.8333,10.4583,,,,,,
2000-08-07 00:00:00,,,,10.6979,11.5521,10.6563,,,,,,
2000-08-08 00:00:00,,,,11.2083,11.8333,11.1667,,,,,,
2000-08-09 00:00:00,,,,11.3542,11.4271,10.7188,,,,,,
2000-08-10 00:00:00,,,,10.625,11.25,10.4167,,,,,,
2000-08-11 00:00:00,,,,11.0208,11.1042,10.2292,,,,,,
2000-08-14 00:00:00,,,,10.875,10.9792,10.5,,,,0,3,0
2000-08-15 00:00:00,,,,10.8958,12.0833,10.8646,,,,,,
2000-08-16 00:00:00,,,,12.5104,12.5104,11.8021,,,,0,3,0
2000-08-17 00:00:00,,,,12,12.4583,11.9583,,,,,,
2000-08-18 00:00:00,,,,12.3438,12.9792,12.3229,,,,,,
2000-08-21 00:00:00,,,,13.3021,13.5313,12.8333,,,,0,3,0
2000-08-22 00:00:00,,,,12.3542,12.625,11.6875,,,,0,3,0
2000-08-23 00:00:00,,,,11.6146,12.5104,11.375,,,,,,
2000-08-24 00:00:00,,,,12.4167,12.9479,12.1875,,,,,,
2000-08-25 00:00:00,,,,12.6875,12.9583,12.4375,,,,,,
2000-08-28 00:00:00,,,,12.5625,13.1667,12.4167,,,,,,
2000-08-29 00:00:00,,,,13.0521,13.0833,12.8333,,,,,,
