Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,1,0
2013-05-29 00:00:00,,,,,,,,,,0,2,0
2013-06-14 00:00:00,,,,,,,,,,0,3,0
2013-06-19 00:00:00,,,,15.28,16.25,15.2,,,,0,3,0
2013-06-20 00:00:00,,,,16.37,16.37,15.25,,,,1,4,1
2013-06-21 00:00:00,,,,15.7,15.8,15.4,,,,1,4,1
2013-06-24 00:00:00,,,,15.64,15.84,15.2,,,,,,
2013-06-25 00:00:00,,,,15.55,15.74,15.36,,,,,,
2013-06-26 00:00:00,,,,15.69,15.69,15.21,,,,,,
2013-06-27 00:00:00,,,,15.34,15.85,14.85,,,,1,5,1
2013-06-28 00:00:00,,,,15.5,15.77,15.25,,,,,,
2013-07-01 00:00:00,,,,15.59,15.59,14.75,,,,1,6,3
2013-07-02 00:00:00,,,,14.69,15.11,14.69,,,,1,7,2
2013-07-03 00:00:00,,,,14.95,15.09,14.74,,,,,,
2013-07-05 00:00:00,,,,14.95,15.95,14.89,,,,1,7,2
2013-07-08 00:00:00,,,,15.63,16.04,15.5,,,,1,7,2
2013-07-09 00:00:00,,,,15.79,15.97,15.5,,,,1,7,2
2013-07-10 00:00:00,,,,15.55,15.57,15.15,,,,1,7,2
2013-07-11 00:00:00,,,,15.6,15.6,14.965,,,,1,7,2
2013-07-12 00:00:00,,,,15.07,15.12,14.905,,,,1,7,3
2013-07-15 00:00:00,,,,14.93,15.01,14.39,,,,1,6,4
2013-07-16 00:00:00,,,,14.57,15.34,14.57,,,,,,
2013-07-17 00:00:00,,,,15.36,15.96,15.29,,,,1,7,4
2013-07-18 00:00:00,,,,15.94,16.1,15.33,,,,1,8,4
2013-07-19 00:00:00,,,,15.41,16.08,15.29,,,,1,8,4
2013-07-22 00:00:00,,,,16.09,16.12,15.62,,,,,,
2013-07-23 00:00:00,,,,15.69,15.86,15.55,,,,1,9,4
2013-07-24 00:00:00,,,,15.65,15.88,15.42,,,,,,
2013-07-25 00:00:00,,,,15.66,15.87,15.45,,,,,,
2013-07-26 00:00:00,,,,15.54,15.965,15.31,,,,,,
2013-07-29 00:00:00,,,,15.87,15.87,15.4,,,,,,
2013-07-30 00:00:00,,,,15.6,15.95,15.46,,,,,,
2013-07-31 00:00:00,,,,16,16.21,15.84,,,,,,
2013-08-01 00:00:00,,,,16.07,16.27,15.96,,,,1,9,4
2013-08-02 00:00:00,,,,16.24,16.47,16.13,,,,,,
2013-08-05 00:00:00,,,,16.33,16.33,15.9,,,,,,
2013-08-06 00:00:00,,,,15.99,16.25,15.83,,,,1,9,4
2013-08-07 00:00:00,,,,16.15,16.15,15.85,,,,1,9,4
2013-08-08 00:00:00,,,,16.07,16.31,15.91,,,,1,9,4
2013-08-09 00:00:00,,,,16.09,16.16,15.97,,,,,,
2013-08-12 00:00:00,,,,15.88,16.05,15.75,,,,,,
2013-08-13 00:00:00,,,,15.91,15.95,15.8,,,,,,
2013-08-14 00:00:00,,,,15.83,16.01,15.67,,,,,,
2013-08-15 00:00:00,,,,15.79,16.185,15.71,,,,1,8,4
2013-08-16 00:00:00,,,,16.04,16.25,15.96,,,,,,
2013-08-19 00:00:00,,,,16.05,16.06,15.69,,,,1,9,4
2013-08-20 00:00:00,,,,15.7,15.74,15.52,,,,,,
2013-08-21 00:00:00,,,,15.61,15.78,15.49,,,,,,
2013-08-22 00:00:00,,,,15.76,15.82,15.63,,,,,,
2013-08-23 00:00:00,,,,15.71,15.79,15.57,,,,,,
2013-08-26 00:00:00,,,,15.79,15.9,15.71,,,,1,9,4
2013-08-27 00:00:00,,,,15.71,16,15.705,,,,,,
2013-08-28 00:00:00,,,,15.76,15.81,15.68,,,,,,
2013-08-29 00:00:00,,,,15.73,15.89,15.64,,,,,,
2013-08-30 00:00:00,,,,15.75,15.76,15.59,,,,,,
2013-09-03 00:00:00,,,,15.89,16.03,15.695,,,,1,10,4
2013-09-04 00:00:00,,,,15.79,16.07,15.76,,,,1,10,4
2013-09-05 00:00:00,,,,15.97,16.27,15.91,,,,1,10,4
2013-09-06 00:00:00,,,,16.31,16.33,16.09,,,,,,
2013-09-09 00:00:00,,,,16.17,16.34,16.16,,,,,,
2013-09-10 00:00:00,,,,16.38,16.57,16.25,,,,,,
2013-09-11 00:00:00,,,,16.68,17.06,16.5,,,,1,9,4
2013-09-12 00:00:00,,,,17.06,17.26,16.98,,,,1,9,4
2013-09-13 00:00:00,,,,17.06,17.08,16.775,,,,,,
2013-09-16 00:00:00,,,,17.12,17.19,16.78,,,,,,
2013-09-17 00:00:00,,,,17.03,17.11,16.89,,,,,,
2013-09-18 00:00:00,,,,17.07,17.17,16.85,,,,,,
2013-09-19 00:00:00,,,,17.1,17.1,16.66,,,,,,
2013-09-20 00:00:00,,,,16.92,17,16.47,,,,,,
2013-09-23 00:00:00,,,,16.62,16.63,16.375,,,,1,9,4
2013-09-24 00:00:00,,,,16.53,17.195,16.52,,,,1,9,4
2013-09-25 00:00:00,,,,17.03,17.04,16.685,,,,,,
2013-09-26 00:00:00,,,,16.77,16.85,16.1,,,,,,
2013-09-27 00:00:00,,,,16.25,16.25,15.99,,,,,,
2013-09-30 00:00:00,,,,16.2,16.2,15.91,,,,1,9,5
2013-10-01 00:00:00,,,,16.05,16.09,15.81,,,,,,
2013-10-02 00:00:00,,,,15.85,16.27,15.7,,,,,,
2013-10-03 00:00:00,,,,16.14,16.24,15.8,,,,1,9,5
2013-10-04 00:00:00,,,,15.84,16.005,15.795,,,,,,
2013-10-07 00:00:00,,,,15.7,15.98,15.69,,,,,,
2013-10-08 00:00:00,,,,15.89,15.975,15.77,,,,,,
2013-10-09 00:00:00,,,,15.8,15.94,15.76,,,,,,
2013-10-10 00:00:00,,,,15.98,16.24,15.96,,,,,,
2013-10-11 00:00:00,,,,16.16,16.59,16.14,,,,,,
2013-10-14 00:00:00,,,,16.31,16.62,16.23,,,,,,
2013-10-15 00:00:00,,,,16.46,16.665,16.43,,,,1,9,4
2013-10-16 00:00:00,,,,16.72,16.79,16.565,,,,,,
2013-10-17 00:00:00,,,,16.64,16.81,16.63,,,,,,
2013-10-18 00:00:00,,,,16.85,16.9,16.75,,,,,,
2013-10-21 00:00:00,,,,16.86,16.97,16.795,,,,,,
2013-10-22 00:00:00,,,,16.89,17.06,16.79,,,,,,
2013-10-23 00:00:00,,,,16.92,17.235,16.87,,,,1,9,5
2013-10-24 00:00:00,,,,17.07,17.395,17.06,,,,,,
2013-10-25 00:00:00,,,,17.29,17.32,17.1,,,,,,
2013-10-28 00:00:00,,,,17.12,17.315,17.03,,,,1,8,5
2013-10-29 00:00:00,,,,17.3,17.51,17.24,,,,,,
2013-10-30 00:00:00,,,,17.46,17.5,17.315,,,,1,8,5
2013-10-31 00:00:00,,,,17.37,17.77,17.35,,,,,,
2013-11-01 00:00:00,,,,17.62,17.81,17.46,,,,,,
2013-11-04 00:00:00,,,,17.73,17.86,17.67,,,,1,8,6
2013-11-05 00:00:00,,,,17.57,17.85,17.48,,,,1,9,6
