Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,6.875,7.125,6.813,,,,0,1,1
2000-05-02 00:00:00,,,,6.969,7,6.688,,,,,,
2000-05-03 00:00:00,,,,6.688,6.75,6.125,,,,,,
2000-05-04 00:00:00,,,,6.531,6.688,6.438,,,,,,
2000-05-05 00:00:00,,,,6.5,6.938,6.469,,,,,,
2000-05-08 00:00:00,,,,6.813,7.25,6.781,,,,,,
2000-05-09 00:00:00,,,,6.938,6.938,6.719,,,,,,
2000-05-10 00:00:00,,,,6.844,7.063,6.719,,,,,,
2000-05-11 00:00:00,,,,6.938,7.25,6.906,,,,,,
2000-05-12 00:00:00,,,,7.094,7.25,6.813,,,,,,
2000-05-15 00:00:00,,,,6.906,7.625,6.906,,,,,,
2000-05-16 00:00:00,,,,7.5,7.719,7.5,,,,,,
2000-05-17 00:00:00,,,,7.5,7.531,7.313,,,,,,
2000-05-18 00:00:00,,,,7.406,7.563,7.313,,,,,,
2000-05-19 00:00:00,,,,7.531,7.563,7.344,,,,,,
2000-05-22 00:00:00,,,,7.5,7.5,7,,,,,,
2000-05-23 00:00:00,,,,7.313,7.563,7.219,,,,,,
2000-05-24 00:00:00,,,,7.5,7.5,7.188,,,,,,
2000-05-25 00:00:00,,,,7.5,7.5,7.25,,,,,,
2000-05-26 00:00:00,,,,7.25,7.344,6.75,,,,,,
2000-05-30 00:00:00,,,,6.906,7.031,6.688,,,,,,
2000-05-31 00:00:00,,,,6.938,6.938,6.594,,,,,,
2000-06-01 00:00:00,,,,6.688,6.969,6.688,,,,,,
2000-06-02 00:00:00,,,,6.953,7.188,6.875,,,,,,
2000-06-05 00:00:00,,,,6.969,7.031,6.938,,,,,,
2000-06-06 00:00:00,,,,7,7.094,6.695,,,,,,
2000-06-07 00:00:00,,,,6.75,7.031,6.5,,,,,,
2000-06-08 00:00:00,,,,6.781,7.25,6.781,,,,,,
2000-06-09 00:00:00,,,,7.031,7.031,6.688,,,,,,
2000-06-12 00:00:00,,,,6.906,7,6.719,,,,,,
2000-06-13 00:00:00,,,,6.609,7.063,6.609,,,,,,
2000-06-14 00:00:00,,,,7.063,7.063,6.75,,,,,,
2000-06-15 00:00:00,,,,6.781,7.094,6.719,,,,,,
2000-06-16 00:00:00,,,,7.031,7.031,6.813,,,,,,
2000-06-19 00:00:00,,,,6.938,7,6.875,,,,,,
2000-06-20 00:00:00,,,,6.875,6.969,6.719,,,,,,
2000-06-21 00:00:00,,,,6.781,7.031,6.781,,,,,,
2000-06-22 00:00:00,,,,6.969,7,6.75,,,,,,
2000-06-23 00:00:00,,,,6.813,6.844,6.063,,,,,,
2000-06-26 00:00:00,,,,6.156,6.375,6,,,,,,
2000-06-27 00:00:00,,,,6.25,6.438,5.875,,,,,,
2000-06-28 00:00:00,,,,6.375,7,6.344,,,,,,
2000-06-29 00:00:00,,,,6.75,6.938,6.313,,,,,,
2000-06-30 00:00:00,,,,6.969,6.969,6.563,,,,,,
2000-07-03 00:00:00,,,,6.844,6.906,6.625,,,,,,
2000-07-05 00:00:00,,,,6.75,6.875,6.688,,,,,,
2000-07-06 00:00:00,,,,6.844,7.25,6.563,,,,,,
2000-07-07 00:00:00,,,,7.031,7.219,6.844,,,,,,
2000-07-10 00:00:00,,,,7.219,7.25,7.094,,,,,,
2000-07-11 00:00:00,,,,7.125,7.438,6.938,,,,,,
2000-07-12 00:00:00,,,,7.406,7.5,7.219,,,,,,
2000-07-13 00:00:00,,,,7.219,7.406,7.188,,,,,,
2000-07-14 00:00:00,,,,7.25,7.438,7.188,,,,,,
2000-07-17 00:00:00,,,,7.25,7.375,7.219,,,,,,
2000-07-18 00:00:00,,,,7.188,7.406,7.156,,,,,,
2000-07-19 00:00:00,,,,7.219,7.25,6.906,,,,,,
2000-07-20 00:00:00,,,,6.875,7.156,6.875,,,,,,
2000-07-21 00:00:00,,,,6.938,7.156,6.75,,,,,,
2000-07-24 00:00:00,,,,7,7.063,6.75,,,,,,
2000-07-25 00:00:00,,,,6.844,7.031,6.844,,,,,,
2000-07-26 00:00:00,,,,6.875,7.25,6.813,,,,0,1,1
2000-07-27 00:00:00,,,,7.125,7.438,6.938,,,,0,1,1
2000-07-28 00:00:00,,,,6.875,7.219,6.75,,,,,,
2000-07-31 00:00:00,,,,6.906,7.25,6.75,,,,,,
2000-08-01 00:00:00,,,,7.25,7.313,7.25,,,,,,
2000-08-02 00:00:00,,,,7.25,7.469,7.25,,,,,,
2000-08-03 00:00:00,,,,7.406,7.906,7.25,,,,,,
2000-08-04 00:00:00,,,,7.719,8.063,7.719,,,,,,
2000-08-07 00:00:00,,,,7.969,8.031,7.719,,,,,,
2000-08-08 00:00:00,,,,8.031,8.031,7.906,,,,,,
2000-08-09 00:00:00,,,,7.938,7.969,7.656,,,,,,
2000-08-10 00:00:00,,,,7.719,7.781,7.656,,,,,,
2000-08-11 00:00:00,,,,7.656,7.938,7.563,,,,,,
2000-08-14 00:00:00,,,,7.75,8.063,7.75,,,,,,
2000-08-15 00:00:00,,,,8,8.031,7.781,,,,,,
2000-08-16 00:00:00,,,,7.875,8,7.844,,,,,,
2000-08-17 00:00:00,,,,7.875,7.938,7.844,,,,,,
2000-08-18 00:00:00,,,,7.875,8,7.688,,,,,,
2000-08-21 00:00:00,,,,7.781,7.906,7.625,,,,,,
2000-08-22 00:00:00,,,,7.625,7.719,7.375,,,,,,
2000-08-23 00:00:00,,,,7.656,7.906,7.438,,,,,,
2000-08-24 00:00:00,,,,7.875,7.906,7.625,,,,,,
2000-08-25 00:00:00,,,,7.938,7.938,7.688,,,,,,
2000-08-28 00:00:00,,,,7.75,7.813,7.625,,,,,,
