Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,35.2917,35.4167,33.25,,,,0,2,2
2000-05-02 00:00:00,,,,33.8333,33.8333,31.4167,,,,,,
2000-05-03 00:00:00,,,,31.6667,38.25,29.2917,,,,,,
2000-05-04 00:00:00,,,,32.0833,32.3333,30,,,,,,
2000-05-05 00:00:00,,,,30.2917,32.3333,30,,,,,,
2000-05-08 00:00:00,,,,31.3333,31.4167,30.0417,,,,,,
2000-05-09 00:00:00,,,,30.875,31.2917,29.9167,,,,,,
2000-05-10 00:00:00,,,,30,31.3333,29.5,,,,,,
2000-05-11 00:00:00,,,,30.8333,32.6667,30,,,,,,
2000-05-12 00:00:00,,,,32.5417,32.75,31.0417,,,,,,
2000-05-15 00:00:00,,,,31.4583,32.3333,30.75,,,,,,
2000-05-16 00:00:00,,,,32.25,32.7083,31.375,,,,,,
2000-05-17 00:00:00,,,,32.625,32.625,31.125,,,,,,
2000-05-18 00:00:00,,,,31.5833,32.1667,30.4167,,,,,,
2000-05-19 00:00:00,,,,30.0833,31.3333,30,,,,0,2,2
2000-05-22 00:00:00,,,,30.375,31.0417,28.6667,,,,,,
2000-05-23 00:00:00,,,,31.5,32,30.3125,,,,,,
2000-05-24 00:00:00,,,,31.4375,34,31,,,,0,3,1
2000-05-25 00:00:00,,,,32.875,34.75,32.8125,,,,,,
2000-05-26 00:00:00,,,,33.6875,34.875,33.375,,,,,,
2000-05-30 00:00:00,,,,34.875,35.75,34.5,,,,,,
2000-05-31 00:00:00,,,,35.625,36.25,34.6875,,,,,,
2000-06-01 00:00:00,,,,35.1875,40.375,35,,,,,,
2000-06-02 00:00:00,,,,39.8125,40.5,36.5,,,,,,
2000-06-05 00:00:00,,,,37.875,39.6875,36.875,,,,,,
2000-06-06 00:00:00,,,,38.25,38.4375,35.9375,,,,0,2,2
2000-06-07 00:00:00,,,,36.0938,37.75,35.625,,,,,,
2000-06-08 00:00:00,,,,37.25,37.25,35.625,,,,,,
2000-06-09 00:00:00,,,,36.9375,37.4375,36.25,,,,,,
2000-06-12 00:00:00,,,,35.75,37.625,35.4375,,,,,,
2000-06-13 00:00:00,,,,36.1875,37.625,35.75,,,,,,
2000-06-14 00:00:00,,,,37.5625,39.1719,37.25,,,,,,
2000-06-15 00:00:00,,,,38.4375,40.4375,37.0625,,,,,,
2000-06-16 00:00:00,,,,40.3125,43.25,39.8281,,,,,,
2000-06-19 00:00:00,,,,41.25,43.375,39.25,,,,,,
2000-06-20 00:00:00,,,,42.0625,43.9375,41.25,,,,,,
2000-06-21 00:00:00,,,,40.5938,44.25,40.5625,,,,,,
2000-06-22 00:00:00,,,,42.6875,43,39.25,,,,,,
2000-06-23 00:00:00,,,,39.1875,39.1875,36.75,,,,,,
2000-06-26 00:00:00,,,,39,40.5,38.0625,,,,,,
2000-06-27 00:00:00,,,,40.5625,42,40.5625,,,,,,
2000-06-28 00:00:00,,,,41.5313,42,40.6875,,,,,,
2000-06-29 00:00:00,,,,40.5625,40.75,39,,,,,,
2000-06-30 00:00:00,,,,39.5625,42,39.5,,,,,,
2000-07-03 00:00:00,,,,41.3125,42.25,41.25,,,,,,
2000-07-05 00:00:00,,,,41.625,41.9375,40.125,,,,,,
2000-07-06 00:00:00,,,,40.875,42.0625,40.6875,,,,,,
2000-07-07 00:00:00,,,,42.0625,42.9375,41.625,,,,,,
2000-07-10 00:00:00,,,,41.625,42.75,41.5625,,,,,,
2000-07-11 00:00:00,,,,42.375,43.625,42.25,,,,,,
2000-07-12 00:00:00,,,,43.4375,44,42.875,,,,,,
2000-07-13 00:00:00,,,,43.5,43.625,41.75,,,,,,
2000-07-14 00:00:00,,,,42.6875,43,41.5625,,,,,,
2000-07-17 00:00:00,,,,42.625,42.625,41.5,,,,,,
2000-07-18 00:00:00,,,,41.9375,42.4375,41.5,,,,,,
2000-07-19 00:00:00,,,,41.9688,42.75,41.8125,,,,,,
2000-07-20 00:00:00,,,,42.25,43.5625,42.0625,,,,,,
2000-07-21 00:00:00,,,,42.8125,45.4375,42.3125,,,,,,
2000-07-24 00:00:00,,,,43.75,45.625,43.6406,,,,,,
2000-07-25 00:00:00,,,,45.0625,45.625,43.75,,,,,,
2000-07-26 00:00:00,,,,43.875,46.1875,43.375,,,,,,
2000-07-27 00:00:00,,,,45.25,46.125,44.5,,,,,,
2000-07-28 00:00:00,,,,45.125,45.8125,43.0625,,,,,,
2000-07-31 00:00:00,,,,43.8125,45.875,43.25,,,,,,
2000-08-01 00:00:00,,,,45.375,45.9375,44.5,,,,,,
2000-08-02 00:00:00,,,,45.5625,46.3125,43.6875,,,,,,
2000-08-03 00:00:00,,,,44.125,45.4063,43.5625,,,,,,
2000-08-04 00:00:00,,,,45.4375,45.875,44.5,,,,,,
2000-08-07 00:00:00,,,,45.75,47.625,45,,,,,,
2000-08-08 00:00:00,,,,46.375,46.875,45.5625,,,,,,
2000-08-09 00:00:00,,,,46.4375,47.25,46,,,,,,
2000-08-10 00:00:00,,,,46.875,46.875,45,,,,,,
2000-08-11 00:00:00,,,,45.25,46.75,44.5,,,,,,
2000-08-14 00:00:00,,,,44.3125,44.6875,43.375,,,,0,3,2
2000-08-15 00:00:00,,,,44.4375,45,43.25,,,,,,
2000-08-16 00:00:00,,,,44.3125,45,43.5,,,,,,
2000-08-17 00:00:00,,,,43.6719,45,43.5625,,,,,,
2000-08-18 00:00:00,,,,44.625,44.75,43.0625,,,,,,
2000-08-21 00:00:00,,,,44.1875,45.25,43.6875,,,,,,
2000-08-22 00:00:00,,,,44.5313,46.0625,44.5,,,,,,
2000-08-23 00:00:00,,,,45.5,45.5,44.0625,,,,,,
2000-08-24 00:00:00,,,,44.6875,44.7188,43.25,,,,,,
2000-08-25 00:00:00,,,,43.9688,44.375,42.4375,,,,,,
2000-08-28 00:00:00,,,,43,43,39.9375,,,,,,
2000-08-29 00:00:00,,,,41,42.125,39.875,,,,,,
2000-08-30 00:00:00,,,,40.5625,44,40.375,,,,,,
2000-08-31 00:00:00,,,,44.0625,45.1875,43.625,,,,,,
2000-09-01 00:00:00,,,,45.0625,45.375,43,,,,0,4,1
2000-09-05 00:00:00,,,,43.75,44.375,43.5,,,,,,
2000-09-06 00:00:00,,,,43.5625,44.5,42.75,,,,,,
2000-09-07 00:00:00,,,,43.25,43.5625,42.375,,,,,,
2000-09-08 00:00:00,,,,42.1875,42.3125,40.5,,,,,,
2000-09-11 00:00:00,,,,41.5,42.75,41.25,,,,,,
2000-09-12 00:00:00,,,,41.6875,43.8125,41.625,,,,,,
2000-09-13 00:00:00,,,,42.8125,44.5625,42.75,,,,,,
2000-09-14 00:00:00,,,,43.8125,44.1875,42.5,,,,,,
2000-09-15 00:00:00,,,,42.9375,44.8125,42.6875,,,,,,
2000-09-18 00:00:00,,,,44.125,45,42.625,,,,,,
2000-09-19 00:00:00,,,,43.75,45,43.5,,,,,,
