Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,42.25,43.5,41.3125,,,,0,11,2
2000-05-02 00:00:00,,,,42,43.25,41.875,,,,,,
2000-05-03 00:00:00,,,,42.9375,43.4375,42.25,,,,0,11,2
2000-05-04 00:00:00,,,,42.5,43.3125,42.25,,,,,,
2000-05-05 00:00:00,,,,42.375,44.9375,42.0625,,,,,,
2000-05-08 00:00:00,,,,45,46.375,44.9375,,,,0,12,1
2000-05-09 00:00:00,,,,45.5625,45.6875,44.375,,,,0,13,1
2000-05-10 00:00:00,,,,44.0625,45.1875,43.125,,,,,,
2000-05-11 00:00:00,,,,43.5625,43.625,42.3125,,,,,,
2000-05-12 00:00:00,,,,42.375,43.375,41.6875,,,,,,
2000-05-15 00:00:00,,,,42.8125,44.25,42.6875,,,,,,
2000-05-16 00:00:00,,,,44.4375,44.875,43.25,,,,,,
2000-05-17 00:00:00,,,,44.5,45.3125,44.1875,,,,0,13,1
2000-05-18 00:00:00,,,,45.125,45.5625,44.75,,,,,,
2000-05-19 00:00:00,,,,44.6875,44.75,43.8125,,,,0,13,1
2000-05-22 00:00:00,,,,44.4375,45.1875,43.25,,,,,,
2000-05-23 00:00:00,,,,43.8125,44.5,43.375,,,,,,
2000-05-24 00:00:00,,,,43.375,44.9375,43.375,,,,,,
2000-05-25 00:00:00,,,,44.5625,45.75,44.4375,,,,,,
2000-05-26 00:00:00,,,,44.875,45.4375,44.6875,,,,0,13,1
2000-05-30 00:00:00,,,,44.0625,44.4375,43.6875,,,,,,
2000-05-31 00:00:00,,,,43.75,44.9375,43.6875,,,,0,13,2
2000-06-01 00:00:00,,,,45.6875,46.125,44.875,,,,0,13,2
2000-06-02 00:00:00,,,,45.9375,45.9375,43.25,,,,0,13,2
2000-06-05 00:00:00,,,,43.8125,43.875,42.25,,,,,,
2000-06-06 00:00:00,,,,43,43.8125,42.4375,,,,,,
2000-06-07 00:00:00,,,,43.4375,44.1875,43.25,,,,0,13,2
2000-06-08 00:00:00,,,,43.75,44.4375,43.5625,,,,,,
2000-06-09 00:00:00,,,,44.375,45.25,44.125,,,,,,
2000-06-12 00:00:00,,,,45.0625,45.6875,44.375,,,,0,13,2
2000-06-13 00:00:00,,,,45.375,46.375,45.0625,,,,,,
2000-06-14 00:00:00,,,,45.9375,46.9375,45.875,,,,0,14,2
2000-06-15 00:00:00,,,,46.375,47,46.125,,,,,,
2000-06-16 00:00:00,,,,46.4375,48.125,46.4375,,,,,,
2000-06-19 00:00:00,,,,47.8125,47.8125,46.8125,,,,,,
2000-06-20 00:00:00,,,,46.625,46.875,45.3125,,,,0,14,2
2000-06-21 00:00:00,,,,47,47.1875,46.375,,,,0,14,2
2000-06-22 00:00:00,,,,46.8125,46.8125,44.875,,,,,,
2000-06-23 00:00:00,,,,46,46,45.3125,,,,0,14,2
2000-06-26 00:00:00,,,,46,46.3125,45.5,,,,,,
2000-06-27 00:00:00,,,,46.5,47,45.9375,,,,,,
2000-06-28 00:00:00,,,,46.625,46.875,46.25,,,,,,
2000-06-29 00:00:00,,,,46.5,46.625,45.6875,,,,0,14,2
2000-06-30 00:00:00,,,,45.75,48,45.75,,,,0,14,2
2000-07-03 00:00:00,,,,47.8125,47.8125,47.0625,,,,0,14,2
2000-07-05 00:00:00,,,,48,48,47,,,,0,14,2
2000-07-06 00:00:00,,,,47.625,47.625,46.1875,,,,,,
2000-07-07 00:00:00,,,,46.6875,47,45.8125,,,,0,14,2
2000-07-10 00:00:00,,,,46.5,47.9375,45.9375,,,,0,14,2
2000-07-11 00:00:00,,,,47.625,49,47.375,,,,0,14,2
2000-07-12 00:00:00,,,,49.25,49.25,48,,,,,,
2000-07-13 00:00:00,,,,47.875,47.875,45.8125,,,,,,
2000-07-14 00:00:00,,,,45.5,45.5,44.3125,,,,0,14,2
2000-07-17 00:00:00,,,,45.125,47.3125,44.75,,,,,,
2000-07-18 00:00:00,,,,46.625,47,44.25,,,,0,14,2
2000-07-19 00:00:00,,,,44.9375,45.3125,43.75,,,,,,
2000-07-20 00:00:00,,,,46.5,46.5,44.3125,,,,0,14,2
2000-07-21 00:00:00,,,,45,46.25,44.625,,,,,,
2000-07-24 00:00:00,,,,45.4375,48.1875,45.4375,,,,,,
2000-07-25 00:00:00,,,,44,44.9375,43.0625,,,,0,13,3
2000-07-26 00:00:00,,,,44.625,45,42.9375,,,,0,13,3
