Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,5.3125,5.5625,5.3125,,,,0,3,2
2000-05-02 00:00:00,,,,5.3906,5.5781,5.3906,,,,,,
2000-05-03 00:00:00,,,,5.4531,5.5,5.3125,,,,,,
2000-05-04 00:00:00,,,,5.3906,5.5625,5.3906,,,,,,
2000-05-05 00:00:00,,,,5.4375,5.5938,5.4219,,,,,,
2000-05-08 00:00:00,,,,5.5,5.5,5.3125,,,,,,
2000-05-09 00:00:00,,,,5.4063,5.5313,5.375,,,,,,
2000-05-10 00:00:00,,,,5.5,5.5,5.3438,,,,,,
2000-05-11 00:00:00,,,,5.3594,5.7188,5.3594,,,,,,
2000-05-12 00:00:00,,,,5.625,5.7188,5.625,,,,,,
2000-05-15 00:00:00,,,,5.6719,5.6719,5.4844,,,,0,3,2
2000-05-16 00:00:00,,,,5.5313,5.7813,5.5,,,,,,
2000-05-17 00:00:00,,,,5.6719,5.6875,5.375,,,,,,
2000-05-18 00:00:00,,,,5.4531,5.5,5.3906,,,,,,
2000-05-19 00:00:00,,,,5.3281,5.4375,5.3281,,,,,,
2000-05-22 00:00:00,,,,5.375,5.4531,5.3125,,,,,,
2000-05-23 00:00:00,,,,5.4063,5.4688,5.3594,,,,,,
2000-05-24 00:00:00,,,,5.375,5.5,5.375,,,,,,
2000-05-25 00:00:00,,,,5.375,5.5313,5.375,,,,,,
2000-05-26 00:00:00,,,,5.4531,5.5156,5.4063,,,,,,
2000-05-30 00:00:00,,,,5.4688,5.5313,5.4375,,,,,,
2000-05-31 00:00:00,,,,5.4063,5.5625,5.375,,,,,,
2000-06-01 00:00:00,,,,5.5,5.5156,5.4219,,,,0,3,2
2000-06-02 00:00:00,,,,5.5,5.8594,5.4688,,,,,,
2000-06-05 00:00:00,,,,5.625,5.6875,5.5313,,,,,,
2000-06-06 00:00:00,,,,5.5625,5.7656,5.5625,,,,,,
2000-06-07 00:00:00,,,,5.7188,5.7188,5.4844,,,,,,
2000-06-08 00:00:00,,,,5.5,5.6406,5.5,,,,,,
2000-06-09 00:00:00,,,,5.625,5.6719,5.5938,,,,,,
2000-06-12 00:00:00,,,,5.7344,5.7344,5.5625,,,,,,
2000-06-13 00:00:00,,,,5.4688,5.6719,5.4375,,,,,,
2000-06-14 00:00:00,,,,5.6094,5.6563,5.5625,,,,,,
2000-06-15 00:00:00,,,,5.5938,5.6875,5.5938,,,,,,
2000-06-16 00:00:00,,,,5.5313,5.6406,5.5156,,,,,,
2000-06-19 00:00:00,,,,5.5,5.5625,5.3125,,,,,,
2000-06-20 00:00:00,,,,5.5156,5.5156,5.4063,,,,,,
2000-06-21 00:00:00,,,,5.4531,5.4531,5.3594,,,,,,
2000-06-22 00:00:00,,,,5.3594,5.375,5.2969,,,,,,
2000-06-23 00:00:00,,,,5.375,5.375,5.25,,,,,,
2000-06-26 00:00:00,,,,5.2969,5.3438,5.2656,,,,,,
2000-06-27 00:00:00,,,,5.3281,5.4688,5.3125,,,,,,
2000-06-28 00:00:00,,,,5.3594,5.4531,5.3281,,,,,,
2000-06-29 00:00:00,,,,5.3281,5.5,5.3281,,,,,,
2000-06-30 00:00:00,,,,5.5,5.5156,5.3281,,,,,,
2000-07-03 00:00:00,,,,5.4063,5.4844,5.3281,,,,0,3,2
2000-07-05 00:00:00,,,,5.4375,5.6094,5.4375,,,,,,
2000-07-06 00:00:00,,,,5.5469,5.625,5.5,,,,,,
2000-07-07 00:00:00,,,,5.6094,5.6094,5.5,,,,,,
2000-07-10 00:00:00,,,,5.5469,5.5469,5.4375,,,,0,3,2
2000-07-11 00:00:00,,,,5.4844,5.5156,5.4219,,,,,,
2000-07-12 00:00:00,,,,5.4688,5.5313,5.4219,,,,,,
2000-07-13 00:00:00,,,,5.4844,5.4844,5.4063,,,,,,
2000-07-14 00:00:00,,,,5.4375,5.4844,5.3906,,,,,,
2000-07-17 00:00:00,,,,5.375,5.4531,5.3438,,,,,,
2000-07-18 00:00:00,,,,5.4219,5.4375,5.3125,,,,,,
2000-07-19 00:00:00,,,,5.4688,5.4844,5.3438,,,,,,
2000-07-20 00:00:00,,,,5.4531,5.5156,5.4219,,,,,,
2000-07-21 00:00:00,,,,5.4531,5.4844,5.3281,,,,,,
2000-07-24 00:00:00,,,,5.375,5.4219,5.2188,,,,,,
2000-07-25 00:00:00,,,,5.4063,5.5781,5.4063,,,,0,4,1
2000-07-26 00:00:00,,,,5.4688,5.6563,5.4531,,,,,,
2000-07-27 00:00:00,,,,5.5313,5.6563,5.5,,,,,,
2000-07-28 00:00:00,,,,5.5,5.6406,5.4375,,,,,,
2000-07-31 00:00:00,,,,5.5,5.7813,5.5,,,,,,
2000-08-01 00:00:00,,,,5.5938,5.8906,5.5938,,,,,,
2000-08-02 00:00:00,,,,5.8281,6.0625,5.8125,,,,,,
2000-08-03 00:00:00,,,,5.8906,6.25,5.8906,,,,,,
2000-08-04 00:00:00,,,,6.1719,6.3125,6.0781,,,,,,
2000-08-07 00:00:00,,,,6.2969,7.0469,6.2969,,,,0,4,1
2000-08-08 00:00:00,,,,7.0469,7.375,6.9688,,,,,,
2000-08-09 00:00:00,,,,7.3125,7.5,7.2188,,,,,,
2000-08-10 00:00:00,,,,7.2344,7.2344,6.9375,,,,0,5,1
2000-08-11 00:00:00,,,,7.0156,7.2969,7.0156,,,,,,
2000-08-14 00:00:00,,,,7.625,7.6875,7.5313,,,,,,
2000-08-15 00:00:00,,,,7.5938,7.6094,7.2969,,,,,,
2000-08-16 00:00:00,,,,7.3281,7.3594,7.1875,,,,,,
2000-08-17 00:00:00,,,,7.2188,7.2813,7.0938,,,,,,
2000-08-18 00:00:00,,,,7.1719,7.2344,7.0938,,,,,,
2000-08-21 00:00:00,,,,7.25,7.5625,7.25,,,,,,
2000-08-22 00:00:00,,,,7.3906,7.4375,7.3281,,,,0,5,1
2000-08-23 00:00:00,,,,7.4375,7.4375,7.2188,,,,,,
2000-08-24 00:00:00,,,,7.2188,7.3438,7.2188,,,,,,
2000-08-25 00:00:00,,,,7.1719,7.2188,7.0938,,,,,,
2000-08-28 00:00:00,,,,7.125,7.2656,7.1094,,,,,,
2000-08-29 00:00:00,,,,7.125,7.625,7.125,,,,,,
2000-08-30 00:00:00,,,,7.5469,7.875,7.5156,,,,,,
2000-08-31 00:00:00,,,,7.8594,8.4219,7.8594,,,,0,5,1
2000-09-01 00:00:00,,,,8.375,8.375,8.1719,,,,,,
2000-09-05 00:00:00,,,,8.125,8.5,8.1094,,,,,,
2000-09-06 00:00:00,,,,8.5,8.5469,8.375,,,,,,
2000-09-07 00:00:00,,,,8.4063,8.5156,8.375,,,,0,6,1
2000-09-08 00:00:00,,,,8.5156,8.5156,8.25,,,,,,
