Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,50,52.65,49.24,,,,,,
2008-03-18 00:00:00,,,,49.85,51.35,47.75,,,,0,1,1
2008-03-19 00:00:00,,,,49.6,51,47.75,,,,,,
2008-03-20 00:00:00,,,,50.2,50.2,48.88,,,,,,
2008-03-24 00:00:00,,,,49.81,51,49.81,,,,,,
2008-03-25 00:00:00,,,,51.4,51.75,50.6,,,,,,
2008-03-26 00:00:00,,,,51.7,52,50.3,,,,,,
2008-03-27 00:00:00,,,,50.95,51.5,50,,,,,,
2008-03-28 00:00:00,,,,52.5,52.5,50.56,,,,0,1,2
2008-03-31 00:00:00,,,,52.65,54.21,50.44,,,,0,3,2
2008-04-01 00:00:00,,,,51.11,52.14,49.01,,,,0,5,2
2008-04-02 00:00:00,,,,51.24,52.05,50.15,,,,0,6,2
2008-04-03 00:00:00,,,,51,51.5,50.41,,,,,,
2008-04-04 00:00:00,,,,51.34,51.47,50.84,,,,,,
2008-04-07 00:00:00,,,,51.3,51.46,50.5,,,,0,6,2
2008-04-08 00:00:00,,,,50.21,51,50.21,,,,,,
2008-04-09 00:00:00,,,,50.5,50.55,49.16,,,,,,
2008-04-10 00:00:00,,,,49.49,49.91,48.51,,,,,,
2008-04-11 00:00:00,,,,48.25,48.89,48.16,,,,,,
2008-04-14 00:00:00,,,,48.35,48.35,47.43,,,,,,
2008-04-15 00:00:00,,,,48.2,48.25,47.79,,,,,,
2008-04-16 00:00:00,,,,48.37,49.61,48.37,,,,0,7,2
2008-04-17 00:00:00,,,,49.72,50,49.42,,,,0,8,3
2008-04-18 00:00:00,,,,50.79,50.94,49.38,,,,0,9,2
2008-04-21 00:00:00,,,,49.7,50.89,49.13,,,,,,
2008-04-22 00:00:00,,,,50.6,50.9,49.92,,,,,,
2008-04-23 00:00:00,,,,51,52.34,50.94,,,,0,9,2
2008-04-24 00:00:00,,,,51.91,52.42,51.5,,,,0,9,2
2008-04-25 00:00:00,,,,52.14,52.18,50.75,,,,0,9,2
2008-04-28 00:00:00,,,,51.09,51.3,50.75,,,,,,
2008-04-29 00:00:00,,,,51.44,52.2,50.26,,,,0,9,2
2008-04-30 00:00:00,,,,51.7,52.01,50.91,,,,,,
2008-05-01 00:00:00,,,,50.83,51.17,50.62,,,,,,
2008-05-02 00:00:00,,,,51.04,51.06,50.4,,,,,,
2008-05-05 00:00:00,,,,51.2,51.63,50.63,,,,,,
2008-05-06 00:00:00,,,,50.9,51.94,50.85,,,,,,
2008-05-07 00:00:00,,,,51.97,52.2,51.31,,,,,,
2008-05-08 00:00:00,,,,51.65,52.21,51.5,,,,,,
2008-05-09 00:00:00,,,,51.63,52.46,51.6,,,,,,
2008-05-12 00:00:00,,,,51.98,52.54,51.3,,,,,,
2008-05-13 00:00:00,,,,52.55,52.84,52.04,,,,0,9,2
2008-05-14 00:00:00,,,,52.73,52.85,52.4,,,,,,
2008-05-15 00:00:00,,,,52.28,53.31,52.1,,,,0,9,2
2008-05-16 00:00:00,,,,52.92,53.5,52.35,,,,0,9,2
2008-05-19 00:00:00,,,,53.36,53.95,52.93,,,,,,
2008-05-20 00:00:00,,,,53.3,53.94,52.82,,,,,,
2008-05-21 00:00:00,,,,52.9,53.18,51.83,,,,,,
2008-05-22 00:00:00,,,,51.82,52.77,51.8,,,,,,
2008-05-23 00:00:00,,,,52,52.34,51.75,,,,,,
2008-05-27 00:00:00,,,,51.12,51.94,51.12,,,,,,
2008-05-28 00:00:00,,,,51.7,51.9,50.83,,,,,,
2008-05-29 00:00:00,,,,50.97,52.16,50.97,,,,0,9,2
2008-05-30 00:00:00,,,,51.85,52.99,51.81,,,,,,
2008-06-02 00:00:00,,,,52.15,52.7,51.92,,,,,,
2008-06-03 00:00:00,,,,52.1,52.62,51.67,,,,,,
2008-06-04 00:00:00,,,,51.69,52.27,51.5,,,,0,9,2
2008-06-05 00:00:00,,,,51.8,52.24,51.55,,,,,,
2008-06-06 00:00:00,,,,51.24,51.4,50.4,,,,,,
2008-06-09 00:00:00,,,,50.61,50.93,49.18,,,,,,
2008-06-10 00:00:00,,,,48.96,49.65,48.53,,,,,,
2008-06-11 00:00:00,,,,49.43,50.6,49.42,,,,0,9,2
2008-06-12 00:00:00,,,,50.18,51.38,50,,,,,,
2008-06-13 00:00:00,,,,51.39,51.88,50.71,,,,,,
2008-06-16 00:00:00,,,,51.05,51.11,50.24,,,,,,
2008-06-17 00:00:00,,,,50.19,50.97,50.13,,,,,,
2008-06-18 00:00:00,,,,50.15,50.44,49.82,,,,,,
2008-06-19 00:00:00,,,,49.7,50.58,49.7,,,,,,
2008-06-20 00:00:00,,,,50.56,50.56,49.77,,,,,,
2008-06-23 00:00:00,,,,50.05,50.7,49.91,,,,,,
2008-06-24 00:00:00,,,,50.13,51.54,50.11,,,,0,10,2
2008-06-25 00:00:00,,,,51.53,52.75,51.25,,,,0,10,2
2008-06-26 00:00:00,,,,51.51,51.54,50.15,,,,,,
2008-06-27 00:00:00,,,,50,50.25,49.22,,,,,,
2008-06-30 00:00:00,,,,49.71,50.16,49.3,,,,,,
2008-07-01 00:00:00,,,,48.91,50.59,48.73,,,,0,10,2
2008-07-02 00:00:00,,,,50.83,51.07,49.87,,,,,,
2008-07-03 00:00:00,,,,50.54,51.51,50.3,,,,,,
2008-07-07 00:00:00,,,,51.25,52.33,51.11,,,,0,10,2
2008-07-08 00:00:00,,,,51.96,54,51.7,,,,,,
2008-07-09 00:00:00,,,,53.7,54.43,53.25,,,,,,
2008-07-10 00:00:00,,,,53.99,53.99,52.71,,,,,,
2008-07-11 00:00:00,,,,53.08,53.84,52.25,,,,,,
2008-07-14 00:00:00,,,,53.07,53.89,52.75,,,,,,
2008-07-15 00:00:00,,,,52.93,53.84,52.32,,,,,,
2008-07-16 00:00:00,,,,52.73,53.37,51.73,,,,0,9,3
2008-07-17 00:00:00,,,,52.66,52.66,50.9,,,,,,
2008-07-18 00:00:00,,,,50.95,51.46,50.12,,,,0,9,3
2008-07-21 00:00:00,,,,50.75,50.99,50.25,,,,,,
2008-07-22 00:00:00,,,,50.06,52.1,50.06,,,,,,
2008-07-23 00:00:00,,,,52.48,52.48,50.89,,,,0,9,3
2008-07-24 00:00:00,,,,51.7,53.09,51.56,,,,0,9,3
2008-07-25 00:00:00,,,,52.87,53.55,52.74,,,,,,
2008-07-28 00:00:00,,,,52.77,53.25,52.34,,,,,,
2008-07-29 00:00:00,,,,52.94,53.41,52.63,,,,,,
2008-07-30 00:00:00,,,,53.5,54.01,52.68,,,,,,
2008-07-31 00:00:00,,,,53.4,53.79,51.34,,,,0,9,3
2008-08-01 00:00:00,,,,52.41,52.6,51.84,,,,0,9,3
2008-08-04 00:00:00,,,,51.28,54.08,51.28,,,,0,9,3
2008-08-05 00:00:00,,,,54.21,55.53,53.6,,,,,,
2008-08-06 00:00:00,,,,55,56.15,54.71,,,,,,
2008-08-07 00:00:00,,,,54.3,55.3,54.3,,,,,,
2008-08-08 00:00:00,,,,54.91,55.5,54.5,,,,,,
2008-08-11 00:00:00,,,,55.2,55.75,54.83,,,,,,
2008-08-12 00:00:00,,,,55.75,56.26,55.52,,,,,,
2008-08-13 00:00:00,,,,55.99,55.99,55.4,,,,,,
2008-08-14 00:00:00,,,,55,55.77,54.94,,,,,,
2008-08-15 00:00:00,,,,55.25,55.7,55.25,,,,,,
2008-08-18 00:00:00,,,,55.3,55.7,54.91,,,,,,
2008-08-19 00:00:00,,,,54.88,55.19,54.45,,,,,,
2008-08-20 00:00:00,,,,54.55,54.7,54.07,,,,,,
2008-08-21 00:00:00,,,,54.2,55.05,53.58,,,,,,
2008-08-22 00:00:00,,,,54.74,55.53,54.41,,,,,,
2008-08-25 00:00:00,,,,55.33,55.65,54.56,,,,,,
2008-08-26 00:00:00,,,,54.59,55.1,54.21,,,,,,
2008-08-27 00:00:00,,,,54.5,54.88,53.73,,,,,,
2008-08-28 00:00:00,,,,54.01,54.26,53.55,,,,,,
2008-08-29 00:00:00,,,,54.02,54.45,53.66,,,,0,9,3
2008-09-02 00:00:00,,,,54.04,55.32,53.7,,,,,,
2008-09-03 00:00:00,,,,54.84,55.48,54,,,,,,
2008-09-04 00:00:00,,,,53.56,54.19,53.21,,,,,,
2008-09-05 00:00:00,,,,53.35,54.21,53.24,,,,,,
2008-09-08 00:00:00,,,,53.69,55.4,53.69,,,,,,
2008-09-09 00:00:00,,,,55.16,55.73,54.78,,,,,,
2008-09-10 00:00:00,,,,54.9,55.18,54.32,,,,,,
2008-09-11 00:00:00,,,,53.82,54.81,53.75,,,,,,
2008-09-12 00:00:00,,,,54.12,54.62,53.25,,,,0,9,3
2008-09-15 00:00:00,,,,53.01,54.12,52.82,,,,,,
2008-09-16 00:00:00,,,,51.97,54.25,51.51,,,,0,10,3
2008-09-17 00:00:00,,,,52.66,53.12,48.16,,,,0,10,3
2008-09-18 00:00:00,,,,50.5,52.75,50,,,,,,
2008-09-19 00:00:00,,,,51.99,52,50,,,,,,
2008-09-22 00:00:00,,,,51.95,51.97,49.62,,,,,,
2008-09-23 00:00:00,,,,49.75,50.8,49.25,,,,,,
2008-09-24 00:00:00,,,,49.04,50.19,48.95,,,,0,10,3
2008-09-25 00:00:00,,,,50.38,51.99,49.71,,,,,,
2008-09-26 00:00:00,,,,50.55,51.38,50.18,,,,,,
2008-09-29 00:00:00,,,,50.01,50.87,46.8,,,,,,
2008-09-30 00:00:00,,,,48.2,49.75,48.1,,,,,,
2008-10-01 00:00:00,,,,47.43,50.81,47.4,,,,,,
2008-10-02 00:00:00,,,,50.73,51.95,48.75,,,,0,10,3
2008-10-03 00:00:00,,,,49.75,51.78,49.45,,,,,,
2008-10-06 00:00:00,,,,49.15,49.5,44,,,,,,
2008-10-07 00:00:00,,,,47.65,47.67,43.78,,,,,,
2008-10-08 00:00:00,,,,42.5,45.27,42.27,,,,0,10,3
2008-10-09 00:00:00,,,,44.34,45,38.45,,,,,,
2008-10-10 00:00:00,,,,36.1,44.91,33.3,,,,0,11,2
2008-10-13 00:00:00,,,,42.5,45.92,41.49,,,,0,12,1
2008-10-14 00:00:00,,,,46,46.5,42.2,,,,,,
2008-10-15 00:00:00,,,,43.8,44.5,39.78,,,,,,
2008-10-16 00:00:00,,,,41,43.85,39.4,,,,0,12,1
2008-10-17 00:00:00,,,,42.84,45.48,42.41,,,,0,12,1
2008-10-20 00:00:00,,,,43.26,45.09,43,,,,0,12,1
2008-10-21 00:00:00,,,,43.26,43.88,41.67,,,,,,
2008-10-22 00:00:00,,,,42.5,43.27,40.3,,,,0,12,1
2008-10-23 00:00:00,,,,40.23,43.72,40,,,,0,13,1
2008-10-24 00:00:00,,,,40,41.5,39.5,,,,,,
2008-10-27 00:00:00,,,,39.5,40.25,38.87,,,,,,
2008-10-28 00:00:00,,,,39.98,42.98,38.27,,,,,,
