Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,35,35.5,34.8125,,,,0,3,0
2000-05-02 00:00:00,,,,35.1875,35.75,33.9375,,,,,,
2000-05-03 00:00:00,,,,33.875,34.125,33.25,,,,,,
2000-05-04 00:00:00,,,,33.8125,34.75,33.5,,,,,,
2000-05-05 00:00:00,,,,34.4375,35,34.0625,,,,,,
2000-05-08 00:00:00,,,,34.875,36.5,34.875,,,,,,
2000-05-09 00:00:00,,,,36.875,36.875,35.5625,,,,,,
2000-05-10 00:00:00,,,,36.75,37.1875,36.5625,,,,,,
2000-05-11 00:00:00,,,,37.0625,38,37.0625,,,,,,
2000-05-12 00:00:00,,,,37.75,37.75,36.5,,,,,,
2000-05-15 00:00:00,,,,37.125,38.125,37.0625,,,,,,
2000-05-16 00:00:00,,,,37.6875,37.75,36.5,,,,,,
2000-05-17 00:00:00,,,,37.375,37.375,35.75,,,,,,
2000-05-18 00:00:00,,,,36.5,37.375,36.4375,,,,,,
2000-05-19 00:00:00,,,,36.5625,36.8125,36.0625,,,,,,
2000-05-22 00:00:00,,,,36.75,37.3125,36.625,,,,,,
2000-05-23 00:00:00,,,,37.3125,37.3125,36.1875,,,,,,
2000-05-24 00:00:00,,,,36.875,37.625,36.8125,,,,,,
2000-05-25 00:00:00,,,,37.25,37.3125,35.8125,,,,,,
2000-05-26 00:00:00,,,,35.625,36.875,35.625,,,,,,
2000-05-30 00:00:00,,,,36.375,36.4375,35.25,,,,,,
2000-05-31 00:00:00,,,,36.1875,36.4375,35.75,,,,,,
2000-06-01 00:00:00,,,,35.75,36,35.3125,,,,,,
2000-06-02 00:00:00,,,,35.625,35.6875,34.875,,,,,,
2000-06-05 00:00:00,,,,35.375,35.375,33.6875,,,,,,
2000-06-06 00:00:00,,,,34,35.1875,33.625,,,,,,
2000-06-07 00:00:00,,,,35,35.375,34.4375,,,,,,
2000-06-08 00:00:00,,,,34.5625,34.625,33.625,,,,,,
2000-06-09 00:00:00,,,,34.5,35,34.5,,,,,,
2000-06-12 00:00:00,,,,34.875,35.5,34.75,,,,,,
2000-06-13 00:00:00,,,,34.875,36,34.875,,,,,,
2000-06-14 00:00:00,,,,35.75,35.75,35.0625,,,,,,
2000-06-15 00:00:00,,,,35.125,35.9375,35.125,,,,,,
2000-06-16 00:00:00,,,,35.875,36.25,35.75,,,,,,
2000-06-19 00:00:00,,,,35.875,35.9375,35.4375,,,,,,
2000-06-20 00:00:00,,,,35.5625,35.875,35.1875,,,,,,
2000-06-21 00:00:00,,,,35.6875,36.3125,35.5625,,,,,,
2000-06-22 00:00:00,,,,35.75,35.75,34.125,,,,,,
2000-06-23 00:00:00,,,,34.75,35.5,34.625,,,,,,
2000-06-26 00:00:00,,,,35.125,35.4375,35.0625,,,,,,
2000-06-27 00:00:00,,,,35.5,35.5,34,,,,,,
2000-06-28 00:00:00,,,,34.4375,35.5,33.6875,,,,,,
2000-06-29 00:00:00,,,,35.125,35.5,34.625,,,,,,
2000-06-30 00:00:00,,,,34.8125,35.875,33.875,,,,,,
2000-07-03 00:00:00,,,,33.9375,35.4375,33.8125,,,,,,
2000-07-05 00:00:00,,,,35.5,36.5,35.125,,,,,,
2000-07-06 00:00:00,,,,35.5,35.875,34.9375,,,,,,
2000-07-07 00:00:00,,,,35,35.5,34.9375,,,,0,3,0
2000-07-10 00:00:00,,,,35.1875,36.1875,35.1875,,,,,,
2000-07-11 00:00:00,,,,35.5625,36.3125,35.4375,,,,,,
2000-07-12 00:00:00,,,,36.3125,36.5,35.9375,,,,,,
2000-07-13 00:00:00,,,,36,36.875,36,,,,,,
2000-07-14 00:00:00,,,,37.875,38,37.0625,,,,0,3,0
2000-07-17 00:00:00,,,,37.125,37.75,37.0625,,,,0,3,0
2000-07-18 00:00:00,,,,37.375,38,36.8125,,,,,,
2000-07-19 00:00:00,,,,36.9375,38,36.875,,,,,,
2000-07-20 00:00:00,,,,37.625,37.75,37.3125,,,,,,
2000-07-21 00:00:00,,,,37.625,39.1875,37.625,,,,0,3,1
2000-07-24 00:00:00,,,,37.6875,38.375,37.0625,,,,,,
2000-07-25 00:00:00,,,,38.25,39.5625,38.25,,,,,,
2000-07-26 00:00:00,,,,38.375,38.875,38.375,,,,,,
2000-07-27 00:00:00,,,,38.625,39.5,38.5625,,,,,,
