Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,26.875,27.375,26.75,,,,0,5,0
2000-05-02 00:00:00,,,,27.125,27.625,27.031,,,,,,
2000-05-03 00:00:00,,,,26.688,26.844,26.313,,,,,,
2000-05-04 00:00:00,,,,26.375,27.125,26.344,,,,,,
2000-05-05 00:00:00,,,,26.531,27.844,26.469,,,,,,
2000-05-08 00:00:00,,,,27.219,27.906,27.188,,,,,,
2000-05-09 00:00:00,,,,27.438,28.188,27.375,,,,,,
2000-05-10 00:00:00,,,,27.75,28.313,27.219,,,,,,
2000-05-11 00:00:00,,,,27.5,28.219,27.469,,,,,,
2000-05-12 00:00:00,,,,27.906,27.938,27.156,,,,,,
2000-05-15 00:00:00,,,,27.438,28.625,27.438,,,,,,
2000-05-16 00:00:00,,,,28.406,28.406,27.656,,,,,,
2000-05-17 00:00:00,,,,28.188,28.188,27.625,,,,,,
2000-05-18 00:00:00,,,,27.625,27.969,27.438,,,,,,
2000-05-19 00:00:00,,,,27.125,27.625,27.125,,,,,,
2000-05-22 00:00:00,,,,27.5,28.063,27.375,,,,,,
2000-05-23 00:00:00,,,,27.719,27.719,26.813,,,,,,
2000-05-24 00:00:00,,,,27.25,27.875,27.25,,,,,,
2000-05-25 00:00:00,,,,26.75,26.781,25.125,,,,,,
2000-05-26 00:00:00,,,,25.688,25.875,25.188,,,,,,
2000-05-30 00:00:00,,,,25.656,26,25.281,,,,,,
2000-05-31 00:00:00,,,,25.25,25.5,24.781,,,,,,
2000-06-01 00:00:00,,,,24.813,24.938,24,,,,,,
2000-06-02 00:00:00,,,,24.75,25.25,24.563,,,,0,5,0
2000-06-05 00:00:00,,,,25,25.156,24.313,,,,,,
2000-06-06 00:00:00,,,,24.5,24.531,24.063,,,,0,5,0
2000-06-07 00:00:00,,,,24.375,24.438,23.969,,,,,,
2000-06-08 00:00:00,,,,24.031,24.25,23.875,,,,,,
2000-06-09 00:00:00,,,,23.969,24,23.813,,,,,,
2000-06-12 00:00:00,,,,24,24.469,23.969,,,,,,
2000-06-13 00:00:00,,,,24.438,24.531,23.5,,,,,,
2000-06-14 00:00:00,,,,23.5,24.219,23.5,,,,0,5,0
2000-06-15 00:00:00,,,,24,24.031,23.25,,,,,,
2000-06-16 00:00:00,,,,23.156,23.469,23.063,,,,0,5,0
2000-06-19 00:00:00,,,,23.188,23.281,22.125,,,,,,
2000-06-20 00:00:00,,,,22.25,22.406,21.25,,,,,,
2000-06-21 00:00:00,,,,22,22.063,20.875,,,,,,
2000-06-22 00:00:00,,,,21.063,21.781,20.781,,,,0,6,0
2000-06-23 00:00:00,,,,21.5,21.656,21.188,,,,,,
2000-06-26 00:00:00,,,,21.656,21.656,21.281,,,,,,
2000-06-27 00:00:00,,,,21.5,22.5,21.313,,,,,,
2000-06-28 00:00:00,,,,22.344,23.094,21.75,,,,,,
2000-06-29 00:00:00,,,,22.625,23.031,22.094,,,,,,
2000-06-30 00:00:00,,,,22.531,22.594,21.969,,,,0,6,0
2000-07-03 00:00:00,,,,22.281,23,22.25,,,,,,
2000-07-05 00:00:00,,,,22.625,22.969,22.188,,,,,,
2000-07-06 00:00:00,,,,22.375,22.375,21.906,,,,,,
2000-07-07 00:00:00,,,,22.094,22.344,21.781,,,,,,
2000-07-10 00:00:00,,,,21.75,22.25,21.656,,,,,,
