Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,1,1
2000-06-01 00:00:00,,,,,,,,,,0,1,1
2000-06-02 00:00:00,,,,,,,,,,0,1,1
2001-01-11 00:00:00,,,,,,,,,,0,2,0
2001-01-31 00:00:00,,,,,,,,,,0,2,0
2001-02-28 00:00:00,,,,,,,,,,0,2,0
2001-03-28 00:00:00,,,,,,,,,,0,2,0
2001-04-02 00:00:00,,,,,,,,,,0,2,0
2001-04-06 00:00:00,,,,,,,,,,0,2,1
2001-05-02 00:00:00,,,,,,,,,,0,3,0
2001-05-15 00:00:00,,,,,,,,,,0,3,0
2001-06-05 00:00:00,,,,,,,,,,0,3,0
2001-06-08 00:00:00,,,,,,,,,,0,3,0
2001-07-25 00:00:00,,,,,,,,,,0,3,0
2001-08-03 00:00:00,,,,,,,,,,0,3,0
2001-08-06 00:00:00,,,,,,,,,,0,2,1
2001-08-16 00:00:00,,,,,,,,,,0,2,1
2001-10-24 00:00:00,,,,,,,,,,0,2,1
2001-11-05 00:00:00,,,,,,,,,,0,2,1
2001-12-05 00:00:00,,,,,,,,,,0,2,1
2002-01-14 00:00:00,,,,,,,,,,0,2,1
2002-01-24 00:00:00,,,,,,,,,,0,2,1
2002-07-08 00:00:00,,,,,,,,,,0,2,1
2002-10-25 00:00:00,,,,,,,,,,0,2,1
2002-11-18 00:00:00,,,,,,,,,,0,1,2
2002-12-11 00:00:00,,,,,,,,,,0,1,3
2003-01-13 00:00:00,,,,,,,,,,0,1,3
2003-01-14 00:00:00,,,,,,,,,,0,1,3
2003-01-15 00:00:00,,,,,,,,,,0,1,3
2003-01-17 00:00:00,,,,,,,,,,0,1,3
2003-01-28 00:00:00,,,,,,,,,,0,1,3
2003-01-30 00:00:00,,,,,,,,,,0,1,3
2003-02-26 00:00:00,,,,,,,,,,0,1,3
2003-03-21 00:00:00,,,,,,,,,,0,1,3
2003-04-03 00:00:00,,,,,,,,,,0,1,3
2003-04-09 00:00:00,,,,,,,,,,0,1,4
2003-04-14 00:00:00,,,,,,,,,,0,1,4
2003-04-16 00:00:00,,,,,,,,,,0,1,4
2003-04-23 00:00:00,,,,,,,,,,0,1,4
2003-04-24 00:00:00,,,,,,,,,,0,2,3
2003-04-25 00:00:00,,,,,,,,,,0,2,3
2003-05-08 00:00:00,,,,,,,,,,0,3,2
2003-05-12 00:00:00,,,,,,,,,,0,3,2
2003-05-29 00:00:00,,,,,,,,,,0,3,2
2003-05-30 00:00:00,,,,,,,,,,0,3,2
2003-06-11 00:00:00,,,,,,,,,,0,3,2
2003-06-13 00:00:00,,,,,,,,,,0,3,2
2003-06-16 00:00:00,,,,,,,,,,0,3,2
2003-06-23 00:00:00,,,,,,,,,,0,3,2
2003-06-30 00:00:00,,,,,,,,,,0,3,2
2003-07-10 00:00:00,,,,,,,,,,0,3,2
2003-07-14 00:00:00,,,,,,,,,,0,3,2
2003-07-21 00:00:00,,,,,,,,,,0,3,2
2003-07-28 00:00:00,,,,,,,,,,0,3,2
2003-08-04 00:00:00,,,,,,,,,,0,3,2
2003-08-08 00:00:00,,,,,,,,,,0,3,2
2003-08-11 00:00:00,,,,,,,,,,0,3,2
2003-08-12 00:00:00,,,,,,,,,,0,3,2
2003-08-19 00:00:00,,,,,,,,,,0,3,2
2003-08-22 00:00:00,,,,,,,,,,0,3,2
2003-09-02 00:00:00,,,,,,,,,,0,3,2
2003-09-15 00:00:00,,,,,,,,,,0,3,2
2003-10-09 00:00:00,,,,,,,,,,0,3,2
2003-10-23 00:00:00,,,,,,,,,,0,3,2
2003-10-27 00:00:00,,,,,,,,,,0,3,2
2003-11-04 00:00:00,,,,,,,,,,0,3,2
2003-11-17 00:00:00,,,,,,,,,,0,3,2
2003-11-18 00:00:00,,,,,,,,,,0,3,2
2003-12-16 00:00:00,,,,,,,,,,0,3,2
2004-01-08 00:00:00,,,,,,,,,,0,3,2
2004-01-15 00:00:00,,,,,,,,,,0,2,2
2004-02-03 00:00:00,,,,,,,,,,0,2,2
2004-02-10 00:00:00,,,,,,,,,,1,2,1
2004-02-13 00:00:00,,,,,,,,,,0,2,2
2004-03-23 00:00:00,,,,,,,,,,0,2,2
2004-04-06 00:00:00,,,,,,,,,,0,2,2
2004-04-16 00:00:00,,,,,,,,,,0,2,2
2004-04-23 00:00:00,,,,,,,,,,0,2,2
2004-05-10 00:00:00,,,,,,,,,,1,2,1
2004-05-27 00:00:00,,,,,,,,,,1,2,1
2004-06-15 00:00:00,,,,,,,,,,1,2,1
2004-07-15 00:00:00,,,,,,,,,,1,2,1
2004-07-19 00:00:00,,,,,,,,,,0,2,2
2004-08-03 00:00:00,,,,,,,,,,0,2,2
2004-08-04 00:00:00,,,,,,,,,,0,2,2
2004-08-11 00:00:00,,,,,,,,,,0,2,2
2004-10-04 00:00:00,,,,,,,,,,0,2,2
2004-10-25 00:00:00,,,,,,,,,,0,2,2
2004-10-27 00:00:00,,,,,,,,,,0,2,2
2004-11-04 00:00:00,,,,,,,,,,0,2,2
2004-11-12 00:00:00,,,,,,,,,,0,2,2
2004-11-15 00:00:00,,,,,,,,,,0,2,2
2004-11-16 00:00:00,,,,,,,,,,0,2,2
2004-11-18 00:00:00,,,,,,,,,,0,1,2
2004-11-24 00:00:00,,,,,,,,,,0,1,2
2004-12-14 00:00:00,,,,,,,,,,0,1,2
2004-12-27 00:00:00,,,,,,,,,,0,1,2
2005-01-03 00:00:00,,,,,,,,,,0,1,2
2005-01-10 00:00:00,,,,,,,,,,0,1,2
2005-02-01 00:00:00,,,,,,,,,,0,1,3
2005-02-03 00:00:00,,,,,,,,,,0,1,3
2005-03-14 00:00:00,,,,,,,,,,0,1,3
2005-03-15 00:00:00,,,,,,,,,,0,1,4
2005-03-16 00:00:00,,,,,,,,,,0,1,4
2005-04-11 00:00:00,,,,,,,,,,0,1,4
2005-04-18 00:00:00,,,,,,,,,,0,1,4
2005-05-05 00:00:00,,,,,,,,,,0,0,4
2005-05-06 00:00:00,,,,,,,,,,0,0,4
2005-05-12 00:00:00,,,,,,,,,,0,0,4
2005-05-23 00:00:00,,,,,,,,,,0,0,5
2005-06-09 00:00:00,,,,,,,,,,0,0,5
2005-06-10 00:00:00,,,,,,,,,,0,0,5
2005-06-13 00:00:00,,,,,,,,,,0,1,5
2005-06-15 00:00:00,,,,,,,,,,0,1,5
2005-06-20 00:00:00,,,,,,,,,,0,1,5
2005-06-21 00:00:00,,,,,,,,,,0,1,5
2005-07-14 00:00:00,,,,,,,,,,0,1,5
2005-07-22 00:00:00,,,,,,,,,,0,1,5
2005-08-03 00:00:00,,,,,,,,,,0,1,5
2005-09-02 00:00:00,,,,,,,,,,0,2,4
2005-09-07 00:00:00,,,,,,,,,,0,2,4
2005-09-08 00:00:00,,,,,,,,,,0,2,4
2005-09-26 00:00:00,,,,,,,,,,0,2,4
2005-10-25 00:00:00,,,,,,,,,,0,2,4
2005-10-28 00:00:00,,,,,,,,,,0,1,5
2005-10-31 00:00:00,,,,,,,,,,0,1,5
2005-11-02 00:00:00,,,,,,,,,,0,2,4
