Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,33.25,34.21,32,,,,,,
2012-04-13 00:00:00,,,,34,37.26,33.91,,,,,,
2012-04-16 00:00:00,,,,37,37,36,,,,,,
2012-04-17 00:00:00,,,,36.75,36.75,36,,,,,,
2012-04-18 00:00:00,,,,35.77,36.44,35.35,,,,,,
2012-04-19 00:00:00,,,,36,37.22,35.8,,,,,,
2012-04-20 00:00:00,,,,36.13,37,36.1,,,,,,
2012-04-23 00:00:00,,,,36.24,36.24,35.51,,,,,,
2012-04-24 00:00:00,,,,36,36,34.71,,,,,,
2012-04-25 00:00:00,,,,34.8,35.5,34.52,,,,,,
2012-04-26 00:00:00,,,,34.61,34.95,34.45,,,,,,
2012-04-27 00:00:00,,,,35.25,35.25,33.97,,,,,,
2012-04-30 00:00:00,,,,34.34,34.89,34.02,,,,,,
2012-05-01 00:00:00,,,,33.4,34.1,32.71,,,,0,1,2
2012-05-02 00:00:00,,,,32.57,32.58,31.63,,,,0,2,5
2012-05-03 00:00:00,,,,31.6,31.98,31.05,,,,0,2,6
2012-05-04 00:00:00,,,,30.85,31.09,30.12,,,,,,
2012-05-07 00:00:00,,,,30.05,30.53,29.25,,,,,,
2012-05-08 00:00:00,,,,28.77,30.41,28.75,,,,,,
2012-05-09 00:00:00,,,,29.82,32.89,29.75,,,,0,3,7
2012-05-10 00:00:00,,,,33.33,33.35,31.52,,,,,,
2012-05-11 00:00:00,,,,31.73,32.13,31.41,,,,,,
2012-05-14 00:00:00,,,,31.16,31.58,30.77,,,,0,3,7
2012-05-15 00:00:00,,,,31.37,32.3,31.15,,,,0,4,7
2012-05-16 00:00:00,,,,31.35,32.39,31.25,,,,0,4,7
2012-05-17 00:00:00,,,,31.78,32,31.2,,,,,,
2012-05-18 00:00:00,,,,31.51,31.68,31,,,,0,6,7
2012-05-21 00:00:00,,,,31.3,32.34,30.96,,,,0,6,7
2012-05-22 00:00:00,,,,31.85,32.27,31.33,,,,,,
2012-05-23 00:00:00,,,,31.25,31.47,30.88,,,,,,
2012-05-24 00:00:00,,,,31.44,31.44,30.75,,,,,,
2012-05-25 00:00:00,,,,31.07,31.4,31,,,,,,
2012-05-29 00:00:00,,,,31.26,31.71,30.87,,,,0,6,7
2012-05-30 00:00:00,,,,30.5,30.81,30.18,,,,,,
2012-05-31 00:00:00,,,,30.13,30.31,29.72,,,,,,
2012-06-01 00:00:00,,,,29.68,30.16,29.38,,,,,,
2012-06-04 00:00:00,,,,29.29,30.19,29.25,,,,,,
2012-06-05 00:00:00,,,,29.37,30.1,29.37,,,,0,6,7
2012-06-06 00:00:00,,,,30.25,32,30.08,,,,0,6,7
2012-06-07 00:00:00,,,,32.44,32.75,31.74,,,,,,
2012-06-08 00:00:00,,,,31.6,32.35,31.52,,,,0,6,7
2012-06-11 00:00:00,,,,32.45,33.05,32.23,,,,,,
2012-06-12 00:00:00,,,,32.57,33.73,32.5,,,,,,
2012-06-13 00:00:00,,,,33.13,33.48,32.55,,,,,,
2012-06-14 00:00:00,,,,32.77,33.64,32.31,,,,,,
2012-06-15 00:00:00,,,,33.88,34.91,33.4,,,,,,
2012-06-18 00:00:00,,,,34.4,34.5,33.83,,,,0,6,7
2012-06-19 00:00:00,,,,34.04,34.53,33.74,,,,0,6,7
2012-06-20 00:00:00,,,,34,34.83,33.71,,,,,,
2012-06-21 00:00:00,,,,34.73,34.75,33.07,,,,,,
2012-06-22 00:00:00,,,,33.51,34.7,33.03,,,,,,
2012-06-25 00:00:00,,,,33.55,33.55,32.76,,,,0,6,7
2012-06-26 00:00:00,,,,32.81,33.97,32.4,,,,0,6,7
2012-06-27 00:00:00,,,,32.71,33.4,31.42,,,,,,
2012-06-28 00:00:00,,,,31.5,32.4,31.29,,,,0,6,7
2012-06-29 00:00:00,,,,33.25,33.33,32.65,,,,,,
2012-07-02 00:00:00,,,,33.65,34.3,33.65,,,,0,7,6
2012-07-03 00:00:00,,,,34.02,34.62,33.83,,,,,,
2012-07-05 00:00:00,,,,33.97,34.24,33.6,,,,,,
2012-07-06 00:00:00,,,,33.26,33.66,32.92,,,,,,
2012-07-09 00:00:00,,,,33.08,33.76,32.66,,,,0,7,6
2012-07-10 00:00:00,,,,33.11,33.37,32.5,,,,0,7,6
2012-07-11 00:00:00,,,,32.58,33.64,32.41,,,,0,7,7
2012-07-12 00:00:00,,,,32.93,33.19,32.56,,,,0,7,7
2012-07-13 00:00:00,,,,33.57,35.08,33.51,,,,,,
2012-07-16 00:00:00,,,,34.69,36.12,34.56,,,,0,8,7
2012-07-17 00:00:00,,,,36.16,36.8,35.86,,,,0,8,7
2012-07-18 00:00:00,,,,36.93,37.67,36.6,,,,0,9,7
2012-07-19 00:00:00,,,,36.92,37,35.5,,,,0,9,7
2012-07-20 00:00:00,,,,35.2,35.43,34.91,,,,,,
2012-07-23 00:00:00,,,,34.97,35.28,34.52,,,,0,9,7
2012-07-24 00:00:00,,,,35.33,35.4,34.62,,,,,,
