Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,8.375,8.375,8.0625,,,,0,1,1
2000-05-02 00:00:00,,,,8.25,8.4375,8.25,,,,,,
2000-05-03 00:00:00,,,,8.3125,8.3125,7.9375,,,,,,
2000-05-04 00:00:00,,,,8.1875,8.375,8.0625,,,,,,
2000-05-05 00:00:00,,,,8.125,8.3125,8.125,,,,,,
2000-05-08 00:00:00,,,,8.3125,8.375,8.1875,,,,,,
2000-05-09 00:00:00,,,,8.3125,8.3125,8.125,,,,,,
2000-05-10 00:00:00,,,,8.125,8.125,7.75,,,,,,
2000-05-11 00:00:00,,,,7.9375,8,7.75,,,,,,
2000-05-12 00:00:00,,,,7.875,7.9375,7.6875,,,,,,
2000-05-15 00:00:00,,,,7.625,7.9375,7.5,,,,0,1,1
2000-05-16 00:00:00,,,,7.9375,7.9375,7.625,,,,,,
2000-05-17 00:00:00,,,,7.75,7.9375,7.625,,,,,,
2000-05-18 00:00:00,,,,7.875,8.125,7.875,,,,,,
2000-05-19 00:00:00,,,,8.0625,8.75,8.0625,,,,,,
2000-05-22 00:00:00,,,,8.9375,8.9375,8.75,,,,,,
2000-05-23 00:00:00,,,,8.875,8.875,8.1875,,,,,,
2000-05-24 00:00:00,,,,7.9375,8.1875,7.9375,,,,,,
2000-05-25 00:00:00,,,,7.9375,8.625,7.9375,,,,,,
2000-05-26 00:00:00,,,,8.125,8.375,8.0625,,,,,,
2000-05-30 00:00:00,,,,8.1875,8.4375,8.0625,,,,,,
2000-05-31 00:00:00,,,,8.3125,8.875,8.3125,,,,,,
2000-06-01 00:00:00,,,,8.625,8.8125,8.625,,,,,,
2000-06-02 00:00:00,,,,8.75,8.9375,8.6875,,,,,,
2000-06-05 00:00:00,,,,8.8125,9.0625,8.8125,,,,,,
2000-06-06 00:00:00,,,,9.125,9.125,9,,,,,,
2000-06-07 00:00:00,,,,9.125,9.875,9.125,,,,,,
2000-06-08 00:00:00,,,,9.75,9.75,9.25,,,,,,
2000-06-09 00:00:00,,,,9.3125,9.375,9.25,,,,,,
2000-06-12 00:00:00,,,,9.4375,9.5625,9.3125,,,,,,
2000-06-13 00:00:00,,,,9.4375,9.625,9.25,,,,,,
2000-06-14 00:00:00,,,,9.625,9.875,9.625,,,,,,
2000-06-15 00:00:00,,,,9.875,10.375,9.75,,,,0,1,1
