Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,46.625,49.75,46.625,,,,0,6,0
2000-05-02 00:00:00,,,,49.75,50.5,49,,,,,,
2000-05-03 00:00:00,,,,48.9375,48.9375,46.8125,,,,,,
2000-05-04 00:00:00,,,,53,54,50.3125,,,,0,6,0
2000-05-05 00:00:00,,,,52.875,57.875,52.5625,,,,0,6,0
2000-05-08 00:00:00,,,,55.75,55.75,52.5625,,,,,,
2000-05-09 00:00:00,,,,53,53.875,51.625,,,,,,
2000-05-10 00:00:00,,,,52.1875,52.1875,47.625,,,,,,
2000-05-11 00:00:00,,,,50.5,55.75,50.5,,,,0,7,0
2000-05-12 00:00:00,,,,55.625,56.875,52.75,,,,,,
2000-05-15 00:00:00,,,,52.8125,54,51.25,,,,,,
2000-05-16 00:00:00,,,,53.3125,54.5625,53.25,,,,,,
2000-05-17 00:00:00,,,,53.75,54.9375,53.375,,,,,,
2000-05-18 00:00:00,,,,54.625,55.375,52.5,,,,,,
2000-05-19 00:00:00,,,,52,52.1875,50,,,,,,
2000-05-22 00:00:00,,,,51.875,52.75,50,,,,,,
2000-05-23 00:00:00,,,,50,50,47.1875,,,,,,
2000-05-24 00:00:00,,,,47.5625,47.5625,40.75,,,,,,
2000-05-25 00:00:00,,,,45,47.9375,43.5,,,,0,7,0
2000-05-26 00:00:00,,,,44.75,45.625,43.6875,,,,,,
2000-05-30 00:00:00,,,,45.625,48.125,45.375,,,,,,
2000-05-31 00:00:00,,,,47.875,50.375,46.875,,,,,,
2000-06-01 00:00:00,,,,48.625,49.5,47.9375,,,,,,
2000-06-02 00:00:00,,,,50.25,51.75,48,,,,0,7,0
2000-06-05 00:00:00,,,,49.625,49.625,48.3125,,,,,,
2000-06-06 00:00:00,,,,53,53.875,52.0625,,,,,,
2000-06-07 00:00:00,,,,53.25,58.375,53.25,,,,,,
2000-06-08 00:00:00,,,,57.125,59.25,57.125,,,,0,6,1
2000-06-09 00:00:00,,,,57.375,58.375,56.625,,,,0,7,1
2000-06-12 00:00:00,,,,58.125,59.625,57.5625,,,,0,7,1
2000-06-13 00:00:00,,,,57.9375,58.5625,56.875,,,,,,
2000-06-14 00:00:00,,,,58,60,58,,,,,,
2000-06-15 00:00:00,,,,58.5625,61.875,58.0625,,,,,,
2000-06-16 00:00:00,,,,61.5625,62.125,59.8125,,,,0,7,1
2000-06-19 00:00:00,,,,63,63.125,60,,,,,,
2000-06-20 00:00:00,,,,61.9375,61.9375,59.5,,,,0,7,1
2000-06-21 00:00:00,,,,59.9375,60.25,57.75,,,,,,
2000-06-22 00:00:00,,,,58.4375,58.4375,57.0625,,,,,,
2000-06-23 00:00:00,,,,57.9375,58.375,56.8125,,,,,,
2000-06-26 00:00:00,,,,57.9375,58,56.125,,,,,,
2000-06-27 00:00:00,,,,57.0625,59.25,56.625,,,,,,
2000-06-28 00:00:00,,,,56.875,56.875,53.25,,,,,,
2000-06-29 00:00:00,,,,55,55.25,51.0625,,,,,,
2000-06-30 00:00:00,,,,51.375,55,47.5,,,,,,
2000-07-03 00:00:00,,,,54.25,54.75,53.75,,,,,,
2000-07-05 00:00:00,,,,54,58.6875,53.625,,,,,,
2000-07-06 00:00:00,,,,58.125,58.6875,55.25,,,,,,
2000-07-07 00:00:00,,,,58.75,59.875,56.75,,,,,,
2000-07-10 00:00:00,,,,57,57.0625,51.625,,,,,,
2000-07-11 00:00:00,,,,50.75,50.75,44,,,,,,
2000-07-12 00:00:00,,,,45.875,48.5625,45.75,,,,0,7,1
2000-07-13 00:00:00,,,,48.5625,49.4375,46.1875,,,,,,
2000-07-14 00:00:00,,,,47.3125,47.3125,45,,,,,,
2000-07-17 00:00:00,,,,46,46.25,43.125,,,,,,
2000-07-18 00:00:00,,,,43.8125,44.625,43.5625,,,,,,
2000-07-19 00:00:00,,,,43.6875,43.6875,41.25,,,,,,
2000-07-20 00:00:00,,,,44.5,45.5,44.25,,,,,,
2000-07-21 00:00:00,,,,45,45,43.75,,,,0,7,1
2000-07-24 00:00:00,,,,44.25,45.125,43.875,,,,0,7,1
2000-07-25 00:00:00,,,,45,46,44.9375,,,,,,
2000-07-26 00:00:00,,,,46.375,47.5,45.9375,,,,,,
2000-07-27 00:00:00,,,,47.5,47.5,44.3125,,,,,,
2000-07-28 00:00:00,,,,44.4375,44.6875,43.8125,,,,0,7,1
2000-07-31 00:00:00,,,,45.4375,47.25,45,,,,,,
2000-08-01 00:00:00,,,,45.75,46.125,45.3125,,,,,,
2000-08-02 00:00:00,,,,47.125,47.625,44.75,,,,0,7,1
2000-08-03 00:00:00,,,,45,45.5,44.1875,,,,,,
2000-08-04 00:00:00,,,,44.25,44.625,41.75,,,,,,
2000-08-07 00:00:00,,,,42.25,42.8125,41.75,,,,0,7,1
