Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,38,39.75,36,,,,,,
2015-07-07 00:00:00,,,,37.72,37.81,36,,,,0,1,1
2015-07-08 00:00:00,,,,36.34,36.36,34.53,,,,,,
2015-07-09 00:00:00,,,,35.1,35.51,33.99,,,,0,1,2
2015-07-10 00:00:00,,,,34.66,35.17,33.99,,,,,,
2015-07-13 00:00:00,,,,35.59,37.5,35.545,,,,0,3,2
2015-07-14 00:00:00,,,,36.99,37.7,36.6,,,,0,4,2
2015-07-15 00:00:00,,,,37.98,38.2,37.03,,,,,,
2015-07-16 00:00:00,,,,38.97,39.96,38.09,,,,0,4,2
2015-07-17 00:00:00,,,,39.42,40.2,38.19,,,,1,4,3
2015-07-20 00:00:00,,,,41.63,42.5,39.8,,,,1,14,4
2015-07-21 00:00:00,,,,41.1,41.1,39.125,,,,2,17,5
2015-07-22 00:00:00,,,,39.4,39.7,38.105,,,,2,19,6
2015-07-23 00:00:00,,,,38.74,38.75,36.93,,,,2,19,8
2015-07-24 00:00:00,,,,37.72,38,36.91,,,,2,19,8
2015-07-27 00:00:00,,,,36.78,37.38,36.22,,,,2,20,8
2015-07-28 00:00:00,,,,37,37.995,36.83,,,,2,21,8
2015-07-29 00:00:00,,,,38.06,38.09,37.62,,,,2,21,8
2015-07-30 00:00:00,,,,38.23,39.01,37.72,,,,2,21,8
2015-07-31 00:00:00,,,,39.14,39.19,38.22,,,,2,21,8
2015-08-03 00:00:00,,,,39.27,39.88,38.91,,,,2,21,8
2015-08-04 00:00:00,,,,39.91,39.91,38.44,,,,2,21,8
2015-08-05 00:00:00,,,,39.73,39.88,39.18,,,,2,21,8
2015-08-06 00:00:00,,,,39.64,39.73,38.55,,,,2,22,8
2015-08-07 00:00:00,,,,38.9,39.22,38.6,,,,2,23,8
2015-08-10 00:00:00,,,,39.5,39.67,38.78,,,,2,23,8
2015-08-11 00:00:00,,,,38.93,39.28,38.73,,,,2,23,8
2015-08-12 00:00:00,,,,38.55,38.55,37.01,,,,2,23,8
2015-08-13 00:00:00,,,,38.4,38.49,37.45,,,,2,23,8
2015-08-14 00:00:00,,,,37.48,38.18,37.38,,,,2,23,8
2015-08-17 00:00:00,,,,38.3,38.74,37.7,,,,2,23,8
2015-08-18 00:00:00,,,,39,39,37.87,,,,2,23,8
2015-08-19 00:00:00,,,,37.87,38.1,37.04,,,,2,23,9
2015-08-20 00:00:00,,,,36.79,37.34,35.89,,,,2,23,9
2015-08-21 00:00:00,,,,35.57,36.08,33.83,,,,2,23,9
2015-08-24 00:00:00,,,,31.17,34.84,30,,,,2,23,9
2015-08-25 00:00:00,,,,35.44,35.46,32.7,,,,2,24,8
2015-08-26 00:00:00,,,,33.74,33.84,31.71,,,,2,24,8
2015-08-27 00:00:00,,,,34,34.76,33.16,,,,2,23,9
2015-08-28 00:00:00,,,,34.51,35.26,34.37,,,,2,23,9
2015-08-31 00:00:00,,,,35.49,35.51,34.775,,,,2,23,9
2015-09-01 00:00:00,,,,34.24,34.66,33.425,,,,2,23,9
2015-09-02 00:00:00,,,,34.6,35.08,33.84,,,,3,24,9
2015-09-03 00:00:00,,,,34.99,35.46,34.81,,,,3,24,9
2015-09-04 00:00:00,,,,34.71,34.72,33.78,,,,3,24,9
2015-09-08 00:00:00,,,,34.81,34.89,34.26,,,,3,24,10
2015-09-09 00:00:00,,,,34.92,34.94,33.88,,,,3,24,10
2015-09-10 00:00:00,,,,34.23,34.29,32.95,,,,3,24,10
2015-09-11 00:00:00,,,,33.27,33.58,32.61,,,,3,24,10
2015-09-14 00:00:00,,,,33.7,33.94,33.2,,,,3,24,10
2015-09-15 00:00:00,,,,33.72,33.95,32.67,,,,3,24,10
2015-09-16 00:00:00,,,,33.68,34.06,33.38,,,,3,24,10
2015-09-17 00:00:00,,,,33.72,33.98,33.08,,,,3,24,11
2015-09-18 00:00:00,,,,32.9,33.78,32.56,,,,3,25,10
2015-09-21 00:00:00,,,,33.66,34.61,33.45,,,,3,25,10
2015-09-22 00:00:00,,,,33.94,34.1,33.19,,,,3,25,10
2015-09-23 00:00:00,,,,33.49,34.34,33.27,,,,,,
2015-09-24 00:00:00,,,,34,34.07,33.39,,,,3,25,10
2015-09-25 00:00:00,,,,34.6,34.69,33.5,,,,3,26,10
2015-09-28 00:00:00,,,,33.68,33.68,32.16,,,,3,27,9
