Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,2.5781,2.9297,2.5781,,,,1,3,2
2000-05-02 00:00:00,,,,2.875,2.875,2.75,,,,,,
2000-05-03 00:00:00,,,,2.8047,2.9219,2.75,,,,,,
2000-05-04 00:00:00,,,,2.7734,2.8672,2.7734,,,,1,3,2
2000-05-05 00:00:00,,,,2.8672,2.8906,2.7891,,,,,,
2000-05-08 00:00:00,,,,2.8125,2.8594,2.8047,,,,,,
2000-05-09 00:00:00,,,,2.7891,2.8203,2.7031,,,,,,
2000-05-10 00:00:00,,,,2.7813,3.0078,2.7813,,,,,,
2000-05-11 00:00:00,,,,2.9766,2.9766,2.625,,,,,,
2000-05-12 00:00:00,,,,2.7656,2.9531,2.7656,,,,,,
2000-05-15 00:00:00,,,,2.9297,3.1953,2.9219,,,,,,
2000-05-16 00:00:00,,,,3.0313,3.1563,3.0234,,,,,,
2000-05-17 00:00:00,,,,3.0938,3.125,3.0703,,,,,,
2000-05-18 00:00:00,,,,3.0703,3.0859,3.0313,,,,,,
2000-05-19 00:00:00,,,,3.0469,3.0938,3.0156,,,,1,3,2
2000-05-22 00:00:00,,,,3.1094,3.2266,3.0938,,,,,,
2000-05-23 00:00:00,,,,3.1953,3.2656,3.1719,,,,,,
2000-05-24 00:00:00,,,,3.2109,3.3906,3.1953,,,,,,
2000-05-25 00:00:00,,,,3.3594,3.4688,3.3594,,,,,,
2000-05-26 00:00:00,,,,3.4453,3.4844,3.4453,,,,,,
2000-05-30 00:00:00,,,,3.4453,3.4453,3.3359,,,,,,
2000-05-31 00:00:00,,,,3.4375,3.4844,3.3906,,,,,,
2000-06-01 00:00:00,,,,3.5,3.6563,3.4609,,,,1,3,2
2000-06-02 00:00:00,,,,3.5781,3.6563,3.5156,,,,,,
2000-06-05 00:00:00,,,,3.5781,3.7734,3.5781,,,,1,3,2
2000-06-06 00:00:00,,,,3.75,3.7656,3.6328,,,,,,
2000-06-07 00:00:00,,,,3.5781,3.7031,3.5703,,,,,,
2000-06-08 00:00:00,,,,3.6563,3.7031,3.4609,,,,,,
2000-06-09 00:00:00,,,,3.6563,3.8438,3.6563,,,,,,
2000-06-12 00:00:00,,,,3.8125,3.8438,3.7734,,,,1,2,2
2000-06-13 00:00:00,,,,3.9375,3.9922,3.9219,,,,,,
2000-06-14 00:00:00,,,,3.9063,3.9453,3.8125,,,,,,
2000-06-15 00:00:00,,,,3.9063,3.9688,3.875,,,,,,
2000-06-16 00:00:00,,,,3.9219,3.9297,3.8047,,,,,,
2000-06-19 00:00:00,,,,3.8359,3.9297,3.8281,,,,,,
2000-06-20 00:00:00,,,,3.8672,3.875,3.7344,,,,,,
2000-06-21 00:00:00,,,,3.7734,3.7969,3.6641,,,,,,
2000-06-22 00:00:00,,,,3.7813,3.7813,3.7031,,,,,,
2000-06-23 00:00:00,,,,3.7109,3.7578,3.3281,,,,,,
2000-06-26 00:00:00,,,,3.5938,3.7656,3.5469,,,,0,3,1
2000-06-27 00:00:00,,,,3.5781,3.7813,3.5,,,,0,3,2
2000-06-28 00:00:00,,,,3.6719,3.6875,3.5469,,,,,,
2000-06-29 00:00:00,,,,3.5469,3.7109,3.5469,,,,,,
2000-06-30 00:00:00,,,,3.6953,3.7031,3.4688,,,,,,
2000-07-03 00:00:00,,,,3.5,3.6328,3.5,,,,,,
2000-07-05 00:00:00,,,,3.625,3.7188,3.6016,,,,,,
2000-07-06 00:00:00,,,,3.7344,3.7344,3.6719,,,,,,
2000-07-07 00:00:00,,,,3.6563,3.7656,3.6563,,,,,,
2000-07-10 00:00:00,,,,3.6719,3.6875,3.6328,,,,,,
2000-07-11 00:00:00,,,,3.6875,3.6875,3.4453,,,,,,
2000-07-12 00:00:00,,,,3.4688,3.5313,3.3359,,,,,,
2000-07-13 00:00:00,,,,3.4063,3.4609,3.3672,,,,,,
2000-07-14 00:00:00,,,,3.3438,3.4766,3.1094,,,,,,
2000-07-17 00:00:00,,,,3.3125,3.375,3.1563,,,,,,
2000-07-18 00:00:00,,,,3.2188,3.4375,3.2188,,,,,,
2000-07-19 00:00:00,,,,3.4219,3.6484,3.4219,,,,,,
2000-07-20 00:00:00,,,,3.5625,3.6016,3.5078,,,,,,
2000-07-21 00:00:00,,,,3.5938,3.6875,3.5703,,,,0,3,2
2000-07-24 00:00:00,,,,3.5938,3.6016,3.4609,,,,0,3,2
2000-07-25 00:00:00,,,,3.4531,3.5156,3.4531,,,,,,
2000-07-26 00:00:00,,,,3.5078,3.5234,3.4844,,,,,,
2000-07-27 00:00:00,,,,3.5078,3.5156,3.4531,,,,,,
2000-07-28 00:00:00,,,,3.5,3.5547,3.4844,,,,,,
2000-07-31 00:00:00,,,,3.5,3.5859,3.4922,,,,,,
2000-08-01 00:00:00,,,,3.5234,3.6172,3.5234,,,,,,
2000-08-02 00:00:00,,,,3.6094,3.7578,3.5859,,,,,,
2000-08-03 00:00:00,,,,3.7656,3.8984,3.7266,,,,,,
2000-08-04 00:00:00,,,,3.8594,3.9063,3.8438,,,,,,
2000-08-07 00:00:00,,,,3.875,3.9766,3.8672,,,,,,
2000-08-08 00:00:00,,,,3.9531,4.0313,3.9297,,,,,,
2000-08-09 00:00:00,,,,3.9688,4.0234,3.9297,,,,,,
2000-08-10 00:00:00,,,,3.9688,4.2109,3.9609,,,,,,
2000-08-11 00:00:00,,,,4.25,4.4531,4.25,,,,,,
2000-08-14 00:00:00,,,,4.3594,4.375,4.2188,,,,,,
2000-08-15 00:00:00,,,,4.25,4.3594,4.2344,,,,,,
2000-08-16 00:00:00,,,,4.4375,4.5469,4.4141,,,,,,
2000-08-17 00:00:00,,,,4.5,4.5313,4.4531,,,,,,
2000-08-18 00:00:00,,,,4.5156,4.6484,4.4766,,,,,,
2000-08-21 00:00:00,,,,4.6094,4.6094,4.5313,,,,,,
2000-08-22 00:00:00,,,,4.6406,4.6406,4.4844,,,,0,4,1
2000-08-23 00:00:00,,,,4.5391,4.6172,4.5078,,,,,,
2000-08-24 00:00:00,,,,4.5469,4.6172,4.5078,,,,,,
2000-08-25 00:00:00,,,,4.5469,4.6563,4.5078,,,,,,
2000-08-28 00:00:00,,,,4.6094,4.6406,4.5938,,,,,,
2000-08-29 00:00:00,,,,4.6094,4.6172,4.4375,,,,,,
2000-08-30 00:00:00,,,,4.4297,4.4609,4.3125,,,,,,
2000-08-31 00:00:00,,,,4.4063,4.5,4.3984,,,,,,
2000-09-01 00:00:00,,,,4.5,4.5313,4.4375,,,,,,
2000-09-05 00:00:00,,,,4.3906,4.625,4.3906,,,,,,
2000-09-06 00:00:00,,,,4.5313,4.6016,4.5234,,,,,,
2000-09-07 00:00:00,,,,4.5859,4.6328,4.5781,,,,,,
2000-09-08 00:00:00,,,,4.5547,4.5625,4.4297,,,,,,
2000-09-11 00:00:00,,,,4.4531,4.4531,4.3828,,,,,,
2000-09-12 00:00:00,,,,4.3984,4.3984,4.2969,,,,,,
2000-09-13 00:00:00,,,,4.3047,4.375,4.2188,,,,0,4,1
2000-09-14 00:00:00,,,,4.2266,4.2266,4.0625,,,,,,
2000-09-15 00:00:00,,,,4,4.0625,4,,,,,,
2000-09-18 00:00:00,,,,4.0313,4.0313,3.8438,,,,,,
2000-09-19 00:00:00,,,,3.8438,3.9766,3.8438,,,,,,
2000-09-20 00:00:00,,,,4.0625,4.0625,3.8672,,,,0,4,1
2000-09-21 00:00:00,,,,3.8828,3.8984,3.7969,,,,0,4,1
2000-09-22 00:00:00,,,,3.8125,3.9531,3.8125,,,,,,
2000-09-25 00:00:00,,,,3.9375,4.0078,3.9297,,,,,,
2000-09-26 00:00:00,,,,3.9922,3.9922,3.8828,,,,0,4,1
2000-09-27 00:00:00,,,,3.9219,4.0781,3.9219,,,,,,
2000-09-28 00:00:00,,,,4.0547,4.2188,4.0547,,,,,,
2000-09-29 00:00:00,,,,4.1484,4.1797,4.0156,,,,,,
2000-10-02 00:00:00,,,,4.0547,4.1328,4.0313,,,,,,
2000-10-03 00:00:00,,,,4.0781,4.125,4.0313,,,,,,
2000-10-04 00:00:00,,,,4.125,4.2344,4.0703,,,,,,
2000-10-05 00:00:00,,,,4.2188,4.2188,4.0625,,,,,,
2000-10-06 00:00:00,,,,4.0781,4.1797,4.0703,,,,,,
2000-10-09 00:00:00,,,,4.0938,4.2344,4.0938,,,,,,
2000-10-10 00:00:00,,,,4.1875,4.1875,4.0547,,,,,,
2000-10-11 00:00:00,,,,4.0469,4.1328,4.0313,,,,,,
2000-10-12 00:00:00,,,,4.1719,4.1797,4.0859,,,,0,5,1
2000-10-13 00:00:00,,,,4.1563,4.1563,3.9375,,,,,,
2000-10-16 00:00:00,,,,3.9844,3.9922,3.875,,,,,,
2000-10-17 00:00:00,,,,3.9688,4.0313,3.9063,,,,,,
2000-10-18 00:00:00,,,,3.9688,3.9766,3.8594,,,,,,
2000-10-19 00:00:00,,,,4,4,3.9063,,,,0,5,1
2000-10-20 00:00:00,,,,4,4.0469,3.9609,,,,,,
2000-10-23 00:00:00,,,,4.0391,4.1953,4.0391,,,,,,
2000-10-24 00:00:00,,,,4.1563,4.2344,4.1563,,,,0,5,1
2000-10-25 00:00:00,,,,4.2422,4.4219,4.1641,,,,,,
2000-10-26 00:00:00,,,,4.3516,4.3516,4.2031,,,,,,
2000-10-27 00:00:00,,,,4.1797,4.3125,4.1719,,,,,,
2000-10-30 00:00:00,,,,4.2969,4.5078,4.2891,,,,,,
2000-10-31 00:00:00,,,,4.5156,4.5234,4.3828,,,,,,
2000-11-01 00:00:00,,,,4.4766,4.5781,4.4375,,,,,,
2000-11-02 00:00:00,,,,4.5078,4.5938,4.4844,,,,,,
2000-11-03 00:00:00,,,,4.5469,4.5469,4.3359,,,,,,
2000-11-06 00:00:00,,,,4.2656,4.5156,4.2344,,,,,,
2000-11-07 00:00:00,,,,4.3281,4.4531,4.3203,,,,,,
2000-11-08 00:00:00,,,,4.4375,4.7188,4.4219,,,,,,
2000-11-09 00:00:00,,,,4.4766,4.4922,4.1875,,,,,,
2000-11-10 00:00:00,,,,4.3516,4.6172,4.25,,,,,,
2000-11-13 00:00:00,,,,4.7188,4.7188,4.3516,,,,,,
2000-11-14 00:00:00,,,,4.3984,4.5938,4.3438,,,,,,
2000-11-15 00:00:00,,,,4.3672,4.4609,4.3125,,,,,,
2000-11-16 00:00:00,,,,4.3281,4.3672,4.2813,,,,,,
2000-11-17 00:00:00,,,,4.2891,4.3984,4.25,,,,,,
2000-11-20 00:00:00,,,,4.3672,4.4766,4.3438,,,,,,
2000-11-21 00:00:00,,,,4.4063,4.4844,4.4063,,,,,,
2000-11-22 00:00:00,,,,4.3906,4.4844,4.1719,,,,,,
2000-11-24 00:00:00,,,,4.4375,4.4844,4.4063,,,,,,
2000-11-27 00:00:00,,,,4.5938,4.6094,4.5391,,,,,,
2000-11-28 00:00:00,,,,4.5547,4.5859,4.5,,,,,,
2000-11-29 00:00:00,,,,4.5313,4.6953,4.5313,,,,,,
2000-11-30 00:00:00,,,,4.6875,4.9297,4.6797,,,,,,
2000-12-01 00:00:00,,,,4.875,4.875,4.7813,,,,,,
2000-12-04 00:00:00,,,,4.8672,4.9922,4.8438,,,,,,
2000-12-05 00:00:00,,,,5,5.1875,5,,,,,,
2000-12-06 00:00:00,,,,5.0625,5.1484,5.0469,,,,0,4,2
2000-12-07 00:00:00,,,,5.0547,5.125,5.0078,,,,,,
2000-12-08 00:00:00,,,,5.1875,5.3672,5.1563,,,,0,4,2
2000-12-11 00:00:00,,,,5.3438,5.3672,5.2891,,,,,,
2000-12-12 00:00:00,,,,5.2734,5.2969,5.1172,,,,,,
2000-12-13 00:00:00,,,,5.375,5.7969,5.3672,,,,0,4,2
2000-12-14 00:00:00,,,,5.7734,5.9219,5.6953,,,,,,
2000-12-15 00:00:00,,,,6,6,5.6875,,,,0,5,2
2000-12-18 00:00:00,,,,5.5938,5.7891,5.5938,,,,,,
2000-12-19 00:00:00,,,,5.7188,5.8594,5.6797,,,,,,
2000-12-20 00:00:00,,,,5.7031,5.7656,5.6719,,,,,,
2000-12-21 00:00:00,,,,5.6406,5.7109,5.6328,,,,0,5,2
2000-12-22 00:00:00,,,,5.6719,5.8438,5.6563,,,,,,
2000-12-26 00:00:00,,,,5.8672,6.0625,5.8594,,,,,,
2000-12-27 00:00:00,,,,6.0391,6.2813,6.0313,,,,,,
2000-12-28 00:00:00,,,,6.0938,6.1563,6.0703,,,,,,
2000-12-29 00:00:00,,,,6.0938,6.2031,6.0156,,,,,,
2001-01-02 00:00:00,,,,6.125,6.4375,6.1094,,,,,,
2001-01-03 00:00:00,,,,6.375,6.4141,6,,,,,,
2001-01-04 00:00:00,,,,6,6,5.5313,,,,,,
2001-01-05 00:00:00,,,,5.7266,6.1563,5.7109,,,,,,
2001-01-08 00:00:00,,,,6.0703,6.3672,6.0625,,,,,,
2001-01-09 00:00:00,,,,6.3125,6.5,6.2969,,,,,,
2001-01-10 00:00:00,,,,6.4766,6.5625,6.3203,,,,,,
2001-01-11 00:00:00,,,,6.3594,6.4063,6.0547,,,,,,
2001-01-12 00:00:00,,,,6.0938,6.3125,6.0625,,,,0,5,2
2001-01-16 00:00:00,,,,6.1406,6.4688,6.1016,,,,,,
2001-01-17 00:00:00,,,,6.4766,6.4766,6.3203,,,,,,
2001-01-18 00:00:00,,,,6.25,6.2734,6.1563,,,,,,
2001-01-19 00:00:00,,,,6.1328,6.3906,6.1016,,,,,,
2001-01-22 00:00:00,,,,6.25,6.4141,6.1953,,,,0,5,2
2001-01-23 00:00:00,,,,6.3984,6.4297,6.3359,,,,,,
2001-01-24 00:00:00,,,,6.375,6.4766,6.3438,,,,,,
2001-01-25 00:00:00,,,,6.4297,6.7266,6.4297,,,,0,5,2
