Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,30.9375,32.4688,30.75,,,,0,5,0
2000-05-02 00:00:00,,,,31.5,31.875,30.1875,,,,,,
2000-05-03 00:00:00,,,,28.5,29.375,27.5,,,,,,
2000-05-04 00:00:00,,,,29.3125,30.75,29.0625,,,,,,
2000-05-05 00:00:00,,,,30.4375,31,30.3438,,,,,,
2000-05-08 00:00:00,,,,30.875,31.7188,30.7813,,,,,,
2000-05-09 00:00:00,,,,31,31.2813,30,,,,,,
2000-05-10 00:00:00,,,,30.6875,30.75,29.5625,,,,,,
2000-05-11 00:00:00,,,,29.5,30.4375,29.375,,,,,,
2000-05-12 00:00:00,,,,30.3125,31.75,30.3125,,,,,,
2000-05-15 00:00:00,,,,30.9688,30.9688,29.875,,,,,,
2000-05-16 00:00:00,,,,31.25,31.5938,30.875,,,,,,
2000-05-17 00:00:00,,,,31.3125,31.3125,30.3438,,,,,,
2000-05-18 00:00:00,,,,30.875,30.875,29.875,,,,0,6,0
2000-05-19 00:00:00,,,,30.0625,30.0625,29.375,,,,,,
2000-05-22 00:00:00,,,,29.625,29.625,28.5625,,,,,,
2000-05-23 00:00:00,,,,28.9688,30.2188,28.8438,,,,0,6,0
2000-05-24 00:00:00,,,,30.0625,30.0938,29.0313,,,,,,
2000-05-25 00:00:00,,,,29.3125,30.3125,29.3125,,,,,,
2000-05-26 00:00:00,,,,29.7813,29.8125,29,,,,,,
2000-05-30 00:00:00,,,,29.5625,30.1875,29.375,,,,,,
2000-05-31 00:00:00,,,,30.125,30.7813,29.6875,,,,0,6,0
2000-06-01 00:00:00,,,,29.75,30.8438,29.75,,,,0,6,0
2000-06-02 00:00:00,,,,31.625,32,31.25,,,,0,7,0
2000-06-05 00:00:00,,,,30.75,31.875,30.75,,,,,,
2000-06-06 00:00:00,,,,32.4375,32.5,31.5,,,,,,
2000-06-07 00:00:00,,,,31.2188,31.2188,30.5,,,,,,
2000-06-08 00:00:00,,,,31.1875,31.375,31.0625,,,,,,
2000-06-09 00:00:00,,,,31.1563,31.2813,30.6875,,,,0,7,0
2000-06-12 00:00:00,,,,30.4688,30.5313,29.4063,,,,,,
2000-06-13 00:00:00,,,,30.1875,30.1875,29,,,,,,
2000-06-14 00:00:00,,,,29.75,30.4375,29.5625,,,,,,
2000-06-15 00:00:00,,,,30.3125,30.3125,29.25,,,,,,
2000-06-16 00:00:00,,,,29.875,31.4375,29.625,,,,,,
2000-06-19 00:00:00,,,,30,30.4375,29.8125,,,,,,
2000-06-20 00:00:00,,,,29.9375,30.125,29.25,,,,,,
2000-06-21 00:00:00,,,,30,30.125,28.6875,,,,,,
2000-06-22 00:00:00,,,,30.0625,30.0625,28.375,,,,,,
2000-06-23 00:00:00,,,,28.9375,29.125,28,,,,0,7,0
2000-06-26 00:00:00,,,,28.8125,28.9375,28.375,,,,,,
2000-06-27 00:00:00,,,,28.875,29.8125,28.5,,,,,,
2000-06-28 00:00:00,,,,28.5625,30,28.5,,,,,,
2000-06-29 00:00:00,,,,29.5,30.5,29.25,,,,,,
2000-06-30 00:00:00,,,,29.8125,29.8125,28.5,,,,,,
2000-07-03 00:00:00,,,,28.625,30.25,28.5,,,,,,
2000-07-05 00:00:00,,,,30.125,30.125,28.75,,,,,,
2000-07-06 00:00:00,,,,30,31.375,29.875,,,,,,
2000-07-07 00:00:00,,,,30.8125,31.5,30.6875,,,,0,7,0
2000-07-10 00:00:00,,,,31.375,31.4375,30.625,,,,,,
2000-07-11 00:00:00,,,,31,31.125,30.1875,,,,,,
2000-07-12 00:00:00,,,,30.75,31.4375,30.75,,,,,,
2000-07-13 00:00:00,,,,31.5,31.875,31.25,,,,,,
2000-07-14 00:00:00,,,,31.5,31.6875,31.4375,,,,,,
2000-07-17 00:00:00,,,,33.5,34.8125,32.5625,,,,,,
2000-07-18 00:00:00,,,,34.625,34.625,33.5625,,,,,,
2000-07-19 00:00:00,,,,34.25,34.25,33.75,,,,,,
2000-07-20 00:00:00,,,,34.3125,34.75,32,,,,,,
2000-07-21 00:00:00,,,,34.75,35.25,33.5,,,,0,8,0
2000-07-24 00:00:00,,,,34.0625,34.125,33.25,,,,,,
2000-07-25 00:00:00,,,,34,34.125,33.625,,,,,,
2000-07-26 00:00:00,,,,33.5,33.875,32.5625,,,,,,
2000-07-27 00:00:00,,,,33.625,34.3125,33.5,,,,,,
2000-07-28 00:00:00,,,,34,34,33.5,,,,0,8,0
2000-07-31 00:00:00,,,,33.875,34.375,33.6875,,,,,,
2000-08-01 00:00:00,,,,34.1875,34.5625,34,,,,,,
2000-08-02 00:00:00,,,,34.125,34.75,33.625,,,,,,
2000-08-03 00:00:00,,,,34.125,34.25,33.1875,,,,,,
2000-08-04 00:00:00,,,,33.875,35,33.875,,,,,,
2000-08-07 00:00:00,,,,34.125,34.125,33.375,,,,0,8,0
2000-08-08 00:00:00,,,,33.75,33.9375,33.375,,,,,,
2000-08-09 00:00:00,,,,33.6875,33.6875,32.625,,,,,,
2000-08-10 00:00:00,,,,33.0625,33.375,32.75,,,,,,
2000-08-11 00:00:00,,,,32.5,33.5,32.375,,,,,,
2000-08-14 00:00:00,,,,33.25,33.5,33.25,,,,,,
2000-08-15 00:00:00,,,,33.5,33.5,32.5,,,,,,
2000-08-16 00:00:00,,,,32.75,32.9375,32.0625,,,,,,
2000-08-17 00:00:00,,,,32.4375,33,32.375,,,,,,
2000-08-18 00:00:00,,,,32.25,33,32.25,,,,,,
2000-08-21 00:00:00,,,,32.6875,33.0625,31,,,,,,
2000-08-22 00:00:00,,,,32.9375,33,32.375,,,,,,
2000-08-23 00:00:00,,,,33.0625,33.25,32.25,,,,,,
2000-08-24 00:00:00,,,,32.75,32.875,30.25,,,,,,
2000-08-25 00:00:00,,,,32.4375,33.125,32,,,,,,
2000-08-28 00:00:00,,,,33,33,31.8125,,,,,,
2000-08-29 00:00:00,,,,32.375,32.375,31.375,,,,,,
2000-08-30 00:00:00,,,,32.0625,32.125,31.1875,,,,,,
2000-08-31 00:00:00,,,,31.875,32.4375,31.0625,,,,0,8,0
2000-09-01 00:00:00,,,,31.8125,32.0625,30.375,,,,,,
2000-09-05 00:00:00,,,,30.6875,31.1875,30,,,,,,
2000-09-06 00:00:00,,,,30.4375,31.125,30.4375,,,,,,
2000-09-07 00:00:00,,,,30.125,30.75,29.875,,,,,,
2000-09-08 00:00:00,,,,30.1875,30.75,29.9375,,,,0,8,0
2000-09-11 00:00:00,,,,30.5,31.25,30.5,,,,,,
2000-09-12 00:00:00,,,,31.25,31.5,31.25,,,,,,
2000-09-13 00:00:00,,,,31.1875,31.4375,31.0625,,,,,,
2000-09-14 00:00:00,,,,31.375,31.625,31.25,,,,,,
2000-09-15 00:00:00,,,,31.25,31.875,30.8125,,,,,,
2000-09-18 00:00:00,,,,31.875,31.875,30.0625,,,,,,
2000-09-19 00:00:00,,,,30.125,31,29.875,,,,,,
2000-09-20 00:00:00,,,,30.8125,31.25,30.5625,,,,0,8,0
2000-09-21 00:00:00,,,,30.875,31.75,30.5625,,,,,,
2000-09-22 00:00:00,,,,31.5,32.5,31.5,,,,,,
2000-09-25 00:00:00,,,,32.4375,32.625,31.75,,,,,,
2000-09-26 00:00:00,,,,32.375,32.5625,32.0625,,,,,,
2000-09-27 00:00:00,,,,32.5,35.0625,32.5,,,,,,
2000-09-28 00:00:00,,,,33.875,34.8125,33.125,,,,,,
2000-09-29 00:00:00,,,,34.5,35.3125,34.375,,,,,,
2000-10-02 00:00:00,,,,35.125,35.9375,35,,,,,,
2000-10-03 00:00:00,,,,35.75,37.375,35.625,,,,,,
2000-10-04 00:00:00,,,,37.1875,37.75,36,,,,,,
2000-10-05 00:00:00,,,,36.6875,37.1875,36.25,,,,0,8,0
2000-10-06 00:00:00,,,,37.1875,38.125,36.25,,,,,,
2000-10-09 00:00:00,,,,37.8125,38.625,37.5,,,,,,
2000-10-10 00:00:00,,,,37,37,30.625,,,,,,
2000-10-11 00:00:00,,,,33,33,30.875,,,,0,8,0
2000-10-12 00:00:00,,,,32,32.25,31.5,,,,,,
2000-10-13 00:00:00,,,,31.5,34.375,31.4375,,,,0,8,0
2000-10-16 00:00:00,,,,33.625,33.75,32,,,,,,
2000-10-17 00:00:00,,,,32.625,32.625,30.75,,,,0,8,0
2000-10-18 00:00:00,,,,30.625,30.625,27.375,,,,0,8,0
2000-10-19 00:00:00,,,,27.75,29.625,27.75,,,,,,
2000-10-20 00:00:00,,,,28.625,30,28.5625,,,,,,
2000-10-23 00:00:00,,,,29.25,32.1875,29,,,,,,
2000-10-24 00:00:00,,,,31,31.5625,30,,,,,,
2000-10-25 00:00:00,,,,30.25,30.75,30.0625,,,,,,
2000-10-26 00:00:00,,,,30.625,30.6875,27.5625,,,,,,
2000-10-27 00:00:00,,,,28.75,29.625,28.625,,,,,,
2000-10-30 00:00:00,,,,29.5,29.5,28.5,,,,,,
2000-10-31 00:00:00,,,,28.625,30.8125,28.5,,,,,,
2000-11-01 00:00:00,,,,30.25,30.25,29,,,,,,
2000-11-02 00:00:00,,,,29.125,31.4375,29.125,,,,,,
2000-11-03 00:00:00,,,,31,31.375,30,,,,,,
2000-11-06 00:00:00,,,,31.125,32,31,,,,,,
2000-11-07 00:00:00,,,,31.75,31.9375,31.0625,,,,,,
2000-11-08 00:00:00,,,,31.4375,32.3125,31.25,,,,,,
2000-11-09 00:00:00,,,,31.5,31.75,29.6875,,,,,,
2000-11-10 00:00:00,,,,30.125,30.25,29.625,,,,,,
2000-11-13 00:00:00,,,,30,30,28.875,,,,,,
2000-11-14 00:00:00,,,,30.3125,31.125,29.375,,,,,,
2000-11-15 00:00:00,,,,30.3125,32.25,30.1875,,,,,,
2000-11-16 00:00:00,,,,32,32.0625,30.6875,,,,,,
2000-11-17 00:00:00,,,,31.0625,31.875,30.75,,,,,,
2000-11-20 00:00:00,,,,31.5625,32,30.9375,,,,,,
2000-11-21 00:00:00,,,,31.5,31.6875,31.0625,,,,,,
2000-11-22 00:00:00,,,,31.5,31.625,30.9375,,,,,,
2000-11-24 00:00:00,,,,31.875,31.875,31.3125,,,,,,
2000-11-27 00:00:00,,,,31.6875,32.375,31.25,,,,,,
2000-11-28 00:00:00,,,,32.25,32.3125,31,,,,0,8,0
2000-11-29 00:00:00,,,,31,31,30.125,,,,,,
2000-11-30 00:00:00,,,,30.3125,30.875,29.3125,,,,,,
2000-12-01 00:00:00,,,,29.9375,31.5625,29.4375,,,,,,
2000-12-04 00:00:00,,,,32.5,33.875,30.75,,,,0,8,0
2000-12-05 00:00:00,,,,31.5625,33,31.5625,,,,,,
2000-12-06 00:00:00,,,,31.125,31.125,29.375,,,,0,9,0
2000-12-07 00:00:00,,,,29.75,31,29.25,,,,,,
2000-12-08 00:00:00,,,,30.75,32,30.75,,,,,,
2000-12-11 00:00:00,,,,31,31,30.125,,,,,,
2000-12-12 00:00:00,,,,30.5,31.25,29.875,,,,,,
2000-12-13 00:00:00,,,,31,31.125,30.4375,,,,,,
2000-12-14 00:00:00,,,,30.75,31.25,30.5625,,,,,,
2000-12-15 00:00:00,,,,33,33,27.5625,,,,,,
2000-12-18 00:00:00,,,,27.8125,28.3125,24.25,,,,0,9,0
2000-12-19 00:00:00,,,,26,26.3125,25,,,,,,
2000-12-20 00:00:00,,,,26.25,26.5,24.25,,,,,,
2000-12-21 00:00:00,,,,24.5625,26.875,24.5625,,,,,,
2000-12-22 00:00:00,,,,26.0625,26.6875,25.75,,,,,,
2000-12-26 00:00:00,,,,26.25,26.75,26,,,,,,
2000-12-27 00:00:00,,,,26.25,26.5625,25.5,,,,,,
2000-12-28 00:00:00,,,,25.9375,26.9375,24.875,,,,,,
2000-12-29 00:00:00,,,,26.75,26.8125,26.25,,,,,,
2001-01-02 00:00:00,,,,26,26.4375,23.8125,,,,,,
2001-01-03 00:00:00,,,,24.5,27.3125,23.6875,,,,,,
2001-01-04 00:00:00,,,,27.0625,27.625,25.125,,,,0,9,0
2001-01-05 00:00:00,,,,25.625,25.625,21.25,,,,0,9,0
2001-01-08 00:00:00,,,,22.625,23.125,22.5,,,,0,9,0
2001-01-09 00:00:00,,,,22.875,23,21,,,,,,
2001-01-10 00:00:00,,,,21.3125,22.9375,20.9375,,,,,,
2001-01-11 00:00:00,,,,22.25,23.6875,22.25,,,,,,
2001-01-12 00:00:00,,,,23,23.4375,22.75,,,,0,9,0
2001-01-16 00:00:00,,,,22.5,23.375,22.5,,,,0,9,0
2001-01-17 00:00:00,,,,22.9375,23.5,22.9375,,,,,,
2001-01-18 00:00:00,,,,23.0625,23.5625,22.75,,,,,,
2001-01-19 00:00:00,,,,22.875,23,22.1875,,,,,,
2001-01-22 00:00:00,,,,22.25,22.9375,22.25,,,,,,
2001-01-23 00:00:00,,,,22.9375,23.0625,22.5625,,,,,,
2001-01-24 00:00:00,,,,22.375,25.5,22.375,,,,0,9,0
