Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,1,0
2001-03-23 00:00:00,,,,,,,,,,0,1,0
2001-06-20 00:00:00,,,,,,,,,,0,1,0
2001-08-02 00:00:00,,,,,,,,,,0,1,1
2001-09-19 00:00:00,,,,,,,,,,0,1,1
2001-09-21 00:00:00,,,,,,,,,,0,0,2
2001-10-04 00:00:00,,,,,,,,,,0,0,2
2001-12-19 00:00:00,,,,,,,,,,0,0,3
2002-02-11 00:00:00,,,,,,,,,,0,0,4
2002-03-05 00:00:00,,,,,,,,,,0,0,5
2002-03-19 00:00:00,,,,,,,,,,0,0,5
2002-03-20 00:00:00,,,,,,,,,,0,0,5
2002-03-26 00:00:00,,,,,,,,,,0,0,5
2002-04-03 00:00:00,,,,,,,,,,0,0,6
2002-04-12 00:00:00,,,,,,,,,,0,0,7
2002-05-09 00:00:00,,,,,,,,,,0,0,7
2002-05-28 00:00:00,,,,,,,,,,0,0,7
2002-06-03 00:00:00,,,,,,,,,,0,0,7
2002-06-14 00:00:00,,,,,,,,,,0,0,7
2002-06-18 00:00:00,,,,,,,,,,0,0,7
2002-06-19 00:00:00,,,,,,,,,,0,0,7
2002-06-28 00:00:00,,,,,,,,,,0,0,7
2002-08-06 00:00:00,,,,,,,,,,0,0,7
2002-08-13 00:00:00,,,,,,,,,,0,0,7
2002-08-14 00:00:00,,,,,,,,,,0,0,7
2002-08-19 00:00:00,,,,,,,,,,0,0,7
2002-09-02 00:00:00,,,,,,,,,,0,0,6
2002-09-06 00:00:00,,,,,,,,,,0,0,6
2002-09-16 00:00:00,,,,,,,,,,1,0,5
2002-09-17 00:00:00,,,,,,,,,,1,0,5
2002-09-18 00:00:00,,,,,,,,,,1,0,5
2002-09-25 00:00:00,,,,,,,,,,2,0,4
2002-11-04 00:00:00,,,,,,,,,,3,0,3
2002-11-05 00:00:00,,,,,,,,,,3,0,3
2002-11-19 00:00:00,,,,,,,,,,3,0,3
2002-12-02 00:00:00,,,,,,,,,,3,0,3
2002-12-10 00:00:00,,,,,,,,,,3,0,4
2002-12-11 00:00:00,,,,,,,,,,3,1,4
2002-12-17 00:00:00,,,,,,,,,,3,1,4
2002-12-18 00:00:00,,,,,,,,,,3,1,4
2002-12-20 00:00:00,,,,,,,,,,3,1,3
2003-01-14 00:00:00,,,,,,,,,,3,1,4
2003-01-28 00:00:00,,,,,,,,,,3,1,4
2003-02-03 00:00:00,,,,,,,,,,3,1,4
2003-02-04 00:00:00,,,,,,,,,,3,1,3
2003-02-06 00:00:00,,,,,,,,,,3,1,3
2003-02-10 00:00:00,,,,,,,,,,2,1,3
2003-02-14 00:00:00,,,,,,,,,,2,1,3
2003-03-13 00:00:00,,,,,,,,,,2,1,3
2003-03-24 00:00:00,,,,,,,,,,2,1,3
2003-03-26 00:00:00,,,,,,,,,,2,1,3
2003-04-04 00:00:00,,,,,,,,,,2,1,3
2003-04-10 00:00:00,,,,,,,,,,1,1,3
2003-04-29 00:00:00,,,,,,,,,,1,1,3
2003-05-22 00:00:00,,,,,,,,,,1,1,3
2003-06-11 00:00:00,,,,,,,,,,1,1,3
2003-06-13 00:00:00,,,,,,,,,,1,2,3
2003-06-16 00:00:00,,,,,,,,,,1,2,3
2003-06-18 00:00:00,,,,,,,,,,1,2,3
2003-07-22 00:00:00,,,,,,,,,,1,2,3
2003-07-29 00:00:00,,,,,,,,,,1,2,3
2003-08-05 00:00:00,,,,,,,,,,1,2,3
2003-08-07 00:00:00,,,,,,,,,,1,2,3
2003-08-11 00:00:00,,,,,,,,,,1,2,3
2003-08-12 00:00:00,,,,,,,,,,1,3,3
2003-09-09 00:00:00,,,,,,,,,,1,3,3
2003-09-11 00:00:00,,,,,,,,,,1,3,3
2003-09-16 00:00:00,,,,,,,,,,1,3,3
2003-09-19 00:00:00,,,,,,,,,,1,4,3
2003-09-25 00:00:00,,,,,,,,,,1,3,4
2003-10-09 00:00:00,,,,,,,,,,1,4,4
2003-10-13 00:00:00,,,,,,,,,,1,5,3
2003-10-23 00:00:00,,,,,,,,,,1,6,3
2003-10-27 00:00:00,,,,,,,,,,1,7,3
2003-10-29 00:00:00,,,,,,,,,,1,7,3
2003-10-30 00:00:00,,,,,,,,,,1,7,4
2003-10-31 00:00:00,,,,,,,,,,1,8,4
2003-11-04 00:00:00,,,,,,,,,,1,8,4
2003-11-05 00:00:00,,,,,,,,,,1,8,4
2003-11-17 00:00:00,,,,,,,,,,1,8,4
2003-11-21 00:00:00,,,,,,,,,,1,8,4
2003-11-24 00:00:00,,,,,,,,,,1,8,4
2003-11-25 00:00:00,,,,,,,,,,1,8,5
2003-12-01 00:00:00,,,,,,,,,,1,8,5
2003-12-02 00:00:00,,,,,,,,,,1,8,5
2003-12-04 00:00:00,,,,,,,,,,1,8,5
2003-12-09 00:00:00,,,,,,,,,,1,9,5
2003-12-12 00:00:00,,,,,,,,,,1,8,5
2003-12-15 00:00:00,,,,,,,,,,1,8,6
2003-12-17 00:00:00,,,,,,,,,,1,8,6
2003-12-18 00:00:00,,,,,,,,,,0,8,6
2003-12-19 00:00:00,,,,,,,,,,0,9,5
2004-01-06 00:00:00,,,,,,,,,,0,9,5
2004-01-07 00:00:00,,,,,,,,,,0,9,5
2004-01-13 00:00:00,,,,,,,,,,0,9,5
2004-01-20 00:00:00,,,,,,,,,,0,9,5
2004-01-21 00:00:00,,,,,,,,,,0,9,5
2004-01-22 00:00:00,,,,,,,,,,0,9,5
2004-01-23 00:00:00,,,,,,,,,,0,9,5
2004-01-26 00:00:00,,,,,,,,,,0,9,5
2004-01-30 00:00:00,,,,,,,,,,0,9,4
2004-02-04 00:00:00,,,,,,,,,,1,9,4
2004-02-05 00:00:00,,,,,,,,,,1,9,4
2004-02-11 00:00:00,,,,,,,,,,1,9,4
2004-03-02 00:00:00,,,,,,,,,,1,9,4
2004-03-03 00:00:00,,,,,,,,,,1,9,4
