Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,67.3599,68.6106,65.3052,,,,0,10,0
2000-05-02 00:00:00,,,,67.9853,71.3801,67.8959,,,,,,
2000-05-03 00:00:00,,,,71.3801,71.3801,67.8959,,,,,,
2000-05-04 00:00:00,,,,68.3426,71.2907,68.0746,,,,,,
2000-05-05 00:00:00,,,,71.2014,71.4694,68.7,,,,,,
2000-05-08 00:00:00,,,,71.4694,74.1495,70.7547,,,,,,
2000-05-09 00:00:00,,,,71.2907,73.6135,69.8613,,,,,,
2000-05-10 00:00:00,,,,72.0054,72.8095,69.0573,,,,0,10,0
2000-05-11 00:00:00,,,,70.04,71.2014,70.04,,,,,,
2000-05-12 00:00:00,,,,71.5587,74.2389,70.576,,,,,,
2000-05-15 00:00:00,,,,73.0775,77.723,72.4521,,,,,,
2000-05-16 00:00:00,,,,76.8296,77.187,72.7201,,,,,,
2000-05-17 00:00:00,,,,72.8988,76.2936,72.1841,,,,,,
2000-05-18 00:00:00,,,,75.8469,75.8469,69.6827,,,,,,
2000-05-19 00:00:00,,,,71.2907,72.6308,71.0227,,,,0,10,0
2000-05-22 00:00:00,,,,71.1121,71.1121,66.4666,,,,0,9,0
2000-05-23 00:00:00,,,,67.8066,69.4147,66.5559,,,,,,
2000-05-24 00:00:00,,,,68.7893,69.8613,66.1092,,,,,,
2000-05-25 00:00:00,,,,69.5933,69.5933,65.3052,,,,,,
2000-05-26 00:00:00,,,,67.8959,69.236,66.5559,,,,,,
2000-05-30 00:00:00,,,,65.0372,68.7893,65.0372,,,,,,
2000-05-31 00:00:00,,,,68.2533,71.4694,68.2533,,,,0,9,0
2000-06-01 00:00:00,,,,70.3974,70.9334,67.4493,,,,0,9,0
2000-06-02 00:00:00,,,,68.968,69.6827,64.3225,,,,,,
2000-06-05 00:00:00,,,,66.1092,67.3599,63.1611,,,,,,
2000-06-06 00:00:00,,,,64.6798,67.7173,64.0545,,,,0,9,0
2000-06-07 00:00:00,,,,66.4666,67.6279,64.5011,,,,,,
2000-06-08 00:00:00,,,,66.8239,69.1467,66.5559,,,,,,
2000-06-09 00:00:00,,,,66.4666,66.7346,65.7519,,,,,,
2000-06-12 00:00:00,,,,67.3599,70.4867,67.3599,,,,0,9,0
