Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,15.616,15.839,15.021,,,,0,5,3
2000-05-02 00:00:00,,,,15.443,15.79,15.244,,,,,,
2000-05-03 00:00:00,,,,15.542,15.79,15.17,,,,,,
2000-05-04 00:00:00,,,,15.443,16.261,15.294,,,,,,
2000-05-05 00:00:00,,,,15.418,16.211,15.393,,,,0,5,3
2000-05-08 00:00:00,,,,15.765,16.161,15.666,,,,,,
2000-05-09 00:00:00,,,,15.839,15.963,15.195,,,,,,
2000-05-10 00:00:00,,,,15.517,15.517,14.947,,,,,,
2000-05-11 00:00:00,,,,15.046,15.269,14.972,,,,,,
2000-05-12 00:00:00,,,,15.12,15.17,15.021,,,,,,
2000-05-15 00:00:00,,,,14.972,15.021,14.6,,,,,,
2000-05-16 00:00:00,,,,14.922,15.22,14.897,,,,,,
2000-05-17 00:00:00,,,,15.343,16.434,15.343,,,,0,5,3
2000-05-18 00:00:00,,,,16.261,16.533,15.864,,,,,,
2000-05-19 00:00:00,,,,16.087,16.161,15.715,,,,,,
2000-05-22 00:00:00,,,,15.938,16.508,15.864,,,,,,
2000-05-23 00:00:00,,,,16.335,16.632,15.938,,,,,,
2000-05-24 00:00:00,,,,16.062,16.608,16.062,,,,0,5,3
2000-05-25 00:00:00,,,,16.409,16.93,16.013,,,,,,
2000-05-26 00:00:00,,,,16.261,16.682,16.261,,,,,,
2000-05-29 00:00:00,,,,,,,,,,0,4,3
2000-05-30 00:00:00,,,,16.062,16.459,15.666,,,,,,
2000-05-31 00:00:00,,,,15.938,16.707,15.938,,,,,,
2000-06-01 00:00:00,,,,16.459,16.756,16.285,,,,0,5,3
2000-06-02 00:00:00,,,,16.856,17.103,16.36,,,,0,5,3
2000-06-05 00:00:00,,,,16.508,16.732,16.459,,,,,,
2000-06-06 00:00:00,,,,16.285,16.657,15.963,,,,,,
2000-06-07 00:00:00,,,,16.459,16.508,15.517,,,,,,
2000-06-08 00:00:00,,,,15.517,15.666,15.368,,,,,,
2000-06-09 00:00:00,,,,15.616,15.79,15.542,,,,0,5,3
2000-06-12 00:00:00,,,,15.492,15.79,15.145,,,,,,
2000-06-13 00:00:00,,,,15.269,15.294,14.922,,,,,,
2000-06-14 00:00:00,,,,14.922,15.096,14.749,,,,,,
2000-06-15 00:00:00,,,,14.848,15.269,14.525,,,,,,
2000-06-16 00:00:00,,,,14.972,15.145,14.947,,,,,,
2000-06-19 00:00:00,,,,15.071,15.12,14.079,,,,,,
2000-06-20 00:00:00,,,,14.278,14.426,13.038,,,,0,5,3
2000-06-21 00:00:00,,,,13.063,13.311,12.84,,,,,,
2000-06-22 00:00:00,,,,13.633,13.683,13.336,,,,,,
