Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,2.5781,2.7656,2.5781,,,,0,8,1
2000-05-02 00:00:00,,,,2.6757999999999997,2.6797,2.5313,,,,,,
2000-05-03 00:00:00,,,,2.5156,2.5391,2.4141,,,,0,7,2
2000-05-04 00:00:00,,,,2.5313,2.6172,2.5078,,,,,,
2000-05-05 00:00:00,,,,2.5547,2.6719,2.5547,,,,,,
2000-05-08 00:00:00,,,,2.625,2.625,2.5781,,,,,,
2000-05-09 00:00:00,,,,2.6172,2.7324,2.5938,,,,,,
2000-05-10 00:00:00,,,,2.6875,2.7031,2.6719,,,,,,
2000-05-11 00:00:00,,,,2.7188,2.7813,2.6875,,,,,,
2000-05-12 00:00:00,,,,2.7109,2.8516,2.7109,,,,0,7,2
2000-05-15 00:00:00,,,,2.793,2.8984,2.75,,,,,,
2000-05-16 00:00:00,,,,2.8594,3,2.8047,,,,,,
2000-05-17 00:00:00,,,,2.8594,2.8594,2.5781,,,,0,7,2
2000-05-18 00:00:00,,,,2.6367000000000003,2.7344,2.5469,,,,0,7,2
2000-05-19 00:00:00,,,,2.582,2.6484,2.5469,,,,,,
2000-05-22 00:00:00,,,,2.6172,2.6875,2.5781,,,,,,
2000-05-23 00:00:00,,,,2.7109,2.7344,2.6719,,,,,,
2000-05-24 00:00:00,,,,2.6953,2.7031,2.4375,,,,,,
2000-05-25 00:00:00,,,,2.5313,2.6563,2.5313,,,,,,
2000-05-26 00:00:00,,,,2.5469,2.5625,2.5156,,,,,,
2000-05-29 00:00:00,,,,,,,,,,0,7,2
2000-05-30 00:00:00,,,,2.625,2.6406,2.5625,,,,,,
2000-05-31 00:00:00,,,,2.625,2.6563,2.5703,,,,0,7,2
2000-06-01 00:00:00,,,,2.5742000000000003,2.5781,2.2578,,,,0,7,3
2000-06-02 00:00:00,,,,2.3945,2.4375,2.2344,,,,0,7,3
2000-06-05 00:00:00,,,,2.3359,2.3438,2.2578,,,,0,7,3
2000-06-06 00:00:00,,,,2.3398,2.3438,2.3047,,,,,,
2000-06-07 00:00:00,,,,2.2969,2.3125,2.2188,,,,,,
2000-06-08 00:00:00,,,,2.2969,2.3008,2.0625,,,,0,7,3
2000-06-09 00:00:00,,,,2.1641,2.1719,2.0156,,,,,,
2000-06-12 00:00:00,,,,2.1172,2.125,1.9844,,,,,,
2000-06-13 00:00:00,,,,2.0469,2.0703,1.9609,,,,0,7,3
2000-06-14 00:00:00,,,,1.9922,2,1.7969,,,,,,
2000-06-15 00:00:00,,,,1.9375,2.0781,1.8906,,,,,,
2000-06-16 00:00:00,,,,2,2.0625,1.9531,,,,0,7,3
2000-06-19 00:00:00,,,,2.0313,2.0313,1.9219,,,,,,
2000-06-20 00:00:00,,,,2.0156,2.0469,1.9609,,,,,,
2000-06-21 00:00:00,,,,2.0391,2.0625,1.9453,,,,,,
2000-06-22 00:00:00,,,,1.9647999999999999,2.0547,1.9531,,,,,,
2000-06-23 00:00:00,,,,2.0313,2.1328,2.0156,,,,,,
2000-06-26 00:00:00,,,,2.1641,2.2578,2.125,,,,,,
2000-06-27 00:00:00,,,,2.1563,2.25,2.1484,,,,0,7,3
2000-06-28 00:00:00,,,,2.2109,2.3047,2.2109,,,,,,
2000-06-29 00:00:00,,,,2.2813,2.2891,2.1563,,,,,,
2000-06-30 00:00:00,,,,2.1719,2.2188,2.0938,,,,0,7,3
2000-07-03 00:00:00,,,,2.125,2.1875,2.0938,,,,,,
2000-07-05 00:00:00,,,,2.2188,2.25,2.0859,,,,,,
2000-07-06 00:00:00,,,,1.8828,1.8906,1.7812999999999999,,,,0,7,3
2000-07-07 00:00:00,,,,1.8672,1.875,1.8203,,,,0,7,3
2000-07-10 00:00:00,,,,1.875,1.8828,1.8516,,,,,,
2000-07-11 00:00:00,,,,1.8672,1.875,1.8516,,,,,,
2000-07-12 00:00:00,,,,1.8672,2.0156,1.8672,,,,,,
2000-07-13 00:00:00,,,,2.0234,2.0313,1.9375,,,,,,
2000-07-14 00:00:00,,,,2,2.1328,1.9961,,,,,,
2000-07-17 00:00:00,,,,2.082,2.0859,2.0156,,,,0,7,3
2000-07-18 00:00:00,,,,1.9766,2.0156,1.9062999999999999,,,,,,
2000-07-19 00:00:00,,,,1.9844,1.9844,1.8906,,,,,,
2000-07-20 00:00:00,,,,1.9453,1.9453,1.8672,,,,,,
2000-07-21 00:00:00,,,,1.8789,1.9531,1.875,,,,,,
2000-07-24 00:00:00,,,,1.9531,2.0313,1.9375,,,,,,
2000-07-25 00:00:00,,,,1.9922,1.9922,1.9219,,,,,,
2000-07-26 00:00:00,,,,1.9453,2.0313,1.9219,,,,,,
2000-07-27 00:00:00,,,,2.0234,2.0859,2.0078,,,,,,
2000-07-28 00:00:00,,,,2,2.0078,1.9297,,,,,,
2000-07-31 00:00:00,,,,1.9297,1.9453,1.9141,,,,0,7,3
2000-08-01 00:00:00,,,,1.9219,1.9766,1.9141,,,,,,
2000-08-02 00:00:00,,,,1.9453,1.9531,1.9062999999999999,,,,,,
2000-08-03 00:00:00,,,,1.8594,1.9219,1.8203,,,,0,7,3
2000-08-04 00:00:00,,,,1.875,1.9141,1.8281,,,,0,7,3
2000-08-07 00:00:00,,,,1.8789,2.0313,1.875,,,,,,
2000-08-08 00:00:00,,,,2.0078,2.0547,1.9922,,,,,,
2000-08-09 00:00:00,,,,2.0273,2.125,2.0234,,,,,,
2000-08-10 00:00:00,,,,2.0781,2.0938,2.0078,,,,,,
2000-08-11 00:00:00,,,,2,2.0781,2,,,,0,7,3
2000-08-14 00:00:00,,,,2.0664,2.125,2.0469,,,,0,7,3
2000-08-15 00:00:00,,,,2.1328,2.1484,2.0703,,,,,,
2000-08-16 00:00:00,,,,1.9219,1.9219,1.8281,,,,0,5,5
2000-08-17 00:00:00,,,,1.8594,1.9062999999999999,1.8281,,,,0,4,6
2000-08-18 00:00:00,,,,1.8359,1.8984,1.8281,,,,,,
2000-08-21 00:00:00,,,,1.8789,1.8828,1.8594,,,,,,
2000-08-22 00:00:00,,,,1.875,1.9531,1.8594,,,,,,
2000-08-23 00:00:00,,,,1.9531,2.0234,1.9453,,,,,,
2000-08-24 00:00:00,,,,1.9687999999999999,1.9922,1.9141,,,,,,
2000-08-25 00:00:00,,,,1.9219,1.9883,1.9219,,,,,,
2000-08-28 00:00:00,,,,1.9766,1.9922,1.9297,,,,0,4,6
2000-08-29 00:00:00,,,,1.9569999999999999,1.9609,1.9297,,,,,,
2000-08-30 00:00:00,,,,1.9297,1.9453,1.9219,,,,,,
2000-08-31 00:00:00,,,,1.9062999999999999,1.9297,1.8672,,,,0,3,7
2000-09-01 00:00:00,,,,1.9180000000000001,2.0313,1.8984,,,,,,
2000-09-05 00:00:00,,,,1.9766,2.0156,1.9609,,,,,,
2000-09-06 00:00:00,,,,1.9961,2.0078,1.9609,,,,,,
2000-09-07 00:00:00,,,,1.9766,2,1.8437999999999999,,,,,,
2000-09-08 00:00:00,,,,1.8711,2.0781,1.8516,,,,,,
2000-09-11 00:00:00,,,,2,2.0469,2,,,,,,
2000-09-12 00:00:00,,,,2,2.0391,1.9922,,,,,,
2000-09-13 00:00:00,,,,2,2.0156,1.9609,,,,0,3,7
2000-09-14 00:00:00,,,,1.9531,1.9844,1.9375,,,,,,
2000-09-15 00:00:00,,,,1.9375,1.9609,1.9219,,,,,,
2000-09-18 00:00:00,,,,1.9414,1.9453,1.875,,,,,,
2000-09-19 00:00:00,,,,1.875,1.8906,1.8125,,,,,,
2000-09-20 00:00:00,,,,1.8397999999999999,1.8516,1.8281,,,,0,3,7
2000-09-21 00:00:00,,,,1.8203,1.8359,1.7891,,,,,,
2000-09-22 00:00:00,,,,1.7930000000000001,1.8203,1.6562999999999999,,,,,,
2000-09-25 00:00:00,,,,1.7656,1.7812999999999999,1.75,,,,,,
2000-09-26 00:00:00,,,,1.7578,1.7891,1.7344,,,,,,
2000-09-27 00:00:00,,,,1.7617,1.7656,1.7578,,,,0,3,7
2000-09-28 00:00:00,,,,1.7617,1.7812999999999999,1.7344,,,,,,
2000-09-29 00:00:00,,,,1.7656,1.8203,1.7656,,,,,,
2000-10-02 00:00:00,,,,1.7969,1.8203,1.7891,,,,,,
2000-10-03 00:00:00,,,,1.8125,1.8203,1.7422,,,,,,
2000-10-04 00:00:00,,,,1.75,1.8672,1.7344,,,,,,
2000-10-05 00:00:00,,,,1.8125,1.9062999999999999,1.8047,,,,0,3,7
2000-10-06 00:00:00,,,,1.8594,1.875,1.7187999999999999,,,,,,
2000-10-09 00:00:00,,,,1.7187999999999999,1.7656,1.7187999999999999,,,,,,
2000-10-10 00:00:00,,,,1.7363,1.7656,1.7344,,,,,,
2000-10-11 00:00:00,,,,1.75,1.7578,1.7266,,,,,,
2000-10-12 00:00:00,,,,1.7402,1.7422,1.6406,,,,,,
2000-10-13 00:00:00,,,,1.6348,1.7734,1.6328,,,,,,
2000-10-16 00:00:00,,,,1.75,1.75,1.6641,,,,,,
2000-10-17 00:00:00,,,,1.6719,1.6953,1.625,,,,,,
2000-10-18 00:00:00,,,,1.6484,1.6641,1.5859,,,,,,
2000-10-19 00:00:00,,,,1.6562999999999999,1.7812999999999999,1.6328,,,,,,
2000-10-20 00:00:00,,,,1.7344,1.75,1.6719,,,,,,
2000-10-23 00:00:00,,,,1.7031,1.7031,1.6797,,,,,,
2000-10-24 00:00:00,,,,1.6953,1.7031,1.6719,,,,,,
2000-10-25 00:00:00,,,,1.6719,1.6953,1.6484,,,,,,
2000-10-26 00:00:00,,,,1.6562999999999999,1.6562999999999999,1.6094,,,,,,
2000-10-27 00:00:00,,,,1.6172,1.6328,1.6172,,,,,,
2000-10-30 00:00:00,,,,1.6289,1.6406,1.6016,,,,0,3,7
