Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,3.875,3.9141,3.7656,,,,0,9,1
2000-05-02 00:00:00,,,,4.0234,4.1875,3.9766,,,,0,9,1
2000-05-03 00:00:00,,,,4.0156,4.0156,3.875,,,,,,
2000-05-04 00:00:00,,,,3.9609,4.2344,3.9531,,,,,,
2000-05-05 00:00:00,,,,4.1172,4.2188,3.9824,,,,0,9,1
2000-05-08 00:00:00,,,,4.2031,4.2031,4.0938,,,,,,
2000-05-09 00:00:00,,,,4.1406,4.1875,4.0156,,,,,,
2000-05-10 00:00:00,,,,4.1563,4.2031,4.0313,,,,,,
2000-05-11 00:00:00,,,,4.0703,4.1875,3.9922,,,,,,
2000-05-12 00:00:00,,,,4.125,4.1406,4.0078,,,,,,
2000-05-15 00:00:00,,,,3.8672,4.0781,3.6875,,,,,,
2000-05-16 00:00:00,,,,4.2344,4.25,4.0859,,,,,,
2000-05-17 00:00:00,,,,4.0781,4.2188,4.0469,,,,0,9,1
2000-05-18 00:00:00,,,,4.0703,4.0938,3.8359,,,,,,
2000-05-19 00:00:00,,,,3.7578,3.8438,3.75,,,,,,
2000-05-22 00:00:00,,,,3.75,3.75,3.5,,,,,,
2000-05-23 00:00:00,,,,3.7344,3.8047,3.5391,,,,,,
2000-05-24 00:00:00,,,,3.6328,3.9063,3.6172,,,,0,9,1
2000-05-25 00:00:00,,,,3.875,3.9844,3.7188,,,,,,
2000-05-26 00:00:00,,,,3.7969,3.875,3.6016,,,,,,
2000-05-30 00:00:00,,,,3.7031,4.1328,3.7031,,,,0,9,1
2000-05-31 00:00:00,,,,4.1016,4.375,4.0703,,,,0,9,1
2000-06-01 00:00:00,,,,4.2656,4.3672,4.1953,,,,0,9,1
2000-06-02 00:00:00,,,,4.375,4.6133,4.3516,,,,0,9,1
2000-06-05 00:00:00,,,,4.5625,4.7813,4.4297,,,,,,
2000-06-06 00:00:00,,,,4.875,4.9375,4.6797,,,,,,
2000-06-07 00:00:00,,,,4.6563,4.6719,4,,,,,,
2000-06-08 00:00:00,,,,4.3203,4.4629,4.3125,,,,,,
2000-06-09 00:00:00,,,,4.4688,4.5625,4.375,,,,,,
2000-06-12 00:00:00,,,,4.4727,4.4766,4.2266,,,,,,
2000-06-13 00:00:00,,,,4.2656,4.6016,4.25,,,,,,
2000-06-14 00:00:00,,,,4.5,4.5059000000000005,4.3047,,,,,,
2000-06-15 00:00:00,,,,4.4063,4.4531,4.3047,,,,,,
