Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,25.625,26.25,25.5625,,,,0,1,0
2000-05-02 00:00:00,,,,25.5625,26.125,25.375,,,,,,
2000-05-03 00:00:00,,,,26,26,25.125,,,,,,
2000-05-04 00:00:00,,,,25.1875,26.5,25.1875,,,,,,
2000-05-05 00:00:00,,,,26.4375,26.4375,24.9375,,,,,,
2000-05-08 00:00:00,,,,25.5,26.5,25.5,,,,,,
2000-05-09 00:00:00,,,,26.25,26.875,26.125,,,,,,
2000-05-10 00:00:00,,,,26.75,26.875,25.5,,,,,,
2000-05-11 00:00:00,,,,26.75,26.8125,26.125,,,,,,
2000-05-12 00:00:00,,,,26.8125,26.8125,26.0625,,,,,,
2000-05-15 00:00:00,,,,26.1875,26.6875,26.125,,,,,,
2000-05-16 00:00:00,,,,26.5,26.5,25.8125,,,,,,
2000-05-17 00:00:00,,,,26.25,26.25,25.8125,,,,,,
2000-05-18 00:00:00,,,,25.8125,26.5625,25.8125,,,,,,
2000-05-19 00:00:00,,,,26.3125,26.375,25.9375,,,,,,
2000-05-22 00:00:00,,,,26.4375,26.875,26.1875,,,,,,
2000-05-23 00:00:00,,,,26.3125,26.375,25.75,,,,,,
2000-05-24 00:00:00,,,,25.8125,26.6875,25.8125,,,,,,
2000-05-25 00:00:00,,,,25.5,25.9375,25.5,,,,,,
2000-05-26 00:00:00,,,,25.9375,26.0625,25.75,,,,,,
2000-05-30 00:00:00,,,,26,26.4375,25.6875,,,,,,
2000-05-31 00:00:00,,,,26.4375,26.875,25.875,,,,,,
2000-06-01 00:00:00,,,,26,26.25,25.625,,,,,,
2000-06-02 00:00:00,,,,26.0625,26.375,25.625,,,,,,
2000-06-05 00:00:00,,,,25.625,25.625,24.4375,,,,,,
2000-06-06 00:00:00,,,,24.5,25.25,24.375,,,,,,
2000-06-07 00:00:00,,,,24.625,24.9375,24.5,,,,,,
2000-06-08 00:00:00,,,,24.375,24.875,24.125,,,,,,
2000-06-09 00:00:00,,,,24.75,25.4375,24.75,,,,,,
2000-06-12 00:00:00,,,,25.1875,25.5,25.1875,,,,,,
2000-06-13 00:00:00,,,,25.1875,25.4375,25.1875,,,,,,
2000-06-14 00:00:00,,,,25.4375,25.4375,25.125,,,,,,
2000-06-15 00:00:00,,,,25.3125,26.625,25.25,,,,,,
2000-06-16 00:00:00,,,,26.25,26.5,26,,,,,,
2000-06-19 00:00:00,,,,26.1875,26.375,25.8125,,,,,,
2000-06-20 00:00:00,,,,25.9375,26.5,25.6875,,,,,,
2000-06-21 00:00:00,,,,26.4375,26.8125,26,,,,,,
2000-06-22 00:00:00,,,,26,26,25,,,,,,
2000-06-23 00:00:00,,,,25.6875,26.25,25.5625,,,,,,
2000-06-26 00:00:00,,,,25.6875,25.875,25.375,,,,,,
2000-06-27 00:00:00,,,,25.5,25.5,24.125,,,,,,
2000-06-28 00:00:00,,,,24.625,24.75,24,,,,,,
2000-06-29 00:00:00,,,,24.75,25,24.1875,,,,,,
2000-06-30 00:00:00,,,,24.8125,25.375,23.25,,,,,,
2000-07-03 00:00:00,,,,24.375,25.4375,24.375,,,,,,
2000-07-05 00:00:00,,,,25.25,25.875,25.25,,,,,,
2000-07-06 00:00:00,,,,25,25.25,24.75,,,,,,
2000-07-07 00:00:00,,,,24.875,24.9375,24.75,,,,,,
2000-07-10 00:00:00,,,,24.75,25,24.75,,,,,,
2000-07-11 00:00:00,,,,25,25.75,24.9375,,,,0,1,0
2000-07-12 00:00:00,,,,25.75,25.8125,25.5625,,,,,,
2000-07-13 00:00:00,,,,25.5,25.9375,25.4375,,,,,,
2000-07-14 00:00:00,,,,25.75,26.5625,25.75,,,,,,
2000-07-17 00:00:00,,,,26.4375,26.5,26.0625,,,,,,
2000-07-18 00:00:00,,,,26.25,26.5,25.9375,,,,,,
2000-07-19 00:00:00,,,,26,26.5,25.75,,,,,,
2000-07-20 00:00:00,,,,26.3125,27.125,26.3125,,,,,,
2000-07-21 00:00:00,,,,26.5,26.75,26.5,,,,,,
2000-07-24 00:00:00,,,,26.6875,26.6875,26.125,,,,,,
2000-07-25 00:00:00,,,,26.375,26.625,26.25,,,,,,
2000-07-26 00:00:00,,,,26.4375,26.4375,25.8125,,,,0,2,0
2000-07-27 00:00:00,,,,26.0625,26.4375,26.0625,,,,,,
2000-07-28 00:00:00,,,,26.3125,26.375,25.8125,,,,,,
2000-07-31 00:00:00,,,,26,26.4375,25.9375,,,,,,
2000-08-01 00:00:00,,,,26.25,27,26.25,,,,,,
2000-08-02 00:00:00,,,,26.625,27.3125,26.625,,,,,,
2000-08-03 00:00:00,,,,26.5625,27.375,26.5625,,,,,,
2000-08-04 00:00:00,,,,27.25,27.25,26,,,,,,
2000-08-07 00:00:00,,,,26.8125,27.375,26.8125,,,,,,
2000-08-08 00:00:00,,,,27.375,27.6875,26.6875,,,,,,
2000-08-09 00:00:00,,,,27,27.125,26.25,,,,,,
2000-08-10 00:00:00,,,,26.625,27,26.4375,,,,,,
2000-08-11 00:00:00,,,,27.25,27.6875,27,,,,,,
2000-08-14 00:00:00,,,,27.3125,27.4375,26.875,,,,,,
2000-08-15 00:00:00,,,,27.125,27.75,26.9375,,,,,,
2000-08-16 00:00:00,,,,27.25,27.5,27.1875,,,,,,
2000-08-17 00:00:00,,,,27.25,27.3125,27.0625,,,,,,
2000-08-18 00:00:00,,,,27.0625,27.0625,26.75,,,,,,
2000-08-21 00:00:00,,,,26.9375,27.125,26.625,,,,,,
2000-08-22 00:00:00,,,,27,27.1875,27,,,,,,
2000-08-23 00:00:00,,,,27,27,26.75,,,,,,
2000-08-24 00:00:00,,,,26.9375,26.9375,26.375,,,,,,
2000-08-25 00:00:00,,,,27,27.1875,26.125,,,,,,
2000-08-28 00:00:00,,,,27.25,27.625,27,,,,0,2,0
2000-08-29 00:00:00,,,,27.3125,27.4375,27.1875,,,,,,
2000-08-30 00:00:00,,,,27.25,27.3125,26.75,,,,0,2,1
2000-08-31 00:00:00,,,,27,27.375,26.75,,,,,,
2000-09-01 00:00:00,,,,27.5,27.875,27.25,,,,,,
2000-09-05 00:00:00,,,,27.5625,27.9375,27.5,,,,,,
2000-09-06 00:00:00,,,,27.6875,28.5625,27.5625,,,,,,
2000-09-07 00:00:00,,,,28.625,28.9375,28.4375,,,,,,
2000-09-08 00:00:00,,,,28.875,29.875,28.75,,,,,,
2000-09-11 00:00:00,,,,29.625,30.125,29.5,,,,,,
2000-09-12 00:00:00,,,,29.6875,30,29.375,,,,,,
2000-09-13 00:00:00,,,,29.6875,29.9375,29.3125,,,,,,
2000-09-14 00:00:00,,,,29.4375,29.4375,28.6875,,,,,,
2000-09-15 00:00:00,,,,28.625,29.5,28.625,,,,,,
2000-09-18 00:00:00,,,,29.375,29.5,28.25,,,,,,
2000-09-19 00:00:00,,,,28.5,28.5,27.6875,,,,,,
2000-09-20 00:00:00,,,,27.5625,27.6875,26.1875,,,,,,
2000-09-21 00:00:00,,,,27.125,27.4375,26.6875,,,,0,2,1
2000-09-22 00:00:00,,,,26.625,27.125,26.4375,,,,,,
2000-09-25 00:00:00,,,,26.875,27,26.75,,,,,,
2000-09-26 00:00:00,,,,27,28.5,26.9375,,,,,,
2000-09-27 00:00:00,,,,28.5,29.1875,28,,,,,,
2000-09-28 00:00:00,,,,29.375,30.5625,29.375,,,,,,
2000-09-29 00:00:00,,,,30.0625,30.9375,29.9375,,,,,,
2000-10-02 00:00:00,,,,30.625,31.125,30.25,,,,,,
2000-10-03 00:00:00,,,,30.375,30.75,29.5,,,,,,
2000-10-04 00:00:00,,,,29.625,30.125,28.3125,,,,,,
2000-10-05 00:00:00,,,,28.625,29.625,28.5625,,,,,,
2000-10-06 00:00:00,,,,28.6875,29.875,28.6875,,,,,,
2000-10-09 00:00:00,,,,29.625,30.1875,29.5625,,,,,,
2000-10-10 00:00:00,,,,29.625,30.0625,29.1875,,,,,,
