Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,29.75,31.2917,29.4167,,,,0,5,0
2000-05-02 00:00:00,,,,29.5,30.4583,29.125,,,,0,5,1
2000-05-03 00:00:00,,,,29.1667,29.8333,27.5,,,,,,
2000-05-04 00:00:00,,,,28.8333,29.0833,28.1667,,,,,,
2000-05-05 00:00:00,,,,28.5833,29.875,28.3333,,,,,,
2000-05-08 00:00:00,,,,29.75,29.75,28.1667,,,,,,
2000-05-09 00:00:00,,,,29,29.3333,27.9167,,,,,,
2000-05-10 00:00:00,,,,27.8333,27.9167,25.3333,,,,,,
2000-05-11 00:00:00,,,,27.3333,27.4167,25.75,,,,,,
2000-05-12 00:00:00,,,,26.4167,28.1667,26.375,,,,,,
2000-05-15 00:00:00,,,,27.4583,29.8333,27.4583,,,,,,
2000-05-16 00:00:00,,,,29.0833,30.9167,29.0417,,,,,,
2000-05-17 00:00:00,,,,28.8333,29.5417,28.3333,,,,,,
2000-05-18 00:00:00,,,,29.6667,30.5417,29.2917,,,,,,
2000-05-19 00:00:00,,,,28.6667,28.9167,27.9167,,,,,,
2000-05-22 00:00:00,,,,27.1667,28.5417,25.6667,,,,,,
2000-05-23 00:00:00,,,,27.9167,28.2917,26.7917,,,,,,
2000-05-24 00:00:00,,,,26.6667,27,25.125,,,,,,
2000-05-25 00:00:00,,,,26.5,26.5417,24.9583,,,,,,
2000-05-26 00:00:00,,,,25.3333,26,24,,,,,,
2000-05-30 00:00:00,,,,25.125,26.375,25,,,,,,
2000-05-31 00:00:00,,,,26.625,28.8125,26.375,,,,0,5,1
2000-06-01 00:00:00,,,,29,29.625,28.3125,,,,0,5,1
2000-06-02 00:00:00,,,,32.75,33.875,31.1875,,,,,,
2000-06-05 00:00:00,,,,32.75,33.375,32.125,,,,,,
2000-06-06 00:00:00,,,,32.5,32.75,31.8125,,,,,,
2000-06-07 00:00:00,,,,32.375,32.875,31.5,,,,,,
2000-06-08 00:00:00,,,,31.875,32.375,29.125,,,,0,5,1
2000-06-09 00:00:00,,,,30.375,30.375,29.4375,,,,,,
2000-06-12 00:00:00,,,,29.8125,29.9375,28.625,,,,,,
2000-06-13 00:00:00,,,,29.875,30.3125,28.75,,,,,,
2000-06-14 00:00:00,,,,29.5625,33,29.125,,,,,,
2000-06-15 00:00:00,,,,32.25,33.375,31.0625,,,,,,
2000-06-16 00:00:00,,,,32.5,33.625,32.0625,,,,,,
2000-06-19 00:00:00,,,,33.625,34.6875,33.0625,,,,,,
2000-06-20 00:00:00,,,,34.6875,34.9375,33.25,,,,,,
2000-06-21 00:00:00,,,,34.625,34.625,33.625,,,,,,
2000-06-22 00:00:00,,,,33.875,34.0625,32.75,,,,,,
2000-06-23 00:00:00,,,,34.125,34.3125,32.5625,,,,,,
2000-06-26 00:00:00,,,,32.5625,33.8125,32.5625,,,,,,
2000-06-27 00:00:00,,,,33.8125,33.8125,32.875,,,,,,
2000-06-28 00:00:00,,,,33.4375,33.5,31.875,,,,,,
2000-06-29 00:00:00,,,,32,33.75,31.625,,,,,,
