Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,2,0
2000-06-07 00:00:00,,,,,,,,,,0,3,0
2000-06-08 00:00:00,,,,,,,,,,0,3,0
2000-07-05 00:00:00,,,,,,,,,,0,3,0
2000-07-13 00:00:00,,,,,,,,,,0,2,1
2000-07-21 00:00:00,,,,,,,,,,0,2,1
2000-08-04 00:00:00,,,,,,,,,,0,3,1
2000-09-08 00:00:00,,,,,,,,,,0,3,1
2000-10-05 00:00:00,,,,,,,,,,0,3,1
2000-10-10 00:00:00,,,,,,,,,,0,3,1
2000-10-30 00:00:00,,,,,,,,,,0,3,1
2000-11-02 00:00:00,,,,,,,,,,0,4,1
2000-11-03 00:00:00,,,,,,,,,,0,4,1
2000-11-20 00:00:00,,,,,,,,,,0,4,1
2000-11-30 00:00:00,,,,,,,,,,0,4,1
2000-12-01 00:00:00,,,,,,,,,,0,4,1
2000-12-28 00:00:00,,,,,,,,,,0,4,1
2001-01-05 00:00:00,,,,,,,,,,0,5,1
2001-01-08 00:00:00,,,,,,,,,,0,4,2
2001-01-10 00:00:00,,,,,,,,,,0,3,3
2001-01-11 00:00:00,,,,,,,,,,0,3,3
2001-01-19 00:00:00,,,,,,,,,,0,3,3
2001-02-01 00:00:00,,,,,,,,,,0,4,3
2001-02-08 00:00:00,,,,,,,,,,0,4,3
2001-02-12 00:00:00,,,,,,,,,,0,4,3
2001-02-22 00:00:00,,,,,,,,,,0,4,3
2001-03-01 00:00:00,,,,,,,,,,0,4,3
2001-03-05 00:00:00,,,,,,,,,,0,4,3
2001-03-06 00:00:00,,,,,,,,,,0,4,3
2001-03-07 00:00:00,,,,,,,,,,0,4,3
2001-03-09 00:00:00,,,,,,,,,,0,4,3
2001-03-15 00:00:00,,,,,,,,,,0,5,2
2001-03-29 00:00:00,,,,,,,,,,0,6,2
2001-03-30 00:00:00,,,,,,,,,,0,5,2
2001-04-02 00:00:00,,,,,,,,,,0,5,2
2001-04-18 00:00:00,,,,,,,,,,0,5,2
2001-05-25 00:00:00,,,,,,,,,,0,6,2
2001-05-31 00:00:00,,,,,,,,,,0,6,2
2001-06-07 00:00:00,,,,,,,,,,0,6,2
2001-06-08 00:00:00,,,,,,,,,,0,6,2
2001-06-12 00:00:00,,,,,,,,,,0,6,2
2001-06-26 00:00:00,,,,,,,,,,0,6,2
2001-08-09 00:00:00,,,,,,,,,,0,6,2
2001-08-10 00:00:00,,,,,,,,,,0,6,2
2001-08-21 00:00:00,,,,,,,,,,0,5,3
2001-08-28 00:00:00,,,,,,,,,,0,5,3
2001-08-29 00:00:00,,,,,,,,,,0,5,3
2001-09-05 00:00:00,,,,,,,,,,0,5,3
2001-09-12 00:00:00,,,,,,,,,,0,5,4
2001-09-26 00:00:00,,,,,,,,,,0,4,5
2001-10-02 00:00:00,,,,,,,,,,0,4,5
2001-10-10 00:00:00,,,,,,,,,,0,4,5
2001-10-19 00:00:00,,,,,,,,,,0,4,5
2001-10-26 00:00:00,,,,,,,,,,0,4,5
2001-11-05 00:00:00,,,,,,,,,,0,4,5
2001-11-08 00:00:00,,,,,,,,,,0,4,5
2001-11-09 00:00:00,,,,,,,,,,0,4,5
2001-11-19 00:00:00,,,,,,,,,,0,4,5
2001-11-23 00:00:00,,,,,,,,,,0,5,4
2001-11-30 00:00:00,,,,,,,,,,0,6,3
2001-12-07 00:00:00,,,,,,,,,,0,6,3
2001-12-26 00:00:00,,,,,,,,,,0,7,2
2002-01-09 00:00:00,,,,,,,,,,0,7,1
2002-01-10 00:00:00,,,,,,,,,,0,7,1
2002-01-11 00:00:00,,,,,,,,,,0,7,1
2002-02-04 00:00:00,,,,,,,,,,0,7,1
2002-02-08 00:00:00,,,,,,,,,,0,7,1
2002-02-18 00:00:00,,,,,,,,,,0,7,1
2002-03-22 00:00:00,,,,,,,,,,0,7,1
2002-03-28 00:00:00,,,,,,,,,,0,7,1
2002-04-01 00:00:00,,,,,,,,,,0,5,2
2002-04-05 00:00:00,,,,,,,,,,0,5,2
2002-04-08 00:00:00,,,,,,,,,,0,5,2
2002-04-10 00:00:00,,,,,,,,,,0,5,2
2002-04-11 00:00:00,,,,,,,,,,0,5,2
2002-04-12 00:00:00,,,,,,,,,,0,5,2
2002-04-15 00:00:00,,,,,,,,,,0,5,2
2002-04-22 00:00:00,,,,,,,,,,0,5,2
2002-04-29 00:00:00,,,,,,,,,,0,5,2
2002-05-07 00:00:00,,,,,,,,,,0,5,2
2002-05-09 00:00:00,,,,,,,,,,0,5,2
2002-05-13 00:00:00,,,,,,,,,,0,5,2
2002-06-07 00:00:00,,,,,,,,,,0,5,3
2002-06-10 00:00:00,,,,,,,,,,0,5,3
2002-06-13 00:00:00,,,,,,,,,,0,5,3
2002-06-14 00:00:00,,,,,,,,,,0,5,3
2002-06-26 00:00:00,,,,,,,,,,0,5,3
2002-07-16 00:00:00,,,,,,,,,,0,5,3
2002-07-23 00:00:00,,,,,,,,,,0,5,3
2002-08-02 00:00:00,,,,,,,,,,0,5,2
2002-08-08 00:00:00,,,,,,,,,,0,5,2
2002-08-09 00:00:00,,,,,,,,,,0,5,2
2002-08-14 00:00:00,,,,,,,,,,0,5,2
2002-08-30 00:00:00,,,,,,,,,,0,5,2
2002-09-02 00:00:00,,,,,,,,,,0,5,2
2002-09-03 00:00:00,,,,,,,,,,0,5,2
2002-09-04 00:00:00,,,,,,,,,,0,5,2
2002-09-05 00:00:00,,,,,,,,,,0,5,2
2002-09-06 00:00:00,,,,,,,,,,0,5,2
2002-10-01 00:00:00,,,,,,,,,,0,5,2
2002-10-03 00:00:00,,,,,,,,,,0,6,2
2002-10-22 00:00:00,,,,,,,,,,0,6,2
2002-10-24 00:00:00,,,,,,,,,,0,6,2
2002-11-04 00:00:00,,,,,,,,,,0,5,3
2002-11-07 00:00:00,,,,,,,,,,0,5,3
2002-11-08 00:00:00,,,,,,,,,,0,5,3
2002-12-04 00:00:00,,,,,,,,,,0,5,3
2002-12-10 00:00:00,,,,,,,,,,0,6,2
2003-01-02 00:00:00,,,,,,,,,,0,6,2
2003-01-09 00:00:00,,,,,,,,,,0,6,2
2003-01-10 00:00:00,,,,,,,,,,0,6,2
2003-01-13 00:00:00,,,,,,,,,,0,6,2
2003-01-14 00:00:00,,,,,,,,,,0,6,2
2003-02-07 00:00:00,,,,,,,,,,0,6,2
2003-03-10 00:00:00,,,,,,,,,,0,6,2
2003-03-25 00:00:00,,,,,,,,,,0,6,2
2003-03-26 00:00:00,,,,,,,,,,0,6,2
2003-03-27 00:00:00,,,,,,,,,,0,6,2
2003-05-06 00:00:00,,,,,,,,,,0,6,2
2003-05-08 00:00:00,,,,,,,,,,0,6,2
2003-05-09 00:00:00,,,,,,,,,,0,6,2
2003-05-14 00:00:00,,,,,,,,,,0,5,3
2003-05-28 00:00:00,,,,,,,,,,0,4,3
2003-06-05 00:00:00,,,,,,,,,,0,4,3
2003-06-06 00:00:00,,,,,,,,,,0,4,3
2003-06-09 00:00:00,,,,,,,,,,0,4,2
2003-06-19 00:00:00,,,,,,,,,,0,5,2
2003-07-08 00:00:00,,,,,,,,,,0,5,2
2003-07-14 00:00:00,,,,,,,,,,0,5,2
2003-07-23 00:00:00,,,,,,,,,,0,5,3
2003-07-30 00:00:00,,,,,,,,,,0,6,2
2003-08-07 00:00:00,,,,,,,,,,0,6,2
2003-08-15 00:00:00,,,,,,,,,,0,6,2
2003-08-18 00:00:00,,,,,,,,,,0,6,2
2003-08-29 00:00:00,,,,,,,,,,0,6,2
2003-09-01 00:00:00,,,,,,,,,,0,6,1
2003-09-08 00:00:00,,,,,,,,,,0,5,1
2003-09-15 00:00:00,,,,,,,,,,0,5,1
2003-09-17 00:00:00,,,,,,,,,,0,5,2
2003-11-04 00:00:00,,,,,,,,,,0,5,2
2003-11-13 00:00:00,,,,,,,,,,0,5,2
2003-11-24 00:00:00,,,,,,,,,,0,5,2
2003-11-26 00:00:00,,,,,,,,,,0,5,2
2003-11-27 00:00:00,,,,,,,,,,0,5,2
2003-12-12 00:00:00,,,,,,,,,,0,5,3
2004-01-07 00:00:00,,,,,,,,,,0,5,4
2004-01-09 00:00:00,,,,,,,,,,0,5,4
2004-01-20 00:00:00,,,,,,,,,,0,6,4
2004-02-06 00:00:00,,,,,,,,,,0,6,4
2004-03-15 00:00:00,,,,,,,,,,0,6,4
2004-03-22 00:00:00,,,,,,,,,,0,6,4
2004-03-23 00:00:00,,,,,,,,,,0,5,4
2004-03-24 00:00:00,,,,,,,,,,0,5,4
2004-03-25 00:00:00,,,,,,,,,,0,5,4
2004-04-07 00:00:00,,,,,,,,,,0,5,4
2004-04-22 00:00:00,,,,,,,,,,0,5,4
2004-04-28 00:00:00,,,,,,,,,,0,5,4
2004-05-06 00:00:00,,,,,,,,,,0,5,4
2004-05-07 00:00:00,,,,,,,,,,0,6,4
