Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,16.929,16.996,16.665,,,,0,1,1
2000-05-02 00:00:00,,,,17.062,17.062,16.929,,,,,,
2000-05-03 00:00:00,,,,16.996,17.855,16.863,,,,,,
2000-05-04 00:00:00,,,,17.26,18.979,17.26,,,,,,
2000-05-05 00:00:00,,,,19.046,19.178,17.458,,,,,,
2000-05-08 00:00:00,,,,17.26,17.591,16.929,,,,,,
2000-05-09 00:00:00,,,,17.591,17.855,17.458,,,,,,
2000-05-10 00:00:00,,,,17.855,18.12,17.525,,,,,,
2000-05-11 00:00:00,,,,17.458,17.591,17.326,,,,,,
2000-05-12 00:00:00,,,,17.458,17.591,17.26,,,,,,
2000-05-15 00:00:00,,,,17.988,17.988,17.326,,,,,,
2000-05-16 00:00:00,,,,17.458,18.583,17.392,,,,0,1,1
2000-05-17 00:00:00,,,,18.517,18.517,17.988,,,,,,
2000-05-18 00:00:00,,,,17.921,18.186,17.921,,,,,,
2000-05-19 00:00:00,,,,18.252,18.517,18.12,,,,0,1,0
2000-05-22 00:00:00,,,,18.318,18.318,18.054,,,,,,
2000-05-23 00:00:00,,,,18.252,18.517,18.12,,,,,,
2000-05-24 00:00:00,,,,18.054,19.376,18.054,,,,,,
2000-05-25 00:00:00,,,,19.046,19.178,18.913,,,,,,
2000-05-26 00:00:00,,,,19.178,19.178,18.715,,,,,,
2000-05-30 00:00:00,,,,18.979,18.979,18.847,,,,,,
2000-05-31 00:00:00,,,,18.913,18.979,18.583,,,,,,
2000-06-01 00:00:00,,,,18.979,19.046,18.781,,,,,,
2000-06-02 00:00:00,,,,19.178,19.244,19.112,,,,,,
2000-06-05 00:00:00,,,,19.244,19.244,18.649,,,,,,
2000-06-06 00:00:00,,,,18.847,18.847,18.583,,,,,,
2000-06-07 00:00:00,,,,18.517,18.913,18.517,,,,,,
2000-06-08 00:00:00,,,,18.781,18.847,18.649,,,,,,
2000-06-09 00:00:00,,,,18.715,18.781,18.583,,,,,,
2000-06-12 00:00:00,,,,18.649,18.781,18.583,,,,,,
2000-06-13 00:00:00,,,,18.583,18.649,18.45,,,,,,
2000-06-14 00:00:00,,,,18.781,18.913,18.384,,,,,,
2000-06-15 00:00:00,,,,18.384,18.715,18.384,,,,,,
2000-06-16 00:00:00,,,,18.45,18.583,18.318,,,,,,
2000-06-19 00:00:00,,,,18.384,18.979,18.318,,,,,,
2000-06-20 00:00:00,,,,18.384,18.715,18.384,,,,,,
2000-06-21 00:00:00,,,,18.583,18.781,18.45,,,,,,
2000-06-22 00:00:00,,,,18.583,18.583,18.384,,,,,,
2000-06-23 00:00:00,,,,18.252,18.45,18.252,,,,,,
2000-06-26 00:00:00,,,,18.45,18.847,18.384,,,,,,
2000-06-27 00:00:00,,,,18.913,19.244,18.913,,,,,,
2000-06-28 00:00:00,,,,19.112,19.575,19.112,,,,,,
2000-06-29 00:00:00,,,,19.509,19.773,19.442,,,,,,
2000-06-30 00:00:00,,,,19.641,20.368,19.575,,,,,,
2000-07-03 00:00:00,,,,20.368,20.5,20.368,,,,,,
2000-07-05 00:00:00,,,,20.5,20.633,20.236,,,,,,
2000-07-06 00:00:00,,,,20.434,20.434,19.442,,,,,,
2000-07-07 00:00:00,,,,19.575,19.971,19.376,,,,,,
2000-07-10 00:00:00,,,,19.971,20.104,19.575,,,,,,
2000-07-11 00:00:00,,,,19.707,19.773,19.178,,,,,,
2000-07-12 00:00:00,,,,19.442,19.509,18.781,,,,,,
2000-07-13 00:00:00,,,,19.641,19.641,19.244,,,,,,
2000-07-14 00:00:00,,,,19.178,19.31,19.178,,,,,,
2000-07-17 00:00:00,,,,19.442,19.575,19.178,,,,,,
2000-07-18 00:00:00,,,,19.244,19.244,19.112,,,,,,
2000-07-19 00:00:00,,,,19.112,19.178,18.979,,,,,,
2000-07-20 00:00:00,,,,19.178,19.31,19.178,,,,,,
2000-07-21 00:00:00,,,,19.376,19.376,18.979,,,,,,
2000-07-24 00:00:00,,,,19.112,19.112,18.847,,,,,,
2000-07-25 00:00:00,,,,19.046,19.178,18.781,,,,,,
2000-07-26 00:00:00,,,,19.046,19.112,18.847,,,,,,
2000-07-27 00:00:00,,,,18.979,19.112,18.847,,,,,,
2000-07-28 00:00:00,,,,18.781,19.244,18.649,,,,,,
2000-07-31 00:00:00,,,,19.31,19.31,19.046,,,,,,
2000-08-01 00:00:00,,,,19.046,19.244,19.046,,,,,,
2000-08-02 00:00:00,,,,19.046,19.442,19.046,,,,,,
2000-08-03 00:00:00,,,,19.376,19.442,19.244,,,,,,
