Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,26.313,27.063,26,,,,0,5,1
2000-05-02 00:00:00,,,,26.688,26.813,26.125,,,,,,
2000-05-03 00:00:00,,,,26.313,26.438,25.5,,,,,,
2000-05-04 00:00:00,,,,25.75,25.875,25,,,,,,
2000-05-05 00:00:00,,,,25,25.25,24.813,,,,,,
2000-05-08 00:00:00,,,,24.875,26.625,24.875,,,,,,
2000-05-09 00:00:00,,,,25.063,25.625,25.063,,,,,,
2000-05-10 00:00:00,,,,25.188,25.25,24.375,,,,,,
2000-05-11 00:00:00,,,,24.688,27.25,24.625,,,,,,
2000-05-12 00:00:00,,,,27,27,25.813,,,,,,
2000-05-15 00:00:00,,,,26.188,26.813,25.875,,,,,,
2000-05-16 00:00:00,,,,26.5,27.313,26.438,,,,,,
2000-05-17 00:00:00,,,,26.625,26.75,25.75,,,,,,
2000-05-18 00:00:00,,,,26.375,26.5,26,,,,,,
2000-05-19 00:00:00,,,,26.063,26.25,25.563,,,,,,
2000-05-22 00:00:00,,,,26.375,26.375,25.688,,,,0,5,1
2000-05-23 00:00:00,,,,26.125,26.5,26.063,,,,0,5,2
2000-05-24 00:00:00,,,,26.313,26.75,25.75,,,,,,
2000-05-25 00:00:00,,,,26.625,27,26,,,,,,
2000-05-26 00:00:00,,,,26.75,26.875,25.938,,,,,,
2000-05-30 00:00:00,,,,26.063,26.5,26.063,,,,0,5,2
2000-05-31 00:00:00,,,,26.25,26.5,25.25,,,,0,5,2
2000-06-01 00:00:00,,,,25.688,26.063,25.5,,,,0,5,2
2000-06-02 00:00:00,,,,26,26.938,26,,,,,,
2000-06-05 00:00:00,,,,26.625,27.25,26.625,,,,,,
2000-06-06 00:00:00,,,,26.938,27.188,26.75,,,,,,
2000-06-07 00:00:00,,,,27.188,27.438,26.375,,,,,,
2000-06-08 00:00:00,,,,26.625,26.938,26.5,,,,0,5,2
2000-06-09 00:00:00,,,,26.813,26.875,26.063,,,,,,
2000-06-12 00:00:00,,,,26.625,26.875,26.625,,,,,,
2000-06-13 00:00:00,,,,26.688,28.75,26.688,,,,,,
2000-06-14 00:00:00,,,,28.5,29.563,28.313,,,,,,
2000-06-15 00:00:00,,,,28.813,29.125,28.563,,,,,,
2000-06-16 00:00:00,,,,29,29,28.25,,,,0,5,2
2000-06-19 00:00:00,,,,28.25,28.688,28.063,,,,,,
2000-06-20 00:00:00,,,,28.563,28.563,27.375,,,,0,5,2
2000-06-21 00:00:00,,,,28.063,28.063,27.688,,,,,,
2000-06-22 00:00:00,,,,27.875,27.875,26.938,,,,,,
2000-06-23 00:00:00,,,,27.125,27.625,27.063,,,,,,
2000-06-26 00:00:00,,,,27.313,27.938,27.313,,,,,,
2000-06-27 00:00:00,,,,27.688,28.188,27.313,,,,,,
2000-06-28 00:00:00,,,,28.438,28.5,28.125,,,,,,
2000-06-29 00:00:00,,,,28.313,29.938,28.188,,,,,,
2000-06-30 00:00:00,,,,29.625,30.313,26.625,,,,0,5,2
2000-07-03 00:00:00,,,,26.813,28.5,26.813,,,,,,
2000-07-05 00:00:00,,,,28.438,28.625,27.5,,,,,,
2000-07-06 00:00:00,,,,28.188,28.5,27.875,,,,0,5,2
2000-07-07 00:00:00,,,,28.313,28.313,27,,,,,,
2000-07-10 00:00:00,,,,28.25,28.438,28.063,,,,,,
2000-07-11 00:00:00,,,,28.25,29.375,28.25,,,,,,
2000-07-12 00:00:00,,,,29,29.438,28.938,,,,,,
2000-07-13 00:00:00,,,,29,29.938,29,,,,,,
2000-07-14 00:00:00,,,,29.375,30.438,29.375,,,,,,
2000-07-17 00:00:00,,,,30.5,30.688,30,,,,,,
2000-07-18 00:00:00,,,,30,30,29,,,,,,
2000-07-19 00:00:00,,,,29.188,29.563,28.75,,,,,,
2000-07-20 00:00:00,,,,29.375,30.438,29.375,,,,,,
2000-07-21 00:00:00,,,,29.75,30.188,29.688,,,,,,
2000-07-24 00:00:00,,,,29.688,30.063,29.563,,,,,,
2000-07-25 00:00:00,,,,29.5,30,29.063,,,,0,5,2
2000-07-26 00:00:00,,,,29.5,29.688,29.313,,,,,,
2000-07-27 00:00:00,,,,29.438,29.563,29,,,,,,
2000-07-28 00:00:00,,,,29.063,29.688,29.063,,,,0,5,2
2000-07-31 00:00:00,,,,29.625,31.688,29.625,,,,,,
