Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,1,0
2008-07-11 00:00:00,,,,,,,,,,0,2,1
2008-07-16 00:00:00,,,,,,,,,,0,2,2
2008-07-18 00:00:00,,,,,,,,,,0,2,2
2008-07-24 00:00:00,,,,,,,,,,0,2,2
2008-07-25 00:00:00,,,,,,,,,,0,2,3
2008-08-15 00:00:00,,,,,,,,,,0,2,3
2008-09-03 00:00:00,,,,,,,,,,0,2,4
2008-09-05 00:00:00,,,,,,,,,,0,2,5
2008-09-11 00:00:00,,,,,,,,,,0,3,5
2008-09-12 00:00:00,,,,,,,,,,0,3,5
2008-09-19 00:00:00,,,,,,,,,,0,3,6
2008-09-24 00:00:00,,,,,,,,,,0,3,6
2008-09-29 00:00:00,,,,,,,,,,0,3,6
2008-10-08 00:00:00,,,,,,,,,,0,4,6
2008-10-14 00:00:00,,,,,,,,,,1,4,6
2008-10-15 00:00:00,,,,,,,,,,1,4,6
2008-10-21 00:00:00,,,,,,,,,,1,4,6
2008-10-22 00:00:00,,,,,,,,,,2,4,5
2008-10-24 00:00:00,,,,,,,,,,2,4,5
2008-10-28 00:00:00,,,,,,,,,,2,4,5
2008-10-29 00:00:00,,,,,,,,,,2,4,5
2008-10-30 00:00:00,,,,,,,,,,2,4,5
2008-10-31 00:00:00,,,,,,,,,,2,4,5
2008-11-06 00:00:00,,,,,,,,,,2,4,4
2008-12-03 00:00:00,,,,,,,,,,2,4,4
2008-12-08 00:00:00,,,,,,,,,,2,4,4
2008-12-11 00:00:00,,,,,,,,,,2,4,4
2008-12-12 00:00:00,,,,,,,,,,2,4,4
2008-12-18 00:00:00,,,,,,,,,,2,4,4
2009-01-01 00:00:00,,,,,,,,,,2,4,4
2009-01-13 00:00:00,,,,,,,,,,2,4,4
2009-01-23 00:00:00,,,,,,,,,,2,5,4
2009-01-26 00:00:00,,,,,,,,,,2,5,4
2009-02-02 00:00:00,,,,,,,,,,2,5,4
2009-02-03 00:00:00,,,,,,,,,,2,5,4
2009-02-04 00:00:00,,,,,,,,,,2,5,4
2009-02-05 00:00:00,,,,,,,,,,2,5,4
2009-02-06 00:00:00,,,,,,,,,,2,5,4
2009-02-09 00:00:00,,,,,,,,,,2,5,4
2009-02-26 00:00:00,,,,,,,,,,2,5,4
2009-03-04 00:00:00,,,,,,,,,,2,5,4
2009-03-23 00:00:00,,,,,,,,,,2,5,5
2009-03-25 00:00:00,,,,,,,,,,2,5,5
2009-03-30 00:00:00,,,,,,,,,,2,5,5
2009-04-02 00:00:00,,,,,,,,,,2,5,5
2009-04-16 00:00:00,,,,,,,,,,2,5,5
2009-04-17 00:00:00,,,,,,,,,,2,5,5
2009-04-23 00:00:00,,,,,,,,,,2,5,5
2009-04-27 00:00:00,,,,,,,,,,2,5,5
2009-04-28 00:00:00,,,,,,,,,,2,5,5
2009-05-01 00:00:00,,,,,,,,,,2,5,5
2009-05-06 00:00:00,,,,,,,,,,2,5,5
2009-05-08 00:00:00,,,,,,,,,,2,5,5
2009-05-11 00:00:00,,,,,,,,,,2,4,6
2009-05-12 00:00:00,,,,,,,,,,2,4,6
2009-05-14 00:00:00,,,,,,,,,,2,4,6
2009-05-15 00:00:00,,,,,,,,,,2,4,6
2009-05-21 00:00:00,,,,,,,,,,2,4,6
2009-05-22 00:00:00,,,,,,,,,,2,4,6
2009-05-26 00:00:00,,,,,,,,,,2,4,6
2009-05-29 00:00:00,,,,,,,,,,1,4,7
2009-06-02 00:00:00,,,,,,,,,,1,3,7
2009-06-03 00:00:00,,,,,,,,,,1,3,7
2009-06-05 00:00:00,,,,,,,,,,1,3,7
2009-06-09 00:00:00,,,,,,,,,,1,3,7
2009-06-10 00:00:00,,,,,,,,,,1,3,7
2009-06-18 00:00:00,,,,,,,,,,1,3,7
2009-06-19 00:00:00,,,,,,,,,,1,3,7
2009-06-22 00:00:00,,,,,,,,,,1,4,7
2009-06-25 00:00:00,,,,,,,,,,1,4,7
2009-06-26 00:00:00,,,,,,,,,,1,4,7
2009-07-01 00:00:00,,,,,,,,,,1,5,7
2009-07-09 00:00:00,,,,,,,,,,1,5,7
2009-07-10 00:00:00,,,,,,,,,,1,5,7
2009-07-14 00:00:00,,,,,,,,,,1,5,7
2009-07-20 00:00:00,,,,,,,,,,0,5,8
2009-07-22 00:00:00,,,,,,,,,,0,5,8
2009-07-24 00:00:00,,,,,,,,,,0,5,8
2009-07-27 00:00:00,,,,,,,,,,0,6,8
2009-07-29 00:00:00,,,,,,,,,,0,7,9
2009-08-04 00:00:00,,,,,,,,,,0,7,9
2009-08-05 00:00:00,,,,,,,,,,0,7,9
2009-08-06 00:00:00,,,,,,,,,,0,7,9
2009-08-07 00:00:00,,,,,,,,,,0,7,9
2009-08-11 00:00:00,,,,,,,,,,0,7,9
2009-08-13 00:00:00,,,,,,,,,,0,7,9
2009-08-21 00:00:00,,,,,,,,,,0,7,9
2009-08-28 00:00:00,,,,,,,,,,0,7,9
2009-09-02 00:00:00,,,,,,,,,,0,7,9
2009-09-03 00:00:00,,,,,,,,,,0,7,9
2009-09-08 00:00:00,,,,,,,,,,0,8,9
2009-09-10 00:00:00,,,,,,,,,,0,8,9
2009-09-11 00:00:00,,,,,,,,,,0,8,9
2009-09-16 00:00:00,,,,,,,,,,0,8,9
2009-09-17 00:00:00,,,,,,,,,,0,8,9
