Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,25.625,26.438,25.531,,,,0,5,0
2000-05-02 00:00:00,,,,26,26.188,25.531,,,,,,
2000-05-03 00:00:00,,,,26.031,26.25,25.531,,,,,,
2000-05-04 00:00:00,,,,25.563,25.969,25.188,,,,,,
2000-05-05 00:00:00,,,,25.719,26.875,25.531,,,,,,
2000-05-08 00:00:00,,,,26.156,26.156,25.156,,,,,,
2000-05-09 00:00:00,,,,25.719,25.938,24.906,,,,,,
2000-05-10 00:00:00,,,,25.094,25.906,25.094,,,,,,
2000-05-11 00:00:00,,,,25.344,25.5,25,,,,,,
2000-05-12 00:00:00,,,,25.406,25.625,25.094,,,,,,
2000-05-15 00:00:00,,,,25.5,25.5,25,,,,,,
2000-05-16 00:00:00,,,,25.313,25.625,25.125,,,,,,
2000-05-17 00:00:00,,,,25,25.344,24.906,,,,,,
2000-05-18 00:00:00,,,,25.125,25.938,25.031,,,,,,
2000-05-19 00:00:00,,,,25.188,25.438,24.594,,,,,,
2000-05-22 00:00:00,,,,25.313,25.375,24.375,,,,,,
2000-05-23 00:00:00,,,,25.063,25.125,24.531,,,,0,5,0
2000-05-24 00:00:00,,,,24.969,25.438,24.875,,,,,,
2000-05-25 00:00:00,,,,25.5,25.781,25.281,,,,,,
2000-05-26 00:00:00,,,,25.938,26.125,25.531,,,,,,
2000-05-30 00:00:00,,,,25.875,26.375,25.656,,,,0,5,0
2000-05-31 00:00:00,,,,25.875,25.969,25.563,,,,,,
2000-06-01 00:00:00,,,,25.844,25.906,25.375,,,,0,5,0
2000-06-02 00:00:00,,,,26.094,26.375,26,,,,,,
2000-06-05 00:00:00,,,,26.031,26.281,25.563,,,,,,
2000-06-06 00:00:00,,,,26.094,26.094,25.438,,,,0,5,0
2000-06-07 00:00:00,,,,25.719,26.125,25.719,,,,,,
2000-06-08 00:00:00,,,,25.5,26.094,25.438,,,,,,
2000-06-09 00:00:00,,,,26.375,26.75,26.313,,,,,,
2000-06-12 00:00:00,,,,26.563,27,26.063,,,,,,
2000-06-13 00:00:00,,,,26.406,26.844,26.188,,,,,,
2000-06-14 00:00:00,,,,26.844,27.438,26.844,,,,,,
2000-06-15 00:00:00,,,,27.25,27.719,27.156,,,,,,
2000-06-16 00:00:00,,,,27.5,27.531,26.063,,,,,,
2000-06-19 00:00:00,,,,26.813,28.188,26.813,,,,,,
2000-06-20 00:00:00,,,,27.844,29.125,27.656,,,,0,5,0
2000-06-21 00:00:00,,,,28.75,28.75,27.313,,,,,,
2000-06-22 00:00:00,,,,28.219,29.938,28.219,,,,,,
2000-06-23 00:00:00,,,,29.594,29.656,29,,,,,,
2000-06-26 00:00:00,,,,28.875,28.906,27.25,,,,0,5,0
2000-06-27 00:00:00,,,,27.813,28.969,27.438,,,,0,5,0
2000-06-28 00:00:00,,,,28.563,29.688,28.5,,,,,,
2000-06-29 00:00:00,,,,29.031,29.156,28.438,,,,,,
2000-06-30 00:00:00,,,,28.5,29.156,27,,,,,,
2000-07-03 00:00:00,,,,27.313,27.375,27.125,,,,,,
2000-07-05 00:00:00,,,,27.5,28.219,27.281,,,,,,
2000-07-06 00:00:00,,,,28,28,27.375,,,,,,
2000-07-07 00:00:00,,,,27.531,28.156,27.5,,,,,,
2000-07-10 00:00:00,,,,27.813,28.875,27.531,,,,,,
2000-07-11 00:00:00,,,,28.156,28.156,27.813,,,,,,
2000-07-12 00:00:00,,,,27.938,28.219,27.75,,,,,,
2000-07-13 00:00:00,,,,29.25,29.844,28.875,,,,,,
2000-07-14 00:00:00,,,,29.219,29.625,29.125,,,,,,
2000-07-17 00:00:00,,,,29.375,29.375,28.813,,,,,,
2000-07-18 00:00:00,,,,28.5,29.5,28.313,,,,,,
2000-07-19 00:00:00,,,,29.813,29.969,29.094,,,,0,5,0
2000-07-20 00:00:00,,,,29.125,29.625,29,,,,0,5,0
2000-07-21 00:00:00,,,,29.438,29.469,29,,,,,,
2000-07-24 00:00:00,,,,29.156,29.5,28.938,,,,,,
2000-07-25 00:00:00,,,,29.281,29.813,29.063,,,,,,
2000-07-26 00:00:00,,,,29.438,29.969,29.156,,,,0,5,0
2000-07-27 00:00:00,,,,29.906,31.063,29.75,,,,,,
2000-07-28 00:00:00,,,,30.75,30.75,29.563,,,,0,5,0
2000-07-31 00:00:00,,,,30.281,30.281,29.531,,,,,,
2000-08-01 00:00:00,,,,29.844,30.063,29.219,,,,,,
2000-08-02 00:00:00,,,,29.656,29.969,29.625,,,,,,
2000-08-03 00:00:00,,,,29.531,29.875,29.531,,,,,,
2000-08-04 00:00:00,,,,29.469,30.063,29,,,,,,
2000-08-07 00:00:00,,,,29.625,30.219,29.25,,,,,,
2000-08-08 00:00:00,,,,29.813,29.813,29.281,,,,,,
2000-08-09 00:00:00,,,,29,29.156,28.5,,,,,,
2000-08-10 00:00:00,,,,28.906,28.969,28.375,,,,,,
2000-08-11 00:00:00,,,,28.563,29.344,28.531,,,,0,5,0
2000-08-14 00:00:00,,,,29.406,29.938,29.156,,,,,,
2000-08-15 00:00:00,,,,29.563,29.875,29.344,,,,,,
2000-08-16 00:00:00,,,,29.656,30,29.563,,,,,,
2000-08-17 00:00:00,,,,29.719,29.844,29.219,,,,,,
2000-08-18 00:00:00,,,,29.156,29.688,29.063,,,,,,
2000-08-21 00:00:00,,,,29.219,29.438,28.75,,,,,,
2000-08-22 00:00:00,,,,29.344,29.844,29.25,,,,,,
2000-08-23 00:00:00,,,,29.625,31.063,29.563,,,,,,
2000-08-24 00:00:00,,,,29.75,30,29.531,,,,,,
2000-08-25 00:00:00,,,,30,30.031,29.688,,,,,,
2000-08-28 00:00:00,,,,30,31.5,29.906,,,,,,
2000-08-29 00:00:00,,,,30.906,30.906,30.438,,,,,,
2000-08-30 00:00:00,,,,30.75,31.75,30.75,,,,,,
2000-08-31 00:00:00,,,,31.5,31.531,30.969,,,,,,
2000-09-01 00:00:00,,,,31.219,31.438,30.688,,,,,,
2000-09-05 00:00:00,,,,30.844,30.906,30.344,,,,,,
2000-09-06 00:00:00,,,,30,30.438,29.75,,,,0,5,0
2000-09-07 00:00:00,,,,29.969,30.375,29.938,,,,0,5,0
2000-09-08 00:00:00,,,,30.281,30.375,30,,,,,,
2000-09-11 00:00:00,,,,30.563,31.906,30.5,,,,,,
2000-09-12 00:00:00,,,,31.75,32.281,31.281,,,,,,
2000-09-13 00:00:00,,,,31.813,32.094,31.531,,,,,,
2000-09-14 00:00:00,,,,31.719,31.906,31.531,,,,,,
2000-09-15 00:00:00,,,,32.25,32.75,32.063,,,,,,
2000-09-18 00:00:00,,,,33,33.844,33,,,,,,
2000-09-19 00:00:00,,,,33.438,33.469,31.813,,,,,,
2000-09-20 00:00:00,,,,32.563,32.594,31.844,,,,,,
2000-09-21 00:00:00,,,,32.5,32.688,31.656,,,,,,
2000-09-22 00:00:00,,,,31.938,32.781,31.875,,,,,,
2000-09-25 00:00:00,,,,31.5,32,31.188,,,,0,5,0
2000-09-26 00:00:00,,,,31.375,31.844,30.906,,,,0,5,0
2000-09-27 00:00:00,,,,31,31.719,30.656,,,,,,
2000-09-28 00:00:00,,,,31.5,32.406,31.5,,,,,,
2000-09-29 00:00:00,,,,32.25,32.5,31.781,,,,,,
2000-10-02 00:00:00,,,,31.938,32.719,31.906,,,,0,5,0
2000-10-03 00:00:00,,,,32.406,32.625,31.875,,,,,,
2000-10-04 00:00:00,,,,31.75,33,31.25,,,,,,
2000-10-05 00:00:00,,,,31,32.25,30.5,,,,,,
2000-10-06 00:00:00,,,,30.563,31.094,30.406,,,,,,
2000-10-09 00:00:00,,,,30.844,31.906,30.844,,,,,,
2000-10-10 00:00:00,,,,31.594,31.938,31.063,,,,,,
2000-10-11 00:00:00,,,,31.5,31.719,30.906,,,,,,
2000-10-12 00:00:00,,,,31,31,30.125,,,,,,
