Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,18,18.438,18,,,,0,0,2
2000-05-02 00:00:00,,,,17.875,18.188,17,,,,,,
2000-05-03 00:00:00,,,,17.25,18.188,17.125,,,,,,
2000-05-04 00:00:00,,,,17.875,19,17.75,,,,,,
2000-05-05 00:00:00,,,,18,19,18,,,,,,
2000-05-08 00:00:00,,,,18.375,19.063,18.313,,,,,,
2000-05-09 00:00:00,,,,18.25,18.938,18.25,,,,,,
2000-05-10 00:00:00,,,,18.438,18.875,18.313,,,,,,
2000-05-11 00:00:00,,,,18.063,18.625,18.063,,,,,,
2000-05-12 00:00:00,,,,18.75,18.875,18.063,,,,,,
2000-05-15 00:00:00,,,,18,19.063,18,,,,,,
2000-05-16 00:00:00,,,,18.813,18.813,18.313,,,,,,
2000-05-17 00:00:00,,,,18.25,18.5,18.063,,,,,,
2000-05-18 00:00:00,,,,18.313,19.063,18.313,,,,,,
2000-05-19 00:00:00,,,,18.375,18.625,18.188,,,,0,0,2
2000-05-22 00:00:00,,,,18.375,18.875,18.313,,,,,,
2000-05-23 00:00:00,,,,18.75,19,18.25,,,,,,
2000-05-24 00:00:00,,,,18.563,19.188,18.563,,,,,,
2000-05-25 00:00:00,,,,18.813,18.938,18.375,,,,,,
2000-05-26 00:00:00,,,,18.688,18.938,18.563,,,,,,
2000-05-30 00:00:00,,,,18.813,19,18.625,,,,,,
2000-05-31 00:00:00,,,,18.813,19.125,18.688,,,,0,0,3
2000-06-01 00:00:00,,,,19,19.25,18.938,,,,0,1,3
2000-06-02 00:00:00,,,,19.188,19.25,18.75,,,,,,
2000-06-05 00:00:00,,,,18.875,18.938,18.188,,,,,,
2000-06-06 00:00:00,,,,18.188,18.938,18.188,,,,,,
2000-06-07 00:00:00,,,,18.563,19,18.438,,,,,,
2000-06-08 00:00:00,,,,18.438,18.438,18.063,,,,,,
2000-06-09 00:00:00,,,,18.375,18.875,18.375,,,,,,
2000-06-12 00:00:00,,,,18.688,19,18.563,,,,,,
2000-06-13 00:00:00,,,,18.875,19.188,18.875,,,,,,
2000-06-14 00:00:00,,,,19,19.063,18.563,,,,,,
2000-06-15 00:00:00,,,,18.625,19,18.563,,,,,,
2000-06-16 00:00:00,,,,18.875,19.125,18.875,,,,,,
2000-06-19 00:00:00,,,,18.625,18.938,18.625,,,,,,
2000-06-20 00:00:00,,,,18.625,18.688,18.063,,,,,,
2000-06-21 00:00:00,,,,18.563,18.875,18.375,,,,,,
2000-06-22 00:00:00,,,,18.563,18.563,18.188,,,,,,
2000-06-23 00:00:00,,,,18.188,18.563,18.188,,,,,,
2000-06-26 00:00:00,,,,18.375,18.563,18.125,,,,,,
2000-06-27 00:00:00,,,,18.438,18.438,17.188,,,,,,
2000-06-28 00:00:00,,,,17.438,17.75,17,,,,,,
2000-06-29 00:00:00,,,,17.688,17.75,17.25,,,,,,
2000-06-30 00:00:00,,,,17.125,17.438,16.938,,,,,,
2000-07-03 00:00:00,,,,17,17.813,17,,,,,,
2000-07-05 00:00:00,,,,17.625,18,17.188,,,,,,
2000-07-06 00:00:00,,,,17.375,18,17.313,,,,,,
2000-07-07 00:00:00,,,,17.75,18.125,17.75,,,,,,
2000-07-10 00:00:00,,,,17.938,18.563,17.875,,,,,,
2000-07-11 00:00:00,,,,18.438,18.5,18.063,,,,,,
2000-07-12 00:00:00,,,,18.625,18.688,18.375,,,,,,
2000-07-13 00:00:00,,,,18.25,18.563,18.25,,,,,,
2000-07-14 00:00:00,,,,18.5,18.813,18.375,,,,,,
2000-07-17 00:00:00,,,,18.813,18.813,18.313,,,,,,
2000-07-18 00:00:00,,,,18.75,18.875,18.375,,,,0,1,3
2000-07-19 00:00:00,,,,18.563,18.625,18.063,,,,,,
2000-07-20 00:00:00,,,,18.063,18.625,18.063,,,,,,
2000-07-21 00:00:00,,,,18.25,18.313,17.938,,,,,,
2000-07-24 00:00:00,,,,17.875,18.313,17.813,,,,,,
2000-07-25 00:00:00,,,,18.188,18.438,18.125,,,,,,
2000-07-26 00:00:00,,,,18.188,18.188,17.813,,,,,,
2000-07-27 00:00:00,,,,18,18.438,18,,,,,,
2000-07-28 00:00:00,,,,18.188,18.563,18.188,,,,,,
2000-07-31 00:00:00,,,,18.688,19,18.5,,,,,,
2000-08-01 00:00:00,,,,18.625,19.063,18.563,,,,0,1,3
2000-08-02 00:00:00,,,,19.063,19.063,18.688,,,,,,
2000-08-03 00:00:00,,,,18.938,19.5,18.875,,,,,,
2000-08-04 00:00:00,,,,19.125,19.313,18.875,,,,,,
2000-08-07 00:00:00,,,,19.188,19.375,19.063,,,,,,
2000-08-08 00:00:00,,,,19.25,19.438,19,,,,,,
2000-08-09 00:00:00,,,,19.125,19.375,19,,,,,,
2000-08-10 00:00:00,,,,19,19.063,18.625,,,,,,
2000-08-11 00:00:00,,,,18.188,18.75,18.188,,,,,,
2000-08-14 00:00:00,,,,18.625,19,18.375,,,,0,2,3
2000-08-15 00:00:00,,,,18.563,19.375,18.563,,,,,,
2000-08-16 00:00:00,,,,19,19.625,19,,,,,,
2000-08-17 00:00:00,,,,19.5,19.75,19.313,,,,,,
2000-08-18 00:00:00,,,,19.625,19.688,19.5,,,,,,
2000-08-21 00:00:00,,,,19.5,19.75,19.438,,,,,,
2000-08-22 00:00:00,,,,19.313,19.563,19.313,,,,,,
2000-08-23 00:00:00,,,,18.875,19.313,18.875,,,,,,
2000-08-24 00:00:00,,,,19.063,19.125,18.75,,,,,,
2000-08-25 00:00:00,,,,18.75,18.813,18.625,,,,,,
2000-08-28 00:00:00,,,,18.625,19.125,18.5,,,,,,
2000-08-29 00:00:00,,,,18.313,18.938,18.313,,,,,,
2000-08-30 00:00:00,,,,18.5,18.875,18.5,,,,,,
2000-08-31 00:00:00,,,,18.688,19.563,18.625,,,,,,
2000-09-01 00:00:00,,,,19.438,19.688,18.938,,,,,,
2000-09-05 00:00:00,,,,19.375,19.688,19.313,,,,,,
2000-09-06 00:00:00,,,,19.375,19.75,19.375,,,,,,
2000-09-07 00:00:00,,,,19.563,19.813,19.5,,,,,,
2000-09-08 00:00:00,,,,19.5,19.75,19.5,,,,,,
2000-09-11 00:00:00,,,,19.75,20.438,19.75,,,,,,
2000-09-12 00:00:00,,,,20.25,20.375,19.875,,,,,,
2000-09-13 00:00:00,,,,20.25,20.5,20,,,,,,
2000-09-14 00:00:00,,,,20,20.188,19.688,,,,,,
2000-09-15 00:00:00,,,,19.938,20.375,19.938,,,,,,
2000-09-18 00:00:00,,,,19.875,20.063,19.688,,,,,,
2000-09-19 00:00:00,,,,20,20.063,19.438,,,,,,
2000-09-20 00:00:00,,,,19.375,19.5,19.188,,,,0,2,3
2000-09-21 00:00:00,,,,19.313,19.625,18.875,,,,,,
