Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,52.375,52.625,50.75,,,,0,3,2
2000-05-02 00:00:00,,,,51.5,52.5625,51.125,,,,,,
2000-05-03 00:00:00,,,,51.625,52.9375,50.1875,,,,,,
2000-05-04 00:00:00,,,,50.625,50.625,49,,,,,,
2000-05-05 00:00:00,,,,49.0625,50.25,48.6875,,,,,,
2000-05-08 00:00:00,,,,49.125,51.875,49.125,,,,,,
2000-05-09 00:00:00,,,,50.9375,52.6875,50.9375,,,,,,
2000-05-10 00:00:00,,,,51.5,52.1875,50.25,,,,,,
2000-05-11 00:00:00,,,,51.375,53.3125,51.375,,,,,,
2000-05-12 00:00:00,,,,52.8125,54.375,52.1875,,,,,,
2000-05-15 00:00:00,,,,54.875,55.3125,54.3125,,,,,,
2000-05-16 00:00:00,,,,54.625,55.5,53.6875,,,,0,4,2
2000-05-17 00:00:00,,,,53.125,53.875,52.0625,,,,,,
2000-05-18 00:00:00,,,,53.25,55.1875,53.25,,,,,,
2000-05-19 00:00:00,,,,54.875,54.875,53,,,,,,
2000-05-22 00:00:00,,,,53.75,55.625,53.75,,,,,,
2000-05-23 00:00:00,,,,55.5,57.5625,55.5,,,,,,
2000-05-24 00:00:00,,,,57.375,59.6875,57.375,,,,,,
2000-05-25 00:00:00,,,,58.6875,59.25,57,,,,,,
2000-05-26 00:00:00,,,,57.6875,59.375,57.625,,,,,,
2000-05-30 00:00:00,,,,59,60.25,58.875,,,,,,
2000-05-31 00:00:00,,,,59.625,60.1875,58.6875,,,,0,4,2
2000-06-01 00:00:00,,,,59.125,62.4375,59.125,,,,,,
2000-06-02 00:00:00,,,,63,66,62.9375,,,,,,
2000-06-05 00:00:00,,,,65.375,65.375,62.3125,,,,,,
2000-06-06 00:00:00,,,,62.25,62.25,59.25,,,,,,
2000-06-07 00:00:00,,,,60.6875,62.75,60.6875,,,,,,
2000-06-08 00:00:00,,,,62.25,62.3125,60.625,,,,,,
2000-06-09 00:00:00,,,,61.375,62,58.8125,,,,,,
2000-06-12 00:00:00,,,,59.375,60.125,59.375,,,,,,
2000-06-13 00:00:00,,,,59.5,59.625,58.625,,,,,,
2000-06-14 00:00:00,,,,58.8125,59.4375,58.0625,,,,,,
2000-06-15 00:00:00,,,,52,54.125,50.5625,,,,,,
2000-06-16 00:00:00,,,,52,52.4375,48.0625,,,,0,4,2
2000-06-19 00:00:00,,,,49.25,51.5,49.1875,,,,,,
2000-06-20 00:00:00,,,,51.625,51.6875,49.0625,,,,,,
2000-06-21 00:00:00,,,,49.75,49.75,47.9375,,,,,,
2000-06-22 00:00:00,,,,48.4375,49.875,48.1875,,,,,,
2000-06-23 00:00:00,,,,50,50.6875,49,,,,,,
2000-06-26 00:00:00,,,,49.1875,50.375,49,,,,,,
2000-06-27 00:00:00,,,,49.75,50.125,49.25,,,,0,4,2
2000-06-28 00:00:00,,,,49.75,50.9375,49.25,,,,,,
2000-06-29 00:00:00,,,,48.875,48.9375,47.9375,,,,,,
2000-06-30 00:00:00,,,,48.1875,48.1875,45.0625,,,,0,4,2
2000-07-03 00:00:00,,,,45.6875,48.9375,45.625,,,,,,
2000-07-05 00:00:00,,,,47.875,49.375,47.8125,,,,,,
2000-07-06 00:00:00,,,,48.25,48.5,46.625,,,,,,
2000-07-07 00:00:00,,,,48.875,49.375,48.375,,,,,,
2000-07-10 00:00:00,,,,49.25,49.5,48.3125,,,,,,
2000-07-11 00:00:00,,,,48.375,48.75,47.875,,,,,,
2000-07-12 00:00:00,,,,48.125,49.4375,48.0625,,,,,,
2000-07-13 00:00:00,,,,48.25,48.375,46.875,,,,0,5,2
2000-07-14 00:00:00,,,,47.5,48.625,47.5,,,,0,5,2
2000-07-17 00:00:00,,,,47.6875,47.6875,45.75,,,,,,
2000-07-18 00:00:00,,,,46.875,46.875,46,,,,,,
2000-07-19 00:00:00,,,,46.875,47.3125,46.5,,,,,,
2000-07-20 00:00:00,,,,46.875,48.6875,46.875,,,,,,
2000-07-21 00:00:00,,,,48.5,49.0625,48.25,,,,,,
2000-07-24 00:00:00,,,,48.5625,49.875,47.9375,,,,,,
2000-07-25 00:00:00,,,,49.0625,49.5,48.875,,,,,,
2000-07-26 00:00:00,,,,49.3125,49.3125,48.0625,,,,,,
2000-07-27 00:00:00,,,,48.3125,49.4375,48.3125,,,,,,
2000-07-28 00:00:00,,,,48.5625,49.125,48.125,,,,,,
2000-07-31 00:00:00,,,,48.5,49.0625,47.625,,,,,,
2000-08-01 00:00:00,,,,47.9375,48.75,47.9375,,,,,,
2000-08-02 00:00:00,,,,48.8125,49,48.125,,,,,,
2000-08-03 00:00:00,,,,48.375,50.3125,48.25,,,,,,
2000-08-04 00:00:00,,,,50.625,52.375,50.625,,,,,,
2000-08-07 00:00:00,,,,52.1875,52.25,50.375,,,,,,
2000-08-08 00:00:00,,,,52.0625,53.375,51.625,,,,,,
2000-08-09 00:00:00,,,,53.0625,53.3125,51.75,,,,,,
2000-08-10 00:00:00,,,,53.3125,54,52.6875,,,,,,
2000-08-11 00:00:00,,,,53,53.625,53,,,,,,
2000-08-14 00:00:00,,,,53.0625,53.5,52.25,,,,,,
2000-08-15 00:00:00,,,,53.25,53.25,52.3125,,,,,,
2000-08-16 00:00:00,,,,53.0625,53.125,52.3125,,,,,,
2000-08-17 00:00:00,,,,52.5,52.5,51.0625,,,,,,
2000-08-18 00:00:00,,,,51.0625,51.1875,50.1875,,,,,,
2000-08-21 00:00:00,,,,50.5,50.6875,50,,,,,,
2000-08-22 00:00:00,,,,49.9375,51.4375,49.9375,,,,,,
2000-08-23 00:00:00,,,,51.125,51.3125,50.125,,,,,,
2000-08-24 00:00:00,,,,50.125,50.625,49.75,,,,,,
2000-08-25 00:00:00,,,,50.375,50.4375,49.875,,,,,,
2000-08-28 00:00:00,,,,50,51.125,50,,,,,,
2000-08-29 00:00:00,,,,50.1875,50.25,49.3125,,,,,,
2000-08-30 00:00:00,,,,49.125,50.4375,49.125,,,,,,
2000-08-31 00:00:00,,,,49,50.8125,49,,,,,,
