Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,48.0625,52.1875,47.6563,,,,0,3,2
2000-05-02 00:00:00,,,,50.25,53.875,50,,,,,,
2000-05-03 00:00:00,,,,51.6875,54.3125,51.1875,,,,,,
2000-05-04 00:00:00,,,,53,53.25,51.625,,,,,,
2000-05-05 00:00:00,,,,52.3125,53.75,51.5938,,,,,,
2000-05-08 00:00:00,,,,51.7188,53.9688,51.25,,,,,,
2000-05-09 00:00:00,,,,53.5313,53.875,51.5,,,,,,
2000-05-10 00:00:00,,,,52.1563,52.4063,51.2188,,,,,,
2000-05-11 00:00:00,,,,52.75,55.1563,52.75,,,,,,
2000-05-12 00:00:00,,,,54.375,56.9375,53.9375,,,,,,
2000-05-15 00:00:00,,,,55.5,58,55.4375,,,,0,3,2
2000-05-16 00:00:00,,,,58,58.6875,55.125,,,,,,
2000-05-17 00:00:00,,,,55.1875,56.5625,54.5,,,,,,
2000-05-18 00:00:00,,,,56.2188,58.5938,56.2188,,,,0,3,2
2000-05-19 00:00:00,,,,56,56.8438,54.875,,,,0,4,2
2000-05-22 00:00:00,,,,56.5625,58,56.0625,,,,,,
2000-05-23 00:00:00,,,,58,60.625,57.75,,,,,,
2000-05-24 00:00:00,,,,61.5,61.5,58.75,,,,,,
2000-05-25 00:00:00,,,,58.5,58.5,52.7188,,,,0,3,3
2000-05-26 00:00:00,,,,54.6875,56.9688,54,,,,,,
2000-05-30 00:00:00,,,,56.25,56.4688,54.0313,,,,,,
2000-05-31 00:00:00,,,,56,57.4688,55.0313,,,,0,3,3
2000-06-01 00:00:00,,,,55.625,56,52.5938,,,,,,
2000-06-02 00:00:00,,,,55.5,57.4688,55,,,,,,
2000-06-05 00:00:00,,,,55.25,55.25,52.0625,,,,,,
2000-06-06 00:00:00,,,,53.0625,53.0625,50.75,,,,,,
2000-06-07 00:00:00,,,,52.5,54.6875,52.5,,,,,,
2000-06-08 00:00:00,,,,53,53.3438,52.0625,,,,,,
2000-06-09 00:00:00,,,,52.9375,53.3125,51.5313,,,,,,
2000-06-12 00:00:00,,,,51.875,52.4375,51.0625,,,,,,
2000-06-13 00:00:00,,,,51.9688,52.75,51.0313,,,,,,
2000-06-14 00:00:00,,,,53,54.3438,52.5313,,,,,,
2000-06-15 00:00:00,,,,53.25,54.7813,51.3125,,,,,,
2000-06-16 00:00:00,,,,54.125,54.125,51.3438,,,,,,
2000-06-19 00:00:00,,,,51.5,53.25,51.5,,,,,,
2000-06-20 00:00:00,,,,52.1875,52.6875,50.8438,,,,,,
2000-06-21 00:00:00,,,,51.375,51.375,49.5625,,,,,,
2000-06-22 00:00:00,,,,49.9063,51.7188,49.5,,,,,,
2000-06-23 00:00:00,,,,51.625,52.3438,50.875,,,,,,
2000-06-26 00:00:00,,,,51.0313,53.2813,51.0313,,,,,,
2000-06-27 00:00:00,,,,53.625,54.25,52.375,,,,,,
2000-06-28 00:00:00,,,,52.5,54.375,52.2188,,,,,,
2000-06-29 00:00:00,,,,53.375,53.375,52.0625,,,,,,
2000-06-30 00:00:00,,,,53.5,53.7188,52.2813,,,,,,
2000-07-03 00:00:00,,,,52.625,52.6875,52.4688,,,,,,
2000-07-05 00:00:00,,,,53.2188,55.25,53.2188,,,,,,
2000-07-06 00:00:00,,,,54.5938,54.8125,53.7813,,,,,,
2000-07-07 00:00:00,,,,54.75,56.5,54.75,,,,,,
2000-07-10 00:00:00,,,,56.2813,57.4688,56.25,,,,,,
2000-07-11 00:00:00,,,,56.4375,58.9688,56.4375,,,,,,
2000-07-12 00:00:00,,,,58.25,58.9063,54.625,,,,,,
2000-07-13 00:00:00,,,,54.75,55.25,51.4063,,,,,,
2000-07-14 00:00:00,,,,52.25,54.9688,52.25,,,,,,
2000-07-17 00:00:00,,,,55.125,55.3438,54.1563,,,,,,
2000-07-18 00:00:00,,,,54.75,54.8438,53.3438,,,,,,
2000-07-19 00:00:00,,,,52.5,54.5,51.75,,,,0,3,3
2000-07-20 00:00:00,,,,53.625,56.0625,53.625,,,,0,3,3
2000-07-21 00:00:00,,,,55.0625,55.375,52.9063,,,,,,
2000-07-24 00:00:00,,,,54,54,52.5625,,,,,,
2000-07-25 00:00:00,,,,52.9375,52.9375,50.7188,,,,,,
2000-07-26 00:00:00,,,,51,51,49.6875,,,,,,
2000-07-27 00:00:00,,,,50.75,52.0938,50.75,,,,,,
2000-07-28 00:00:00,,,,51.1563,51.625,50,,,,,,
2000-07-31 00:00:00,,,,51.125,51.75,50.1875,,,,,,
2000-08-01 00:00:00,,,,50.3125,51.375,50.1563,,,,,,
2000-08-02 00:00:00,,,,51.375,51.375,50,,,,,,
2000-08-03 00:00:00,,,,51.4375,53.9375,51.0625,,,,,,
2000-08-04 00:00:00,,,,55.0313,56.0938,54.5313,,,,,,
2000-08-07 00:00:00,,,,55.8438,55.9375,53.2188,,,,0,3,3
