Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,1,0
2003-01-21 00:00:00,,,,,,,,,,0,4,3
2003-01-23 00:00:00,,,,,,,,,,0,5,3
2003-01-30 00:00:00,,,,,,,,,,0,5,4
2003-02-03 00:00:00,,,,,,,,,,0,5,4
2003-02-05 00:00:00,,,,,,,,,,0,4,4
2003-02-11 00:00:00,,,,,,,,,,0,4,4
2003-02-19 00:00:00,,,,,,,,,,0,4,4
2003-02-21 00:00:00,,,,,,,,,,0,4,4
2003-02-25 00:00:00,,,,,,,,,,0,4,4
2003-02-26 00:00:00,,,,,,,,,,0,4,4
2003-03-05 00:00:00,,,,,,,,,,0,4,4
2003-03-06 00:00:00,,,,,,,,,,0,5,4
2003-03-13 00:00:00,,,,,,,,,,0,4,4
2003-04-04 00:00:00,,,,,,,,,,0,4,4
2003-04-16 00:00:00,,,,,,,,,,0,4,4
2003-04-25 00:00:00,,,,,,,,,,0,4,4
2003-04-29 00:00:00,,,,,,,,,,0,5,4
2003-04-30 00:00:00,,,,,,,,,,0,5,4
2003-05-02 00:00:00,,,,,,,,,,0,5,4
2003-05-13 00:00:00,,,,,,,,,,0,6,4
2003-05-16 00:00:00,,,,,,,,,,0,7,4
2003-05-21 00:00:00,,,,,,,,,,0,7,4
2003-05-29 00:00:00,,,,,,,,,,0,8,4
2003-06-05 00:00:00,,,,,,,,,,0,8,4
2003-06-09 00:00:00,,,,,,,,,,0,8,4
2003-06-17 00:00:00,,,,,,,,,,0,8,4
2003-06-26 00:00:00,,,,,,,,,,0,8,4
2003-06-30 00:00:00,,,,,,,,,,0,8,4
2003-07-02 00:00:00,,,,,,,,,,0,8,3
2003-07-07 00:00:00,,,,,,,,,,0,7,4
2003-07-09 00:00:00,,,,,,,,,,0,7,5
2003-07-16 00:00:00,,,,,,,,,,0,7,5
2003-08-04 00:00:00,,,,,,,,,,0,7,5
2003-08-05 00:00:00,,,,,,,,,,0,7,6
2003-08-11 00:00:00,,,,,,,,,,0,8,5
2003-08-12 00:00:00,,,,,,,,,,0,9,5
2003-08-19 00:00:00,,,,,,,,,,0,9,4
2003-08-21 00:00:00,,,,,,,,,,0,9,4
2003-08-22 00:00:00,,,,,,,,,,0,10,4
2003-09-02 00:00:00,,,,,,,,,,0,11,3
2003-09-05 00:00:00,,,,,,,,,,0,11,3
2003-09-11 00:00:00,,,,,,,,,,0,11,3
