Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,6.313,6.422,6.25,,,,0,1,0
2000-05-02 00:00:00,,,,6.289,6.336,6.25,,,,,,
2000-05-03 00:00:00,,,,6.289,6.523,6.289,,,,,,
2000-05-04 00:00:00,,,,6.43,6.516,6.375,,,,,,
2000-05-05 00:00:00,,,,6.531,6.609,6.18,,,,,,
2000-05-08 00:00:00,,,,6.328,6.609,6.32,,,,,,
2000-05-09 00:00:00,,,,6.406,6.594,6.406,,,,,,
2000-05-10 00:00:00,,,,6.555,6.586,6.391,,,,,,
2000-05-11 00:00:00,,,,6.375,6.688,6.375,,,,,,
2000-05-12 00:00:00,,,,6.719,6.805,6.664,,,,,,
2000-05-15 00:00:00,,,,6.641,6.797,6.563,,,,,,
2000-05-16 00:00:00,,,,6.703,6.805,6.703,,,,,,
2000-05-17 00:00:00,,,,6.688,6.688,6.445,,,,0,1,0
2000-05-18 00:00:00,,,,6.43,6.469,6.391,,,,,,
2000-05-19 00:00:00,,,,6.422,6.508,6.422,,,,,,
2000-05-22 00:00:00,,,,6.469,6.617,6.398,,,,,,
2000-05-23 00:00:00,,,,6.617,6.703,6.547,,,,,,
2000-05-24 00:00:00,,,,6.633,6.836,6.594,,,,,,
2000-05-25 00:00:00,,,,6.75,6.75,6.563,,,,,,
2000-05-26 00:00:00,,,,6.563,6.617,6.406,,,,,,
2000-05-30 00:00:00,,,,6.477,6.484,6.406,,,,,,
2000-05-31 00:00:00,,,,6.438,6.563,6.438,,,,,,
2000-06-01 00:00:00,,,,6.531,6.672,6.531,,,,,,
2000-06-02 00:00:00,,,,6.609,6.609,6.398,,,,,,
2000-06-05 00:00:00,,,,6.453,6.453,6.313,,,,,,
2000-06-06 00:00:00,,,,6.391,6.555,6.391,,,,0,2,0
2000-06-07 00:00:00,,,,6.531,6.648,6.5,,,,,,
2000-06-08 00:00:00,,,,6.656,6.719,6.625,,,,,,
