Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,29.25,30.375,28.875,,,,0,3,4
2000-05-02 00:00:00,,,,30,30.313,29.813,,,,,,
2000-05-03 00:00:00,,,,29.875,29.875,28.75,,,,,,
2000-05-04 00:00:00,,,,29.313,29.688,29,,,,,,
2000-05-05 00:00:00,,,,29.5,29.875,28.688,,,,,,
2000-05-08 00:00:00,,,,29.813,29.813,29.313,,,,,,
2000-05-09 00:00:00,,,,29.5,29.813,29.188,,,,,,
2000-05-10 00:00:00,,,,29.375,29.375,28.688,,,,,,
2000-05-11 00:00:00,,,,28.938,29.188,28.813,,,,,,
2000-05-12 00:00:00,,,,29.125,29.125,28.688,,,,,,
2000-05-15 00:00:00,,,,28.75,29,28.625,,,,0,3,4
2000-05-16 00:00:00,,,,28.5,28.938,28.438,,,,,,
2000-05-17 00:00:00,,,,28.688,28.688,28,,,,,,
2000-05-18 00:00:00,,,,28.125,28.313,27.5,,,,,,
2000-05-19 00:00:00,,,,27.625,28.938,27.625,,,,,,
2000-05-22 00:00:00,,,,28.688,29.188,28.688,,,,0,3,4
2000-05-23 00:00:00,,,,28.938,29.625,28.813,,,,,,
2000-05-24 00:00:00,,,,29.25,29.313,27.875,,,,,,
2000-05-25 00:00:00,,,,28.125,28.625,27.813,,,,,,
2000-05-26 00:00:00,,,,27.875,27.875,26.438,,,,,,
2000-05-30 00:00:00,,,,28.063,28.625,27.625,,,,,,
2000-05-31 00:00:00,,,,27.625,27.75,26.75,,,,,,
2000-06-01 00:00:00,,,,26.875,27.75,26.875,,,,0,3,4
2000-06-02 00:00:00,,,,27.375,28.875,27.25,,,,,,
2000-06-05 00:00:00,,,,28.5,28.5,27.625,,,,,,
2000-06-06 00:00:00,,,,27.813,28.125,27.625,,,,,,
2000-06-07 00:00:00,,,,27.875,28,27.25,,,,,,
2000-06-08 00:00:00,,,,27.25,27.25,26.875,,,,,,
2000-06-09 00:00:00,,,,26.938,27.313,26.938,,,,,,
2000-06-12 00:00:00,,,,27.25,27.313,26.375,,,,,,
2000-06-13 00:00:00,,,,26.875,27.063,26.75,,,,,,
2000-06-14 00:00:00,,,,26.875,27.438,26.813,,,,,,
2000-06-15 00:00:00,,,,26.75,26.813,26.313,,,,,,
2000-06-16 00:00:00,,,,25.5,25.938,25.5,,,,,,
2000-06-19 00:00:00,,,,26.063,26.125,25.438,,,,,,
2000-06-20 00:00:00,,,,25.563,25.625,25.125,,,,,,
2000-06-21 00:00:00,,,,25,25.563,25,,,,,,
2000-06-22 00:00:00,,,,25.438,25.875,25.313,,,,,,
2000-06-23 00:00:00,,,,25.313,25.75,25.313,,,,,,
2000-06-26 00:00:00,,,,25.438,26.25,25.375,,,,,,
