Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,51.0625,56,51.0625,,,,0,2,1
2000-05-02 00:00:00,,,,51.5,57,50.5,,,,,,
2000-05-03 00:00:00,,,,54.9375,55.5,47.125,,,,0,2,1
2000-05-04 00:00:00,,,,50.125,52.25,47.5625,,,,,,
2000-05-05 00:00:00,,,,51.875,57.5,50,,,,,,
2000-05-08 00:00:00,,,,54.6875,57.875,53.875,,,,,,
2000-05-09 00:00:00,,,,54.25,54.3125,46,,,,,,
2000-05-10 00:00:00,,,,46.5,48,43,,,,,,
2000-05-11 00:00:00,,,,49,51.125,46.75,,,,,,
2000-05-12 00:00:00,,,,52.875,55.625,45,,,,,,
2000-05-15 00:00:00,,,,51,52.125,46.375,,,,,,
2000-05-16 00:00:00,,,,51.9375,55.5,49.125,,,,,,
2000-05-17 00:00:00,,,,50,53.125,49.5625,,,,,,
2000-05-18 00:00:00,,,,51,52.75,44.5,,,,,,
2000-05-19 00:00:00,,,,46.9375,47,42.375,,,,,,
2000-05-22 00:00:00,,,,45,45.8125,40.5,,,,,,
2000-05-23 00:00:00,,,,41.875,45.375,40,,,,,,
2000-05-24 00:00:00,,,,40.5,45.25,37.375,,,,0,3,1
2000-05-25 00:00:00,,,,44.4375,44.4375,39.5,,,,,,
2000-05-26 00:00:00,,,,39.125,41.1875,38.5625,,,,,,
2000-05-30 00:00:00,,,,41.125,50.375,41.0625,,,,,,
2000-05-31 00:00:00,,,,47,50.5,45.6875,,,,0,3,1
2000-06-01 00:00:00,,,,48.5,55.6875,48,,,,,,
2000-06-02 00:00:00,,,,58.5,61,57.5,,,,,,
2000-06-05 00:00:00,,,,60,61.875,57.5,,,,,,
2000-06-06 00:00:00,,,,60.5625,61.125,56.375,,,,,,
2000-06-07 00:00:00,,,,58.375,58.375,53.375,,,,,,
2000-06-08 00:00:00,,,,55,59,53.625,,,,,,
2000-06-09 00:00:00,,,,59.0625,61,59.0625,,,,,,
2000-06-12 00:00:00,,,,60.375,61,58.875,,,,0,3,1
2000-06-13 00:00:00,,,,56,58.625,52.5,,,,,,
2000-06-14 00:00:00,,,,58.8125,59.5,49.75,,,,,,
2000-06-15 00:00:00,,,,52.9375,59,50.0625,,,,,,
2000-06-16 00:00:00,,,,54.375,57,51.875,,,,,,
2000-06-19 00:00:00,,,,55.25,58.5,52,,,,,,
2000-06-20 00:00:00,,,,56.25,64.5,56.25,,,,,,
2000-06-21 00:00:00,,,,62.9375,62.9375,60.375,,,,,,
2000-06-22 00:00:00,,,,61.4375,63,58.125,,,,,,
2000-06-23 00:00:00,,,,59.25,62.375,59.1875,,,,,,
