Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,17.9219,18.2969,17.7813,,,,0,7,2
2000-05-02 00:00:00,,,,18,18.6094,17.7969,,,,0,7,2
2000-05-03 00:00:00,,,,18.1875,18.3125,17.7031,,,,,,
2000-05-04 00:00:00,,,,17.75,17.9063,17.625,,,,,,
2000-05-05 00:00:00,,,,18,18.1875,17.8906,,,,,,
2000-05-08 00:00:00,,,,18.0313,18.125,17.9688,,,,,,
2000-05-09 00:00:00,,,,18.0625,18.1563,17.75,,,,,,
2000-05-10 00:00:00,,,,17.9219,18.6875,17.6563,,,,,,
2000-05-11 00:00:00,,,,18.625,18.75,18.2344,,,,,,
2000-05-12 00:00:00,,,,18.375,18.4688,18.1094,,,,,,
2000-05-15 00:00:00,,,,18.5,18.8125,17.9063,,,,,,
2000-05-16 00:00:00,,,,18.7813,19.0625,18.5,,,,,,
2000-05-17 00:00:00,,,,18.5625,18.5625,18.0313,,,,,,
2000-05-18 00:00:00,,,,18.375,18.4375,17.9688,,,,,,
2000-05-19 00:00:00,,,,17.75,18.125,17.4375,,,,0,7,2
2000-05-22 00:00:00,,,,17.6563,17.9375,17.2813,,,,,,
2000-05-23 00:00:00,,,,17.5938,17.9063,17.2188,,,,,,
2000-05-24 00:00:00,,,,17.125,18.625,17.125,,,,,,
2000-05-25 00:00:00,,,,18.625,19.1563,18.625,,,,0,7,2
2000-05-26 00:00:00,,,,19,19.2188,18.875,,,,,,
2000-05-30 00:00:00,,,,18.6875,19.7813,18.6875,,,,,,
2000-05-31 00:00:00,,,,19,19.375,18.8438,,,,0,8,2
2000-06-01 00:00:00,,,,18.9375,19.1875,18.7188,,,,0,10,1
2000-06-02 00:00:00,,,,19,19.0625,18.0625,,,,0,11,0
2000-06-05 00:00:00,,,,18.75,19.5,18.7188,,,,,,
2000-06-06 00:00:00,,,,18.625,18.6875,18.4688,,,,,,
2000-06-07 00:00:00,,,,18.4375,18.4688,17.7813,,,,,,
2000-06-08 00:00:00,,,,18.5,18.5,17.9375,,,,,,
2000-06-09 00:00:00,,,,18.125,18.625,18.125,,,,,,
2000-06-12 00:00:00,,,,18.3438,18.4063,17.8438,,,,,,
2000-06-13 00:00:00,,,,18,18.8438,18,,,,,,
2000-06-14 00:00:00,,,,18.75,20.0313,18.75,,,,,,
2000-06-15 00:00:00,,,,19.9375,20.8438,19.875,,,,,,
2000-06-16 00:00:00,,,,20.8438,21.3438,20.2813,,,,0,11,0
2000-06-19 00:00:00,,,,21.3438,21.3438,20.8125,,,,,,
2000-06-20 00:00:00,,,,21.125,22.1875,21.125,,,,,,
2000-06-21 00:00:00,,,,21.8125,21.8438,20.875,,,,0,11,0
2000-06-22 00:00:00,,,,20.9688,21,20.1563,,,,,,
2000-06-23 00:00:00,,,,20.6875,20.6875,19.625,,,,,,
2000-06-26 00:00:00,,,,19.8125,20.4688,19.4375,,,,,,
2000-06-27 00:00:00,,,,20,20.4063,19.6875,,,,0,11,0
2000-06-28 00:00:00,,,,20.1563,21.1875,20.0938,,,,0,11,0
2000-06-29 00:00:00,,,,20.8125,22.5,20.6875,,,,,,
2000-06-30 00:00:00,,,,21.75,22.125,21.5625,,,,,,
2000-07-03 00:00:00,,,,21.875,22.125,21.7188,,,,,,
2000-07-05 00:00:00,,,,22.0313,22.3438,22.0313,,,,,,
