Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.8047,7.9688,7.6563,,,,0,2,0
2000-05-02 00:00:00,,,,7.75,7.875,7.6875,,,,,,
2000-05-03 00:00:00,,,,7.5977,7.6406,7,,,,,,
2000-05-04 00:00:00,,,,7.4492,7.75,7.3438,,,,,,
2000-05-05 00:00:00,,,,7.8125,8,7.5469,,,,,,
2000-05-08 00:00:00,,,,7.5391,7.625,7.3203,,,,,,
2000-05-09 00:00:00,,,,7.4844,7.5781,7.2188,,,,,,
2000-05-10 00:00:00,,,,7.5156,7.5156,6.9063,,,,,,
2000-05-11 00:00:00,,,,7.3125,7.3125,6.7969,,,,,,
2000-05-12 00:00:00,,,,7.25,7.5469,7.0625,,,,,,
2000-05-15 00:00:00,,,,7.1875,7.3281,7,,,,0,2,0
2000-05-16 00:00:00,,,,7.4063,7.6563,7.3984,,,,,,
2000-05-17 00:00:00,,,,7.4922,8.2344,7.4063,,,,,,
2000-05-18 00:00:00,,,,8.0703,8.3672,7.8125,,,,,,
2000-05-19 00:00:00,,,,7.8594,8.1172,7.75,,,,,,
2000-05-22 00:00:00,,,,7.7344,7.8438,7.1875,,,,,,
2000-05-23 00:00:00,,,,7.6875,7.9766,7.25,,,,,,
2000-05-24 00:00:00,,,,7.2813,8.0234,7.1875,,,,,,
2000-05-25 00:00:00,,,,7.9688,8.4688,7.8125,,,,,,
2000-05-26 00:00:00,,,,7.8906,7.9375,7.75,,,,,,
2000-05-30 00:00:00,,,,7.9375,8.5078,7.8125,,,,,,
2000-05-31 00:00:00,,,,8.4453,8.4688,8.0469,,,,0,2,0
2000-06-01 00:00:00,,,,8.3281,8.7813,8.3281,,,,,,
2000-06-02 00:00:00,,,,8.8828,9.0078,8.6328,,,,,,
2000-06-05 00:00:00,,,,8.7539,8.8125,8.5625,,,,,,
2000-06-06 00:00:00,,,,8.875,8.9375,8.5781,,,,,,
2000-06-07 00:00:00,,,,8.5664,8.7813,8.5625,,,,,,
2000-06-08 00:00:00,,,,8.8047,8.9141,8.5625,,,,,,
2000-06-09 00:00:00,,,,8.7422,9.1406,8.6719,,,,0,2,0
2000-06-12 00:00:00,,,,9,9.0938,8.625,,,,,,
