Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,18.75,19.2813,18.7188,,,,0,7,1
2000-05-02 00:00:00,,,,19.3125,19.3125,18.8125,,,,,,
2000-05-03 00:00:00,,,,18.8125,19.6875,18.8125,,,,,,
2000-05-04 00:00:00,,,,19.3125,19.9375,19.25,,,,,,
2000-05-05 00:00:00,,,,19.4688,19.6875,19.25,,,,,,
2000-05-08 00:00:00,,,,19.5625,19.9688,19.4375,,,,,,
2000-05-09 00:00:00,,,,19.9063,19.9688,19.5938,,,,,,
2000-05-10 00:00:00,,,,19.8125,20.0313,19.7188,,,,,,
2000-05-11 00:00:00,,,,19.9688,21,19.9375,,,,,,
2000-05-12 00:00:00,,,,20.4375,20.5938,20.0313,,,,,,
2000-05-15 00:00:00,,,,20.2813,20.625,20.0938,,,,,,
2000-05-16 00:00:00,,,,20.4688,20.5,19.9375,,,,,,
2000-05-17 00:00:00,,,,20.5,20.5,20.0625,,,,,,
2000-05-18 00:00:00,,,,20.375,20.6875,20.3125,,,,0,7,1
2000-05-19 00:00:00,,,,20.3438,20.4063,20.25,,,,0,7,1
2000-05-22 00:00:00,,,,20.4688,20.4688,20.2813,,,,,,
2000-05-23 00:00:00,,,,20.4375,20.5313,20.3125,,,,,,
2000-05-24 00:00:00,,,,20.4375,21,20.4375,,,,,,
2000-05-25 00:00:00,,,,21,21.0938,19.75,,,,,,
2000-05-26 00:00:00,,,,20.375,20.8438,20.1563,,,,,,
2000-05-30 00:00:00,,,,21,21.6875,20.75,,,,0,7,1
2000-05-31 00:00:00,,,,21.5,21.5,20.8438,,,,0,7,1
2000-06-01 00:00:00,,,,21.0313,21.1875,20.7813,,,,0,8,1
2000-06-02 00:00:00,,,,21.125,21.5,20.875,,,,,,
2000-06-05 00:00:00,,,,20.875,20.9063,20.1563,,,,,,
2000-06-06 00:00:00,,,,20.0938,20.5313,20.0313,,,,,,
2000-06-07 00:00:00,,,,20.75,21.5938,20.7188,,,,,,
2000-06-08 00:00:00,,,,21.1875,21.3438,20.5625,,,,,,
2000-06-09 00:00:00,,,,21,21,20.5938,,,,,,
2000-06-12 00:00:00,,,,20.9375,21.1563,20.4063,,,,,,
2000-06-13 00:00:00,,,,20.4063,20.75,20.25,,,,,,
2000-06-14 00:00:00,,,,20.8125,20.9688,20.5938,,,,,,
2000-06-15 00:00:00,,,,20.8125,21.3438,20.8125,,,,,,
2000-06-16 00:00:00,,,,21.1563,21.3125,20.6875,,,,,,
2000-06-19 00:00:00,,,,20.9688,21,20.4375,,,,,,
2000-06-20 00:00:00,,,,20.6563,20.6563,19.9688,,,,0,8,1
2000-06-21 00:00:00,,,,20.125,20.1563,19.375,,,,,,
2000-06-22 00:00:00,,,,19.7188,20,19.4688,,,,,,
2000-06-23 00:00:00,,,,19.9688,20.375,19.9063,,,,,,
2000-06-26 00:00:00,,,,20.125,20.2813,19.9063,,,,,,
2000-06-27 00:00:00,,,,19.5,20.2813,19.5,,,,,,
2000-06-28 00:00:00,,,,20.2188,20.2188,19.6563,,,,,,
2000-06-29 00:00:00,,,,19.8438,20.1875,19.8438,,,,,,
2000-06-30 00:00:00,,,,19.75,21.0625,19.75,,,,,,
2000-07-03 00:00:00,,,,21,21.0313,20.5625,,,,,,
2000-07-05 00:00:00,,,,21,21.25,20.5938,,,,,,
2000-07-06 00:00:00,,,,20.8125,20.9375,20.5,,,,,,
2000-07-07 00:00:00,,,,20.75,20.8125,20.25,,,,,,
2000-07-10 00:00:00,,,,20.1875,20.2188,20.0313,,,,,,
2000-07-11 00:00:00,,,,20.1875,20.2188,20,,,,,,
2000-07-12 00:00:00,,,,19.9688,20.1875,19.375,,,,,,
2000-07-13 00:00:00,,,,20.0938,20.0938,19.75,,,,,,
2000-07-14 00:00:00,,,,20,20.2188,19.7813,,,,,,
