Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,25.75,26.25,25.688,,,,0,3,0
2000-05-02 00:00:00,,,,26,26.625,25.375,,,,,,
2000-05-03 00:00:00,,,,25.375,26.875,25.344,,,,,,
2000-05-04 00:00:00,,,,26.688,27.75,26.5,,,,,,
2000-05-05 00:00:00,,,,27.438,27.531,26.531,,,,0,3,0
2000-05-08 00:00:00,,,,26.719,27.969,26.656,,,,,,
2000-05-09 00:00:00,,,,27.75,27.75,27.188,,,,,,
2000-05-10 00:00:00,,,,27.625,28.125,27.5,,,,,,
2000-05-11 00:00:00,,,,27.781,28.813,27.688,,,,,,
2000-05-12 00:00:00,,,,28.594,28.594,27.469,,,,,,
2000-05-15 00:00:00,,,,27.75,28.25,27.25,,,,,,
2000-05-16 00:00:00,,,,28.25,28.469,28,,,,,,
2000-05-17 00:00:00,,,,27.875,28.375,27.75,,,,0,3,0
2000-05-18 00:00:00,,,,28.25,28.25,27.875,,,,,,
2000-05-19 00:00:00,,,,28.125,28.375,27.875,,,,,,
2000-05-22 00:00:00,,,,28,29.313,28,,,,,,
2000-05-23 00:00:00,,,,28.875,29.406,28.781,,,,,,
2000-05-24 00:00:00,,,,29.438,31.094,29.438,,,,,,
2000-05-25 00:00:00,,,,30.281,30.281,29.125,,,,,,
2000-05-26 00:00:00,,,,29.906,30.063,29.094,,,,,,
2000-05-30 00:00:00,,,,29.625,29.719,28.625,,,,,,
2000-05-31 00:00:00,,,,29.156,29.25,28.125,,,,,,
2000-06-01 00:00:00,,,,28.25,29.344,28.219,,,,,,
2000-06-02 00:00:00,,,,29.125,29.438,27.75,,,,,,
2000-06-05 00:00:00,,,,27.75,28.063,27.375,,,,,,
2000-06-06 00:00:00,,,,28.625,29.656,28.5,,,,0,4,0
2000-06-07 00:00:00,,,,31,31.375,30.563,,,,0,4,0
2000-06-08 00:00:00,,,,30.688,30.938,29.875,,,,,,
2000-06-09 00:00:00,,,,31,31.438,30.313,,,,0,4,0
2000-06-12 00:00:00,,,,30.531,30.781,29.594,,,,,,
2000-06-13 00:00:00,,,,30.063,31.875,30.063,,,,0,4,0
2000-06-14 00:00:00,,,,31.813,32.344,31.188,,,,,,
2000-06-15 00:00:00,,,,32.344,33.094,32.344,,,,,,
2000-06-16 00:00:00,,,,32.938,33.125,32.531,,,,,,
2000-06-19 00:00:00,,,,32.375,33.25,32.188,,,,,,
2000-06-20 00:00:00,,,,31,31.5,29.625,,,,,,
2000-06-21 00:00:00,,,,28.5,30.938,28.5,,,,,,
2000-06-22 00:00:00,,,,30.719,31.75,30.625,,,,,,
2000-06-23 00:00:00,,,,31.344,31.344,29.906,,,,,,
2000-06-26 00:00:00,,,,30.438,31.688,30.438,,,,,,
