Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,23.95,24.69,23.45,,,,,,
2006-03-16 00:00:00,,,,24.1,24.34,23.89,,,,,,
2006-03-17 00:00:00,,,,24.25,25.11,24.15,,,,,,
2006-03-20 00:00:00,,,,25.17,25.55,24.8,,,,,,
2006-03-21 00:00:00,,,,24.89,24.89,24,,,,,,
2006-03-22 00:00:00,,,,24.05,24.3,24,,,,,,
2006-03-23 00:00:00,,,,24.09,24.2,23.99,,,,,,
2006-03-24 00:00:00,,,,24.3,24.99,24.25,,,,,,
2006-03-27 00:00:00,,,,24.65,24.95,24.45,,,,,,
2006-03-28 00:00:00,,,,24.73,24.85,24.55,,,,,,
2006-03-29 00:00:00,,,,24.95,25.05,24.75,,,,,,
2006-03-30 00:00:00,,,,24.95,25.45,24.95,,,,,,
2006-03-31 00:00:00,,,,25.5,25.96,25.5,,,,,,
2006-04-03 00:00:00,,,,25.8,25.8,24.8,,,,,,
2006-04-04 00:00:00,,,,24.89,24.9,24.7,,,,,,
2006-04-05 00:00:00,,,,24.75,24.76,24.63,,,,,,
2006-04-06 00:00:00,,,,24.5,24.53,24.05,,,,,,
2006-04-07 00:00:00,,,,24.25,24.25,23.9,,,,,,
2006-04-10 00:00:00,,,,24.05,24.35,24.01,,,,,,
2006-04-11 00:00:00,,,,24.28,24.28,23.95,,,,,,
2006-04-12 00:00:00,,,,25,25,24.07,,,,,,
2006-04-13 00:00:00,,,,24.15,24.45,24.01,,,,,,
2006-04-17 00:00:00,,,,24.39,24.68,24.39,,,,,,
2006-04-18 00:00:00,,,,24.52,24.58,24,,,,,,
2006-04-19 00:00:00,,,,24.25,25,24.25,,,,,,
2006-04-20 00:00:00,,,,24.8,25.94,24.73,,,,,,
2006-04-21 00:00:00,,,,25.7,26.1,25.21,,,,,,
2006-04-24 00:00:00,,,,25.45,25.9,25.35,,,,0,1,0
2006-04-25 00:00:00,,,,25.48,26.15,25.48,,,,,,
2006-04-26 00:00:00,,,,25.65,26,25.65,,,,,,
2006-04-27 00:00:00,,,,25.76,25.85,25.26,,,,0,1,1
2006-04-28 00:00:00,,,,25.39,25.4,24.25,,,,0,1,1
2006-05-01 00:00:00,,,,24.73,25.17,24.73,,,,,,
2006-05-02 00:00:00,,,,25.15,25.18,24.74,,,,,,
2006-05-03 00:00:00,,,,24.75,24.76,24.58,,,,,,
2006-05-04 00:00:00,,,,24.52,24.61,24.15,,,,,,
2006-05-05 00:00:00,,,,24.5,24.64,24.22,,,,,,
2006-05-08 00:00:00,,,,24.5,24.99,24.46,,,,,,
2006-05-09 00:00:00,,,,24.88,25,24.65,,,,,,
2006-05-10 00:00:00,,,,25.05,25.09,24.85,,,,,,
2006-05-11 00:00:00,,,,25.09,25.8,25,,,,,,
2006-05-12 00:00:00,,,,25.4,25.5,24.94,,,,,,
2006-05-15 00:00:00,,,,25.39,25.4,25.2,,,,,,
2006-05-16 00:00:00,,,,25.25,25.74,25.24,,,,,,
2006-05-17 00:00:00,,,,25.45,25.45,25.25,,,,,,
2006-05-18 00:00:00,,,,25.33,25.68,25.33,,,,,,
2006-05-19 00:00:00,,,,25.31,25.4,25.05,,,,,,
2006-05-22 00:00:00,,,,25.36,25.52,25.06,,,,,,
2006-05-23 00:00:00,,,,25.35,25.45,25.22,,,,,,
2006-05-24 00:00:00,,,,25.2,25.4,24.94,,,,,,
2006-05-25 00:00:00,,,,25.25,25.31,24.91,,,,,,
2006-05-26 00:00:00,,,,25,25.05,24.95,,,,,,
2006-05-30 00:00:00,,,,24.98,25.08,24.78,,,,,,
2006-05-31 00:00:00,,,,25,25.29,24.95,,,,,,
2006-06-01 00:00:00,,,,25.09,26,25.02,,,,,,
2006-06-02 00:00:00,,,,25.9,26.5,25.8,,,,,,
2006-06-05 00:00:00,,,,26.4,26.53,26.25,,,,,,
2006-06-06 00:00:00,,,,26.48,26.48,25.97,,,,,,
2006-06-07 00:00:00,,,,26.05,26.15,25.7,,,,,,
2006-06-08 00:00:00,,,,25.77,25.82,25.35,,,,,,
2006-06-09 00:00:00,,,,25.85,25.91,24.8,,,,,,
2006-06-12 00:00:00,,,,24.85,24.85,23.75,,,,,,
2006-06-13 00:00:00,,,,23.89,24.01,23.02,,,,,,
2006-06-14 00:00:00,,,,22.2,22.63,21.42,,,,,,
2006-06-15 00:00:00,,,,22.33,22.58,22.18,,,,,,
2006-06-16 00:00:00,,,,22.51,23.58,22.5,,,,0,1,1
2006-06-19 00:00:00,,,,23.65,23.9,21.85,,,,,,
2006-06-20 00:00:00,,,,23.13,23.78,22.82,,,,,,
2006-06-21 00:00:00,,,,23.62,24.6,23.45,,,,,,
2006-06-22 00:00:00,,,,24.53,24.85,24.51,,,,,,
2006-06-23 00:00:00,,,,24.7,25.89,24.62,,,,,,
2006-06-26 00:00:00,,,,25.4,26.13,25.34,,,,,,
2006-06-27 00:00:00,,,,25.83,26.73,25.83,,,,,,
2006-06-28 00:00:00,,,,26.16,26.16,25.43,,,,,,
2006-06-29 00:00:00,,,,25.47,26,25.47,,,,,,
2006-06-30 00:00:00,,,,25.9,25.9,23.95,,,,,,
2006-07-03 00:00:00,,,,24.2,24.4,23.3,,,,,,
2006-07-05 00:00:00,,,,23.43,23.53,23.1,,,,,,
2006-07-06 00:00:00,,,,23.48,23.5,22.93,,,,,,
2006-07-07 00:00:00,,,,22.96,23.3,22.88,,,,,,
2006-07-10 00:00:00,,,,23,23.23,22.97,,,,,,
