Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,37,39.26,37,,,,,,
2007-06-15 00:00:00,,,,39.1,39.1,38.25,,,,,,
2007-06-18 00:00:00,,,,39.05,39.1,37.15,,,,,,
2007-06-19 00:00:00,,,,37.15,37.7,36.1,,,,,,
2007-06-20 00:00:00,,,,36.83,36.83,35.35,,,,,,
2007-06-21 00:00:00,,,,36,36.7,35.75,,,,,,
2007-06-22 00:00:00,,,,37,39.5,36.8,,,,,,
2007-06-25 00:00:00,,,,39.1,40,38.25,,,,,,
2007-06-26 00:00:00,,,,39.31,39.8,39.2,,,,,,
2007-06-27 00:00:00,,,,39.5,39.8,39,,,,,,
2007-06-28 00:00:00,,,,39.75,39.95,39.5,,,,0,0,1
2007-06-29 00:00:00,,,,39.83,39.85,38.75,,,,,,
2007-07-02 00:00:00,,,,39.2,40.25,38.98,,,,0,0,4
2007-07-03 00:00:00,,,,39.98,40.47,39.08,,,,0,0,5
2007-07-05 00:00:00,,,,39.6,40,39.28,,,,,,
2007-07-06 00:00:00,,,,39.4,39.92,39,,,,0,0,6
2007-07-09 00:00:00,,,,39.55,40.4,38.48,,,,,,
2007-07-10 00:00:00,,,,38.7,39.5,38.5,,,,,,
2007-07-11 00:00:00,,,,38.7,39.25,38.7,,,,0,1,6
2007-07-12 00:00:00,,,,38.95,39.01,38.33,,,,,,
2007-07-13 00:00:00,,,,38.3,39.88,38,,,,,,
2007-07-16 00:00:00,,,,39,39.85,38.8,,,,,,
2007-07-17 00:00:00,,,,39.02,39.5,38.27,,,,,,
2007-07-18 00:00:00,,,,36.95,38.29,36.6,,,,,,
2007-07-19 00:00:00,,,,38.04,38.33,37.63,,,,,,
2007-07-20 00:00:00,,,,38.05,38.18,37.87,,,,,,
2007-07-23 00:00:00,,,,38.29,39,37.76,,,,,,
2007-07-24 00:00:00,,,,38.72,39.22,38.27,,,,,,
2007-07-25 00:00:00,,,,38.25,38.57,38,,,,,,
2007-07-26 00:00:00,,,,38,38.29,36.72,,,,,,
2007-07-27 00:00:00,,,,36,38.13,35.73,,,,,,
2007-07-30 00:00:00,,,,36.4,36.45,35.6,,,,,,
2007-07-31 00:00:00,,,,36.05,36.08,35.7,,,,,,
2007-08-01 00:00:00,,,,34.92,36,34.76,,,,,,
2007-08-02 00:00:00,,,,34.61,35.5,34.09,,,,,,
2007-08-03 00:00:00,,,,35.1,35.4,35,,,,,,
2007-08-06 00:00:00,,,,35.2,35.32,34.98,,,,,,
2007-08-07 00:00:00,,,,34.85,35.34,34.37,,,,,,
2007-08-08 00:00:00,,,,34.5,35.4,33.68,,,,0,1,6
2007-08-09 00:00:00,,,,34.3,34.77,33.62,,,,0,1,6
2007-08-10 00:00:00,,,,33.73,33.73,32.38,,,,,,
2007-08-13 00:00:00,,,,32.96,33.25,32.86,,,,,,
2007-08-14 00:00:00,,,,33.13,33.25,32.12,,,,,,
2007-08-15 00:00:00,,,,32.53,33.24,32.5,,,,,,
2007-08-16 00:00:00,,,,32.06,33.25,32.04,,,,,,
2007-08-17 00:00:00,,,,33.9,35.23,33.5,,,,,,
2007-08-20 00:00:00,,,,34.87,35.98,34.6,,,,,,
2007-08-21 00:00:00,,,,33.9,34.71,33.85,,,,,,
2007-08-22 00:00:00,,,,34.75,35,34.3,,,,,,
2007-08-23 00:00:00,,,,35.25,35.53,34.87,,,,,,
2007-08-24 00:00:00,,,,35.28,36.9,35.1,,,,0,1,7
2007-08-27 00:00:00,,,,36.2,36.56,35.4,,,,,,
2007-08-28 00:00:00,,,,34.95,35.61,34.9,,,,,,
2007-08-29 00:00:00,,,,35.32,35.5,34.81,,,,,,
2007-08-30 00:00:00,,,,34.95,35.97,34.63,,,,,,
2007-08-31 00:00:00,,,,35.22,35.26,34.07,,,,,,
2007-09-04 00:00:00,,,,34.87,35,34.3,,,,,,
2007-09-05 00:00:00,,,,34.5,34.77,33.95,,,,,,
2007-09-06 00:00:00,,,,34.68,36.68,34.27,,,,0,1,7
2007-09-07 00:00:00,,,,34.8,34.81,33.15,,,,0,2,7
2007-09-10 00:00:00,,,,33.41,33.94,33.17,,,,,,
2007-09-11 00:00:00,,,,33.27,33.46,32.6,,,,,,
2007-09-12 00:00:00,,,,32.82,33.19,32.4,,,,,,
2007-09-13 00:00:00,,,,33.01,33.22,32.65,,,,,,
2007-09-14 00:00:00,,,,32.68,33.68,32.68,,,,,,
2007-09-17 00:00:00,,,,32.8,33.31,32.6,,,,,,
2007-09-18 00:00:00,,,,33.03,34.75,32.62,,,,0,2,8
2007-09-19 00:00:00,,,,33.95,34.5,32.56,,,,,,
2007-09-20 00:00:00,,,,33.07,33.66,32.8,,,,,,
2007-09-21 00:00:00,,,,33.86,33.88,33.18,,,,,,
2007-09-24 00:00:00,,,,33.53,33.68,33.03,,,,0,3,8
2007-09-25 00:00:00,,,,33.33,33.77,33.18,,,,,,
2007-09-26 00:00:00,,,,34.75,35.35,34.41,,,,0,5,7
2007-09-27 00:00:00,,,,34.74,35.75,34.54,,,,,,
2007-09-28 00:00:00,,,,35.02,35.53,34.85,,,,0,5,7
2007-10-01 00:00:00,,,,35.92,36.64,35.44,,,,,,
2007-10-02 00:00:00,,,,36,36.25,35.72,,,,0,6,7
2007-10-03 00:00:00,,,,35.96,36,35.25,,,,,,
2007-10-04 00:00:00,,,,35.66,36.47,34.92,,,,,,
2007-10-05 00:00:00,,,,35.85,36.89,35.81,,,,,,
2007-10-08 00:00:00,,,,36.23,37.33,36.18,,,,,,
2007-10-09 00:00:00,,,,37.12,37.33,36.57,,,,,,
2007-10-10 00:00:00,,,,36.39,37.12,36.33,,,,,,
2007-10-11 00:00:00,,,,37,37.24,36.35,,,,,,
2007-10-12 00:00:00,,,,36.49,37.09,36.37,,,,,,
2007-10-15 00:00:00,,,,37.15,37.43,36.81,,,,,,
2007-10-16 00:00:00,,,,37,37.2,36.6,,,,0,6,8
2007-10-17 00:00:00,,,,37.1,37.5,36.6,,,,,,
2007-10-18 00:00:00,,,,36.77,36.93,36.65,,,,,,
2007-10-19 00:00:00,,,,36.82,36.92,36.12,,,,0,6,8
2007-10-22 00:00:00,,,,35.89,36.3,35.27,,,,0,6,8
2007-10-23 00:00:00,,,,35.9,36.1,35,,,,,,
2007-10-24 00:00:00,,,,35.02,35.02,33.92,,,,,,
2007-10-25 00:00:00,,,,34.64,34.65,33.77,,,,,,
2007-10-26 00:00:00,,,,34.28,34.49,33.48,,,,,,
2007-10-29 00:00:00,,,,33.94,34.6,33.87,,,,,,
2007-10-30 00:00:00,,,,34.21,35.54,34.1,,,,,,
2007-10-31 00:00:00,,,,34.85,35.76,34.73,,,,,,
2007-11-01 00:00:00,,,,35.61,36,35.02,,,,,,
2007-11-02 00:00:00,,,,35.07,35.72,35.02,,,,,,
2007-11-05 00:00:00,,,,35.11,35.11,33.54,,,,,,
2007-11-06 00:00:00,,,,33.73,33.77,32.66,,,,,,
2007-11-07 00:00:00,,,,33.19,33.45,32.55,,,,,,
2007-11-08 00:00:00,,,,33.01,33.38,32.85,,,,,,
2007-11-09 00:00:00,,,,32.66,33.22,31.77,,,,,,
2007-11-12 00:00:00,,,,32.27,32.61,31.34,,,,,,
2007-11-13 00:00:00,,,,31.98,33.39,31.59,,,,0,6,8
2007-11-14 00:00:00,,,,32.7,33.06,32.47,,,,,,
2007-11-15 00:00:00,,,,32.37,33.15,31.98,,,,0,6,8
2007-11-16 00:00:00,,,,34.75,35.23,34.17,,,,0,6,8
2007-11-19 00:00:00,,,,35.12,35.78,34.85,,,,0,6,8
2007-11-20 00:00:00,,,,35,35.36,34.76,,,,,,
2007-11-21 00:00:00,,,,35,35.54,34.55,,,,,,
2007-11-23 00:00:00,,,,35,35.43,34.79,,,,,,
2007-11-26 00:00:00,,,,35.1,35.95,34.48,,,,,,
2007-11-27 00:00:00,,,,34.57,35,34.06,,,,,,
2007-11-28 00:00:00,,,,34.61,35.96,34.53,,,,,,
2007-11-29 00:00:00,,,,35.5,36.82,35.48,,,,,,
2007-11-30 00:00:00,,,,36.6,37.45,36.37,,,,0,6,7
2007-12-03 00:00:00,,,,37.38,37.62,37.06,,,,,,
2007-12-04 00:00:00,,,,37.24,37.26,36.67,,,,,,
2007-12-05 00:00:00,,,,36.63,37.04,36.45,,,,,,
2007-12-06 00:00:00,,,,36.77,37.97,36.74,,,,,,
2007-12-07 00:00:00,,,,37.74,37.81,37.07,,,,,,
2007-12-10 00:00:00,,,,37.42,37.43,36.61,,,,,,
2007-12-11 00:00:00,,,,37.05,37.89,36.43,,,,,,
2007-12-12 00:00:00,,,,37.36,37.44,36.57,,,,,,
2007-12-13 00:00:00,,,,37.09,37.37,36.54,,,,,,
2007-12-14 00:00:00,,,,36.87,37.07,36.25,,,,0,6,7
2007-12-17 00:00:00,,,,36.1,37,36.1,,,,,,
2007-12-18 00:00:00,,,,36.75,37.68,36.42,,,,,,
2007-12-19 00:00:00,,,,36.54,37.29,36.54,,,,,,
2007-12-20 00:00:00,,,,36.9,37.02,36.31,,,,,,
2007-12-21 00:00:00,,,,37.04,38.13,36.86,,,,0,6,7
2007-12-24 00:00:00,,,,37.09,38.09,37.09,,,,,,
2007-12-26 00:00:00,,,,37.83,38.45,37.67,,,,,,
2007-12-27 00:00:00,,,,37.55,38.12,37,,,,0,5,8
2007-12-28 00:00:00,,,,37.82,38.11,37.02,,,,,,
2007-12-31 00:00:00,,,,37.5,37.75,36.82,,,,,,
2008-01-02 00:00:00,,,,36.9,37.25,36.24,,,,0,5,8
2008-01-03 00:00:00,,,,36.68,37.78,36.56,,,,0,5,8
2008-01-04 00:00:00,,,,36.5,36.64,35.43,,,,,,
2008-01-07 00:00:00,,,,35.7,35.77,34.05,,,,,,
2008-01-08 00:00:00,,,,34.28,34.36,32.81,,,,,,
2008-01-09 00:00:00,,,,32.82,33.53,32.37,,,,,,
2008-01-10 00:00:00,,,,33.15,34.13,32.96,,,,,,
2008-01-11 00:00:00,,,,33.44,34.03,33.15,,,,,,
2008-01-14 00:00:00,,,,33.76,34.99,33.56,,,,0,5,7
2008-01-15 00:00:00,,,,34.04,34.28,33.08,,,,,,
2008-01-16 00:00:00,,,,33.05,34.18,32.6,,,,,,
2008-01-17 00:00:00,,,,33.69,34.11,32.61,,,,,,
2008-01-18 00:00:00,,,,32.69,33,31.58,,,,,,
2008-01-22 00:00:00,,,,31.79,32.31,30.74,,,,,,
2008-01-23 00:00:00,,,,30.59,31.42,30.19,,,,0,4,7
2008-01-24 00:00:00,,,,31.7,32.7,31.5,,,,,,
2008-01-25 00:00:00,,,,32.7,33.41,32.7,,,,,,
2008-01-28 00:00:00,,,,33.41,33.41,32.74,,,,,,
2008-01-29 00:00:00,,,,33.51,33.7,32.68,,,,,,
2008-01-30 00:00:00,,,,32.5,34.25,31.57,,,,,,
2008-01-31 00:00:00,,,,32.64,34.26,32.64,,,,,,
2008-02-01 00:00:00,,,,34.19,34.28,33.63,,,,,,
2008-02-04 00:00:00,,,,34,34.15,32.73,,,,,,
2008-02-05 00:00:00,,,,32.9,33.51,32.32,,,,,,
2008-02-06 00:00:00,,,,34.18,36.29,34,,,,0,5,7
2008-02-07 00:00:00,,,,34.92,35.15,33.93,,,,0,5,7
2008-02-08 00:00:00,,,,34.99,35.2,34.22,,,,,,
2008-02-11 00:00:00,,,,34.47,35.38,34.47,,,,,,
2008-02-12 00:00:00,,,,35.28,35.63,34.88,,,,,,
2008-02-13 00:00:00,,,,35.72,36.35,35.27,,,,,,
2008-02-14 00:00:00,,,,35.7,35.82,34.93,,,,,,
2008-02-15 00:00:00,,,,35.19,35.19,34.51,,,,,,
2008-02-19 00:00:00,,,,35.54,35.61,34.89,,,,,,
2008-02-20 00:00:00,,,,34.7,35.19,34.37,,,,,,
2008-02-21 00:00:00,,,,35.05,35.19,34.06,,,,,,
2008-02-22 00:00:00,,,,34.36,34.7,34.21,,,,,,
2008-02-25 00:00:00,,,,34.53,34.84,34.37,,,,,,
