Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,50.8692,51.6187,50.0697,,,,0,6,1
2000-05-02 00:00:00,,,,50.7692,51.0191,49.3701,,,,,,
2000-05-03 00:00:00,,,,50.0197,51.2689,49.8698,,,,,,
2000-05-04 00:00:00,,,,50.3695,50.4694,49.4201,,,,,,
2000-05-05 00:00:00,,,,49.52,49.6699,48.3707,,,,,,
2000-05-08 00:00:00,,,,47.9709,48.3707,47.5212,,,,,,
2000-05-09 00:00:00,,,,47.6711,48.3207,46.6218,,,,,,
2000-05-10 00:00:00,,,,47.7711,48.7205,47.4712,,,,,,
2000-05-11 00:00:00,,,,48.7705,49.47,48.3707,,,,0,7,1
2000-05-12 00:00:00,,,,48.9703,50.3195,48.7205,,,,,,
2000-05-15 00:00:00,,,,49.52,51.4688,49.52,,,,0,7,1
2000-05-16 00:00:00,,,,50.8192,51.9185,50.3695,,,,,,
2000-05-17 00:00:00,,,,51.169,51.4688,49.57,,,,,,
2000-05-18 00:00:00,,,,49.6699,51.219,49.6699,,,,,,
2000-05-19 00:00:00,,,,49.1702,49.47,47.871,,,,0,7,1
2000-05-22 00:00:00,,,,49.57,50.3695,48.5706,,,,,,
2000-05-23 00:00:00,,,,49.52,51.0691,49.47,,,,,,
2000-05-24 00:00:00,,,,50.4195,51.9685,50.0197,,,,,,
2000-05-25 00:00:00,,,,50.5694,51.8186,50.4694,,,,,,
2000-05-26 00:00:00,,,,50.7193,51.5688,49.8198,,,,,,
2000-05-30 00:00:00,,,,49.8198,52.1684,49.769800000000004,,,,0,7,1
2000-05-31 00:00:00,,,,51.119,52.0685,50.8192,,,,,,
2000-06-01 00:00:00,,,,51.0691,51.3189,50.2196,,,,0,8,1
2000-06-02 00:00:00,,,,50.6693,51.7187,49.9697,,,,,,
2000-06-05 00:00:00,,,,51.7686,51.9685,51.169,,,,,,
2000-06-06 00:00:00,,,,51.5188,51.6687,49.9198,,,,,,
2000-06-07 00:00:00,,,,49.47,49.8198,48.3707,,,,,,
2000-06-08 00:00:00,,,,49.2701,49.52,48.2208,,,,0,8,1
2000-06-09 00:00:00,,,,48.8704,49.2202,48.2208,,,,,,
2000-06-12 00:00:00,,,,48.6205,49.1202,48.1708,,,,,,
2000-06-13 00:00:00,,,,48.6205,50.3195,48.3707,,,,,,
2000-06-14 00:00:00,,,,49.6699,51.119,49.3201,,,,,,
2000-06-15 00:00:00,,,,49.8698,51.169,49.6199,,,,,,
2000-06-16 00:00:00,,,,49.769800000000004,49.8698,48.2708,,,,0,8,1
2000-06-19 00:00:00,,,,48.6705,50.4195,48.6705,,,,,,
2000-06-20 00:00:00,,,,48.6205,49.8198,48.5206,,,,,,
2000-06-21 00:00:00,,,,49.0703,49.1702,48.0209,,,,,,
2000-06-22 00:00:00,,,,48.8704,48.9703,47.871,,,,,,
2000-06-23 00:00:00,,,,47.9709,47.9709,47.4213,,,,,,
2000-06-26 00:00:00,,,,47.4712,47.4712,45.6224,,,,,,
2000-06-27 00:00:00,,,,46.0221,46.8216,45.2726,,,,0,8,1
2000-06-28 00:00:00,,,,47.0715,47.921,46.3719,,,,,,
2000-06-29 00:00:00,,,,46.172,48.5706,46.172,,,,0,8,1
2000-06-30 00:00:00,,,,47.6711,48.7205,46.5218,,,,0,8,1
2000-07-03 00:00:00,,,,47.7711,48.1208,47.0215,,,,,,
2000-07-05 00:00:00,,,,47.821,47.871,46.272,,,,0,8,1
2000-07-06 00:00:00,,,,46.0721,46.0721,45.3225,,,,,,
2000-07-07 00:00:00,,,,45.3225,47.5212,45.0227,,,,,,
2000-07-10 00:00:00,,,,46.6717,46.6717,45.2226,,,,0,8,1
2000-07-11 00:00:00,,,,45.6224,45.7723,44.4231,,,,0,8,1
2000-07-12 00:00:00,,,,44.4231,46.7717,44.4231,,,,0,8,1
2000-07-13 00:00:00,,,,45.5224,46.8716,45.5224,,,,0,8,1
2000-07-14 00:00:00,,,,45.7223,46.5718,45.3725,,,,,,
2000-07-17 00:00:00,,,,46.6218,47.1215,46.0721,,,,,,
2000-07-18 00:00:00,,,,46.4718,46.7717,46.4219,,,,,,
2000-07-19 00:00:00,,,,46.5218,47.0715,46.272,,,,,,
2000-07-20 00:00:00,,,,46.4718,46.6717,46.172,,,,,,
2000-07-21 00:00:00,,,,46.272,46.5718,45.7723,,,,,,
2000-07-24 00:00:00,,,,45.9721,46.222,44.7229,,,,,,
2000-07-25 00:00:00,,,,44.9728,45.2726,44.573,,,,,,
2000-07-26 00:00:00,,,,44.573,44.9728,43.3238,,,,,,
2000-07-27 00:00:00,,,,43.5236,43.9734,42.3244,,,,,,
2000-07-28 00:00:00,,,,42.6741,42.974,41.7747,,,,,,
2000-07-31 00:00:00,,,,42.7741,43.4237,42.6242,,,,,,
2000-08-01 00:00:00,,,,42.924,43.2238,42.4743,,,,,,
2000-08-02 00:00:00,,,,42.974,43.2738,42.7741,,,,,,
2000-08-03 00:00:00,,,,43.0739,43.3737,42.5242,,,,,,
2000-08-04 00:00:00,,,,43.1738,43.9734,43.1239,,,,,,
2000-08-07 00:00:00,,,,43.1738,44.1732,43.1239,,,,,,
2000-08-08 00:00:00,,,,43.9734,45.1726,43.4737,,,,,,
2000-08-09 00:00:00,,,,44.7229,44.7729,44.3731,,,,,,
2000-08-10 00:00:00,,,,44.4731,45.0727,44.3731,,,,,,
2000-08-11 00:00:00,,,,45.0727,45.3725,44.0233,,,,,,
2000-08-14 00:00:00,,,,45.0227,45.3225,43.5236,,,,,,
2000-08-15 00:00:00,,,,45.3725,46.172,44.7229,,,,,,
2000-08-16 00:00:00,,,,45.6224,45.7723,44.4731,,,,,,
2000-08-17 00:00:00,,,,44.573,45.0227,44.3231,,,,,,
2000-08-18 00:00:00,,,,44.7229,46.1221,44.4231,,,,,,
2000-08-21 00:00:00,,,,45.2226,45.7223,44.7229,,,,,,
2000-08-22 00:00:00,,,,44.8728,45.3225,44.7229,,,,,,
2000-08-23 00:00:00,,,,44.9728,45.2726,44.7229,,,,,,
2000-08-24 00:00:00,,,,45.1227,45.2226,44.3731,,,,,,
2000-08-25 00:00:00,,,,44.4731,44.8728,43.4237,,,,,,
2000-08-28 00:00:00,,,,44.8728,45.0227,44.573,,,,,,
2000-08-29 00:00:00,,,,44.7729,44.9228,44.4731,,,,,,
2000-08-30 00:00:00,,,,44.8728,45.6224,44.8228,,,,,,
2000-08-31 00:00:00,,,,45.2726,45.8722,44.8228,,,,,,
2000-09-01 00:00:00,,,,45.3225,45.9222,45.3225,,,,,,
2000-09-05 00:00:00,,,,45.2726,45.7723,44.573,,,,0,7,2
2000-09-06 00:00:00,,,,45.0227,45.6723,44.573,,,,,,
2000-09-07 00:00:00,,,,45.0227,45.1227,42.7741,,,,,,
2000-09-08 00:00:00,,,,43.1239,43.3737,42.0745,,,,,,
2000-09-11 00:00:00,,,,42.5742,43.6236,42.3244,,,,,,
2000-09-12 00:00:00,,,,42.6741,43.7735,42.4243,,,,,,
2000-09-13 00:00:00,,,,42.8241,42.974,42.4743,,,,,,
2000-09-14 00:00:00,,,,42.3743,42.5242,41.6248,,,,,,
2000-09-15 00:00:00,,,,42.3743,42.8241,41.9246,,,,,,
2000-09-18 00:00:00,,,,41.9746,42.3743,40.9752,,,,,,
2000-09-19 00:00:00,,,,41.3749,41.7247,40.0757,,,,,,
2000-09-20 00:00:00,,,,40.7753,40.7753,39.1763,,,,,,
2000-09-21 00:00:00,,,,39.676,39.9758,38.6766,,,,,,
2000-09-22 00:00:00,,,,39.7759,40.3755,39.3262,,,,0,7,2
2000-09-25 00:00:00,,,,39.7259,39.9758,38.6766,,,,,,
2000-09-26 00:00:00,,,,39.0264,40.5754,38.9764,,,,,,
2000-09-27 00:00:00,,,,40.3755,40.8752,39.8259,,,,,,
2000-09-28 00:00:00,,,,40.2256,42.2744,40.2256,,,,0,7,2
2000-09-29 00:00:00,,,,42.0745,42.6242,41.1751,,,,,,
2000-10-02 00:00:00,,,,42.3743,42.4743,41.6248,,,,0,7,2
2000-10-03 00:00:00,,,,41.6748,42.5242,41.5748,,,,,,
2000-10-04 00:00:00,,,,42.0245,42.1245,40.5754,,,,,,
2000-10-05 00:00:00,,,,40.7253,41.6248,40.7253,,,,,,
2000-10-06 00:00:00,,,,41.225,41.5748,41.0251,,,,,,
2000-10-09 00:00:00,,,,41.4749,41.5748,41.0751,,,,0,8,2
2000-10-10 00:00:00,,,,41.3749,41.8746,41.225,,,,,,
2000-10-11 00:00:00,,,,41.5248,41.8746,40.7253,,,,,,
2000-10-12 00:00:00,,,,41.5748,42.1744,41.0751,,,,0,8,2
2000-10-13 00:00:00,,,,41.5748,42.0745,41.5248,,,,0,8,2
2000-10-16 00:00:00,,,,42.2244,42.3244,41.1251,,,,,,
2000-10-17 00:00:00,,,,40.9252,41.5248,40.1757,,,,,,
2000-10-18 00:00:00,,,,40.6754,41.5248,40.2756,,,,,,
2000-10-19 00:00:00,,,,41.1751,42.1744,40.8752,,,,,,
2000-10-20 00:00:00,,,,41.4749,42.4743,41.4749,,,,,,
2000-10-23 00:00:00,,,,42.3244,43.3238,42.1744,,,,,,
2000-10-24 00:00:00,,,,42.5742,43.4737,42.4243,,,,,,
2000-10-25 00:00:00,,,,43.3238,44.1732,43.0239,,,,,,
2000-10-26 00:00:00,,,,44.3731,44.8228,43.4737,,,,,,
2000-10-27 00:00:00,,,,43.2738,44.7729,43.2738,,,,,,
2000-10-30 00:00:00,,,,44.1732,46.0221,44.1732,,,,,,
2000-10-31 00:00:00,,,,46.272,47.1215,45.8722,,,,,,
2000-11-01 00:00:00,,,,46.172,46.8216,45.4225,,,,,,
2000-11-02 00:00:00,,,,45.8722,46.1221,45.1227,,,,,,
2000-11-03 00:00:00,,,,45.7723,45.9721,45.0727,,,,,,
2000-11-06 00:00:00,,,,45.3725,45.9222,45.0727,,,,0,9,2
2000-11-07 00:00:00,,,,44.8728,44.9728,43.9234,,,,,,
2000-11-08 00:00:00,,,,44.8228,45.8222,44.4731,,,,,,
2000-11-09 00:00:00,,,,45.4724,45.5724,44.3231,,,,,,
2000-11-10 00:00:00,,,,44.3731,45.3725,44.3231,,,,,,
2000-11-13 00:00:00,,,,44.6729,45.0227,44.2232,,,,,,
2000-11-14 00:00:00,,,,44.523,44.7229,44.2732,,,,,,
2000-11-15 00:00:00,,,,44.3731,44.3731,43.0239,,,,,,
2000-11-16 00:00:00,,,,43.7735,44.0733,42.6741,,,,0,9,2
2000-11-17 00:00:00,,,,43.6236,43.9734,42.6741,,,,,,
2000-11-20 00:00:00,,,,43.2738,44.0233,43.1738,,,,,,
2000-11-21 00:00:00,,,,43.6735,43.7735,41.8247,,,,,,
2000-11-22 00:00:00,,,,43.2738,43.5236,42.2244,,,,,,
2000-11-24 00:00:00,,,,43.2238,43.4237,43.2238,,,,,,
2000-11-27 00:00:00,,,,43.2238,44.4231,43.2238,,,,,,
2000-11-28 00:00:00,,,,44.0233,44.1233,42.1245,,,,0,9,3
2000-11-29 00:00:00,,,,43.0739,43.9234,42.2244,,,,,,
2000-11-30 00:00:00,,,,43.1738,43.1738,42.0745,,,,,,
2000-12-01 00:00:00,,,,43.0739,43.5736,42.974,,,,0,9,3
2000-12-04 00:00:00,,,,43.5236,43.5236,42.5742,,,,,,
2000-12-05 00:00:00,,,,42.924,43.5236,42.7741,,,,,,
2000-12-06 00:00:00,,,,43.4237,43.9234,42.5242,,,,0,9,3
2000-12-07 00:00:00,,,,43.3238,43.9234,42.7241,,,,0,9,3
2000-12-08 00:00:00,,,,43.9734,46.222,43.9234,,,,,,
2000-12-11 00:00:00,,,,45.4724,45.8722,45.2726,,,,,,
2000-12-12 00:00:00,,,,45.2726,46.8216,45.1726,,,,,,
2000-12-13 00:00:00,,,,46.3719,48.9703,46.3719,,,,,,
2000-12-14 00:00:00,,,,47.3713,49.0703,47.3713,,,,,,
2000-12-15 00:00:00,,,,48.9703,49.1202,47.5712,,,,,,
2000-12-18 00:00:00,,,,47.871,48.7705,47.7711,,,,0,9,3
2000-12-19 00:00:00,,,,47.921,49.6699,47.921,,,,,,
2000-12-20 00:00:00,,,,49.0203,49.0203,46.9715,,,,,,
2000-12-21 00:00:00,,,,47.9709,48.3707,47.821,,,,,,
2000-12-22 00:00:00,,,,48.3707,49.9198,48.2708,,,,,,
2000-12-26 00:00:00,,,,49.57,49.57,48.4706,,,,,,
2000-12-27 00:00:00,,,,49.57,49.8198,49.1702,,,,,,
2000-12-28 00:00:00,,,,49.57,50.1696,49.2701,,,,,,
2000-12-29 00:00:00,,,,49.8698,50.6193,49.7199,,,,,,
2001-01-02 00:00:00,,,,50.2196,50.6693,49.3701,,,,,,
2001-01-03 00:00:00,,,,49.3701,52.6681,49.3701,,,,,,
2001-01-04 00:00:00,,,,51.6687,54.9167,51.6187,,,,,,
2001-01-05 00:00:00,,,,53.4176,53.6675,51.9685,,,,0,8,4
2001-01-08 00:00:00,,,,51.8686,51.9185,50.1196,,,,,,
2001-01-09 00:00:00,,,,50.7193,51.5688,50.5194,,,,,,
2001-01-10 00:00:00,,,,50.8692,50.9191,48.9703,,,,,,
2001-01-11 00:00:00,,,,49.47,50.6193,49.2701,,,,,,
2001-01-12 00:00:00,,,,49.7199,50.5194,49.52,,,,0,8,4
2001-01-16 00:00:00,,,,50.1196,50.1196,48.6705,,,,,,
2001-01-17 00:00:00,,,,49.8698,51.169,49.6199,,,,,,
2001-01-18 00:00:00,,,,50.1696,50.9191,49.6699,,,,,,
2001-01-19 00:00:00,,,,50.0697,50.4694,49.9198,,,,,,
2001-01-22 00:00:00,,,,50.0197,50.0197,48.5706,,,,0,8,4
2001-01-23 00:00:00,,,,48.8204,49.4201,48.4706,,,,,,
2001-01-24 00:00:00,,,,48.9703,49.1202,48.1208,,,,,,
2001-01-25 00:00:00,,,,48.9703,50.5694,47.7711,,,,,,
2001-01-26 00:00:00,,,,48.9204,49.1702,48.2208,,,,,,
2001-01-29 00:00:00,,,,49.57,50.0417,48.7305,,,,,,
2001-01-30 00:00:00,,,,50.3695,51.153,50.0497,,,,,,
2001-01-31 00:00:00,,,,51.3289,51.3289,50.5294,,,,,,
2001-02-01 00:00:00,,,,50.6893,51.241,50.6893,,,,,,
2001-02-02 00:00:00,,,,51.129,51.169,50.6893,,,,,,
2001-02-05 00:00:00,,,,50.8092,52.5682,50.8092,,,,,,
2001-02-06 00:00:00,,,,52.0884,52.3683,51.8486,,,,,,
2001-02-07 00:00:00,,,,52.0485,52.4882,51.7686,,,,,,
2001-02-08 00:00:00,,,,52.2483,52.5522,51.3689,,,,0,8,4
2001-02-09 00:00:00,,,,51.9685,52.1684,51.5688,,,,0,8,4
2001-02-12 00:00:00,,,,51.5688,52.5122,51.5288,,,,,,
2001-02-13 00:00:00,,,,52.4082,53.3677,52.1684,,,,,,
2001-02-14 00:00:00,,,,53.1118,53.1118,51.9205,,,,,,
2001-02-15 00:00:00,,,,51.8886,52.5682,51.8886,,,,,,
2001-02-16 00:00:00,,,,52.5282,53.2637,52.4722,,,,,,
2001-02-20 00:00:00,,,,53.7274,54.3671,53.6075,,,,,,
2001-02-21 00:00:00,,,,54.1592,54.447,53.6075,,,,0,8,4
2001-02-22 00:00:00,,,,53.9673,53.9673,52.7281,,,,0,8,4
2001-02-23 00:00:00,,,,52.808,53.0878,51.5688,,,,,,
2001-02-26 00:00:00,,,,53.0079,53.0878,52.1284,,,,,,
