Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,33.5,34.7188,33.4375,,,,0,11,2
2000-05-02 00:00:00,,,,34,34.6875,33.5938,,,,,,
2000-05-03 00:00:00,,,,32.75,33,31.5313,,,,0,11,2
2000-05-04 00:00:00,,,,32.0625,33.5,31.625,,,,,,
2000-05-05 00:00:00,,,,32.9375,35.1875,32.875,,,,,,
2000-05-08 00:00:00,,,,33.875,34.4063,33.25,,,,,,
2000-05-09 00:00:00,,,,34.2188,34.9688,34.0313,,,,,,
2000-05-10 00:00:00,,,,34.75,35.375,34.7188,,,,0,11,2
2000-05-11 00:00:00,,,,35.5,35.5313,34.3125,,,,,,
2000-05-12 00:00:00,,,,34.625,35.3125,34.2813,,,,,,
2000-05-15 00:00:00,,,,34.9375,35.8125,34.6875,,,,,,
2000-05-16 00:00:00,,,,35.75,36.7188,35.625,,,,0,11,2
2000-05-17 00:00:00,,,,35.4375,35.4688,34.4375,,,,0,11,2
2000-05-18 00:00:00,,,,34.75,35.9375,34.6875,,,,,,
2000-05-19 00:00:00,,,,35.3125,35.7813,35,,,,0,11,2
2000-05-22 00:00:00,,,,35.1875,35.375,34.875,,,,,,
2000-05-23 00:00:00,,,,34.6875,34.6875,33.5,,,,,,
2000-05-24 00:00:00,,,,32.4375,32.8125,31.6563,,,,0,12,2
2000-05-25 00:00:00,,,,32.75,32.7813,32.3438,,,,0,12,2
2000-05-26 00:00:00,,,,32.3438,32.625,32.0313,,,,,,
2000-05-30 00:00:00,,,,31.875,31.875,30.875,,,,0,12,2
2000-05-31 00:00:00,,,,31.25,31.4688,30.625,,,,0,12,2
2000-06-01 00:00:00,,,,31,31.75,30.5938,,,,0,12,2
2000-06-02 00:00:00,,,,32,33.0938,32,,,,,,
2000-06-05 00:00:00,,,,32.9375,33.0313,32.0938,,,,0,12,2
2000-06-06 00:00:00,,,,31.5625,31.5625,28.7188,,,,,,
2000-06-07 00:00:00,,,,29.375,30.25,29.375,,,,0,11,3
2000-06-08 00:00:00,,,,29.75,30.0625,29.1875,,,,,,
2000-06-09 00:00:00,,,,29.875,29.9063,27.9688,,,,0,11,3
2000-06-12 00:00:00,,,,27.9688,28.0625,27.0313,,,,,,
2000-06-13 00:00:00,,,,27.8125,28.4375,27.1875,,,,0,10,4
2000-06-14 00:00:00,,,,28.5625,29.5625,28.0313,,,,0,10,4
2000-06-15 00:00:00,,,,29.5625,29.9688,29.2813,,,,,,
2000-06-16 00:00:00,,,,30,30,29.0625,,,,0,10,4
2000-06-19 00:00:00,,,,29.5938,29.9688,27.5625,,,,,,
2000-06-20 00:00:00,,,,28.25,28.25,27.3438,,,,0,10,4
2000-06-21 00:00:00,,,,27.5,27.5,25.9375,,,,,,
2000-06-22 00:00:00,,,,26.3438,27.125,26.125,,,,0,10,4
2000-06-23 00:00:00,,,,27.0625,27.3125,26.6875,,,,,,
2000-06-26 00:00:00,,,,27.5,28.0313,27.4375,,,,0,11,4
2000-06-27 00:00:00,,,,27.1875,28.6875,27,,,,,,
2000-06-28 00:00:00,,,,27.9063,28.875,27.25,,,,,,
2000-06-29 00:00:00,,,,27.6875,28.25,27.0625,,,,0,11,4
2000-06-30 00:00:00,,,,27.7188,29,27.5313,,,,0,11,4
2000-07-03 00:00:00,,,,28.6875,29,28.1563,,,,0,11,4
2000-07-05 00:00:00,,,,29.3125,29.625,28.4375,,,,,,
2000-07-06 00:00:00,,,,28.8438,29.4063,28.1563,,,,,,
2000-07-07 00:00:00,,,,28.5,29.625,28.3125,,,,0,11,4
2000-07-10 00:00:00,,,,30.125,30.9063,29.9375,,,,0,11,4
2000-07-11 00:00:00,,,,30.9375,31.75,30.9063,,,,,,
2000-07-12 00:00:00,,,,31.75,31.9375,31.375,,,,,,
2000-07-13 00:00:00,,,,31.625,31.625,30.75,,,,,,
2000-07-14 00:00:00,,,,31,31.25,30.875,,,,,,
2000-07-17 00:00:00,,,,30.75,30.7813,30.0625,,,,,,
2000-07-18 00:00:00,,,,29.875,30.1875,29.5,,,,,,
2000-07-19 00:00:00,,,,29.5625,30,29.5,,,,,,
2000-07-20 00:00:00,,,,29.5,30.5625,29.3125,,,,,,
2000-07-21 00:00:00,,,,30.375,30.4375,29.875,,,,,,
2000-07-24 00:00:00,,,,29.75,30,29.1875,,,,,,
2000-07-25 00:00:00,,,,30,30.6875,29.9375,,,,,,
2000-07-26 00:00:00,,,,30.875,31.75,30.625,,,,,,
2000-07-27 00:00:00,,,,31.3125,31.9375,30.75,,,,,,
2000-07-28 00:00:00,,,,31.25,31.25,30.0625,,,,0,11,5
2000-07-31 00:00:00,,,,30.5,30.625,28.25,,,,0,11,5
2000-08-01 00:00:00,,,,28.8125,29.1875,28.5625,,,,0,11,5
2000-08-02 00:00:00,,,,29.375,31,29.25,,,,,,
2000-08-03 00:00:00,,,,30.75,30.9375,29.875,,,,,,
2000-08-04 00:00:00,,,,30.125,30.375,29.0625,,,,,,
2000-08-07 00:00:00,,,,29.5,31.375,29.125,,,,,,
2000-08-08 00:00:00,,,,31.25,31.9375,30.75,,,,,,
2000-08-09 00:00:00,,,,30.5,31.25,29.375,,,,,,
2000-08-10 00:00:00,,,,30.5,30.5,29.375,,,,,,
2000-08-11 00:00:00,,,,29.5,29.9375,29.5,,,,,,
2000-08-14 00:00:00,,,,29.875,30.375,29.6875,,,,0,11,5
2000-08-15 00:00:00,,,,29,29.375,26.8125,,,,0,11,5
2000-08-16 00:00:00,,,,26.875,26.9375,25.875,,,,0,11,5
2000-08-17 00:00:00,,,,26.25,26.25,25.8125,,,,,,
2000-08-18 00:00:00,,,,26.0625,26.4375,26,,,,0,12,5
2000-08-21 00:00:00,,,,26.3125,26.5,25.4375,,,,,,
2000-08-22 00:00:00,,,,26.75,27.875,26.5625,,,,,,
2000-08-23 00:00:00,,,,27.25,27.4375,26.875,,,,0,12,5
2000-08-24 00:00:00,,,,26.9375,27.875,26.9375,,,,,,
2000-08-25 00:00:00,,,,27.25,27.25,27,,,,,,
2000-08-28 00:00:00,,,,27.3125,27.375,26.6875,,,,0,12,5
2000-08-29 00:00:00,,,,26.4375,26.6875,25.625,,,,,,
2000-08-30 00:00:00,,,,26.125,26.1875,25.75,,,,,,
2000-08-31 00:00:00,,,,23.25,23.4375,21.625,,,,0,12,5
2000-09-01 00:00:00,,,,23.25,24.625,23,,,,0,12,5
2000-09-05 00:00:00,,,,24.5,25.125,24.375,,,,,,
2000-09-06 00:00:00,,,,25,25.25,24.875,,,,0,12,5
2000-09-07 00:00:00,,,,25.0625,25.125,24.5,,,,,,
2000-09-08 00:00:00,,,,24.9375,25.4375,24.6875,,,,,,
2000-09-11 00:00:00,,,,25,26.5625,24.9375,,,,,,
2000-09-12 00:00:00,,,,26.4375,27.0625,25.9375,,,,,,
2000-09-13 00:00:00,,,,27.25,27.75,26.75,,,,0,12,5
2000-09-14 00:00:00,,,,27.25,27.875,26.875,,,,,,
2000-09-15 00:00:00,,,,27.6875,27.75,26.875,,,,0,13,5
2000-09-18 00:00:00,,,,26.75,27.0625,25.875,,,,0,13,5
2000-09-19 00:00:00,,,,26.3125,26.3125,25.25,,,,,,
2000-09-20 00:00:00,,,,26.125,26.125,25.125,,,,0,14,5
2000-09-21 00:00:00,,,,25.75,26.75,25.75,,,,0,14,5
2000-09-22 00:00:00,,,,25.875,26.4375,25.75,,,,,,
2000-09-25 00:00:00,,,,26,26.25,25.3125,,,,,,
2000-09-26 00:00:00,,,,25.75,25.9375,24.25,,,,0,14,5
2000-09-27 00:00:00,,,,24.5,25.3125,23.5625,,,,0,14,5
2000-09-28 00:00:00,,,,24,25.75,24,,,,,,
2000-09-29 00:00:00,,,,25.3125,26.5625,25.3125,,,,,,
2000-10-02 00:00:00,,,,26.25,26.25,24.9375,,,,0,14,5
2000-10-03 00:00:00,,,,25.25,25.5,24.625,,,,,,
2000-10-04 00:00:00,,,,24.625,26.125,24.5625,,,,,,
2000-10-05 00:00:00,,,,26.125,26.75,25.9375,,,,,,
2000-10-06 00:00:00,,,,25.25,25.25,24,,,,0,14,5
