Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,27.5,27.76,25.01,,,,,,
2011-12-08 00:00:00,,,,27.72,27.78,26,,,,,,
2011-12-09 00:00:00,,,,27.93,28,26.73,,,,,,
2011-12-12 00:00:00,,,,28.28,28.28,27,,,,,,
2011-12-13 00:00:00,,,,28.53,28.53,27.14,,,,0,1,0
2011-12-14 00:00:00,,,,28.19,28.19,26.85,,,,,,
2011-12-15 00:00:00,,,,27.87,29.1,27.6,,,,,,
2011-12-16 00:00:00,,,,29.92,29.92,28,,,,,,
2011-12-19 00:00:00,,,,28.69,29.46,28.41,,,,,,
2011-12-20 00:00:00,,,,29.5,30.62,29.47,,,,,,
2011-12-21 00:00:00,,,,30,30,27.51,,,,1,1,1
2011-12-22 00:00:00,,,,27.12,27.59,23.99,,,,2,2,4
2011-12-23 00:00:00,,,,24.71,26.25,24.5,,,,2,2,4
2011-12-27 00:00:00,,,,25.25,26.09,24.64,,,,,,
2011-12-28 00:00:00,,,,25.25,25.98,25,,,,,,
2011-12-29 00:00:00,,,,25.54,25.66,24.8,,,,2,2,5
2011-12-30 00:00:00,,,,24.97,25.54,24.64,,,,2,3,5
2012-01-03 00:00:00,,,,26.15,27.35,26.15,,,,1,4,5
2012-01-04 00:00:00,,,,25.85,26.09,25.41,,,,,,
2012-01-05 00:00:00,,,,24.57,25.8,24.57,,,,1,4,5
2012-01-06 00:00:00,,,,25.52,25.98,25.32,,,,1,4,6
2012-01-09 00:00:00,,,,25.74,26.76,25.65,,,,1,6,6
2012-01-10 00:00:00,,,,26.73,28.24,26.59,,,,1,6,6
2012-01-11 00:00:00,,,,26.69,28.22,26.56,,,,1,6,6
2012-01-12 00:00:00,,,,27.87,29.16,27.82,,,,1,6,6
2012-01-13 00:00:00,,,,28.22,29.76,27.95,,,,1,6,6
2012-01-17 00:00:00,,,,29.58,29.79,28.91,,,,1,6,7
2012-01-18 00:00:00,,,,28.69,29.42,28.54,,,,1,6,8
2012-01-19 00:00:00,,,,29.1,30.88,29.02,,,,,,
2012-01-20 00:00:00,,,,30.42,30.49,29.84,,,,,,
2012-01-23 00:00:00,,,,30.54,30.79,30.24,,,,,,
2012-01-24 00:00:00,,,,30.14,30.75,29.98,,,,,,
2012-01-25 00:00:00,,,,30.55,32.33,30.55,,,,,,
2012-01-26 00:00:00,,,,31.48,31.94,30.46,,,,,,
2012-01-27 00:00:00,,,,30.39,31.46,30.39,,,,,,
2012-01-30 00:00:00,,,,30.96,31.83,30.65,,,,,,
2012-01-31 00:00:00,,,,31.98,33.02,31.66,,,,1,6,8
2012-02-01 00:00:00,,,,33.11,35.16,33.11,,,,1,6,8
2012-02-02 00:00:00,,,,35.52,35.6,33.83,,,,,,
2012-02-03 00:00:00,,,,35.07,35.91,35.07,,,,,,
2012-02-06 00:00:00,,,,35.35,35.73,35.08,,,,,,
2012-02-07 00:00:00,,,,35.28,35.48,34.82,,,,1,6,8
2012-02-08 00:00:00,,,,34.78,34.97,33.02,,,,1,6,8
2012-02-09 00:00:00,,,,28.28,29.85,27.99,,,,1,3,11
2012-02-10 00:00:00,,,,29.02,30.89,28.65,,,,,,
2012-02-13 00:00:00,,,,30.07,30.1,28.5,,,,2,3,11
2012-02-14 00:00:00,,,,28.7,28.78,26.93,,,,,,
2012-02-15 00:00:00,,,,27.8,30.1,27.6,,,,2,4,12
