Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,19.1094,19.8047,18.75,,,,0,3,4
2000-05-02 00:00:00,,,,18.875,19.0625,17.9375,,,,,,
2000-05-03 00:00:00,,,,18.5,18.5313,17.375,,,,,,
2000-05-04 00:00:00,,,,17.75,17.875,16.6875,,,,,,
2000-05-05 00:00:00,,,,17.0625,17.5625,16.875,,,,0,3,4
2000-05-08 00:00:00,,,,17.3438,17.8125,17.1875,,,,,,
2000-05-09 00:00:00,,,,17.8438,18.1875,17.1875,,,,,,
2000-05-10 00:00:00,,,,17.2188,17.3125,16.75,,,,,,
2000-05-11 00:00:00,,,,17.0313,17.1875,16.5,,,,,,
2000-05-12 00:00:00,,,,16.6563,17,16.4375,,,,,,
2000-05-15 00:00:00,,,,16.5938,19.2188,16.5625,,,,,,
2000-05-16 00:00:00,,,,19.0625,20,18.8125,,,,,,
2000-05-17 00:00:00,,,,19.1875,19.3125,18.5625,,,,,,
2000-05-18 00:00:00,,,,18.9688,19.625,18.9375,,,,,,
2000-05-19 00:00:00,,,,18.9063,19.1875,18.5938,,,,,,
2000-05-22 00:00:00,,,,18.5625,19.0625,18,,,,,,
2000-05-23 00:00:00,,,,18.8125,19.25,18.5,,,,,,
2000-05-24 00:00:00,,,,19.25,19.4375,18.8438,,,,,,
2000-05-25 00:00:00,,,,18.9844,19.0938,18.6875,,,,,,
2000-05-26 00:00:00,,,,18.7188,18.9688,17.9688,,,,,,
2000-05-30 00:00:00,,,,18.2188,18.7188,18.125,,,,,,
2000-05-31 00:00:00,,,,18.5,19.6953,18.5,,,,,,
2000-06-01 00:00:00,,,,19.2109,19.6875,19,,,,0,3,4
2000-06-02 00:00:00,,,,19.3594,20.9375,19.3438,,,,,,
2000-06-05 00:00:00,,,,20.6875,22.25,20.5625,,,,0,3,3
2000-06-06 00:00:00,,,,21.6875,21.9063,20.5313,,,,,,
2000-06-07 00:00:00,,,,21.5625,21.7813,21.0313,,,,,,
2000-06-08 00:00:00,,,,21.6875,21.75,20.2188,,,,,,
2000-06-09 00:00:00,,,,20.9688,21.625,20.7813,,,,0,3,3
2000-06-12 00:00:00,,,,21.1875,21.25,20.6563,,,,,,
2000-06-13 00:00:00,,,,20.875,21.75,20.875,,,,,,
2000-06-14 00:00:00,,,,21.7813,22.6875,21.75,,,,,,
2000-06-15 00:00:00,,,,22.1875,22.25,20.875,,,,,,
2000-06-16 00:00:00,,,,21.6875,21.75,21,,,,0,3,3
2000-06-19 00:00:00,,,,21.1563,24,21.1563,,,,,,
2000-06-20 00:00:00,,,,23.375,23.4063,21.1563,,,,0,3,3
2000-06-21 00:00:00,,,,21.9063,22.125,20.9375,,,,0,3,3
2000-06-22 00:00:00,,,,21.7813,22.125,20.25,,,,,,
2000-06-23 00:00:00,,,,20.875,21,20.25,,,,,,
2000-06-26 00:00:00,,,,20.375,20.8125,20.1875,,,,,,
2000-06-27 00:00:00,,,,20.7656,21.5,20.75,,,,,,
2000-06-28 00:00:00,,,,21.4375,21.5,20.8438,,,,,,
2000-06-29 00:00:00,,,,20.9688,21.3125,20.4375,,,,,,
2000-06-30 00:00:00,,,,21,21.625,20.9063,,,,0,3,3
2000-07-03 00:00:00,,,,21.3438,22.3438,21.25,,,,,,
2000-07-05 00:00:00,,,,21.8438,22.3125,21.4688,,,,,,
2000-07-06 00:00:00,,,,21.625,21.6563,21.0313,,,,,,
2000-07-07 00:00:00,,,,21.5,22.25,21.375,,,,,,
2000-07-10 00:00:00,,,,21.7188,21.75,21.0156,,,,,,
2000-07-11 00:00:00,,,,21.2188,21.625,21.0313,,,,,,
2000-07-12 00:00:00,,,,21.8125,22.5938,21.4688,,,,,,
2000-07-13 00:00:00,,,,22.5625,23.75,22.3438,,,,,,
2000-07-14 00:00:00,,,,23.5,23.625,22.8438,,,,,,
2000-07-17 00:00:00,,,,23.1875,23.2813,22.5625,,,,,,
2000-07-18 00:00:00,,,,22.75,22.7813,21.8438,,,,,,
2000-07-19 00:00:00,,,,22.0625,22.2813,20.8125,,,,,,
2000-07-20 00:00:00,,,,21.2188,22.7813,21.2188,,,,,,
2000-07-21 00:00:00,,,,22.125,22.25,21.7578,,,,,,
2000-07-24 00:00:00,,,,22.2031,22.9922,22.1875,,,,,,
2000-07-25 00:00:00,,,,22.9063,23,21.5938,,,,,,
2000-07-26 00:00:00,,,,21.7813,21.7813,21.125,,,,0,3,3
2000-07-27 00:00:00,,,,21.625,21.8125,20.625,,,,0,3,3
2000-07-28 00:00:00,,,,21.25,21.4375,19.7813,,,,,,
2000-07-31 00:00:00,,,,20.0781,20.8125,20.0625,,,,,,
2000-08-01 00:00:00,,,,20.5469,20.5625,19.625,,,,,,
2000-08-02 00:00:00,,,,20.8125,20.875,20.5,,,,,,
2000-08-03 00:00:00,,,,20.4688,20.7813,20.25,,,,,,
2000-08-04 00:00:00,,,,20.7188,21.6563,20.4375,,,,,,
2000-08-07 00:00:00,,,,21.2188,21.8125,20.6563,,,,,,
2000-08-08 00:00:00,,,,21.7188,21.75,21.375,,,,,,
2000-08-09 00:00:00,,,,21.6563,21.9375,21.5938,,,,,,
2000-08-10 00:00:00,,,,21.7813,21.8359,21.5625,,,,,,
2000-08-11 00:00:00,,,,21.6875,21.7422,21.4063,,,,,,
2000-08-14 00:00:00,,,,21.5,21.7813,21.2188,,,,,,
2000-08-15 00:00:00,,,,21.8906,22,21.25,,,,,,
2000-08-16 00:00:00,,,,21.4688,21.5313,20.5625,,,,,,
2000-08-17 00:00:00,,,,20.9688,21.6875,20.9375,,,,,,
2000-08-18 00:00:00,,,,21.875,21.875,21.125,,,,,,
2000-08-21 00:00:00,,,,21.5938,21.625,20.9063,,,,,,
2000-08-22 00:00:00,,,,21.5,22.5625,21.2813,,,,,,
2000-08-23 00:00:00,,,,22.3125,22.375,21.7188,,,,,,
2000-08-24 00:00:00,,,,22.0313,22.1875,21.3125,,,,,,
2000-08-25 00:00:00,,,,21.5313,21.75,21.5,,,,,,
2000-08-28 00:00:00,,,,21.625,21.8438,21.3125,,,,,,
2000-08-29 00:00:00,,,,21.5,21.6563,21.0625,,,,,,
2000-08-30 00:00:00,,,,21.625,22.0625,21.5313,,,,,,
2000-08-31 00:00:00,,,,21.875,22.6563,21.8125,,,,,,
2000-09-01 00:00:00,,,,22.75,23.2813,22.7188,,,,,,
2000-09-05 00:00:00,,,,23.4219,23.625,23.3125,,,,,,
2000-09-06 00:00:00,,,,23.3438,23.9375,23.0938,,,,,,
2000-09-07 00:00:00,,,,23.7578,23.8125,23.2188,,,,,,
2000-09-08 00:00:00,,,,23.4063,23.5625,23.0313,,,,,,
2000-09-11 00:00:00,,,,23.4844,24.3438,23.375,,,,,,
2000-09-12 00:00:00,,,,23.4375,24.5938,23.375,,,,,,
2000-09-13 00:00:00,,,,24.4688,24.75,24.125,,,,,,
2000-09-14 00:00:00,,,,24.375,24.9688,24.0938,,,,,,
2000-09-15 00:00:00,,,,24.1875,24.2188,23.75,,,,,,
2000-09-18 00:00:00,,,,23.8594,23.9688,22.125,,,,,,
2000-09-19 00:00:00,,,,22.625,23.9375,22.5938,,,,,,
2000-09-20 00:00:00,,,,23.8594,23.875,23.2188,,,,,,
2000-09-21 00:00:00,,,,23.7344,24.1563,23.2813,,,,,,
2000-09-22 00:00:00,,,,23.5313,23.9063,23.1875,,,,,,
2000-09-25 00:00:00,,,,23.625,24.4688,23.5938,,,,,,
2000-09-26 00:00:00,,,,23.8906,23.9375,22.875,,,,,,
2000-09-27 00:00:00,,,,23.6563,24.125,23.5625,,,,,,
2000-09-28 00:00:00,,,,23.6563,23.6875,23.125,,,,,,
2000-09-29 00:00:00,,,,23.4688,23.6875,23.25,,,,,,
2000-10-02 00:00:00,,,,23.4063,24.0625,23.375,,,,,,
2000-10-03 00:00:00,,,,23.625,23.625,22.9375,,,,,,
2000-10-04 00:00:00,,,,23.4063,23.4375,22.7813,,,,,,
2000-10-05 00:00:00,,,,23.2188,23.5,22.7813,,,,,,
2000-10-06 00:00:00,,,,23.4375,23.4375,22.375,,,,,,
2000-10-09 00:00:00,,,,22.6563,22.6875,21.8125,,,,,,
2000-10-10 00:00:00,,,,22.0469,22.0625,20.625,,,,,,
2000-10-11 00:00:00,,,,20.8125,20.8438,20.1563,,,,0,3,3
2000-10-12 00:00:00,,,,21.0938,21.125,20,,,,,,
2000-10-13 00:00:00,,,,20.8438,21.4375,20.3125,,,,0,3,4
2000-10-16 00:00:00,,,,21.7813,21.8125,20.9063,,,,,,
2000-10-17 00:00:00,,,,21.7188,21.875,20.3125,,,,,,
2000-10-18 00:00:00,,,,20.4375,20.4688,19.5313,,,,,,
2000-10-19 00:00:00,,,,19.8594,20.4688,19.8125,,,,,,
2000-10-20 00:00:00,,,,20.5,21.5,20.25,,,,,,
2000-10-23 00:00:00,,,,21.5313,21.625,20.9063,,,,,,
2000-10-24 00:00:00,,,,21.1875,21.7813,21.1563,,,,,,
2000-10-25 00:00:00,,,,21.6797,21.75,21.0625,,,,,,
2000-10-26 00:00:00,,,,21.4688,21.8438,20.5625,,,,0,3,5
2000-10-27 00:00:00,,,,20.9844,21.375,20.9375,,,,0,3,5
2000-10-30 00:00:00,,,,21.3594,22.5,21.3438,,,,0,3,5
2000-10-31 00:00:00,,,,22.2109,23.6563,22.0625,,,,,,
2000-11-01 00:00:00,,,,23.3906,23.4063,22.375,,,,,,
2000-11-02 00:00:00,,,,23.0781,23.5,23.0625,,,,,,
2000-11-03 00:00:00,,,,23.5313,24.1875,23.4375,,,,,,
2000-11-06 00:00:00,,,,23.9688,23.9688,23.5313,,,,,,
2000-11-07 00:00:00,,,,24,24.0625,23.5313,,,,,,
2000-11-08 00:00:00,,,,24.0313,24.2188,23.0313,,,,,,
2000-11-09 00:00:00,,,,23.5,23.75,23.0938,,,,,,
2000-11-10 00:00:00,,,,23.3438,23.375,22.625,,,,,,
2000-11-13 00:00:00,,,,22.4688,22.625,20.5,,,,,,
2000-11-14 00:00:00,,,,21.0156,21.4688,20.4688,,,,,,
2000-11-15 00:00:00,,,,20.75,21.1875,20.5313,,,,,,
2000-11-16 00:00:00,,,,21,21,20.125,,,,,,
2000-11-17 00:00:00,,,,20.625,20.625,19.4688,,,,,,
2000-11-20 00:00:00,,,,19.75,20,19.0625,,,,,,
2000-11-21 00:00:00,,,,19.2188,19.2188,18.125,,,,0,3,5
2000-11-22 00:00:00,,,,18.4688,18.5,17.625,,,,,,
2000-11-24 00:00:00,,,,18.4375,18.5,18.0078,,,,,,
2000-11-27 00:00:00,,,,18.5313,19.0625,18.5,,,,,,
2000-11-28 00:00:00,,,,17.875,18.7188,17.8438,,,,0,3,6
2000-11-29 00:00:00,,,,18.5938,18.6875,18.4375,,,,,,
2000-11-30 00:00:00,,,,18.5,18.8359,17.5313,,,,,,
2000-12-01 00:00:00,,,,18.5,19.3438,18.3203,,,,,,
2000-12-04 00:00:00,,,,18.9063,19.25,18.75,,,,,,
2000-12-05 00:00:00,,,,19.4375,20.3125,19.1875,,,,,,
2000-12-06 00:00:00,,,,20.125,20.5078,19.375,,,,,,
2000-12-07 00:00:00,,,,19.75,20.25,19.6875,,,,,,
2000-12-08 00:00:00,,,,19.9375,21.25,19.9375,,,,,,
2000-12-11 00:00:00,,,,21,21.625,20.9375,,,,,,
2000-12-12 00:00:00,,,,20.9219,20.9375,20.2188,,,,,,
2000-12-13 00:00:00,,,,20.625,20.625,20.25,,,,,,
2000-12-14 00:00:00,,,,20.4531,20.625,19.7813,,,,,,
2000-12-15 00:00:00,,,,20.4063,20.4063,19.6563,,,,,,
2000-12-18 00:00:00,,,,20.1406,21.0938,19.9375,,,,,,
2000-12-19 00:00:00,,,,20.1563,21.4063,19.8125,,,,,,
2000-12-20 00:00:00,,,,20.0938,20.2813,19.0625,,,,0,3,7
2000-12-21 00:00:00,,,,19.5156,20.25,19.1875,,,,,,
2000-12-22 00:00:00,,,,20.2188,20.5,19.875,,,,0,3,7
2000-12-26 00:00:00,,,,20.4688,21.5625,20.125,,,,,,
2000-12-27 00:00:00,,,,21.2188,21.375,20.875,,,,,,
2000-12-28 00:00:00,,,,21.2031,22,20.9063,,,,,,
2000-12-29 00:00:00,,,,21.8125,22.0313,21.0313,,,,0,3,7
2001-01-02 00:00:00,,,,21.25,21.75,20.0625,,,,,,
2001-01-03 00:00:00,,,,20,21.4688,19.9063,,,,0,3,8
2001-01-04 00:00:00,,,,21.3906,21.9688,20.4063,,,,,,
2001-01-05 00:00:00,,,,20.5547,20.9063,20.0938,,,,,,
2001-01-08 00:00:00,,,,20.6719,21.25,20.4063,,,,,,
2001-01-09 00:00:00,,,,21.4688,21.5,20.5625,,,,,,
2001-01-10 00:00:00,,,,20.9063,21.125,20.3438,,,,,,
2001-01-11 00:00:00,,,,20.7813,20.9375,20.5,,,,,,
2001-01-12 00:00:00,,,,20.75,21.2813,20.5625,,,,,,
2001-01-16 00:00:00,,,,21.2188,21.3438,20.75,,,,,,
2001-01-17 00:00:00,,,,21.3125,21.5625,21.125,,,,,,
