Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,35.688,36.875,34.813,,,,0,4,4
2000-05-02 00:00:00,,,,35.563,35.75,34.875,,,,,,
2000-05-03 00:00:00,,,,35.438,35.5,33.563,,,,,,
2000-05-04 00:00:00,,,,33.875,34.313,32.875,,,,,,
2000-05-05 00:00:00,,,,34,34,32.75,,,,0,4,4
2000-05-08 00:00:00,,,,33.688,34.75,33.625,,,,,,
2000-05-09 00:00:00,,,,34.25,34.5,33.438,,,,,,
2000-05-10 00:00:00,,,,34.125,34.625,33.5,,,,,,
2000-05-11 00:00:00,,,,34.25,35.375,33.625,,,,,,
2000-05-12 00:00:00,,,,35.438,35.5,34.5,,,,,,
2000-05-15 00:00:00,,,,35.563,37.25,35.5,,,,0,4,4
2000-05-16 00:00:00,,,,37.125,38.125,36.75,,,,,,
2000-05-17 00:00:00,,,,37.75,37.75,36.625,,,,,,
2000-05-18 00:00:00,,,,36.75,37.688,36.75,,,,,,
2000-05-19 00:00:00,,,,37.25,37.375,35.875,,,,,,
2000-05-22 00:00:00,,,,36.625,37.75,36.188,,,,,,
2000-05-23 00:00:00,,,,37.5,37.875,36.813,,,,,,
2000-05-24 00:00:00,,,,37.625,38.75,37.625,,,,,,
2000-05-25 00:00:00,,,,38.313,38.438,37.25,,,,,,
2000-05-26 00:00:00,,,,37.625,37.625,36.875,,,,,,
2000-05-30 00:00:00,,,,37,38.188,36.938,,,,0,4,4
2000-05-31 00:00:00,,,,37.875,37.875,37,,,,0,5,4
2000-06-01 00:00:00,,,,37.25,38.563,36.938,,,,0,5,5
2000-06-02 00:00:00,,,,38.625,39.188,38.5,,,,,,
2000-06-05 00:00:00,,,,39,39.25,38.25,,,,,,
2000-06-06 00:00:00,,,,38.375,38.75,37.938,,,,,,
2000-06-07 00:00:00,,,,38.625,39.375,38.625,,,,,,
2000-06-08 00:00:00,,,,38,38.625,37.125,,,,,,
2000-06-09 00:00:00,,,,37.813,38.438,37.813,,,,0,5,5
2000-06-12 00:00:00,,,,38.5,38.625,37.25,,,,0,6,5
2000-06-13 00:00:00,,,,37.5,38.063,37.313,,,,,,
2000-06-14 00:00:00,,,,37.938,37.938,36.938,,,,,,
2000-06-15 00:00:00,,,,37.438,37.813,36.563,,,,,,
2000-06-16 00:00:00,,,,37.875,38.188,37.188,,,,,,
2000-06-19 00:00:00,,,,36.875,38.688,36.5,,,,,,
2000-06-20 00:00:00,,,,37.688,37.688,35.375,,,,,,
2000-06-21 00:00:00,,,,35.875,36.063,34.75,,,,,,
2000-06-22 00:00:00,,,,35.063,35.125,33.75,,,,,,
2000-06-23 00:00:00,,,,34.688,35.75,34.563,,,,,,
2000-06-26 00:00:00,,,,34.75,35.5,34.375,,,,,,
2000-06-27 00:00:00,,,,35.125,35.563,34.938,,,,,,
2000-06-28 00:00:00,,,,35,36.063,34.875,,,,0,6,5
2000-06-29 00:00:00,,,,35.625,36.5,35.313,,,,,,
2000-06-30 00:00:00,,,,36.125,36.125,33.75,,,,0,6,5
2000-07-03 00:00:00,,,,34,35,34,,,,,,
2000-07-05 00:00:00,,,,34.375,36,34.375,,,,,,
2000-07-06 00:00:00,,,,36,36.125,34.875,,,,,,
2000-07-07 00:00:00,,,,35.375,36.563,35.25,,,,,,
2000-07-10 00:00:00,,,,36.5,37.063,36.5,,,,0,6,5
