Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,1.0625,1.1172,1.0313,,,,,,
2000-05-02 00:00:00,,,,1.0625,1.125,1.0586,,,,,,
2000-05-03 00:00:00,,,,1.0625,1.0625,1.0273,,,,,,
2000-05-04 00:00:00,,,,1.0625,1.125,1.0625,,,,,,
2000-05-05 00:00:00,,,,1.166,1.1797,1.1522999999999999,,,,,,
2000-05-08 00:00:00,,,,1.1641,1.1641,1.1641,,,,,,
2000-05-09 00:00:00,,,,1.1602000000000001,1.1758,1.1367,,,,,,
2000-05-10 00:00:00,,,,1.1621,1.1621,1.1094,,,,,,
2000-05-11 00:00:00,,,,1.1133,1.125,1.0977,,,,,,
2000-05-12 00:00:00,,,,1.125,1.125,1.0859,,,,,,
2000-05-15 00:00:00,,,,1.1035,1.125,1.0937999999999999,,,,,,
2000-05-16 00:00:00,,,,1.1211,1.1522999999999999,1.1211,,,,,,
2000-05-17 00:00:00,,,,1.1484,1.1484,1.0977,,,,,,
2000-05-18 00:00:00,,,,1.1133,1.125,1.0859,,,,,,
2000-05-19 00:00:00,,,,1.0859,1.0859,1,,,,,,
2000-05-22 00:00:00,,,,1.0352,1.0586,1.0352,,,,,,
2000-05-23 00:00:00,,,,1.0488,1.1094,1.0352,,,,,,
2000-05-24 00:00:00,,,,1.0313,1.0469,1.0313,,,,,,
2000-05-25 00:00:00,,,,1.0469,1.0469,0.9219,,,,,,
2000-05-26 00:00:00,,,,0.9844,1.0313,0.9492,,,,,,
2000-05-30 00:00:00,,,,1.0547,1.0547,1.0078,,,,,,
2000-05-31 00:00:00,,,,1.0156,1.0156,0.9453,,,,0,1,0
2000-06-01 00:00:00,,,,0.9453,0.9688,0.8789,,,,,,
2000-06-02 00:00:00,,,,0.9531,0.9531,0.9453,,,,,,
2000-06-05 00:00:00,,,,0.9688,0.9766,0.9609,,,,,,
2000-06-06 00:00:00,,,,0.9902,1.0156,0.9844,,,,,,
2000-06-07 00:00:00,,,,1,1.0156,0.9844,,,,,,
2000-06-08 00:00:00,,,,1,1,0.9766,,,,,,
2000-06-09 00:00:00,,,,0.9805,0.9805,0.875,,,,,,
