Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,5.9375,6.0938,5.9375,,,,0,3,0
2000-05-02 00:00:00,,,,5.9375,6.0313,5.9375,,,,,,
2000-05-03 00:00:00,,,,5.5,5.5,4.7813,,,,,,
2000-05-04 00:00:00,,,,4.9063,4.9688,4.7188,,,,0,3,0
2000-05-05 00:00:00,,,,4.8125,4.8438,4.7188,,,,,,
2000-05-08 00:00:00,,,,4.8125,4.9688,4.7813,,,,,,
2000-05-09 00:00:00,,,,4.9688,5,4.7813,,,,,,
2000-05-10 00:00:00,,,,4.8125,4.875,4.6563,,,,,,
2000-05-11 00:00:00,,,,4.875,5.0625,4.7813,,,,,,
2000-05-12 00:00:00,,,,4.9063,5,4.875,,,,,,
2000-05-15 00:00:00,,,,4.9688,5.0313,4.9688,,,,,,
2000-05-16 00:00:00,,,,5,5.0313,4.9375,,,,,,
2000-05-17 00:00:00,,,,4.875,4.9063,4.8125,,,,,,
2000-05-18 00:00:00,,,,4.8125,4.8438,4.7813,,,,,,
2000-05-19 00:00:00,,,,4.8125,4.8438,4.8125,,,,,,
2000-05-22 00:00:00,,,,4.8125,4.875,4.75,,,,,,
2000-05-23 00:00:00,,,,4.8438,4.8438,4.6875,,,,,,
2000-05-24 00:00:00,,,,4.625,4.75,4.625,,,,,,
2000-05-25 00:00:00,,,,4.625,4.6875,4.5938,,,,,,
2000-05-26 00:00:00,,,,4.6875,4.875,4.6875,,,,,,
2000-05-30 00:00:00,,,,4.75,4.875,4.75,,,,,,
2000-05-31 00:00:00,,,,4.875,5.125,4.875,,,,,,
2000-06-01 00:00:00,,,,5.0938,5.0938,4.9375,,,,,,
2000-06-02 00:00:00,,,,5.0313,5.0625,4.7188,,,,,,
2000-06-05 00:00:00,,,,4.75,4.8125,4.6875,,,,,,
2000-06-06 00:00:00,,,,4.75,5.0625,4.75,,,,,,
2000-06-07 00:00:00,,,,5,5,4.875,,,,,,
2000-06-08 00:00:00,,,,4.875,5.0625,4.875,,,,,,
2000-06-09 00:00:00,,,,4.9375,5,4.875,,,,,,
2000-06-12 00:00:00,,,,4.9375,5.25,4.9375,,,,,,
2000-06-13 00:00:00,,,,5.25,5.4688,5.25,,,,,,
2000-06-14 00:00:00,,,,5.375,5.4375,5.3125,,,,,,
