Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,119.7318,120.7213,116.8869,,,,0,5,0
2000-05-02 00:00:00,,,,115.0316,116.7632,113.7947,,,,,,
2000-05-03 00:00:00,,,,112.8051,113.671,111.0735,,,,,,
2000-05-04 00:00:00,,,,114.5368,115.65,111.0735,,,,0,5,0
2000-05-05 00:00:00,,,,111.4445,114.5368,111.0735,,,,,,
2000-05-08 00:00:00,,,,110.9498,111.3209,109.0944,,,,,,
2000-05-09 00:00:00,,,,110.2077,111.3209,107.9812,,,,,,
2000-05-10 00:00:00,,,,109.0944,111.1972,105.5074,,,,,,
2000-05-11 00:00:00,,,,108.476,108.5997,105.8785,,,,,,
2000-05-12 00:00:00,,,,107.7339,111.0735,106.9917,,,,,,
2000-05-15 00:00:00,,,,108.9708,116.1448,107.8575,,,,,,
2000-05-16 00:00:00,,,,117.0106,117.0106,113.4236,,,,,,
2000-05-17 00:00:00,,,,112.3104,113.671,111.9393,,,,,,
2000-05-18 00:00:00,,,,112.8051,112.8051,109.2181,,,,,,
2000-05-19 00:00:00,,,,107.1154,108.8471,105.2601,,,,,,
2000-05-22 00:00:00,,,,106.0022,106.6206,99.4466,,,,,,
2000-05-23 00:00:00,,,,103.0336,104.1468,99.3229,,,,,,
2000-05-24 00:00:00,,,,99.3229,101.4257,96.3544,,,,,,
2000-05-25 00:00:00,,,,101.7967,102.4152,97.9624,,,,,,
2000-05-26 00:00:00,,,,98.5808,99.1993,95.7359,,,,0,5,0
2000-05-30 00:00:00,,,,98.086,106.6206,97.8387,,,,,,
2000-05-31 00:00:00,,,,104.3942,106.3733,103.4047,,,,0,5,0
2000-06-01 00:00:00,,,,106.3733,107.7339,103.5284,,,,,,
2000-06-02 00:00:00,,,,110.7024,114.042,109.5892,,,,0,5,0
2000-06-05 00:00:00,,,,111.0735,111.3209,109.0944,,,,,,
2000-06-06 00:00:00,,,,108.8471,112.1867,108.2286,,,,0,5,0
2000-06-07 00:00:00,,,,109.7129,113.4236,108.476,,,,,,
2000-06-08 00:00:00,,,,113.7947,113.7947,107.2391,,,,,,
2000-06-09 00:00:00,,,,108.7234,109.9603,107.4865,,,,,,
2000-06-12 00:00:00,,,,106.7443,106.7443,103.5284,,,,,,
2000-06-13 00:00:00,,,,103.8995,104.2705,100.5598,,,,,,
