Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,30.75,31.9688,30.625,,,,0,5,1
2000-05-02 00:00:00,,,,31.4375,32,30.9063,,,,,,
2000-05-03 00:00:00,,,,31,31.4688,30.875,,,,,,
2000-05-04 00:00:00,,,,31,31.3438,30.5,,,,,,
2000-05-05 00:00:00,,,,30.5313,31.4688,30.3438,,,,,,
2000-05-08 00:00:00,,,,31,31.8125,30.9063,,,,,,
2000-05-09 00:00:00,,,,30.3125,30.7188,30.2188,,,,,,
2000-05-10 00:00:00,,,,30.5938,31.3125,30.4063,,,,,,
2000-05-11 00:00:00,,,,31,32.0938,30.9063,,,,,,
2000-05-12 00:00:00,,,,31.75,32.9375,31.625,,,,,,
2000-05-15 00:00:00,,,,32.4375,33.125,32.3125,,,,,,
2000-05-16 00:00:00,,,,32.375,33.0625,32.0938,,,,,,
2000-05-17 00:00:00,,,,32.7813,32.9375,32.2813,,,,0,5,1
2000-05-18 00:00:00,,,,32.625,32.8125,32.3438,,,,,,
2000-05-19 00:00:00,,,,32.25,32.375,31.2188,,,,,,
2000-05-22 00:00:00,,,,31.3438,31.4063,30.6875,,,,,,
2000-05-23 00:00:00,,,,31.0625,31.2813,30.9375,,,,,,
2000-05-24 00:00:00,,,,31.0313,32.4688,31.0313,,,,,,
2000-05-25 00:00:00,,,,32.5938,32.875,32.375,,,,,,
2000-05-26 00:00:00,,,,32.5,32.7813,32.0938,,,,,,
2000-05-30 00:00:00,,,,32.4688,32.4688,31.7188,,,,0,5,1
2000-05-31 00:00:00,,,,31.8438,32.4688,31.375,,,,,,
2000-06-01 00:00:00,,,,31.375,31.4375,30.9375,,,,0,5,1
2000-06-02 00:00:00,,,,31.0938,31.7813,31,,,,,,
2000-06-05 00:00:00,,,,31.0625,31.4688,30.75,,,,,,
2000-06-06 00:00:00,,,,30.9375,31.5313,30.6875,,,,,,
2000-06-07 00:00:00,,,,31.4063,31.5625,30.0313,,,,,,
2000-06-08 00:00:00,,,,30.0938,30.0938,29.25,,,,,,
2000-06-09 00:00:00,,,,29.8125,29.9375,29.25,,,,,,
2000-06-12 00:00:00,,,,29.375,29.4375,29.0938,,,,,,
2000-06-13 00:00:00,,,,29.0938,29.3438,28.9688,,,,,,
2000-06-14 00:00:00,,,,28.75,29.125,28.3125,,,,,,
2000-06-15 00:00:00,,,,28.625,29.0938,28.3125,,,,,,
2000-06-16 00:00:00,,,,28.6875,29.0938,28.0625,,,,,,
2000-06-19 00:00:00,,,,28.4063,28.8438,27.3438,,,,0,5,1
2000-06-20 00:00:00,,,,27.5313,27.7813,26.7813,,,,,,
2000-06-21 00:00:00,,,,26.75,27.3438,26.75,,,,,,
2000-06-22 00:00:00,,,,26.8125,27.1875,26.5313,,,,,,
2000-06-23 00:00:00,,,,27.8438,27.9375,27.375,,,,,,
2000-06-26 00:00:00,,,,27.875,28.25,27.4375,,,,,,
2000-06-27 00:00:00,,,,27.9375,28.8125,27.9063,,,,,,
2000-06-28 00:00:00,,,,28.1875,28.5938,28,,,,,,
2000-06-29 00:00:00,,,,28.25,28.25,27.4063,,,,,,
2000-06-30 00:00:00,,,,27.4375,27.4688,27,,,,,,
