Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,1,0
2005-12-28 00:00:00,,,,,,,,,,0,1,1
2006-01-03 00:00:00,,,,,,,,,,0,1,3
2006-01-04 00:00:00,,,,,,,,,,0,0,4
2006-01-05 00:00:00,,,,,,,,,,0,0,5
2006-01-25 00:00:00,,,,,,,,,,0,0,6
2006-02-02 00:00:00,,,,,,,,,,0,0,6
2006-02-06 00:00:00,,,,,,,,,,0,0,6
2006-02-08 00:00:00,,,,,,,,,,0,0,6
2006-02-28 00:00:00,,,,,,,,,,0,0,6
2006-03-14 00:00:00,,,,,,,,,,0,1,6
2006-03-31 00:00:00,,,,,,,,,,0,1,7
2006-04-05 00:00:00,,,,,,,,,,0,1,7
2006-04-10 00:00:00,,,,,,,,,,0,1,7
2006-04-17 00:00:00,,,,,,,,,,0,1,7
2006-04-20 00:00:00,,,,,,,,,,0,1,7
2006-04-24 00:00:00,,,,,,,,,,0,1,7
2006-04-26 00:00:00,,,,,,,,,,0,1,7
2006-04-27 00:00:00,,,,,,,,,,0,1,7
2006-05-31 00:00:00,,,,,,,,,,0,1,6
2006-06-09 00:00:00,,,,,,,,,,0,1,6
2006-06-12 00:00:00,,,,,,,,,,0,1,6
2006-06-13 00:00:00,,,,,,,,,,0,1,6
2006-06-19 00:00:00,,,,,,,,,,0,1,6
2006-06-26 00:00:00,,,,,,,,,,0,1,6
2006-07-24 00:00:00,,,,,,,,,,0,1,6
2006-07-26 00:00:00,,,,,,,,,,0,1,7
2006-07-27 00:00:00,,,,,,,,,,0,1,7
2006-08-02 00:00:00,,,,,,,,,,0,1,7
2006-08-07 00:00:00,,,,,,,,,,0,1,7
2006-09-11 00:00:00,,,,,,,,,,0,2,6
2006-09-14 00:00:00,,,,,,,,,,0,2,6
2006-09-19 00:00:00,,,,,,,,,,0,2,6
2006-09-27 00:00:00,,,,,,,,,,0,2,6
2006-10-04 00:00:00,,,,,,,,,,0,2,7
2006-10-16 00:00:00,,,,,,,,,,0,2,7
2006-10-27 00:00:00,,,,,,,,,,0,2,7
2006-10-31 00:00:00,,,,,,,,,,0,2,7
2006-11-01 00:00:00,,,,,,,,,,0,2,7
2006-11-16 00:00:00,,,,,,,,,,0,2,7
2006-11-21 00:00:00,,,,,,,,,,0,2,7
2006-11-28 00:00:00,,,,,,,,,,1,2,7
2006-11-30 00:00:00,,,,,,,,,,1,2,7
2006-12-05 00:00:00,,,,,,,,,,1,2,8
2006-12-06 00:00:00,,,,,,,,,,1,2,8
2006-12-18 00:00:00,,,,6.8446,6.9324,6.4701,,,,,,
2006-12-19 00:00:00,,,,6.4895,6.5243,6.2996,,,,,,
2006-12-20 00:00:00,,,,6.5089,6.6742,6.5089,,,,1,2,8
2006-12-21 00:00:00,,,,6.6509,6.6767,6.5502,,,,,,
2006-12-22 00:00:00,,,,6.6122,6.6135,6.4443,,,,,,
2006-12-26 00:00:00,,,,6.4572,6.5812,6.4456,,,,,,
2006-12-27 00:00:00,,,,6.5153,6.5631,6.412,,,,,,
2006-12-28 00:00:00,,,,6.5734,6.66,6.514,,,,,,
2006-12-29 00:00:00,,,,6.6638,6.6638,6.4959,,,,,,
2007-01-02 00:00:00,,,,,,,,,,1,3,8
2007-01-03 00:00:00,,,,6.5541,6.6445,6.3022,,,,,,
2007-01-04 00:00:00,,,,6.3733,6.4314,6.3281,,,,,,
2007-01-05 00:00:00,,,,6.2893,6.2996,6.1731,,,,,,
2007-01-08 00:00:00,,,,6.2441,6.3513,6.1989,,,,1,3,8
2007-01-09 00:00:00,,,,6.3229,6.3281,6.2247,,,,1,3,8
2007-01-10 00:00:00,,,,6.2506,6.4546,6.2312,,,,,,
2007-01-11 00:00:00,,,,6.4572,6.5398,6.4094,,,,,,
2007-01-12 00:00:00,,,,6.4572,6.4637,6.3668,,,,,,
2007-01-16 00:00:00,,,,6.4185,6.598,6.412,,,,,,
2007-01-17 00:00:00,,,,6.5541,6.6122,6.5037,,,,,,
2007-01-18 00:00:00,,,,6.5541,6.6186,6.5424,,,,,,
2007-01-19 00:00:00,,,,6.505,6.6419,6.4843,,,,,,
2007-01-22 00:00:00,,,,6.4068,6.4456,6.0194,,,,1,3,8
2007-01-23 00:00:00,,,,6.3203,6.4055,6.1576,,,,1,4,7
2007-01-24 00:00:00,,,,6.3216,6.5734,6.3216,,,,1,4,7
2007-01-25 00:00:00,,,,6.5541,6.5786,6.3758,,,,,,
2007-01-26 00:00:00,,,,6.4404,6.4946,6.4249,,,,,,
2007-01-29 00:00:00,,,,6.4624,6.6561,6.4624,,,,,,
2007-01-30 00:00:00,,,,6.6509,6.7542,6.5863,,,,,,
2007-01-31 00:00:00,,,,6.74,6.74,6.5218,,,,1,4,7
2007-02-01 00:00:00,,,,6.1989,6.3151,5.9535,,,,1,4,7
2007-02-02 00:00:00,,,,6.0904,6.0904,5.8903,,,,1,4,7
2007-02-05 00:00:00,,,,5.8373,5.9522,5.7637,,,,,,
2007-02-06 00:00:00,,,,5.8502,6.0439,5.8502,,,,,,
2007-02-07 00:00:00,,,,6.062,6.2506,5.9832,,,,,,
2007-02-08 00:00:00,,,,6.3138,6.3474,6.2118,,,,,,
2007-02-09 00:00:00,,,,6.3113,6.3113,6.1989,,,,,,
2007-02-12 00:00:00,,,,6.2312,6.2454,6.0736,,,,,,
2007-02-13 00:00:00,,,,6.1227,6.195,6.0388,,,,1,4,7
2007-02-14 00:00:00,,,,6.0543,6.186,6.0284,,,,,,
2007-02-15 00:00:00,,,,6.1343,6.1666,6.1137,,,,,,
2007-02-16 00:00:00,,,,6.1421,6.186,6.0698,,,,,,
2007-02-20 00:00:00,,,,6.2183,6.341,6.1537,,,,,,
2007-02-21 00:00:00,,,,6.3035,6.3035,6.1782,,,,,,
2007-02-22 00:00:00,,,,6.2299,6.257,6.1498,,,,,,
2007-02-23 00:00:00,,,,6.1731,6.1989,6.1356,,,,,,
2007-02-26 00:00:00,,,,6.1602,6.1782,6.0801,,,,,,
2007-02-27 00:00:00,,,,6.0388,6.1485,5.8115,,,,,,
2007-02-28 00:00:00,,,,5.8838,6.0039,5.8128,,,,,,
2007-03-01 00:00:00,,,,5.876,6.022,5.7986,,,,,,
2007-03-02 00:00:00,,,,5.9148,5.9329,5.7547,,,,,,
2007-03-05 00:00:00,,,,5.5984,5.7766,5.5971,,,,,,
2007-03-06 00:00:00,,,,5.7779,5.9794,5.7585,,,,1,4,7
2007-03-07 00:00:00,,,,5.9432,5.9432,5.8231,,,,,,
2007-03-08 00:00:00,,,,5.9277,5.9729,5.9019,,,,,,
2007-03-09 00:00:00,,,,6.0246,6.0917,5.9729,,,,,,
2007-03-12 00:00:00,,,,6.0323,6.0556,6.0155,,,,,,
2007-03-13 00:00:00,,,,6.0375,6.0375,5.8231,,,,,,
2007-03-14 00:00:00,,,,5.9342,6.0504,5.8373,,,,1,4,7
2007-03-15 00:00:00,,,,6.0078,6.102,6.0052,,,,,,
2007-03-16 00:00:00,,,,6.0788,6.133,5.991,,,,,,
2007-03-19 00:00:00,,,,6.0853,6.2983,6.0853,,,,,,
2007-03-20 00:00:00,,,,6.2415,6.3281,6.2389,,,,,,
2007-03-21 00:00:00,,,,6.3216,6.4972,6.2996,,,,,,
2007-03-22 00:00:00,,,,6.5089,6.5179,6.3875,,,,,,
2007-03-23 00:00:00,,,,6.4301,6.6277,6.421,,,,1,4,7
