Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,8.258,8.313,8.063,,,,0,11,0
2000-05-02 00:00:00,,,,8.125,8.141,7.836,,,,0,11,0
2000-05-03 00:00:00,,,,7.813,7.828,7.531,,,,0,11,0
2000-05-04 00:00:00,,,,8.055,8.055,7.75,,,,0,11,0
2000-05-05 00:00:00,,,,7.93,7.984,7.852,,,,0,11,0
2000-05-08 00:00:00,,,,7.883,8.281,7.828,,,,,,
2000-05-09 00:00:00,,,,8.156,8.531,8.141,,,,,,
2000-05-10 00:00:00,,,,8.531,8.75,8.469,,,,,,
2000-05-11 00:00:00,,,,8.633,8.828,8.594,,,,,,
2000-05-12 00:00:00,,,,8.758,8.961,8.648,,,,,,
2000-05-15 00:00:00,,,,9,9.375,9,,,,,,
2000-05-16 00:00:00,,,,9.688,9.688,9.32,,,,,,
2000-05-17 00:00:00,,,,9.359,9.469,9.281,,,,,,
2000-05-18 00:00:00,,,,9.344,9.82,9.336,,,,0,10,0
2000-05-19 00:00:00,,,,9.609,9.68,9.453,,,,,,
2000-05-22 00:00:00,,,,9.609,9.695,9.32,,,,,,
2000-05-23 00:00:00,,,,9.5,9.586,9.391,,,,,,
2000-05-24 00:00:00,,,,9.563,9.906,9.563,,,,,,
2000-05-25 00:00:00,,,,9.75,9.852,9.539,,,,,,
2000-05-26 00:00:00,,,,9.5,9.695,9.398,,,,,,
2000-05-30 00:00:00,,,,9.578,9.805,9.484,,,,,,
2000-05-31 00:00:00,,,,9.508,9.563,9.313,,,,0,10,0
2000-06-01 00:00:00,,,,9.305,9.633,9.266,,,,0,10,0
2000-06-02 00:00:00,,,,9.469,9.539,9.32,,,,0,10,0
2000-06-05 00:00:00,,,,9.359,9.531,9.336,,,,,,
2000-06-06 00:00:00,,,,9.344,9.453,9.063,,,,,,
2000-06-07 00:00:00,,,,9.172,9.336,9.141,,,,,,
2000-06-08 00:00:00,,,,9.242,9.391,9.227,,,,,,
2000-06-09 00:00:00,,,,9.266,9.719,9.266,,,,0,10,0
2000-06-12 00:00:00,,,,9.617,10.047,9.5,,,,,,
2000-06-13 00:00:00,,,,10,10.344,10,,,,0,10,0
2000-06-14 00:00:00,,,,10.094,10.414,10.031,,,,,,
2000-06-15 00:00:00,,,,10.258,10.391,10.25,,,,,,
2000-06-16 00:00:00,,,,10.234,10.297,10.031,,,,0,10,0
2000-06-19 00:00:00,,,,10.195,10.234,10,,,,,,
2000-06-20 00:00:00,,,,10.031,10.234,10.008,,,,,,
2000-06-21 00:00:00,,,,9.984,10.188,9.922,,,,,,
2000-06-22 00:00:00,,,,10.102,10.359,9.992,,,,,,
2000-06-23 00:00:00,,,,10.063,10.109,9.93,,,,,,
2000-06-26 00:00:00,,,,10,10.188,9.969,,,,,,
2000-06-27 00:00:00,,,,10.063,10.086,9.906,,,,,,
2000-06-28 00:00:00,,,,10.047,10.414,9.734,,,,,,
2000-06-29 00:00:00,,,,10.375,11.125,10.328,,,,0,10,0
2000-06-30 00:00:00,,,,10.75,11,10.703,,,,0,10,0
2000-07-03 00:00:00,,,,10.68,11.008,10.664,,,,,,
2000-07-05 00:00:00,,,,11.039,11.242,10.938,,,,,,
2000-07-06 00:00:00,,,,10.906,11.492,10.883,,,,0,10,0
2000-07-07 00:00:00,,,,11.375,11.43,11.078,,,,0,9,1
2000-07-10 00:00:00,,,,11.125,11.148,10.781,,,,,,
2000-07-11 00:00:00,,,,10.922,11.156,10.906,,,,0,9,1
2000-07-12 00:00:00,,,,10.961,11.289,10.93,,,,,,
2000-07-13 00:00:00,,,,11.031,11.141,10.664,,,,,,
2000-07-14 00:00:00,,,,10.719,10.813,10.406,,,,0,9,1
2000-07-17 00:00:00,,,,10.563,10.945,10.484,,,,,,
2000-07-18 00:00:00,,,,10.375,10.539,10.203,,,,0,8,2
2000-07-19 00:00:00,,,,10.563,10.656,10.469,,,,,,
2000-07-20 00:00:00,,,,10.5,10.664,10.328,,,,,,
2000-07-21 00:00:00,,,,10.734,10.75,10.516,,,,,,
2000-07-24 00:00:00,,,,10.563,10.633,10.227,,,,,,
2000-07-25 00:00:00,,,,10.289,10.305,9.844,,,,,,
2000-07-26 00:00:00,,,,9.844,9.992,9.766,,,,,,
2000-07-27 00:00:00,,,,9.797,10.328,9.797,,,,,,
2000-07-28 00:00:00,,,,10.227,10.305,10.109,,,,,,
2000-07-31 00:00:00,,,,10.195,10.438,10.148,,,,,,
2000-08-01 00:00:00,,,,10.164,10.508,10.164,,,,,,
2000-08-02 00:00:00,,,,10.313,10.594,10.227,,,,,,
2000-08-03 00:00:00,,,,10.344,10.625,10.234,,,,0,8,2
2000-08-04 00:00:00,,,,10.688,11,10.688,,,,0,9,2
2000-08-07 00:00:00,,,,11.031,11.188,11.023,,,,,,
2000-08-08 00:00:00,,,,11.063,11.086,10.859,,,,,,
2000-08-09 00:00:00,,,,10.875,11.016,10.688,,,,,,
2000-08-10 00:00:00,,,,10.969,11.086,10.852,,,,,,
2000-08-11 00:00:00,,,,10.984,11.563,10.984,,,,,,
2000-08-14 00:00:00,,,,11.563,11.797,11.563,,,,,,
2000-08-15 00:00:00,,,,11.578,11.656,11.508,,,,,,
2000-08-16 00:00:00,,,,11.672,11.672,11.453,,,,0,9,2
2000-08-17 00:00:00,,,,11.461,11.828,11.461,,,,,,
2000-08-18 00:00:00,,,,11.609,11.609,11.281,,,,,,
2000-08-21 00:00:00,,,,11.422,11.555,11.398,,,,,,
2000-08-22 00:00:00,,,,11.469,11.766,11.469,,,,,,
2000-08-23 00:00:00,,,,11.672,11.68,11.352,,,,,,
