Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,16.875,17.5,16.625,,,,0,4,5
2000-05-02 00:00:00,,,,16.625,16.8125,16.375,,,,,,
2000-05-03 00:00:00,,,,16.3125,16.3125,15.25,,,,,,
2000-05-04 00:00:00,,,,16.5,18.25,15.75,,,,0,4,5
2000-05-05 00:00:00,,,,17.5,18.625,17.5,,,,0,4,5
2000-05-08 00:00:00,,,,18.3125,19.5,18.0625,,,,,,
2000-05-09 00:00:00,,,,19.4375,19.4375,18.375,,,,,,
2000-05-10 00:00:00,,,,18.5,18.875,18.0625,,,,,,
2000-05-11 00:00:00,,,,18.8125,19.75,18.625,,,,,,
2000-05-12 00:00:00,,,,19.125,19.4375,18.75,,,,,,
2000-05-15 00:00:00,,,,19,19.5625,18.9375,,,,0,4,5
2000-05-16 00:00:00,,,,19.4375,19.8125,19.3125,,,,,,
2000-05-17 00:00:00,,,,19.5625,19.625,19.125,,,,0,4,5
2000-05-18 00:00:00,,,,19.5,20.9375,19.5,,,,,,
2000-05-19 00:00:00,,,,20.25,20.5625,19.5625,,,,0,4,5
2000-05-22 00:00:00,,,,20.5,21.1875,19.8125,,,,,,
2000-05-23 00:00:00,,,,21.375,21.9375,21.25,,,,,,
2000-05-24 00:00:00,,,,21.6875,21.8125,20.6875,,,,,,
2000-05-25 00:00:00,,,,20.75,21.3125,20,,,,,,
2000-05-26 00:00:00,,,,20.8125,20.9375,20.5,,,,,,
2000-05-30 00:00:00,,,,20.6875,21,20,,,,,,
2000-05-31 00:00:00,,,,20.875,22.6875,20.75,,,,,,
2000-06-01 00:00:00,,,,22.6875,24.5625,22.625,,,,0,4,5
2000-06-02 00:00:00,,,,24.625,24.625,23.1875,,,,,,
2000-06-05 00:00:00,,,,23.9375,23.9375,22.75,,,,,,
2000-06-06 00:00:00,,,,23,23.1875,22.5,,,,,,
2000-06-07 00:00:00,,,,22.75,23.6875,22.5625,,,,,,
2000-06-08 00:00:00,,,,23,23,22.375,,,,,,
2000-06-09 00:00:00,,,,22.5625,22.6875,22.25,,,,,,
2000-06-12 00:00:00,,,,22.4375,22.4375,20.625,,,,,,
2000-06-13 00:00:00,,,,21.25,21.9375,21.125,,,,,,
2000-06-14 00:00:00,,,,21.625,21.875,21.5,,,,,,
2000-06-15 00:00:00,,,,21.75,21.875,20.6875,,,,,,
2000-06-16 00:00:00,,,,21.1875,21.25,20.75,,,,,,
2000-06-19 00:00:00,,,,20.5,20.6875,20.125,,,,,,
2000-06-20 00:00:00,,,,20.125,20.4375,19.9375,,,,,,
2000-06-21 00:00:00,,,,20.4375,20.5,20.125,,,,,,
2000-06-22 00:00:00,,,,20.5,20.5,18.375,,,,,,
2000-06-23 00:00:00,,,,20.125,20.3125,19.875,,,,,,
2000-06-26 00:00:00,,,,20.0625,20.3125,19.8125,,,,,,
2000-06-27 00:00:00,,,,20.125,20.4375,19.8125,,,,,,
2000-06-28 00:00:00,,,,20.0625,20.1875,19.9375,,,,,,
2000-06-29 00:00:00,,,,19.8125,20,19.75,,,,,,
2000-06-30 00:00:00,,,,19.875,20.375,19.875,,,,0,4,5
2000-07-03 00:00:00,,,,19.8125,20.5,19.8125,,,,,,
2000-07-05 00:00:00,,,,20.875,21.3125,20.6875,,,,,,
2000-07-06 00:00:00,,,,21.0625,21.25,20.625,,,,,,
2000-07-07 00:00:00,,,,21,21.6875,21,,,,,,
2000-07-10 00:00:00,,,,21.4375,21.8125,20.6875,,,,0,4,5
2000-07-11 00:00:00,,,,21.75,21.75,20.5625,,,,,,
2000-07-12 00:00:00,,,,21.1875,21.875,20.8125,,,,,,
2000-07-13 00:00:00,,,,21,21,20.375,,,,,,
2000-07-14 00:00:00,,,,20.5,21,20.3125,,,,,,
