Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,66.625,66.938,64.25,,,,0,4,2
2000-05-02 00:00:00,,,,64.063,64.438,63.375,,,,,,
2000-05-03 00:00:00,,,,64.063,64.063,62.313,,,,,,
2000-05-04 00:00:00,,,,62.125,62.125,60,,,,,,
2000-05-05 00:00:00,,,,59.75,60.875,59,,,,,,
2000-05-08 00:00:00,,,,59,61.75,58.375,,,,,,
2000-05-09 00:00:00,,,,61.5,63.375,60.875,,,,,,
2000-05-10 00:00:00,,,,62,62.375,60.75,,,,,,
2000-05-11 00:00:00,,,,60.875,61.625,60.875,,,,,,
2000-05-12 00:00:00,,,,61.5,62.625,61.375,,,,,,
2000-05-15 00:00:00,,,,61.563,64,60.75,,,,,,
2000-05-16 00:00:00,,,,64,64,62,,,,,,
2000-05-17 00:00:00,,,,61.75,62.875,61.188,,,,,,
2000-05-18 00:00:00,,,,62.25,62.25,61.375,,,,,,
2000-05-19 00:00:00,,,,61.875,62.188,60.5,,,,,,
2000-05-22 00:00:00,,,,61.625,61.875,59.875,,,,,,
2000-05-23 00:00:00,,,,61.188,62.25,61.125,,,,,,
2000-05-24 00:00:00,,,,61,61.375,59.125,,,,,,
2000-05-25 00:00:00,,,,59.438,60.25,58,,,,,,
2000-05-26 00:00:00,,,,59,59.313,56.75,,,,,,
2000-05-30 00:00:00,,,,57,59.313,57,,,,,,
2000-05-31 00:00:00,,,,59.938,60.938,59.625,,,,0,4,2
2000-06-01 00:00:00,,,,60.813,62.063,60.625,,,,0,4,2
2000-06-02 00:00:00,,,,62.188,62.438,61,,,,0,4,2
2000-06-05 00:00:00,,,,60.875,62.5,60.875,,,,0,4,2
2000-06-06 00:00:00,,,,61.563,61.875,60.75,,,,,,
2000-06-07 00:00:00,,,,61.75,62.188,61.5,,,,,,
2000-06-08 00:00:00,,,,62,62.125,60.25,,,,0,4,2
2000-06-09 00:00:00,,,,60.25,60.25,59.313,,,,,,
2000-06-12 00:00:00,,,,59,59.875,57.5,,,,,,
2000-06-13 00:00:00,,,,59.5,62.063,59.25,,,,0,5,2
2000-06-14 00:00:00,,,,61.188,61.875,60.875,,,,,,
2000-06-15 00:00:00,,,,61.5,62.5,61.438,,,,0,5,2
2000-06-16 00:00:00,,,,62.438,62.75,61.375,,,,,,
2000-06-19 00:00:00,,,,61.75,62.188,60.25,,,,,,
2000-06-20 00:00:00,,,,61.875,62,60.875,,,,,,
2000-06-21 00:00:00,,,,60.938,61.813,60.563,,,,,,
2000-06-22 00:00:00,,,,61.563,62.938,61.25,,,,,,
2000-06-23 00:00:00,,,,62.813,62.813,61.313,,,,,,
2000-06-26 00:00:00,,,,60.75,61,60.313,,,,,,
2000-06-27 00:00:00,,,,60.75,60.938,59.688,,,,,,
2000-06-28 00:00:00,,,,60.188,60.813,59.563,,,,,,
2000-06-29 00:00:00,,,,59.625,60.313,58.625,,,,,,
2000-06-30 00:00:00,,,,60.313,62,59,,,,,,
2000-07-03 00:00:00,,,,59.5,59.875,59.313,,,,,,
2000-07-05 00:00:00,,,,59.625,61.313,59.625,,,,,,
2000-07-06 00:00:00,,,,61,61.438,61,,,,,,
2000-07-07 00:00:00,,,,60.375,61,60.125,,,,,,
2000-07-10 00:00:00,,,,60,61.063,59.875,,,,,,
2000-07-11 00:00:00,,,,60.313,60.938,60.313,,,,,,
2000-07-12 00:00:00,,,,60.5,61.063,60.188,,,,,,
2000-07-13 00:00:00,,,,60.563,60.75,60.063,,,,,,
2000-07-14 00:00:00,,,,60.688,61,60.438,,,,,,
2000-07-17 00:00:00,,,,60.938,61.375,60.063,,,,,,
2000-07-18 00:00:00,,,,60.188,60.875,60.188,,,,0,5,2
2000-07-19 00:00:00,,,,60.75,61.5,60.688,,,,,,
2000-07-20 00:00:00,,,,60.875,60.875,59.188,,,,,,
2000-07-21 00:00:00,,,,59.313,60,59,,,,,,
2000-07-24 00:00:00,,,,58.75,59.5,58.5,,,,,,
2000-07-25 00:00:00,,,,58.563,59.063,58.563,,,,,,
2000-07-26 00:00:00,,,,58.625,58.688,57.563,,,,,,
2000-07-27 00:00:00,,,,58,58.625,57.5,,,,,,
2000-07-28 00:00:00,,,,58.688,58.875,57.25,,,,,,
2000-07-31 00:00:00,,,,57.375,58.75,57.25,,,,,,
2000-08-01 00:00:00,,,,58.563,58.563,57.938,,,,,,
2000-08-02 00:00:00,,,,58.375,58.438,57.75,,,,,,
2000-08-03 00:00:00,,,,57.625,58.5,57.313,,,,,,
2000-08-04 00:00:00,,,,57.438,58,57.438,,,,,,
2000-08-07 00:00:00,,,,57.813,57.938,57.25,,,,,,
2000-08-08 00:00:00,,,,57.125,57.25,56.688,,,,,,
2000-08-09 00:00:00,,,,56.875,57,55.688,,,,,,
2000-08-10 00:00:00,,,,55.438,58.75,54.875,,,,0,5,2
2000-08-11 00:00:00,,,,58,59,57.75,,,,,,
2000-08-14 00:00:00,,,,58.75,59,58.5,,,,,,
2000-08-15 00:00:00,,,,58.375,58.5,57.563,,,,,,
2000-08-16 00:00:00,,,,57.625,58,57.25,,,,,,
2000-08-17 00:00:00,,,,57.313,57.438,56.75,,,,,,
2000-08-18 00:00:00,,,,56.75,57,55.813,,,,,,
2000-08-21 00:00:00,,,,56.25,56.813,55.75,,,,,,
2000-08-22 00:00:00,,,,55.813,56.375,55.813,,,,,,
2000-08-23 00:00:00,,,,56,56.25,55.688,,,,,,
2000-08-24 00:00:00,,,,55.563,56.813,55.563,,,,,,
2000-08-25 00:00:00,,,,56.438,57.938,56.438,,,,,,
2000-08-28 00:00:00,,,,57.625,57.75,56.75,,,,,,
2000-08-29 00:00:00,,,,56.5,56.938,56,,,,,,
2000-08-30 00:00:00,,,,55.25,55.75,55,,,,,,
2000-08-31 00:00:00,,,,55.438,56.125,55.25,,,,0,5,2
2000-09-01 00:00:00,,,,55.625,56.188,55.438,,,,,,
2000-09-05 00:00:00,,,,55.25,56.188,55.125,,,,,,
2000-09-06 00:00:00,,,,55.313,56,54.75,,,,,,
