Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,13.625,14.75,13.5625,,,,0,1,0
2000-05-02 00:00:00,,,,14,14.125,13,,,,,,
2000-05-03 00:00:00,,,,13.5625,13.5625,13,,,,,,
2000-05-04 00:00:00,,,,13.4375,13.5625,13.3125,,,,,,
2000-05-05 00:00:00,,,,13.5,13.5,13.3125,,,,,,
2000-05-08 00:00:00,,,,13.3125,13.9375,13.3125,,,,,,
2000-05-09 00:00:00,,,,13.6875,14.3125,13.6875,,,,,,
2000-05-10 00:00:00,,,,13.9375,14,13.875,,,,,,
2000-05-11 00:00:00,,,,13.9375,14.375,13.875,,,,,,
2000-05-12 00:00:00,,,,13.875,14,13.6875,,,,,,
2000-05-15 00:00:00,,,,13.8125,14.25,13.8125,,,,,,
2000-05-16 00:00:00,,,,14.1875,14.9375,14.125,,,,,,
2000-05-17 00:00:00,,,,14.6875,15.1875,14.5625,,,,,,
2000-05-18 00:00:00,,,,15,15,14.4375,,,,,,
2000-05-19 00:00:00,,,,14.625,14.9375,14.125,,,,,,
2000-05-22 00:00:00,,,,14.5,14.625,13.875,,,,,,
2000-05-23 00:00:00,,,,14.1875,15.5,14.1875,,,,0,1,0
2000-05-24 00:00:00,,,,15.3125,16.375,15.1875,,,,,,
2000-05-25 00:00:00,,,,16.375,16.9375,16.3125,,,,,,
2000-05-26 00:00:00,,,,16.625,16.875,16.5,,,,,,
2000-05-30 00:00:00,,,,16.6875,16.9375,16.4375,,,,,,
2000-05-31 00:00:00,,,,16.3125,16.75,16.0625,,,,,,
2000-06-01 00:00:00,,,,16.125,16.5625,16,,,,,,
2000-06-02 00:00:00,,,,16.25,16.5625,16,,,,,,
2000-06-05 00:00:00,,,,15.875,16.25,15.875,,,,,,
2000-06-06 00:00:00,,,,16,16.75,16,,,,,,
2000-06-07 00:00:00,,,,16.4375,16.75,16.1875,,,,,,
2000-06-08 00:00:00,,,,16.5625,17.125,16.5625,,,,,,
2000-06-09 00:00:00,,,,17.0625,17.75,17.0625,,,,,,
2000-06-12 00:00:00,,,,17.5625,18.125,17.5625,,,,,,
2000-06-13 00:00:00,,,,18.0625,19.125,18.0625,,,,,,
2000-06-14 00:00:00,,,,19.0625,19.75,19.0625,,,,,,
2000-06-15 00:00:00,,,,19.5625,19.9375,17.875,,,,,,
2000-06-16 00:00:00,,,,18.125,18.75,18.125,,,,,,
2000-06-19 00:00:00,,,,18.5,18.8125,18.5,,,,,,
2000-06-20 00:00:00,,,,18.875,19.0625,18.8125,,,,,,
2000-06-21 00:00:00,,,,19.0625,19.125,19,,,,,,
2000-06-22 00:00:00,,,,19.125,19.625,18.5,,,,0,2,0
2000-06-23 00:00:00,,,,18.5,18.5625,18,,,,,,
2000-06-26 00:00:00,,,,18.4375,18.8125,18.25,,,,,,
2000-06-27 00:00:00,,,,18.25,18.5625,17.375,,,,,,
2000-06-28 00:00:00,,,,18,18.4375,16.875,,,,,,
2000-06-29 00:00:00,,,,18,18.5,17.875,,,,,,
2000-06-30 00:00:00,,,,18.5625,19,17,,,,0,3,0
2000-07-03 00:00:00,,,,17.375,18.9375,17.375,,,,,,
2000-07-05 00:00:00,,,,18.5625,18.5625,17.625,,,,,,
2000-07-06 00:00:00,,,,17.8125,17.8125,17,,,,,,
2000-07-07 00:00:00,,,,17.375,18.125,17.375,,,,,,
2000-07-10 00:00:00,,,,18.0625,18.375,18.0625,,,,0,3,0
2000-07-11 00:00:00,,,,18.0625,18.0625,17.6875,,,,,,
2000-07-12 00:00:00,,,,18.1875,18.875,17.875,,,,,,
2000-07-13 00:00:00,,,,18.6875,19.5625,18.5,,,,,,
2000-07-14 00:00:00,,,,19.4375,19.6875,19.25,,,,,,
2000-07-17 00:00:00,,,,19.8125,19.875,19.375,,,,,,
2000-07-18 00:00:00,,,,19.4375,19.5,19,,,,,,
2000-07-19 00:00:00,,,,19.25,19.25,19,,,,,,
2000-07-20 00:00:00,,,,19,19.875,19,,,,,,
2000-07-21 00:00:00,,,,19.8125,19.8125,19.5625,,,,,,
2000-07-24 00:00:00,,,,19.5625,19.625,19.25,,,,,,
2000-07-25 00:00:00,,,,19.375,19.8125,19,,,,,,
2000-07-26 00:00:00,,,,19,19.25,19,,,,,,
2000-07-27 00:00:00,,,,19.625,19.625,19.125,,,,0,3,0
2000-07-28 00:00:00,,,,19.125,19.875,19.125,,,,0,3,0
2000-07-31 00:00:00,,,,20,20.625,20,,,,,,
2000-08-01 00:00:00,,,,20.625,20.875,20.375,,,,,,
2000-08-02 00:00:00,,,,21,21.1875,20.8125,,,,,,
2000-08-03 00:00:00,,,,21.0625,21.25,20.8125,,,,,,
2000-08-04 00:00:00,,,,21.25,21.5625,21.25,,,,,,
2000-08-07 00:00:00,,,,21.75,22.25,21.375,,,,,,
2000-08-08 00:00:00,,,,22.1875,22.5625,21.8125,,,,,,
2000-08-09 00:00:00,,,,22.5625,22.75,22.375,,,,,,
2000-08-10 00:00:00,,,,22.5,22.5,21.125,,,,,,
2000-08-11 00:00:00,,,,21.25,21.25,20.5,,,,,,
2000-08-14 00:00:00,,,,20.625,20.8125,20.4375,,,,,,
2000-08-15 00:00:00,,,,20.6875,20.6875,20,,,,,,
2000-08-16 00:00:00,,,,20.4375,20.5625,20.1875,,,,,,
2000-08-17 00:00:00,,,,20.3125,20.4375,20.0625,,,,,,
2000-08-18 00:00:00,,,,20.0625,20.125,19.9375,,,,,,
2000-08-21 00:00:00,,,,20,20.3125,19.25,,,,,,
2000-08-22 00:00:00,,,,20.0625,20.3125,20,,,,,,
2000-08-23 00:00:00,,,,20.125,20.1875,19.625,,,,,,
2000-08-24 00:00:00,,,,19.75,19.75,18.75,,,,,,
2000-08-25 00:00:00,,,,18.625,19.0625,18.625,,,,,,
2000-08-28 00:00:00,,,,19.125,19.5,19.0625,,,,,,
2000-08-29 00:00:00,,,,19.5,19.5,19.1875,,,,,,
2000-08-30 00:00:00,,,,19.375,20.625,19.125,,,,,,
2000-08-31 00:00:00,,,,20.5,21,20.5,,,,,,
2000-09-01 00:00:00,,,,20.625,20.625,20.1875,,,,,,
2000-09-05 00:00:00,,,,21.0625,21.125,20.375,,,,,,
2000-09-06 00:00:00,,,,21.0625,21.5,20.5,,,,,,
2000-09-07 00:00:00,,,,20.75,20.875,20.3125,,,,,,
2000-09-08 00:00:00,,,,20.4375,20.4375,20.125,,,,,,
2000-09-11 00:00:00,,,,20.4375,21.25,20.4375,,,,,,
2000-09-12 00:00:00,,,,20.5,20.75,20.125,,,,,,
2000-09-13 00:00:00,,,,20.0625,21,19.875,,,,,,
2000-09-14 00:00:00,,,,20.8125,21.75,20.8125,,,,,,
2000-09-15 00:00:00,,,,21.5,21.6875,21.0625,,,,,,
2000-09-18 00:00:00,,,,21.375,21.375,20.6875,,,,,,
2000-09-19 00:00:00,,,,20.8125,21,20.75,,,,,,
2000-09-20 00:00:00,,,,21,21,20.75,,,,,,
