Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,25.2673,26.0068,24.5278,,,,0,8,0
2000-05-02 00:00:00,,,,25.2057,25.5138,25.0208,,,,,,
2000-05-03 00:00:00,,,,25.0824,25.4522,24.3429,,,,,,
2000-05-04 00:00:00,,,,24.4045,24.5894,23.5417,,,,,,
2000-05-05 00:00:00,,,,23.3568,24.0964,23.3568,,,,,,
2000-05-08 00:00:00,,,,23.665,24.8975,23.6034,,,,,,
2000-05-09 00:00:00,,,,24.5894,25.0824,24.0347,,,,,,
2000-05-10 00:00:00,,,,24.5894,24.651,23.7266,,,,,,
2000-05-11 00:00:00,,,,24.158,25.2057,24.0964,,,,,,
2000-05-12 00:00:00,,,,24.2813,25.2673,24.2813,,,,,,
2000-05-15 00:00:00,,,,24.8359,25.3906,24.651,,,,,,
2000-05-16 00:00:00,,,,25.144,25.144,23.8499,,,,0,9,0
2000-05-17 00:00:00,,,,23.8499,23.8499,22.6789,,,,0,10,0
2000-05-18 00:00:00,,,,23.0487,23.6034,22.1859,,,,,,
2000-05-19 00:00:00,,,,22.5557,23.9115,22.5557,,,,,,
2000-05-22 00:00:00,,,,23.5417,24.5278,23.5417,,,,,,
2000-05-23 00:00:00,,,,24.0964,24.9592,24.0964,,,,,,
2000-05-24 00:00:00,,,,24.7127,25.8219,24.7127,,,,0,10,0
2000-05-25 00:00:00,,,,25.0824,25.6987,24.7127,,,,,,
2000-05-26 00:00:00,,,,25.0208,25.3289,24.7743,,,,,,
2000-05-30 00:00:00,,,,25.144,25.5754,24.9592,,,,,,
2000-05-31 00:00:00,,,,25.5138,25.5138,25.0208,,,,0,10,0
2000-06-01 00:00:00,,,,25.0824,26.4998,25.0824,,,,,,
2000-06-02 00:00:00,,,,26.6231,27.1161,26.3766,,,,0,10,0
2000-06-05 00:00:00,,,,25.8836,26.1301,25.2673,,,,,,
2000-06-06 00:00:00,,,,25.3906,25.5754,24.7127,,,,0,10,0
2000-06-07 00:00:00,,,,25.2057,26.0685,25.2057,,,,,,
2000-06-08 00:00:00,,,,25.3289,25.3906,24.4045,,,,,,
2000-06-09 00:00:00,,,,25.0208,25.0208,24.2196,,,,,,
2000-06-12 00:00:00,,,,24.3429,24.8359,24.3429,,,,,,
2000-06-13 00:00:00,,,,23.9115,25.0824,23.9115,,,,,,
2000-06-14 00:00:00,,,,24.651,24.651,24.3429,,,,,,
2000-06-15 00:00:00,,,,24.2813,24.4661,22.8022,,,,,,
2000-06-16 00:00:00,,,,22.3708,22.6173,21.4464,,,,0,10,0
2000-06-19 00:00:00,,,,21.6929,22.5557,21.508,,,,,,
2000-06-20 00:00:00,,,,22.2475,22.4324,21.8162,,,,,,
2000-06-21 00:00:00,,,,21.6313,21.8778,21.3848,,,,,,
2000-06-22 00:00:00,,,,21.6313,22.001,21.3231,,,,,,
2000-06-23 00:00:00,,,,22.1859,22.3708,21.508,,,,,,
2000-06-26 00:00:00,,,,21.6929,21.8778,21.3848,,,,,,
2000-06-27 00:00:00,,,,22.0627,23.0487,22.001,,,,,,
2000-06-28 00:00:00,,,,22.3092,23.1103,21.9394,,,,,,
2000-06-29 00:00:00,,,,21.8162,22.1243,21.2615,,,,,,
2000-06-30 00:00:00,,,,21.2615,21.5696,20.5836,,,,,,
2000-07-03 00:00:00,,,,20.5836,21.5696,20.5836,,,,0,10,0
2000-07-05 00:00:00,,,,21.3231,22.001,21.015,,,,,,
2000-07-06 00:00:00,,,,21.0766,22.3092,20.8301,,,,,,
2000-07-07 00:00:00,,,,21.6929,23.1103,21.6929,,,,0,10,0
2000-07-10 00:00:00,,,,22.5557,22.9255,22.0627,,,,,,
2000-07-11 00:00:00,,,,21.8162,22.5557,21.8162,,,,,,
2000-07-12 00:00:00,,,,22.1859,22.6173,21.7545,,,,,,
2000-07-13 00:00:00,,,,21.7545,21.8778,20.7685,,,,0,11,0
2000-07-14 00:00:00,,,,21.3231,22.001,21.0766,,,,,,
2000-07-17 00:00:00,,,,21.2615,21.508,20.5836,,,,0,11,0
2000-07-18 00:00:00,,,,20.8917,20.8917,20.2755,,,,0,11,0
2000-07-19 00:00:00,,,,20.8301,21.1383,20.522,,,,0,11,0
2000-07-20 00:00:00,,,,20.6452,21.5696,20.6452,,,,,,
2000-07-21 00:00:00,,,,20.7685,21.1999,20.1522,,,,,,
2000-07-24 00:00:00,,,,20.522,20.8301,20.3371,,,,,,
2000-07-25 00:00:00,,,,21.1999,21.1999,20.3987,,,,0,11,0
2000-07-26 00:00:00,,,,20.8301,21.015,19.9673,,,,,,
2000-07-27 00:00:00,,,,20.3987,20.522,20.029,,,,,,
2000-07-28 00:00:00,,,,20.2138,20.2138,19.1045,,,,,,
2000-07-31 00:00:00,,,,18.9813,19.7824,18.9813,,,,,,
2000-08-01 00:00:00,,,,20.2138,20.8301,19.7208,,,,0,11,0
2000-08-02 00:00:00,,,,20.5836,20.7685,20.4603,,,,,,
2000-08-03 00:00:00,,,,20.7069,21.7545,20.522,,,,,,
2000-08-04 00:00:00,,,,21.8778,22.8638,21.8162,,,,,,
2000-08-07 00:00:00,,,,22.6789,23.0487,21.6929,,,,,,
2000-08-08 00:00:00,,,,23.6034,23.7882,23.172,,,,,,
2000-08-09 00:00:00,,,,24.2813,24.2813,23.3568,,,,,,
2000-08-10 00:00:00,,,,24.0347,24.2196,23.4801,,,,,,
2000-08-11 00:00:00,,,,23.5417,23.9115,23.3568,,,,,,
2000-08-14 00:00:00,,,,23.7882,24.651,23.665,,,,,,
2000-08-15 00:00:00,,,,24.5278,24.651,23.8499,,,,,,
2000-08-16 00:00:00,,,,24.2813,24.4661,23.4185,,,,,,
2000-08-17 00:00:00,,,,23.665,23.7266,23.2336,,,,0,12,0
2000-08-18 00:00:00,,,,23.6034,23.6034,23.172,,,,,,
2000-08-21 00:00:00,,,,23.4801,23.8499,23.2336,,,,,,
2000-08-22 00:00:00,,,,23.7266,24.4661,23.6034,,,,,,
2000-08-23 00:00:00,,,,24.2813,24.4045,23.665,,,,,,
2000-08-24 00:00:00,,,,24.0964,24.0964,23.8499,,,,,,
2000-08-25 00:00:00,,,,24.2813,24.2813,23.7266,,,,,,
2000-08-28 00:00:00,,,,23.7882,24.0964,23.4801,,,,,,
2000-08-29 00:00:00,,,,24.0347,24.0347,22.8638,,,,,,
2000-08-30 00:00:00,,,,23.1103,23.2952,22.7406,,,,,,
2000-08-31 00:00:00,,,,22.8638,23.9115,22.8638,,,,0,12,0
2000-09-01 00:00:00,,,,23.3568,23.6034,23.0487,,,,,,
2000-09-05 00:00:00,,,,23.172,23.5417,22.9871,,,,,,
2000-09-06 00:00:00,,,,23.5417,24.0964,23.4801,,,,,,
2000-09-07 00:00:00,,,,23.9731,24.5894,23.9115,,,,,,
2000-09-08 00:00:00,,,,24.2196,24.4661,23.7266,,,,,,
2000-09-11 00:00:00,,,,23.7266,24.0964,23.4801,,,,,,
2000-09-12 00:00:00,,,,23.7266,23.7882,23.3568,,,,0,12,0
2000-09-13 00:00:00,,,,23.9115,24.651,23.5417,,,,,,
2000-09-14 00:00:00,,,,24.2196,24.5894,24.158,,,,,,
2000-09-15 00:00:00,,,,24.2196,24.4661,22.8638,,,,0,13,0
2000-09-18 00:00:00,,,,23.2952,23.6034,22.1859,,,,,,
2000-09-19 00:00:00,,,,22.4324,22.8022,22.2475,,,,,,
2000-09-20 00:00:00,,,,22.2475,22.3708,21.1999,,,,,,
2000-09-21 00:00:00,,,,22.001,22.001,21.015,,,,,,
2000-09-22 00:00:00,,,,21.508,22.1243,21.1999,,,,,,
2000-09-25 00:00:00,,,,21.8778,22.3092,21.6929,,,,,,
2000-09-26 00:00:00,,,,21.9394,22.1243,21.508,,,,,,
2000-09-27 00:00:00,,,,21.3848,22.1243,21.3231,,,,,,
2000-09-28 00:00:00,,,,21.9394,22.6173,21.9394,,,,,,
2000-09-29 00:00:00,,,,22.3092,22.5557,21.8778,,,,,,
2000-10-02 00:00:00,,,,22.2475,22.3708,21.1383,,,,,,
2000-10-03 00:00:00,,,,22.1243,22.1859,20.8301,,,,0,13,0
2000-10-04 00:00:00,,,,18.9813,19.9057,18.6115,,,,0,12,1
2000-10-05 00:00:00,,,,20.0906,20.0906,18.6731,,,,0,10,4
2000-10-06 00:00:00,,,,18.9813,19.1662,18.2418,,,,0,10,4
2000-10-09 00:00:00,,,,17.9952,18.3034,17.5022,,,,,,
2000-10-10 00:00:00,,,,18.858,18.858,16.886,,,,,,
2000-10-11 00:00:00,,,,16.3929,16.7627,15.530100000000001,,,,0,10,4
2000-10-12 00:00:00,,,,16.1464,16.3929,15.1604,,,,,,
2000-10-13 00:00:00,,,,16.0232,17.0092,15.5918,,,,,,
2000-10-16 00:00:00,,,,16.9476,17.8104,16.5778,,,,0,10,4
2000-10-17 00:00:00,,,,17.9336,17.9336,16.7627,,,,0,10,4
2000-10-18 00:00:00,,,,16.8243,17.3173,15.8999,,,,,,
2000-10-19 00:00:00,,,,17.1325,17.4406,16.8243,,,,,,
2000-10-20 00:00:00,,,,17.3173,17.4406,17.0708,,,,,,
2000-10-23 00:00:00,,,,17.1941,17.1941,16.5162,,,,,,
2000-10-24 00:00:00,,,,17.0092,17.9336,17.0092,,,,,,
2000-10-25 00:00:00,,,,18.1801,18.2418,17.5022,,,,,,
2000-10-26 00:00:00,,,,17.3173,17.6871,16.9476,,,,,,
2000-10-27 00:00:00,,,,17.0092,17.6255,17.0092,,,,,,
2000-10-30 00:00:00,,,,17.6255,19.1662,17.6255,,,,,,
2000-10-31 00:00:00,,,,18.7348,19.4743,18.7348,,,,,,
2000-11-01 00:00:00,,,,18.7348,19.4743,18.7348,,,,,,
2000-11-02 00:00:00,,,,19.5976,19.6592,19.2894,,,,,,
2000-11-03 00:00:00,,,,19.2278,19.4743,19.2278,,,,,,
2000-11-06 00:00:00,,,,19.2894,19.6592,19.2894,,,,,,
2000-11-07 00:00:00,,,,19.2278,19.2894,18.5499,,,,0,10,5
2000-11-08 00:00:00,,,,19.1045,19.1045,18.4883,,,,,,
2000-11-09 00:00:00,,,,18.5499,19.1662,18.5499,,,,,,
2000-11-10 00:00:00,,,,18.6731,19.0429,18.6731,,,,,,
2000-11-13 00:00:00,,,,18.4883,18.858,18.3034,,,,0,10,5
2000-11-14 00:00:00,,,,18.6115,19.0429,18.6115,,,,,,
2000-11-15 00:00:00,,,,18.365,18.4266,17.6255,,,,0,10,5
2000-11-16 00:00:00,,,,18.1801,18.1801,17.5022,,,,,,
2000-11-17 00:00:00,,,,17.4406,17.9336,17.1325,,,,,,
2000-11-20 00:00:00,,,,17.0708,17.5639,16.7627,,,,,,
2000-11-21 00:00:00,,,,17.379,18.1801,17.379,,,,,,
2000-11-22 00:00:00,,,,17.8104,17.9336,17.6871,,,,,,
2000-11-24 00:00:00,,,,17.6871,17.872,17.4406,,,,,,
2000-11-27 00:00:00,,,,17.6255,17.6255,17.1941,,,,,,
2000-11-28 00:00:00,,,,17.379,18.4883,17.379,,,,,,
2000-11-29 00:00:00,,,,18.2418,19.1045,18.2418,,,,,,
2000-11-30 00:00:00,,,,19.0429,19.2894,18.6731,,,,,,
2000-12-01 00:00:00,,,,19.1662,19.7824,19.1662,,,,,,
2000-12-04 00:00:00,,,,19.1662,19.2278,18.858,,,,,,
2000-12-05 00:00:00,,,,19.1662,20.1522,18.9197,,,,,,
2000-12-06 00:00:00,,,,20.5836,21.1999,19.3511,,,,,,
2000-12-07 00:00:00,,,,19.9057,20.6452,19.7208,,,,,,
2000-12-08 00:00:00,,,,20.8301,21.2615,20.8301,,,,0,11,5
2000-12-11 00:00:00,,,,20.7069,21.6313,20.7069,,,,,,
2000-12-12 00:00:00,,,,21.3848,21.4464,20.8301,,,,,,
2000-12-13 00:00:00,,,,21.1383,21.3848,20.8301,,,,,,
2000-12-14 00:00:00,,,,20.4603,21.0766,20.3371,,,,,,
2000-12-15 00:00:00,,,,20.3371,20.9534,20.3371,,,,,,
2000-12-18 00:00:00,,,,21.3848,22.9871,21.1383,,,,,,
2000-12-19 00:00:00,,,,22.6173,23.2336,22.3092,,,,,,
2000-12-20 00:00:00,,,,22.4324,23.1103,21.5696,,,,,,
2000-12-21 00:00:00,,,,22.4324,23.665,22.4324,,,,0,11,5
2000-12-22 00:00:00,,,,23.665,23.7266,23.1103,,,,0,10,5
2000-12-26 00:00:00,,,,23.4185,23.6034,23.2336,,,,,,
2000-12-27 00:00:00,,,,23.3568,23.9731,23.3568,,,,,,
2000-12-28 00:00:00,,,,23.665,23.9731,23.5417,,,,,,
2000-12-29 00:00:00,,,,23.4185,23.6034,22.9255,,,,,,
2001-01-02 00:00:00,,,,23.1103,23.1103,22.001,,,,,,
2001-01-03 00:00:00,,,,22.6789,24.3429,22.4941,,,,,,
2001-01-04 00:00:00,,,,24.158,25.6987,24.158,,,,0,10,5
2001-01-05 00:00:00,,,,24.8359,24.8359,23.7882,,,,,,
2001-01-08 00:00:00,,,,24.158,24.2813,23.2336,,,,,,
2001-01-09 00:00:00,,,,23.6034,24.0347,23.4185,,,,0,11,5
2001-01-10 00:00:00,,,,23.3568,23.7882,23.2336,,,,,,
2001-01-11 00:00:00,,,,24.0964,24.158,23.2952,,,,,,
2001-01-12 00:00:00,,,,23.7266,23.7266,22.4324,,,,0,11,5
2001-01-16 00:00:00,,,,22.8022,23.7266,21.8778,,,,,,
2001-01-17 00:00:00,,,,22.6173,22.6173,21.7545,,,,0,11,6
2001-01-18 00:00:00,,,,22.3092,22.3092,21.2615,,,,,,
2001-01-19 00:00:00,,,,21.5696,21.5696,20.4603,,,,0,11,6
2001-01-22 00:00:00,,,,21.1383,21.8162,20.7685,,,,,,
2001-01-23 00:00:00,,,,22.1243,22.7406,21.9394,,,,,,
2001-01-24 00:00:00,,,,22.3092,22.8638,22.1243,,,,0,11,6
2001-01-25 00:00:00,,,,22.8638,23.0487,22.3708,,,,,,
2001-01-26 00:00:00,,,,22.9255,23.2952,22.6789,,,,,,
2001-01-29 00:00:00,,,,23.2903,23.6551,23.0241,,,,,,
2001-01-30 00:00:00,,,,23.0832,23.4481,22.5015,,,,0,11,6
2001-01-31 00:00:00,,,,23.3494,23.4086,22.6592,,,,,,
2001-02-01 00:00:00,,,,23.0241,23.172,22.7874,,,,,,
2001-02-02 00:00:00,,,,22.9748,23.3593,22.8367,,,,,,
2001-02-05 00:00:00,,,,23.0734,23.6748,22.886,,,,,,
2001-02-06 00:00:00,,,,23.6748,23.6748,23.0734,,,,0,11,6
2001-02-07 00:00:00,,,,23.31,23.665,23.2706,,,,,,
2001-02-08 00:00:00,,,,23.3199,23.5171,23.2804,,,,0,11,6
2001-02-09 00:00:00,,,,23.3889,23.665,23.2706,,,,,,
2001-02-12 00:00:00,,,,23.5368,24.0397,23.4086,,,,,,
2001-02-13 00:00:00,,,,23.9115,23.9115,23.6946,,,,,,
2001-02-14 00:00:00,,,,23.6847,23.734,22.9748,,,,,,
2001-02-15 00:00:00,,,,23.0241,23.172,22.6888,,,,,,
2001-02-16 00:00:00,,,,23.1621,23.3396,22.8466,,,,,,
2001-02-20 00:00:00,,,,23.0931,23.172,22.5705,,,,,,
2001-02-21 00:00:00,,,,22.6888,22.9057,22.3733,,,,,,
2001-02-22 00:00:00,,,,22.4028,22.4028,21.4562,,,,,,
2001-02-23 00:00:00,,,,21.7126,23.0734,21.6239,,,,,,
2001-02-26 00:00:00,,,,22.4817,23.2508,21.9887,,,,,,
2001-02-27 00:00:00,,,,23.0142,23.3593,22.5902,,,,0,11,7
2001-02-28 00:00:00,,,,23.2607,23.31,22.4817,,,,0,11,7
2001-03-01 00:00:00,,,,23.665,23.665,22.3042,,,,,,
2001-03-02 00:00:00,,,,22.8761,23.5368,22.6987,,,,0,11,7
2001-03-05 00:00:00,,,,23.4481,23.4678,22.5606,,,,0,11,8
2001-03-06 00:00:00,,,,22.6789,22.9649,22.0873,,,,,,
2001-03-07 00:00:00,,,,22.531,22.6691,22.324,,,,,,
2001-03-08 00:00:00,,,,22.6296,22.817,22.3338,,,,1,11,8
2001-03-09 00:00:00,,,,22.4324,22.9748,21.7126,,,,,,
2001-03-12 00:00:00,,,,22.2845,22.4324,21.0717,,,,,,
2001-03-13 00:00:00,,,,21.397100000000002,21.614,20.766,,,,,,
2001-03-14 00:00:00,,,,20.7069,20.8055,19.5236,,,,,,
2001-03-15 00:00:00,,,,21.1407,21.1506,20.6773,,,,,,
2001-03-16 00:00:00,,,,20.7069,21.1999,20.4209,,,,,,
2001-03-19 00:00:00,,,,20.7956,21.8901,20.559,,,,,,
2001-03-20 00:00:00,,,,21.4957,21.7323,20.6773,,,,,,
2001-03-21 00:00:00,,,,19.918,20.5787,19.6222,,,,1,11,8
2001-03-22 00:00:00,,,,19.425,19.5532,18.2319,,,,,,
2001-03-23 00:00:00,,,,19.4743,20.4505,19.0996,,,,,,
2001-03-26 00:00:00,,,,21.6929,21.6929,20.8548,,,,1,11,7
2001-03-27 00:00:00,,,,21.6436,23.2114,21.4069,,,,1,11,7
2001-03-28 00:00:00,,,,22.7282,22.8268,22.4817,,,,,,
2001-03-29 00:00:00,,,,22.4324,22.6296,21.8408,,,,,,
2001-03-30 00:00:00,,,,22.2155,22.8761,22.1859,,,,,,
2001-04-02 00:00:00,,,,22.8761,23.172,22.6099,,,,1,11,7
2001-04-03 00:00:00,,,,22.7282,23.0635,22.3042,,,,1,11,7
2001-04-04 00:00:00,,,,22.7775,22.8071,21.9986,,,,,,
2001-04-05 00:00:00,,,,22.8268,23.1128,22.5212,,,,1,11,7
2001-04-06 00:00:00,,,,22.9748,23.0635,22.4324,,,,,,
2001-04-09 00:00:00,,,,22.4817,22.886,22.3831,,,,,,
2001-04-10 00:00:00,,,,22.9748,23.172,22.7282,,,,1,11,7
2001-04-11 00:00:00,,,,22.7677,23.172,22.1859,,,,,,
2001-04-12 00:00:00,,,,22.5803,23.2607,22.5212,,,,1,12,7
2001-04-16 00:00:00,,,,23.0241,23.2706,22.462,,,,1,12,8
2001-04-17 00:00:00,,,,22.7282,23.0241,21.5746,,,,1,12,8
2001-04-18 00:00:00,,,,22.2549,23.0241,21.2492,,,,1,12,8
2001-04-19 00:00:00,,,,22.531,22.531,21.6436,,,,,,
2001-04-20 00:00:00,,,,21.8901,22.038,21.1999,,,,,,
2001-04-23 00:00:00,,,,21.4464,21.545,20.8646,,,,1,12,8
2001-04-24 00:00:00,,,,21.1013,21.3478,20.9041,,,,,,
2001-04-25 00:00:00,,,,21.0618,21.1703,20.7463,,,,,,
2001-04-26 00:00:00,,,,21.0027,21.19,20.5195,,,,1,12,8
2001-04-27 00:00:00,,,,20.8153,21.1802,20.7266,,,,,,
2001-04-30 00:00:00,,,,21.1802,21.4365,20.7069,,,,1,12,8
2001-05-01 00:00:00,,,,21.1013,21.1013,20.4209,,,,,,
2001-05-02 00:00:00,,,,20.6477,21.1013,20.6378,,,,1,12,8
2001-05-03 00:00:00,,,,20.9534,21.7915,20.5787,,,,,,
2001-05-04 00:00:00,,,,21.052,22.6001,21.052,,,,1,12,9
2001-05-07 00:00:00,,,,21.7422,21.969,20.7069,,,,1,13,9
2001-05-08 00:00:00,,,,20.9435,21.0421,20.7167,,,,1,13,9
2001-05-09 00:00:00,,,,20.8548,21.052,20.6181,,,,,,
2001-05-10 00:00:00,,,,21.1999,21.2985,20.6773,,,,,,
2001-05-11 00:00:00,,,,20.8055,21.1013,20.5984,,,,,,
2001-05-14 00:00:00,,,,20.7562,20.9435,20.559,,,,,,
2001-05-15 00:00:00,,,,21.052,21.1999,20.7364,,,,,,
2001-05-16 00:00:00,,,,21.1013,21.6337,20.9238,,,,1,13,9
2001-05-17 00:00:00,,,,21.4464,21.7422,21.1604,,,,1,13,9
2001-05-18 00:00:00,,,,21.545,21.8507,21.3379,,,,,,
2001-05-21 00:00:00,,,,21.4365,21.6633,21.1999,,,,,,
2001-05-22 00:00:00,,,,21.4957,22.1563,21.3774,,,,,,
2001-05-23 00:00:00,,,,21.7422,22.0282,21.7225,,,,,,
2001-05-24 00:00:00,,,,22.0577,22.4522,21.9493,,,,,,
2001-05-25 00:00:00,,,,22.2944,22.3338,21.8901,,,,,,
2001-05-29 00:00:00,,,,21.8507,21.9197,21.6535,,,,,,
2001-05-30 00:00:00,,,,21.8112,21.9197,21.6436,,,,,,
2001-05-31 00:00:00,,,,21.7915,22.0282,21.6929,,,,1,13,9
2001-06-01 00:00:00,,,,21.9887,22.2549,21.7225,,,,,,
2001-06-04 00:00:00,,,,22.0873,22.4324,21.9493,,,,,,
2001-06-05 00:00:00,,,,22.3831,22.6296,22.3831,,,,1,13,9
2001-06-06 00:00:00,,,,22.3831,22.8268,22.1958,,,,1,13,9
2001-06-07 00:00:00,,,,22.7282,22.7282,22.4423,,,,1,13,9
2001-06-08 00:00:00,,,,22.6296,22.6296,22.2747,,,,,,
2001-06-11 00:00:00,,,,22.1958,22.5705,22.1958,,,,1,13,9
2001-06-12 00:00:00,,,,22.3437,22.4226,22.0479,,,,,,
2001-06-13 00:00:00,,,,22.0972,22.4028,21.7422,,,,1,13,9
2001-06-14 00:00:00,,,,21.7422,21.8901,21.3478,,,,,,
2001-06-15 00:00:00,,,,20.7069,21.397100000000002,20.7069,,,,1,13,9
2001-06-18 00:00:00,,,,21.1999,21.7619,21.1013,,,,,,
