Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,30.719,31.813,30.5,,,,0,9,1
2000-05-02 00:00:00,,,,31.219,31.938,30.781,,,,,,
2000-05-03 00:00:00,,,,30.625,31.094,30.281,,,,,,
2000-05-04 00:00:00,,,,30.719,31.125,30,,,,,,
2000-05-05 00:00:00,,,,31,32.969,30.813,,,,0,9,1
2000-05-08 00:00:00,,,,32.531,33.469,30.969,,,,,,
2000-05-09 00:00:00,,,,31.188,31.75,30.781,,,,,,
2000-05-10 00:00:00,,,,31.469,31.75,29.5,,,,,,
2000-05-11 00:00:00,,,,30.813,32.219,30.688,,,,,,
2000-05-12 00:00:00,,,,31.813,32.438,31.438,,,,,,
2000-05-15 00:00:00,,,,31.75,32.469,31.75,,,,,,
2000-05-16 00:00:00,,,,32.438,33.219,32.156,,,,,,
2000-05-17 00:00:00,,,,32.875,32.875,32.313,,,,,,
2000-05-18 00:00:00,,,,32.469,32.938,32.188,,,,,,
2000-05-19 00:00:00,,,,31.75,31.938,30.813,,,,,,
2000-05-22 00:00:00,,,,31.5,31.5,30.813,,,,,,
2000-05-23 00:00:00,,,,31.219,31.219,30.25,,,,,,
2000-05-24 00:00:00,,,,30.938,30.938,29.531,,,,0,9,1
2000-05-25 00:00:00,,,,29.938,29.938,29.219,,,,,,
2000-05-26 00:00:00,,,,30.063,30.063,29.188,,,,,,
2000-05-30 00:00:00,,,,29.344,29.781,28.875,,,,,,
2000-05-31 00:00:00,,,,29.469,30.688,29.344,,,,,,
2000-06-01 00:00:00,,,,29.5,30.938,29.031,,,,0,9,1
2000-06-02 00:00:00,,,,31.406,32.438,31.344,,,,0,9,1
2000-06-05 00:00:00,,,,30.563,30.781,29.906,,,,,,
2000-06-06 00:00:00,,,,30.375,30.969,30.063,,,,,,
2000-06-07 00:00:00,,,,30.813,31.125,29.938,,,,,,
2000-06-08 00:00:00,,,,29,29.125,28,,,,0,10,1
2000-06-09 00:00:00,,,,28.75,29.656,28.688,,,,0,10,1
2000-06-12 00:00:00,,,,29.375,29.563,29.125,,,,,,
2000-06-13 00:00:00,,,,29.375,29.406,28.5,,,,,,
2000-06-14 00:00:00,,,,29,30.125,29,,,,0,11,1
2000-06-15 00:00:00,,,,29.906,30.875,29.469,,,,,,
2000-06-16 00:00:00,,,,29.563,30.125,29.094,,,,,,
2000-06-19 00:00:00,,,,29.625,29.656,28.156,,,,,,
2000-06-20 00:00:00,,,,28.5,28.563,27.563,,,,,,
2000-06-21 00:00:00,,,,28.563,28.719,27.688,,,,,,
2000-06-22 00:00:00,,,,29,29,27.813,,,,,,
2000-06-23 00:00:00,,,,28.25,28.625,27.906,,,,,,
2000-06-26 00:00:00,,,,28.875,29,28.25,,,,,,
2000-06-27 00:00:00,,,,28.5,29.063,28.156,,,,,,
2000-06-28 00:00:00,,,,28.25,28.813,28.094,,,,,,
2000-06-29 00:00:00,,,,28.031,28.063,27.094,,,,,,
2000-06-30 00:00:00,,,,27.469,29.438,27,,,,0,11,1
2000-07-03 00:00:00,,,,28.75,28.781,27.688,,,,,,
2000-07-05 00:00:00,,,,29.25,29.594,28.813,,,,,,
2000-07-06 00:00:00,,,,29.375,29.563,28.813,,,,,,
2000-07-07 00:00:00,,,,28.969,29.469,28.875,,,,0,11,1
2000-07-10 00:00:00,,,,29.406,29.75,29.125,,,,,,
2000-07-11 00:00:00,,,,29.688,30,29.281,,,,,,
2000-07-12 00:00:00,,,,29.594,30.188,29.125,,,,,,
2000-07-13 00:00:00,,,,30.125,30.406,29.938,,,,,,
2000-07-14 00:00:00,,,,30.5,30.875,30.188,,,,,,
2000-07-17 00:00:00,,,,30.438,30.469,30.125,,,,,,
2000-07-18 00:00:00,,,,30.125,30.125,29.188,,,,,,
2000-07-19 00:00:00,,,,30,30.219,28.625,,,,1,11,1
2000-07-20 00:00:00,,,,28.75,29,28.438,,,,1,11,1
2000-07-21 00:00:00,,,,28.688,29.5,28.688,,,,1,11,1
2000-07-24 00:00:00,,,,29.313,29.75,29.188,,,,,,
2000-07-25 00:00:00,,,,29.5,30,29.094,,,,,,
2000-07-26 00:00:00,,,,29.25,29.25,28.469,,,,,,
2000-07-27 00:00:00,,,,28.75,29.063,28.156,,,,,,
2000-07-28 00:00:00,,,,28.75,28.875,28.156,,,,,,
2000-07-31 00:00:00,,,,29,29.719,28.969,,,,,,
2000-08-01 00:00:00,,,,29.563,29.75,29.313,,,,,,
2000-08-02 00:00:00,,,,29.563,29.688,29.031,,,,,,
